summons_number,street_name,vehicle_body_type,violation_code,issuer_command,violation_county,street_code2,vehicle_color,days_parking_in_effect,issuer_precinct,meter_number,time_first_observed,intersecting_street,violation_location
1481881991,30 AVE,SUBN,98,0114,Q,10540,GRY,BBBBBBB,114,-,,,114.0
1460223044,RIIS PARK,SDN,62,0835,Q,0,BL,BBBBBBB,835,-,,MAIN LOT,100.0
1481918539,C/O MEADOW LAKE DR,SUBN,46,0169,Q,0,RED,BBBBBBB,169,-,,MEADOW LAKE BRIDGE,110.0
1478531848,DCKRUIF PL,SDN,46,CCPD,BX,0,BLK,BBBBBBB,0,-,,,45.0
1459654500,EXETER STREET,SDN,40,0112,Q,14490,SILVE,BBBBBBB,112,-,,,112.0
1447104237,E 102 ST,SUBN,17,0023,NY,24890,RED,BBBBBBB,23,-,,LEXINGTON AVE,23.0
1484741780,DEN PK,SUBN,20,0002,BX,12335,BLK,BBBBBBB,2,-,,MT EDEN MALLS,44.0
1481855591,XENIA ST,SDN,98,0110,Q,11840,SILV,BBBBBBB,110,-,,,110.0
1478442918,WINCHESTER BLVD,SUBN,62,0915,Q,65590,GY,BBBBBBB,915,-,,,105.0
1478526816,S/O 120 CASALS PLACE,SDN,67,CCPD,BX,18340,BLK,BBBBBBB,0,-,,,45.0
1440212508,MENAHAN STREET,SUBN,20,0083,K,25330,RED,BBBBBBB,83,-,,,83.0
1408213977,BELMONT PL,,46,0138,BX,40404,,BBBBBBB,138,-,1256A,,48.0
1462135882,jacob javits playgr,CONV,14,0001,NY,40404,WHITE,BBBBBBB,1,-,,,34.0
1482047871,N/W CORNER PERK AVE,SUBN,40,0023,NY,0,GRY,BBBBBBB,23,-,,E 108 ST,23.0
1481953552,64 ST,P-U,98,0108,Q,8440,WHITE,BBBBBBB,108,-,,,108.0
1482021079,BROADWAY,SDN,46,0034,NY,20590,BLK,BBBBBBB,34,-,,,34.0
1459499864,E 152 ST,SUBN,46,0040,BX,72520,GREY,BBBBBBB,40,-,,,40.0
1478532180,ELGAR PL,SUBN,14,COOP,BX,12550,WHT,BBBBBBB,0,-,,,45.0
1441873843,FRANCIS LEWIS BLVD,SUBN,19,0000,Q,8210,,BBBBBBB,0,-,,,109.0
1484798910,41 ST,SUBN,20,0072,K,5680,GY,BBBBBBB,72,-,,6 AVE,72.0
1446925614,SOUTH BEACH,VAN,68,0005,R,0,BLK,BBBBBBB,5,-,,LOT 2,122.0
1449157452,173 ST,SDN,46,0043,BX,0,GRAY,BBBBBBB,43,-,,SHERIDAN BLVD,43.0
1480695701,EAST 28 STREET,SDN,40,0061,K,14780,GY,BBBBBBB,61,-,,,61.0
1484725888,FURMAN ST,SDN,20,0004,K,33720,SILVE,BBBBBBB,4,-,,,84.0
1484751073,CROTONA AVE,SUBN,14,0002,BX,19720,BLUE,BBBBBBB,2,-,,,42.0
1446757778,HAZEN STREET,LEXU,62,0SOD,Q,0,GY,BBBBBBB,0,-,,RIKERS ISLAND,174.0
1479839164,MAIN ST,SUBN,24,0976,NY,0,BL,YYYYYYY,976,-,0952A,ROOSEVELT ISLAND,114.0
1481884165,ASTORIA BLVD,SDN,51,0114,Q,64290,,BBBBBBB,114,-,,,114.0
1484752028,OAK POINT AVE,SUBN,53,0002,BX,12150,BLU,BBBBBBB,2,-,,DRAKE PARK,41.0
1478694786,C/O 125 ST,SUBN,20,0968,NY,0,GREEN,BBBBBBB,968,-,,PARK AVE,25.0
1480634165,REMSEN AVE,SUBN,98,0069,,28970,BLUE,BBBBBBB,69,-,,,69.0
1438849965,SCHUBERT ST,SDN,98,0120,,48980,GY,BBBBBBB,120,-,,,120.0
1307576539,SEAVER WAY,SUBN,51,0114,Q,40404,GY,BBBBBBB,114,-,,,110.0
1482044274,E 86 ST,SDN,46,0019,NY,10210,BK,BBBBBBB,19,-,,,19.0
1484721809,,SDN,20,0005,R,0,BLK,BBBBBBB,5,-,,,123.0
1481873600,35 ST,,98,0114,Q,7790,BLK,BBBBBBB,114,-,,,114.0
1480357571,7TH ST,SDN,63,0004,K,72507,BLK,BBBBBBB,4,-,,PROSPECT PARK,78.0
1457216917,86 AVE,SDN,14,0105,Q,27268,WH,BBBBBBB,105,-,,,105.0
1480630172,FARRAGUT RD,SDN,67,0069,K,37980,WHITE,BBBBBBB,69,-,,,69.0
1344834978,N/S 3RD AVE,SDN,20,0BWB,Q,0,WH,BBBBBBB,0,-,,WHITESTONE EXPRESSWA,109.0
1484721329,MIDLAND BEACH,SUBN,20,0005,R,0,GL,BBBBBBB,5,-,,LOT 8,122.0
1484769454,HAMILTON AVE,SUBN,98,0076,K,83230,,BBBBBBB,76,-,,,76.0
1454007679,ROXBURY ST,SDN,40,0121,R,36950,BLK,BBBBBBB,121,-,,,121.0
1462113590,FDR DRIVE,SDN,14,0002,NY,40404,GRY,BBBBBBB,2,-,0634A,,13.0
1482051837,%LEXINGTON AVENUE,SDN,19,0023,,18990,WHITE,BBBBBBB,23,-,,,23.0
1478531794,ELGAR PL,SUBN,46,CCPD,,12550,BLK,BBBBBBB,0,-,,,45.0
1436442497,RYER AVE,SUBN,17,0046,BX,27060,W,BBBBBBB,46,-,,,46.0
1459499852,E 141 ST,SDN,40,0040,BX,8120,WHITE,BBBBBBB,40,-,,,40.0
1482008154,THAYER ST,SUBN,46,0034,NY,27090,,BBBBBBB,34,-,,,34.0
1480917047,W 88 ST,SUBN,40,0024,NY,15710,,BBBBBBB,24,-,,,24.0
1481881980,43 ST,SDN,98,0114,Q,7790,BLK,BBBBBBB,114,-,,,114.0
1427034096,W 30 ST,,31,0401,NY,10510,,YYYYYYB,401,-,,,14.0
1411069663,OGDEN AVE,SDN,46,0138,BX,74370,BLUE,BBBBBBB,138,-,,W 171 ST,47.0
1455046504,JEFFERSON AVE,SUBN,70,0968,,44900,RED,BBBBBBB,968,-,0420P,,122.0
1437480470,TAYLOR AVE,SDN,14,0808,BX,45120,,BBBBBBB,808,-,,,43.0
1481974415,215 ST,SDN,98,0111,Q,9690,RED,BBBBBBB,111,-,,,111.0
1427354133,MINNA ST,VAN,40,0066,K,25730,WHITE,BBBBBBB,66,-,,,66.0
1449371310,BUSH STREET,,67,0046,BX,21820,WHITE,BBBBBBB,46,-,,CRESTON AVE,46.0
1464041672,61 ST,SUBN,98,0072,K,5580,BLK,BBBBBBB,72,-,,,72.0
1482048632,3 AVE,SDN,46,0023,NY,19210,BLK,BBBBBBB,23,-,,,23.0
1480327839,FLUSHING MEADOWS COR,SUBN,20,0003,Q,0,WHITE,BBBBBBB,3,-,,TENNIS COURTS,110.0
1307576400,SEAVER WAY,SDN,20,0114,Q,40404,WH,BBBBBBB,114,-,,,110.0
1478527080,S/O 99 EARHART LANE,SUBN,40,CCPD,BX,40404,BLUE,BBBBBBB,0,-,,,45.0
1449749471,LYNCH ST,SUBN,51,0090,K,58730,BLK,BBBBBBB,90,-,,,90.0
1484790893,5 AVE,,46,0072,K,8580,WHITE,BBBBBBB,72,-,,,72.0
1481981080,41ST AVE,SDN,40,0109,Q,39595,WH,BBBBBBB,109,-,0745A,,109.0
1480632181,ROC KAWAY,SUBN,14,0069,,40404,GRY,BBBBBBB,69,-,,,69.0
1479839152,MAIN ST,VAN,24,0976,Q,0,SIL,YYYYYYB,976,-,0936A,ROOSEVELT ISLAND,114.0
1480632004,E 85 ST,DELV,78,0069,,44430,WHITE,BBBBBBB,69,-,,,69.0
1479839413,MAIN ST,SDN,24,0976,NY,40404,RED,BBBBBBB,976,-,,,114.0
1482034645,E 124 ST,SDN,40,0025,NY,40404,,BBBBBBB,25,-,,,25.0
1479519996,S/ MARKET,SUBN,21,NSTE,NY,0,GY,YBBYBBB,0,-,,E MONROE,5.0
1480629856,E 95 ST,SDN,98,0069,K,13880,R,BBBBBBB,69,-,,,69.0
1457413565,C/O TENTON CT,SDN,67,0123,R,0,GY,BBBBBBB,123,-,,KINGSLAND ST,123.0
1480634141,E 92 ST,SUBN,46,0069,K,44430,BLACK,BBBBBBB,69,-,,,69.0
1427354856,61 ST,SUBN,40,0066,K,6980,BK,BBBBBBB,66,-,,,66.0
1480695993,E 14 ST,SUBN,14,0061,K,45730,GY,BBBBBBB,61,-,,,61.0
1484726364,opp adams street,SUBN,14,0004,K,0,BLK,BBBBBBB,4,-,,BROOKLYN BRIDGE PARK,84.0
1447452306,BOERUM PLACE,SUBN,17,0879,K,81330,WH,BBBBBBB,879,-,,,84.0
1484698381,S/S W 28TH STREET,SUBN,98,0001,NY,0,BLK,BBBBBBB,1,-,,W/O 9TH AVENUE,10.0
1481919313,50 AVE,SDN,40,0108,Q,38643,BK,BBBBBBB,108,-,,CENTER BLVD,108.0
1480636071,E 100 ST,SUBN,40,0069,K,14230,GRAY,BBBBBBB,69,-,,,69.0
1464318943,TUDOR CITY PLACE,SDN,40,0017,,16400,,BBBBBBB,17,-,1635P,,17.0
1478532075,DE KRUIF PL,,46,COOP,BX,24980,BLU,BBBBBBB,0,-,,,45.0
1462135020,INWOOD HILL PARK,SUBN,14,0001,NY,0,BLK,BBBBBBB,1,-,,O/O 666 W 207TH STR,34.0
1480967014,MADISON AVE,SUBN,14,0023,NY,19210,BLK,BBBBBBB,23,-,,,23.0
1481974646,VAN NOSTRAND CT,SUBN,98,0111,Q,35780,GY,BBBBBBB,111,-,,,111.0
1481844842,54 AVE,SDN,40,0110,Q,51890,BLK,BBBBBBB,110,-,,,110.0
1480634578,E 105 ST,SUBN,98,0069,K,41030,BLACK,BBBBBBB,69,-,0622A,,69.0
1480673950,73 STREET,SUBN,98,0068,K,6080,GRAY,BBBBBBB,68,-,,,68.0
1454195113,WASHINGTON STREET,SUBN,14,5061,NY,12670,GY,BBBBBBB,61,-,0520P,,1.0
1484697303,W 28TH ST,SDN,67,0001,NY,179,BLK,BBBBBBB,1,-,,CHELSEA PK,10.0
1481828356,18 AVE,SUBN,98,0109,Q,35690,RD,BBBBBBB,109,-,,,109.0
1480669635,86TH ST,SDN,46,0068,K,5430,,BBBBBBB,68,-,,,68.0
1481168009,WALTON AVE,FOUR,71,BXTE,BX,26250,BLU,BBBBBBB,0,-,,,40.0
1453970617,HAMILTON ST,SDN,40,0120,R,52550,GOLD,BBBBBBB,120,-,,,120.0
1447304111,WILLMOHR ST,SUBN,51,0139,K,73480,GRY,BBBBBBB,139,-,,,67.0
1372162598,80 ST,SUBN,46,0106,,23390,BLUE,BBBBBBB,106,-,,,106.0
1484768231,AMITY ST,SUBN,40,0076,,48830,GRAY,BBBBBBB,76,-,1220P,,76.0
1457216905,BRADDOCK AVE,SDN,98,0105,Q,59280,BK,BBBBBBB,105,-,0958A,,105.0
1449688949,GREENE AVE,SUBN,20,0088,,45030,BLK,BBBBBBB,88,-,,,88.0
1481169543,E 186 ST,FOUR,70,BXTE,BX,73120,BLK,BBBBBBB,0,-,,,48.0
1484793766,16TH STREET,SUBN,98,0072,K,6180,GY,BBBBBBB,72,-,,,72.0
1403467183,SHORE PKWY,SUBN,71,0801,K,10920,GREY,BBBBBBB,801,-,,,69.0
1480956909,8TH AVE,,46,0032,,36390,WH,BBBBBBB,32,-,,,32.0
1480629248,E 80 ST,SDN,40,0069,K,14180,BLUE,BBBBBBB,69,-,,,69.0
1437480482,TAYLOR AVE,SUBN,14,0808,BX,45120,BLK,BBBBBBB,808,-,,,43.0
1427353463,-16TH AVE,SUBN,46,0066,K,9330,GRAY,BBBBBBB,66,-,,,66.0
1482051850,EAST 111,SUBN,98,0023,,40404,WHITE,BBBBBBB,23,-,,,23.0
1484741810,MT EDEN PKWY,FOUR,20,0002,BX,12335,WHITE,BBBBBBB,2,-,,MT EDEN MALLS,44.0
1457626445,FLUSHING AVE,SDN,16,0083,K,23930,BLUE,BBBBBBB,83,-,,,83.0
1478531186,DEBS PL,,14,CCPD,BX,23800,RED,BBBBBBB,0,-,,CUL DE SAC,45.0
1452619451,E 161 ST,SUBN,20,0864,,61490,WHITE,YYYYYYY,864,-,,RIVER AVE,44.0
1481170004,BARNES AVE,SUBN,71,BXTE,BX,47520,SILV,BBBBBBB,0,-,,,49.0
1460126002,JAMAICA AVE,SUBN,98,0103,NY,24740,BLK,BBBBBBB,103,-,,,103.0
1427354753,60TH ST,SUBN,20,0066,K,5880,SILVE,BBBBBBB,66,-,,,66.0
1452327609,BEACH 104 STREET,SUBN,14,0100,Q,60820,BLK,BBBBBBB,100,-,,,100.0
1452056675,RIVERBANK STATE PARK,SDN,99,0982,NY,0,WH,BBBBBBB,982,-,,SERVICE ROAD,30.0
1446793254,METROPOLITAN OVAL,SDN,40,0000,BX,40404,BLK,BBBBBBB,0,-,,,43.0
1484767226,HICKS ST,SDN,40,0076,K,32130,BLU,BBBBBBB,76,-,,,76.0
1478532130,EARHART LN,SDN,19,COOP,BX,40404,GRY,BBBBBBB,0,-,,,45.0
1455310037,DOLPHIN CIRCLE,SDN,20,0005,R,46100,BLK,BBBBBBB,5,-,,SAND LANE,122.0
1480600945,RHINELANDER,SDN,40,0049,,40404,SILVE,BBBBBBB,49,-,0935A,,49.0
1457167025,88 AVENUE,SDN,40,0103,Q,24590,WH,BBBBBBB,103,-,,,103.0
1481170016,WALLACE AVE,FOUR,21,BXTE,BX,47520,RD,YBBYBBB,0,-,,,49.0
1427354765,41 ST,SUBN,98,0066,K,42630,GRAY,BBBBBBB,66,-,,,66.0
1459654481,KESSEL ST,SUBN,98,0112,,15140,WHITE,BBBBBBB,112,-,,,112.0
1457168420,155 ST,SDN,14,0103,Q,20140,WHITE,YYYYYBB,103,-,,,103.0
1481844970,MARTENSE AVE,SUBN,98,0110,,65890,GRAY,BBBBBBB,110,-,,,110.0
1478687137,E 42ND ST,SDN,40,0968,NY,27790,GRAY,BBBBBBB,968,-,,,14.0
1440211073,GRANITE ST,,40,0085,,23230,,BBBBBBB,85,-,0912A,,83.0
1440212168,JEFFERSON ST,SDN,46,0083,K,93530,WHITE,BBBBBBB,83,-,,,83.0
1484751050,CROTONA AVE,,10,0002,BX,22425,WT,BBBBBBB,2,-,,CROTONA PK,42.0
1478520814,DEBS PL,SDN,14,CCPD,BX,24980,GY,BBBBBBB,0,-,,,45.0
1448962699,FDR,SDN,46,0013,,13113,GY,BBBBBBB,13,-,,,13.0
1480321035,ARTHUR AVE,SDN,17,0002,BX,0,GRAY,YYYYYBB,2,-,,WALTER GLADWIN PARK,48.0
1462548945,JAMAICA,,37,0078,K,76530,,BBBBBBB,78,-,,SHEPHERD,78.0
1482047755,E 102ND ST,SUBN,71,0023,NY,10210,RED,BBBBBBB,23,-,,,23.0
1484790900,54 ST,SDN,98,0072,K,5280,BLACK,BBBBBBB,72,-,,,72.0
1481946419,129 ST,SDN,40,0109,Q,5670,WHI,BBBBBBB,109,-,,,109.0
1480633124,E 89 ST,SUBN,46,0069,K,44430,BLUE,BBBBBBB,69,-,,,69.0
1460588710,FORT WADSWORTH,SUBN,68,0835,R,0,WHT,BBBBBBB,835,-,,USS NORTH CAROLINA R,122.0
1465586088,PINE ST,SDN,46,0075,K,39830,WH,BBBBBBB,75,-,,,75.0
1480583250,RYER AVENUE,SDN,40,0046,BX,29120,BLK,BBBBBBB,46,-,,,46.0
1449688937,GA,SUBN,98,0088,K,41330,BK,BBBBBBB,88,-,,,88.0
1481975626,DOUGLASTON PKWY,SDN,37,0111,Q,39017,RED,BBBBBBB,111,-,,,111.0
1448560627,W 55,SDN,20,0018,NY,10810,B,YYYYYBB,18,-,,,18.0
1482032582,70 AVE,SUBN,98,0111,Q,42785,,BBBBBBB,111,-,,,111.0
1448878135,7 AVE,SUBN,19,0032,NY,36430,GY,BBBBBBB,32,-,,,32.0
1481841609,52 AVE,SUBN,40,0110,Q,18240,BLK,BBBBBBB,110,-,,,110.0
1480633197,EAST 89TH STREET,SDN,98,0069,K,14230,TAN,BBBBBBB,69,-,,,69.0
1430067937,W 164 ST,SUBN,14,0163,BX,40404,BLUE,BBBBBBB,163,-,,,44.0
1465484334,E 172 ST,SDN,98,0042,BX,63520,WH,BBBBBBB,42,-,,,42.0
1456730988,!WADSWORTH,,46,0034,,40404,,BBBBBBB,34,-,,,34.0
1453978124,ERIKA LOOP,SDN,40,0123,R,56285,BL,BBBBBBB,123,-,,,123.0
1484720829,WOLFES POND PARK,SDN,27,0005,R,22695,BLACK,BBBBBBB,5,-,,CHESTER AVE,123.0
1440212510,STANHOPE STREET,SDN,40,0083,K,80630,BLUE,BBBBBBB,83,-,,,83.0
1463885430,EAST 19 ST,SUBN,14,0070,K,14330,GY,YYYYYBB,70,-,,,70.0
1480635560,PAERDEGAT 8 ST,SUBN,98,0069,K,68942,BLK,BBBBBBB,69,-,,,69.0
1441872073,NORTHERN BLVD,SUBN,19,0000,Q,23290,WT,BBBBBBB,0,-,,,109.0
1484731130,HIGHLAND PK,SDN,20,0005,Q,0,GREY,BBBBBBB,5,-,,RIDGEWOOD,75.0
1480321102,UNIVERSITY WOODS PAR,VAN,51,0002,BX,63820,,BBBBBBB,2,-,,,46.0
1462694123,S/E 11 ST,SUBN,62,0QMT,Q,0,GY,BBBBBBB,0,-,,CORNER 50 AVENUE,108.0
1462125177,WOLFES POND,SDN,68,0005,,70069,SILVE,BBBBBBB,5,-,,CORNELIA ST,123.0
