sales_document_number,sd_document_category,sales_document_type_id,order_reason_id,delivery_block_id,sales_organization_id,distribution_channel_id,division_id,document_date,requested_delivery_date,sold_to_customer_id,sales_document_id,created_date,created_by,sales_document_item,plant_id,material_id,material_group_id,sales_document_item_category_id,product_hierarchy_id,base_uom_id,order_quantity,sales_uom_id,net_value,net_price,sd_document_currency_id,gross_weight,weight_uom_id,returns_item,reason_rejection_id,_fivetran_deleted,_fivetran_synced,delivery_status,overall_status,item_delivery_status
VB0068,C3,oR06,aGr01,LIfSk024,vkO02,VTw05,SP95,2025-01-07,2025-01-28,CusT0015,VB0068,2025-01-14,ERNaM927,10,PL015,mAT0317,MATkl01,PSTY13,pROdH013,124,-1005.0,VRkmE16,-4997.0,193,91,12,127,H6,-8,-4,2025-05-20 03:55:09,l54,g62,val5
VB0046,C825,OR37,Agr022,LIfSk029,vKO218,vtW016,sp021,2025-01-29,2025-01-20,CusT0027,VB0046,2025-01-11,erNAM02,7,pl01,MaT9017,MaTKL11,psTY16,PrODH09,125,-995.0,vRkME14,-5006.0,201,105,23,115,H6,1,7,2024-06-30 02:59:32,l70,g57,vAl94
VB0051,C9,OR012,aGr018,LIFSk06,VKO01267,vTW12,sP011,2025-01-29,2025-01-22,CUSt0077,VB0051,2025-01-26,eRNAm021,5,pL047,Mat0018,mATkL011,PSTy6,PRoDH071,113,-1002.0,vRKME9,-5003.0,203,95,20,122,H6,-5,-10,2025-05-15 08:26:49,l06,G86,val36
VB0048,C0,oR322,AgR005,LIFSK02987,VKo003,VtW024,Sp046,2025-01-24,2025-02-12,cuST0013,VB0048,2025-01-19,ERNAm060,8,Pl092,MaT8014,MATKL015,PsTY78,PRodH019,125,-990.0,vRkME14,-5008.0,210,91,19,120,H873,5,-8,2025-05-03 00:09:32,l7,g3,val1469
VB0065,C5,OR859,AGr057,LiFSk015,VkO618,VTW011,sP000,2025-01-11,2025-01-15,cUST0018,VB0065,2025-01-05,ERNAm113,6,PL01728,MAT301,MATKL012,PSTy98,pRODH41,128,-997.0,VrKmE1,-5001.0,194,92,13,126,H6,2,-8,2025-05-07 21:45:15,L55,G11,Val53
VB0016,C7,oR069,AgR040,lIFSK05,vKo019,vTW033,Sp099,2025-01-21,2025-01-19,CUST0024,VB0016,2025-01-28,ERNAm317,4,pl01,MAT7019,MATkL023,pSTy10,ProDH016,124,-1009.0,VrKME82,-5010.0,191,98,27,114,H640,-6,-1,2025-01-02 20:43:51,l27,g25,val16
VB0052,C101,oR127,aGR08,lIfSK01,VKo05,VtW210,sP038,2025-01-06,2025-01-29,CuSt001,VB0052,2025-01-27,ErNaM015,2,PL012,MAT2009,MATKL012,PStY55,prODH018,123,-1009.0,VRkmE17,-5003.0,190,96,28,121,H253,-7,-10,2024-07-03 09:42:17,L2226,g38,VaL1
VB0007,C777,or01,AGr522,liFSK01,VKO014,VTW013,Sp51,2025-01-04,2025-01-30,cUsT001,VB0007,2025-01-25,ErNaM012,5,Pl044,MAT901,MATKL0152,pSTy1,PRODH418,126,-990.0,VRKmE85,-4994.0,205,96,15,114,H914,-7,-6,2024-11-30 22:08:13,l69,g36,Val75
VB0062,C694,oR086,aGR043,LIFSK510,vkO015,VTW87,sP524,2025-01-04,2025-01-27,CUSt702,VB0062,2025-01-09,ErNaM016,3,PL027,mAT0614,mATKL065,pSTY38,PRODh11,116,-1009.0,VrKME9,-4999.0,208,109,24,116,H759,-1,-1,2024-12-25 12:00:53,l9,G27,vAl50
VB0031,C47,oR09,AgR22,LiFSK07,vKo028,vTW00,SP214,2025-01-11,2025-02-04,CUSt7016,VB0031,2025-01-27,eRNAm013,4,pL21,maT0015,mAtKL019,pSTy1,ProDH012,130,-992.0,VrkME1,-4994.0,197,103,26,123,H981,4,-5,2024-08-05 04:06:02,L9,g86,Val58
VB0083,C186,OR016,Agr022,lIFsK02,VKO020,vTw02,sP625,2025-01-12,2025-01-31,cUST000,VB0083,2025-01-24,ErNaM017,8,pL031,Mat0012,MATkL09,PSTY1485,pRODH057,131,-1006.0,vRKME30,-4998.0,209,110,24,132,H363,2,-10,2024-08-05 01:57:24,L4,G34,vAl4
VB0058,C0,OR020,AgR088,LIFSk422,VKo319,VTW01688,sP91,2025-01-21,2025-02-06,cUsT001,VB0058,2025-01-24,eRNAM036,10,pl01,mAT0053,mATKl01,PsTY27,PRODH01746,133,-997.0,VRKME19,-5006.0,203,108,20,122,H2,0,-6,2025-05-31 00:20:42,l0,G29,VAl15
VB0006,C3,Or017,AGR123,lIFSK046,vkO02,VTw117,SP234,2025-01-15,2025-01-19,CUST471,VB0006,2025-01-08,ErNAM00,3,pL716,MaT0218,MAtKL008,PsTy17,PRodH011,125,-999.0,VRkMe12,-4999.0,197,103,10,113,H6,0,-2,2024-10-21 13:08:38,l66,g0,vAL34
VB0069,C5,or017,AGR159,lIFSK03,vkO018,vTW425,sP086,2025-01-12,2025-01-22,CUSt0076,VB0069,2025-01-11,eRNAm020,7,Pl04,MAT0011,MaTKl018,PSTY18,pRoDH017,119,-1009.0,vRKMe17,-4992.0,190,108,26,123,H670,-1,-5,2024-06-03 22:14:10,l50,g75,vAl21
VB0081,C2,Or625,AgR522,lIFSK723,VKo52,VTW012,SP063,2025-01-11,2025-02-01,CusT0015,VB0081,2025-01-12,eRnAM022,6,Pl714,MaT021,MaTKl019,PStY74,prODH017,127,-1010.0,VRkME08,-5010.0,203,92,15,117,H299,2,-7,2024-06-09 21:30:31,l7,G64,VaL20
VB0035,C6,OR924,aGr020,LIFSK016,VKo514,VtW099,SP021,2025-01-11,2025-01-23,CUsT0319,VB0035,2025-01-25,ERNAm119,20,pL31,MAt0318,MatKL014,PSTY1667,prODH01,122,-1008.0,VRKME19,-4995.0,193,91,27,119,H8,0,-3,2024-07-05 20:42:57,l94,G1227,vAL12
VB0039,C141,oR41,aGR08,LIFSk02,vKO618,vTw025,SP093,2025-02-02,2025-02-09,CUST002376,VB0039,2025-01-06,eRNaM023,19,PL374,MaT5012,MAtKL04,PStY98,pRODH212,115,-1002.0,VRkME8,-4995.0,210,98,18,126,H0,3,2,2024-08-18 16:21:29,l79,g30,vAL14
VB0040,C650,OR294,aGR629,lIFSK22,VkO059,VTW513,sP058,2025-01-18,2025-01-25,CUSt000,VB0040,2025-01-09,eRNaM018,4,pL060,MAt0115,MaTKL023,PSTy07,pRoDH01,133,-1007.0,VrKME2,-5008.0,195,93,14,114,H9,5,10,2024-07-11 21:38:20,l85,g9,val31
VB0071,C3,oR910,agR02,LIFsk025,VKO410,VTW025,SP013,2025-01-17,2025-02-14,CuST005,VB0071,2025-01-13,eRNAm025,15,Pl91,MAT0929,MATKl094,PsTY59,prODH017,114,-994.0,vRKmE13,-4997.0,202,94,16,130,H4,-7,-4,2025-05-20 06:44:49,l2,G28,vAL35
VB0014,C2,OR02329,AGR021,LIFSk62,vKo026,Vtw011,Sp059,2025-02-02,2025-02-13,CuST9020,VB0014,2025-01-17,ErnAM019,13,Pl812,MaT041,MATKL013,PsTY66,PRODh315,119,-996.0,VrKME4,-4992.0,209,97,14,124,H9,11,-2,2024-07-30 05:57:51,l93,G129,vAL1
VB0044,C8,Or711,aGR318,lIfSK012,vKO920,vTW723,sP035,2025-01-24,2025-01-27,CUst002,VB0044,2025-01-29,ERNAm048,13,PL112,maT0013,mATKL51,pSTY02,pRODH719,116,-1007.0,VRKME1112,-4995.0,193,99,25,120,H57,6,1,2024-10-20 02:01:08,l93,g04,VaL38
VB0066,C372,OR123,AgR055,lIfSK021,VkO05,vTW052,Sp002,2025-01-05,2025-01-26,cUST8016,VB0066,2025-01-21,ErNaM010,18,PL376,mAT0714,MATKl41,pSTy13,PRODH018,122,-992.0,VRkMe11,-4999.0,208,100,19,119,H0,9,8,2024-07-10 23:58:24,L1847,G24,vAL21
VB0072,C2,Or910,aGR610,lIFSK62,vkO010,vTW120,sP00,2025-01-07,2025-02-08,cUST0008,VB0072,2025-01-06,ERNam01,3,pL058,MaT0511,mAtKL011,pSTY52,PrODH059,125,-998.0,vRKmE10,-4995.0,193,110,27,116,H5,-8,-4,2025-04-05 16:37:52,L1245,g32,Val01
VB0004,C5,Or426,AGR013,LIfSK619,vKO083,VTw923,sP712,2025-01-13,2025-01-27,CUST8119,VB0004,2025-01-20,ERnaM02,10,PL015,MAT0871,mATkL014,PSty19,prODH014,125,-1003.0,vRkME1,-4990.0,199,105,16,120,H4,1,-3,2024-08-13 06:12:37,l8,G24,vAl45
VB0084,C7,OR028,AGr32,LIFSK54,vkO02,vTW82,Sp06,2025-01-27,2025-01-18,CUsT701,VB0084,2025-01-13,ERnAm028,,pL044,mAT0090,MATKL035,PSTy2,pROdH010,115,-1009.0,VRKme1,-4993.0,202,93,29,121,H469,-9,3,2024-12-01 12:18:42,l07,g3,val2785
VB0010,C0,oR827,AGr09,LIFSk626,VKO019,VTw082,Sp03,2025-01-13,2025-02-05,CUST0029,VB0010,2025-01-06,ERNAM024,18,pL093,MAt401,mATkL013,PStY24,ProDH012,120,-1009.0,VrKmE13,-5008.0,205,108,20,132,H4,-7,-3,2024-07-31 10:35:26,L14,g36,VaL18
VB0027,C2,oR061,AgR02,LIFsK711,VKO622,Vtw022,Sp52,2025-01-21,2025-02-10,CUsT602,VB0027,2025-01-17,ERNAm11,16,Pl036,mAt0012,mATKl012,PSty11,PROdh01,113,-998.0,VRKME17,-4992.0,193,96,10,115,H725,-6,-9,2024-11-03 15:20:46,l30,G5,Val97
VB0060,C949,Or099,AgR425,LIFSk046,VKo05,VTW211,SP025,2025-01-12,2025-02-13,CuST0023,VB0060,2025-01-19,eRNAM085,11,pl015,mAT051,MaTKl015,PSTy31,PRODh061,132,-999.0,VRkmE1,-4998.0,192,103,16,125,H7,-8,9,2024-10-17 13:32:03,L19,G1912,VAl24
VB0061,C1,oR091,Agr02,LiFsK015,VKO619,vtW025,Sp04,2025-01-05,2025-01-28,cUST000,VB0061,2025-01-05,eRNAm013,7,pL047,MAT051,MatKL011,PsTy1,PRODH011,128,-1010.0,vRKME2,-5010.0,195,94,14,130,H9,7,5,2025-01-12 19:55:45,l04,G51,vaL3
VB0077,C0,OR096,Agr014,LIFsK922,vKO044,VtW11,sP036,2025-01-15,2025-02-03,CUsT0712,VB0077,2025-01-24,ERNaM009,3,pl01,MAT084,MAtKL319,PSTY18,PROdH514,119,-997.0,VRkMe1,-5006.0,194,90,11,113,H6,4,-4,2024-06-19 09:58:08,L20,G1202,Val7
VB0029,C3,Or31,aGR421,lIFSK034,VkO039,VTW792,SP011,2025-02-01,2025-02-03,CusT001,VB0029,2025-01-12,ERNam020,1,Pl916,MAT6813,mATKL41,PsTY85,PrODH067,115,-990.0,vRKMe1,-4990.0,196,106,15,127,H3,4,-7,2024-08-22 06:54:46,l3,G28,val2997
VB0001,C8,OR012,AGr047,liFSK027,vkO02,vTW025,sP038,2025-02-01,2025-01-18,CUSt501,VB0001,2025-01-30,ERNam018,8,pl015,MAT0888,mATkL019,pSTy14,PRODH014,128,-995.0,vRKmE13,-5004.0,203,102,16,115,H2,6,-3,2024-07-18 06:43:18,l9,G11,vAL17
VB0070,C7,or015,AGR88,LIFSk03,VkO411,vtW01,sp021,2025-01-04,2025-02-13,CUST105,VB0070,2025-01-16,ERNam018,11,PL015,MAt0036,mAtKL01,PsTY2,PRoDH61,133,-997.0,VrKMe19,-4997.0,191,100,25,131,H926,9,-9,2024-06-15 04:40:20,L21,g36,vAL23
VB0042,C404,Or058,AgR08,LIfsK029,VKo125,vTW910,sp02,2025-01-22,2025-02-10,cUsT002,VB0042,2025-01-14,eRNaM029,20,Pl61,mAT4012,mATKL719,PSty1,PROdH117,114,-1007.0,vRKmE13,-4998.0,194,105,28,122,H547,-7,-6,2025-04-17 05:20:40,L2491,g82,val39
VB0030,C0,Or072,AgR51,liFSK016,vKO09,Vtw029,sP053,2025-01-28,2025-02-09,cUsT0025,VB0030,2025-01-18,ERnaM01,20,PL664,maT0010,MATkL715,pSTY56,prODH01,132,-996.0,VRKMe77,-5006.0,192,109,24,124,H5,-8,10,2024-12-23 15:45:29,l77,g9,vAl96
VB0050,C1,OR913,AGR823,LiFSK127,vkO02,VTW086,Sp412,2025-01-19,2025-02-05,CUST202,VB0050,2025-01-07,ERNaM037,8,pL028,MAT003,MAtKL61,PstY16,pRODH318,123,-990.0,VrkME13,-5001.0,191,93,18,132,H187,3,0,2025-01-26 07:44:10,L1956,g96,VaL23
VB0013,C0,oR223,AGr094,LIFsK034,vKO001,vTW81,SP605,2025-01-15,2025-01-18,cuST0023,VB0013,2025-01-09,ERNAm528,11,pL21,MAT0313,mATkL019,pSTY54,pRoDH01,117,-996.0,VRkME41,-4993.0,195,99,15,121,H460,6,-9,2024-09-01 10:44:48,L2767,G9,Val33
VB0073,C3,OR018,AGr05,LIFSK02486,VKO088,VTw811,SP02159,2025-01-07,2025-02-14,cuST0025,VB0073,2025-01-22,eRNAM04,8,pL71,MAT0738,MaTKl011,PsTy1,prODH018,127,-999.0,VRKMe99,-4992.0,202,106,21,120,H6,0,-1,2024-09-08 02:01:45,l66,G2467,vaL1
VB0054,C0,or011,AGR381,LIfSK062,VKo822,VtW073,Sp06,2025-01-21,2025-01-20,CUST461,VB0054,2025-01-31,ERnAM052,7,PL014,MAt091,MAtkL010,PsTY46,PrODh01,128,-990.0,VRKMe9,-4999.0,207,108,29,126,H75,-8,-8,2024-08-20 20:42:01,l32,g5,VaL1
VB0064,C428,OR022,Agr015,LIFsk02,VKo925,Vtw02,sp025,2025-01-18,2025-01-28,cUST0223,VB0064,2025-01-22,eRNaM02,18,PL01844,maT0011,mATKL048,PSty14,PRoDh015,126,-1003.0,VRkME89,-4995.0,198,109,17,116,H0,-6,4,2024-12-02 16:29:26,l3,g12,VaL16
VB0036,C909,Or522,AGR090,LIfSK71,VKO026,vTW51,Sp22,2025-02-02,2025-01-25,cUST0224,VB0036,2025-01-15,ERNAM012,6,pl01,Mat0015,mATKL912,PSty11,ProDH012,122,-999.0,VrKME8,-5004.0,192,105,10,124,H3,9,8,2024-09-30 21:18:43,l83,g47,vAL3
VB0011,C457,oR412,Agr01,LIFsK32,VKO054,VtW628,sp027,2025-01-27,2025-01-17,CuST0066,VB0011,2025-01-13,ERNAM01736,2,pL714,mAt0014,MATkL418,pSTY31,PrODH05,114,-999.0,VRKmE67,-5005.0,194,91,24,121,H374,10,3,2024-06-17 03:18:10,L46,g5,Val8
VB0053,C0,Or07,AGR22,LIFsk02,vKo012,Vtw019,sp027,2025-01-11,2025-01-18,CUST0033,VB0053,2025-01-03,ERNAM91,3,PL115,MAT8916,MATKl810,PSTy73,pRODh018,126,-997.0,VRKME1748,-4996.0,206,90,16,118,H872,5,9,2024-12-17 23:06:32,l6,g6,VAl1
VB0045,C7,oR08,AgR128,LIFSK022,vKO054,VTw122,Sp72,2025-01-21,2025-01-20,CUSt051,VB0045,2025-01-12,ErNaM01,,pL039,MAT9062,MaTkL014,PstY16,PRoDh01,114,-995.0,VrKmE1,-5008.0,208,110,16,119,H692,3,0,2025-05-09 05:06:43,L21,g78,val33
VB0078,C2,OR01773,AGR022,LIFSk076,Vko02,VTW87,sP323,2025-01-24,2025-01-16,CUST0016,VB0078,2025-01-16,eRNAM510,10,pL090,mAT0086,mATKL315,psTY18,PrODH915,123,-999.0,VRkME9,-4997.0,197,99,22,126,H7,-5,-5,2024-07-05 18:42:16,L6,G97,val3688
VB0074,C6,or01,aGR003,LIFSk027,VkO922,VtW005,sp022,2025-01-10,2025-02-02,CUSt0915,VB0074,2025-01-23,eRnAM018,5,Pl085,MAT5213,mATKL063,PsTY3,prODH013,128,-1002.0,VRKME11,-5000.0,192,94,18,132,H5,4,-9,2024-07-11 06:36:20,L32,G17,VAl24
VB0038,C0,or016,AGR78,lIFSK511,Vko018,VTW511,Sp219,2025-01-31,2025-01-16,cUsT002,VB0038,2025-01-12,ERnAM113,14,Pl41,mAt001,mATkL012,pSTY26,PrOdH017,131,-1004.0,VrKME26,-4990.0,205,97,23,125,H8,3,3,2025-02-24 14:58:10,L26,G07,vaL06
VB0033,C7,or023,Agr012,LIFSk088,Vko01,vTW053,Sp08,2025-01-25,2025-01-17,CusT0024,VB0033,2025-01-14,eRnAM028,10,pL913,MaT1012,MaTkL01,PsTY47,PROdh01,115,-996.0,VRKme10,-4991.0,191,104,17,129,H9,-1,7,2025-02-18 08:24:45,L4,g21,VAl3
VB0012,C8,Or819,AGR779,LIFSK018,vKO71,VTW014,sP72,2025-01-21,2025-01-31,cuST002,VB0012,2025-01-30,eRNAM084,19,pL41,MaT0079,mAtKL013,PstY12,pRODH067,116,-1000.0,VRKme13,-5003.0,208,96,10,115,H9,0,2,2024-07-30 07:19:54,l9,G85,val24
VB0055,C925,oR081,AgR083,LIFSk126,vKO087,VTW010,SP780,2025-01-14,2025-02-01,CUsT2023,VB0055,2025-01-21,ERNAm329,7,PL012,mAT7014,MAtkL01,pSTY2,PrOdH016,119,-1004.0,vRkME14,-5010.0,194,108,21,124,H9,-3,7,2024-08-12 12:54:42,L5,g89,vAL3
VB0041,C0,oR811,aGR040,LIFSk622,VKo312,VtW519,SP026,2025-01-17,2025-01-29,CUST091,VB0041,2025-01-07,eRNaM022,10,PL01973,MAT651,MATKL01699,pStY1,ProDH014,116,-1001.0,VRKME16,-5003.0,198,107,22,127,H778,-1,0,2024-06-23 22:32:17,L3,g56,VAl16
VB0057,C1,oR098,AgR002,LIfSK00,VkO032,VTW593,sP045,2025-02-01,2025-01-19,cUST701,VB0057,2025-01-18,ErnAM01,10,Pl710,mAT4019,MATkL047,PsTy17,pRODH517,133,-1007.0,VRkmE10,-5008.0,195,109,25,127,H7,-4,-7,2024-10-10 10:46:35,l6,g1,val17
VB0002,C2,oR01,AGr032,LIFSK874,vkO023,VtW049,SP028,2025-02-02,2025-01-24,CUsT0004,VB0002,2025-01-25,eRNAM026,12,PL0188,MAT2311,mAtKL01,pSTY53,PROdH08,115,-1005.0,VrkME15,-5005.0,192,100,12,126,H2,0,1,2025-05-05 11:15:17,l2,g72,VAl2
VB0024,C7,oR09,AGR985,LiFSK097,VKO62,vTW115,sP02,2025-02-02,2025-02-03,CUsT004,VB0024,2025-01-31,ErNAM720,13,PL07,MAT0010,MaTKL09,psTY16,PROdH219,127,-992.0,vRKmE18,-4995.0,193,97,13,132,H1,-4,-4,2024-10-25 12:21:37,L45,g56,vAL38
VB0020,C1,oR918,AGr029,LIfsK017,VKO012,Vtw024,Sp055,2025-01-04,2025-02-05,CuSt001,VB0020,2025-01-25,ERnAM056,12,PL019,mAt0016,MATkl01,pStY12,PRoDh01,116,-994.0,VRKMe4,-4993.0,191,108,23,133,H945,4,10,2024-10-05 03:17:05,l89,g60,vaL1
VB0023,C242,oR52,agR020,LIfsK020,VkO027,VTW010,SP018,2025-01-24,2025-01-24,CUST7028,VB0023,2025-01-13,ERNAm052,2,pL085,MAT001876,mATKl017,pStY11,PRODH119,121,-995.0,vRKmE1,-5004.0,198,110,12,129,H9,-6,2,2025-04-25 19:07:43,l88,G21,vAL32
VB0063,C502,oR08,AGR400,LIFSk03,VKO246,vTW049,sP01,2025-02-03,2025-02-12,CUSt0059,VB0063,2025-01-16,ERNam016,1,pL097,mAT0078,maTKL01,PSTy53,PRoDH02,115,-990.0,vRkME1,-5001.0,191,101,22,117,H9,1,2,2025-03-24 11:56:42,L8,g32,VaL3
VB0008,C9,OR34,AGr051,lIFSK050,vKO063,Vtw02,SP733,2025-01-29,2025-02-09,CusT0021,VB0008,2025-01-27,eRNAM124,17,Pl008,Mat0013,mATKl011,PsTY45,PROdH006,119,-1008.0,VrkME19,-4993.0,201,91,16,128,H0,4,-5,2024-12-25 07:07:50,L1453,G0,VAl3
