mandt,vbeln,rfstk,rfgsk,bestk,lfstk,lfgsk,wbstk,fkstk,fksak,buchk,abstk,gbstk,kostk,lvstk,uvals,uvvls,uvfas,uvall,uvvlk,uvfak,uvprs,vbtyp,vbobj,aedat,fkivk,relik,uvk01,uvk02,uvk03,uvk04,uvk05,uvs01,uvs02,uvs03,uvs04,uvs05,pkstk,cmpsa,cmpsb,cmpsc,cmpsd,cmpse,cmpsf,cmpsg,cmpsh,cmpsi,cmpsj,cmpsk,cmpsl,cmps0,cmps1,cmps2,cmgst,trsta,koquk,costa,saprl,uvpas,uvpis,uvwas,uvpak,uvpik,uvwak,uvgek,cmpsm,dcstk,vestk,vlstk,rrsta,block,fsstk,lsstk,spstg,pdstk,fmstk,manek,spe_tmpid,hdall,hdals,cmps_cm,cmps_te,vbtyp_ext,fsh_ar_stat_hdr,hvr_is_deleted,hvr_change_time
120,VB0019,R239,G2639,b90,L24,g4,w19,F2702,S16,BK15,A56,g8,K09,L65,vALs23,vv22,Vfa11,VaLl25,vVLk1,VFAk50,VprS16,v3,OBJ20,2025-01-05,FiK91,REl3,K929,K028,K03228,K94,k164,S01431,s42,S634,S889,S992,pK80,A5,B8,C4,D544,Q6,R7,S5,T965,U8,J0,W2,X6,cm3,Cm74,CM52,GST15,tR5,KQ41,cO7,Rel7,PAs10,pIs12,WAs49,paK27,pIK05,wAK87,GEK20,CMM2947,dc2,VE13,VL54,RR37,bLoCK22,FS26,lS71,sp1,pD94,fm26,MAn61,tMPID75,HDALL0,HDAls1,CmCm29,CMtE73,vX0,StaT14,10,2025-06-01 12:01:15
105,VB0037,R136,g78,B6,l52,g86,W16,F10,s67,bK5,A15,G1418,K55,L30,vaLS24,vV02,vFa2,vAlL26,VvLk2,vfAK2,vpRS19,v32,OBj11,2025-01-03,FiK84,rEL5,K71,k576,K92,K042,K730,S079,S088,s534,s02,S17,pk15,A1,B8,C4,D5,Q35,F5,G690,T2,U8,V226,K3,L6,Cm24,Cm2,CM23,GST24,TR27,Kq4,CO16,ReL8,pAs1,piS11,wAs20,paK14,PIK15,waK19,GeK98,CMm90,dc1,VE1428,vL62,rR78,BLOCk56,fs25,ls19,SP25,PD16,FM2351,MAN13,TmPID97,HDALL14,hDAlS1,cMCM35,CMTE96,vX6,StAT37,-4,2025-06-01 12:00:32
201,VB0085,r03,G25,b54,L39,g46,w16,f81,s7,bk2,A67,G45,K97,L245,VALS1728,VV2655,VFA55,VaLL86,VVlK00,vFAK54,vPRs1,v5,OBJ18,2025-01-10,FIK74,Rel2,k030,k429,k587,K34,K066,s078,S67,S52,s196,s072,pK01,M183,B329,C0,P0,Q1,F7,G731,H6,U406,J87,W2,L2,Cm92,CM4774,cM93,GST42,tR38,KQ83,co10,reL67,PaS5,PIS22,WAS21,paK1,piK2,WAk51,gEK35,CmM94,Dc66,VE90,Vl03,RR13,BLocK18,fs28,LS17,sP49,Pd94,FM83,mAn21,TmPID0,HDAlL32,HdaLS22,CMcm21,CmTe20,vX01,STAT2881,4,2025-06-01 12:01:45
199,VB0022,R2473,G10,b4,L20,G28,w33,f1,s5,BK22,a4,g73,K27,l81,VaLS06,VV25,vFa23,VAlL09,VvLk17,VfaK2,VpRs22,V21,ObJ6,2025-01-01,fIk12,ReL53,k08,k07,K08173,K01,k204,S93,S146,S81,s447,S503,PK16,M956,B0,O1,D2,Q227,R3,G3,T0,U0,V558,W651,X5,CM3388,cM80,cm2,gST3,TR18,KQ2770,co24,REl63,paS19,PIS23,wAS10,PaK74,PIk50,waK17,geK2,cMm15,DC9,VE37,vl2,Rr93,BlOCk27,fs1,LS1192,sp2,PD26,fM84,MAN22,TMPiD5,HDALL26,HdALS62,CmCM41,CmTE72,vx16,STaT45,7,2025-06-01 12:01:26
126,VB0015,r9,g0,B97,L28,G2173,w57,f34,s3,BK70,A66,G28,K10,L2578,VAls14,VV187,VFa51,vaLL22,vVLk21,vFaK1,VPrs26,v1,Obj11,2025-01-27,fIk12,reL20,K299,k08,K715,k043,k04,S959,s098,s437,S077,S653,PK1179,M9,B8,O397,D5,E701,R427,G2,H499,U706,J9,W0,X7,Cm61,cm46,CM23,GsT4,TR52,kQ84,cO4,reL65,paS26,PIS71,waS18,PAK8,piK1,waK16,Gek15,cmM2,dc14,vE87,vL6,rR07,BlOcK1,Fs93,ls18,sp29,pD42,Fm56,maN2,TMPID11,HdALl20,hdALS1,CMCm05,cMTe14,vx19,sTAt2,-2,2025-06-01 12:01:09
205,VB0067,R2881,g45,b48,l35,g64,W98,F99,S14,BK12,a7,g06,k93,l66,VaLs1,vv16,vFa19,VAll2,vVLK55,VFAK23,vpRS2,V3,OBj86,2025-01-17,FIk49,Rel22,K69,K858,k07,k448,k060,s09,S024,S025,s061,S1036,PK1193,A757,N2,O623,D4,E6,F5,G482,H0,I9,J168,W939,L6,cm36,cm4,cm24,gSt17,TR23,kQ98,Co89,rEL24,pAs27,PIS17,Was27,pAk28,pIK51,wAk19,GEk08,cMm25,DC23,VE24,vl12,RR26,bLOCK8,fS97,lS47,sP5,Pd9,fm17,MaN30,TmPId25,hDALL1,hdALS16,cMCm1,CMTe39,vX3,stAT1,-6,2025-06-01 12:00:26
108,VB0075,R16,g54,B51,l8,g24,W6,F23,S93,Bk35,a94,g96,k8,l98,VaLS44,vV00,Vfa1,VALL2977,VvLk29,VFAK1568,VPRS20,v9,OBJ2318,2025-01-02,FIk49,Rel25,K058,k778,K19,k028,K585,S410,S03,S761,S851,s005,Pk32,A83,N990,O0,P0,E2,R643,S5,H1,I0,V8,W2,X517,Cm1,cM84,Cm9,GST18,tR08,KQ12,CO22,REL7416,PaS59,PIs54,WAS20,pAK79,PiK64,waK22,gEK59,Cmm25,DC73,VE14,VL28,RR8,BLoCk11,FS27,LS90,SP8,PD2752,fM41,mAN11,TmPId19,hDaLL2,HdALs14,CMCM13,CMTE0,VX1399,STAT03,-10,2025-06-01 12:00:02
111,VB0056,r18,G04,b0,l34,G30,w45,f18,S21,bK82,A89,G74,k8,l5,VAlS91,vv2,Vfa25,vALl28,vVLk16,VFaK33,VprS12,V28,OBj10,2025-01-06,fIK82,REL52,K16,k571,k436,k019,K746,s862,s27,S361,S748,s302,Pk55,M4,B523,O8,P6,Q766,R0,S9,H7,I71,V0,W415,X186,cm32,cM39,cm5,gsT19,Tr7,Kq19,cO83,REl3,PaS41,piS29,WAS286,PAk5,PIK36,WAK21,gEK48,CMM1767,DC43,ve2,VL1739,rR23,bLoCK1,fS39,lS00,sp23,pD63,FM11,maN20,tMPiD18,hDaLL15,HdAlS19,CMCM28,cMtE2,VX111,StAt22,-1,2025-06-01 12:00:20
93,VB0021,r43,G24,b81,l20,g03,W2391,F1616,s32,bK95,A25,G13,k35,L79,vaLS23,VV5,VFA73,vALl29,VvLK84,VfaK25,VpRs18,V9,OBJ1980,2025-01-29,FiK11,rEL61,k02,K76,k38,K156,K104,s006,s621,s734,S095,S935,pk12,A1,N5,O478,D534,E6,F8,S766,T9,I5,V2,W46,X7,CM00,cm4,cm21,GST19,tr24,Kq79,co22,REl75,PaS21,PIS2191,WAS11,PAK83,Pik1,Wak2,GeK59,CMM10,DC88,ve23,vl23,RR2220,bLOcK2,FS63,ls24,SP3,PD73,FM33,Man1,TMPID10,hDALl29,hDaLS29,CMCM2456,CmTe1,VX127,STAt27,0,2025-06-01 12:00:50
187,VB0076,r48,G25,b9,L1529,g80,w58,F1413,S22,BK8,A07,g81,k01,L37,VALS38,VV1714,vfA16,vAlL22,vVLk29,VfAK45,VPrs1,v52,OBJ2662,2025-01-14,fIK37,REL2605,K01313,k32,K91,k030,K10524,S016,S414,s532,S48,s083,pK78,A9,N0,C1,D1,Q6,F1,G0,H0,U0,J4,K0,L1,CM0533,cm1,cM49,gST78,tR51,kQ32,cO40,REL87,PAS29,PiS57,WaS81,paK12,PIk89,WaK65,Gek1,CMM1586,DC27,Ve5,vL12,rR68,BLOCK25,Fs7,LS22,sp24,pd18,FM22,MAN14,TmPId20,hdALL2,HdaLS18,CMCM9,CMte27,VX2304,stAT2,6,2025-06-01 12:00:27
112,VB0005,r8,g83,b6,l46,g13,W25,f94,s3,bK42,A15,G34,K5,l34,vaLS28,VV45,Vfa21,VaLl12,VvLk2,VFAK1800,VPrS3,v8,ObJ96,2025-01-04,fIK67,Rel2,K01669,K070,k034,k348,K09,S921,S672,S581,S85,S288,Pk01,A2,N4,C247,P0,Q8,R3,S7,T5,I2,V311,K1,X6,cM19,cM70,CM59,Gst10,TR17,Kq7,Co67,ReL93,PAS15,PIS36,Was2,PAk59,Pik25,WAK1687,GEk34,Cmm1,Dc72,vE37,VL17,Rr71,BLOCK20,FS5,Ls10,SP25,pD61,Fm3,MAn5,TMPid20,HdAlL24,hDaLS1,CMCM16,cMTe12,vx29,stAT26,4,2025-06-01 12:00:49
186,VB0047,r49,g12,B19,L18,G26,w66,f6,S87,Bk98,A2964,g4,K21,L27,VALS16,vV97,VFA67,VALL23,VvlK1,VFAk7,VpRs1,v3,ObJ42,2025-01-08,fIk22,REl6,k31,K585,k78,K822,K924,s56,s67,s989,s07,s097,Pk82,A0,B876,C788,P637,E4,F1,S9,T3,U5,V4,K8,L6,Cm44,cM75,CM57,Gst27,Tr85,KQ17,co16,rEl70,Pas17,PiS03,WaS3,PaK62,PIK1415,Wak13,GEk6,cmM13,Dc38,VE2952,VL43,RR18,bLOCK4,fs1,lS81,sP7,PD2310,FM71,MAN1897,tMPiD20,hDaLL26,hDAlS1,CmCM36,CMte1,Vx6,STAT15,-2,2025-06-01 12:01:54
210,VB0032,r62,G83,B0,l59,G2902,W23,f01,S29,BK26,a99,G2263,k39,l8,vAlS1,vv14,vfA13,VaLL03,VvlK10,VFAK8,vPrS1,V0,oBJ7,2025-01-21,FIK1559,Rel23,K052,K791,K001,K390,K105,S269,s173,S824,S22,s301,PK24,A0,N637,C7,P0,Q4,R5,G3,T0,U4,V616,K4,X38,CM08,CM15,CM2356,GsT99,TR02,KQ27,CO19,reL60,PAS5,PIs66,WAS52,PAK91,PIK60,WAk43,Gek18,CMM16,dc16,ve2,vL03,Rr71,BloCK27,FS1861,LS2666,sP77,Pd39,Fm04,Man18,TMpiD25,hdALL12,hdALS2,CmCm2,CmtE24,vX31,StAT85,6,2025-06-01 12:00:58
176,VB0043,R14,G05,b4,L25,g80,W21,f9,S8,bK95,a54,G20,K2771,l87,VAls27,VV287,VfA05,VaLl27,VVLk51,VfaK21,vpRS22,V2678,ObJ6,2025-01-17,Fik1,REl80,k09,K666,k681,K74,K109,S98,s323,S05,S23,s187,pk13,A4,N5,C1,P257,Q624,R618,G1,T607,U1,J71,K2,X0,cm0,CM1612,Cm1,GSt90,tr1,kQ51,CO26,ReL82,Pas2,PiS77,WAS1549,PAK21,pIK62,wAk16,GEK15,cMM84,DC1909,Ve9,Vl59,RR24,BloCK20,fs18,lS57,sP66,PD1688,FM39,Man2,TmPiD12,HDALL19,hDALs16,cmCM1,CMtE32,Vx8,StaT19,7,2025-06-01 12:01:31
96,VB0068,R10,G28,B2765,l54,G285,W29,F0,s27,BK25,A26,g62,k77,L23,VAlS08,VV13,VfA05,VALl5,vVlK10,VfAk18,VPrS6,V7,OBJ1455,2025-01-22,FIK88,reL1,k07,K121,K43,k894,k066,s711,s008,s077,s449,S55,PK1556,A823,N0,O7,P855,Q8,R2,S4,H4,I6,J6,W8,X407,Cm6,cM83,cM9,Gst29,TR24,KQ2779,CO2807,REl89,Pas27,PIS29,WAS73,pAk25,pIK94,WaK05,gEK95,CMM1740,dc19,VE1158,vL84,Rr1,BLOCK2315,FS2821,lS74,Sp90,Pd10,FM11,mAN14,tMPID6,hDaLL10,HDALS1962,cMcM10,cmTE28,Vx98,sTAT5,-4,2025-06-01 12:01:01
168,VB0046,R22,g55,B93,l70,g74,w42,F38,S22,bk22,a60,g57,k16,l92,VALs33,VV13,vfA14,VALl86,VVlk26,VFAK16,VPRS29,v54,oBJ80,2025-01-13,fIK62,rEl23,K007,k003,K882,k147,K981,S01295,s37,S035,S934,S407,Pk74,M7,B395,C507,D489,Q8,R372,G0,T6,I873,V9,K1,X326,Cm22,Cm2,cM09,Gst18,tR04,KQ116,Co50,REL6796,PAS20,pIs11,WAs02,PAK12,piK1,WaK2,GEK13,cMM9,Dc41,ve27,VL1922,rR53,BLOCk8,fS29,lS0,Sp2,pD68,FM93,MAn49,TmPID31,HDalL17,hDAlS25,CMCM1652,cMTE76,Vx51,StAT4,6,2025-06-01 12:00:32
198,VB0051,r2,g23,B1960,l06,g69,W67,F2950,s32,bK98,A60,G86,k63,l75,VAlS25,vv19,vfA2,VALL24,vvLK24,VFAK27,vpRS11,V14,oBj26,2025-01-07,Fik13,rEL65,K549,k03,K018,K723,K564,S019,s05,S087,S168,s066,Pk4,M45,N844,C483,D6,Q574,F848,S493,T6,I806,J7,W9,L794,cM2,CM42,CM24,GST25,TR28,kq21,CO26,REL79,PAS17,Pis2,WAs3,pAk22,pIK9,wAk2,GEK23,cmM2,dc1,VE25,Vl4,Rr17,bLOCk15,FS64,LS2360,Sp38,pD67,FM15,MAN2458,tMPID06,HDALL2299,hDALs17,CMcm29,CmtE10,VX29,sTAT61,6,2025-06-01 12:01:01
210,VB0048,R20,g9,B0,l7,G0,W1936,f53,S1219,bk18,a59,g3,K26,L36,vAlS28,Vv00,VFA27,vALl2,VVLK70,vfAK15,VprS18,v16,ObJ38,2025-01-03,FIK23,rEl15,K069,k176,K097,K135,k353,S91,S02669,S085,s69,S950,PK1578,A0,N2,C3,D395,Q576,F332,G9,T3,U1,V1,W8,L1,Cm55,Cm0,cM96,gST26,TR51,KQ70,cO5,REL09,PaS07,PiS10,wAs19,pAk22,PIK13,wAk24,GEK8,cmM14,Dc37,Ve82,vl10,rr27,bLoCK19,Fs33,Ls01,SP22,pD5,FM20,MaN35,tMPId17,HDaLL0,hDALS88,CmcM19,CmTE30,Vx28,sTaT2,-3,2025-06-01 12:01:42
129,VB0065,R19,G16,b63,L55,G98,W19,f66,S27,Bk31,a03,G11,K2413,l36,vALS42,Vv22,VFA19,VALL16,VVLK13,VfAK92,VpRS37,v1,ObJ42,2025-01-30,FIK8,REL2782,k000,K849,K385,k03,K904,s086,S055,s48,S525,S679,pk19,M128,B865,O554,D8,E2,R3,G3,H4,I5,V3,W588,L7,CM1,CM3,cM7,Gst26,tR48,kq25,CO94,Rel71,paS2,PIs59,Was22,Pak15,piK19,waK29,Gek2,Cmm23,DC2418,VE13,vl17,RR13,BLOcK95,fs25,LS2793,sp1,PD1670,FM14,Man20,TMpId19,HDaLl28,hdALS12,cMCM04,CMtE18,vX81,StAt19,-4,2025-06-01 12:00:09
170,VB0016,R90,g52,B13,l27,g9,W28,F7,s48,BK21,A49,g25,K1904,L09,VALs1,VV11,vFA8,VAlL34,VVlk27,VFAK3,VPrS4,V02,OBJ12,2025-01-31,fIk14,REL2537,k26,K459,K031,K394,k454,s462,S002,S588,S36,s136,pk28,A702,B147,O485,P182,Q5,F320,S7,H1,U3,J885,W2,X0,Cm74,cm4,CM52,GSt0,Tr37,KQ13,Co46,Rel68,PAS21,PIS22,WaS79,PAk49,PIK81,WaK39,gEk23,cMM5,dC73,ve2,VL16,Rr13,BLOCk6,fs24,LS21,Sp4,pD1,FM24,MAN26,TmpID19,HdAlL2,HDALS2496,CMcm2,CmTe27,vx29,STat17,-4,2025-06-01 12:00:37
196,VB0052,r7,G27,B4,L2226,G2533,w6,f75,s32,BK2879,a2,g38,K1326,l14,VaLs11,vV0,vFA15,vALL56,vvLK16,vfAK13,VPRS84,v10,oBj2,2025-01-31,FIk81,REL19,K073,K636,K339,K066,k355,S276,S073,S03787,S594,s803,Pk03,M6,N8,O2,D289,Q530,F2,S4,T7,I4,J9,W177,L0,cM1,cm18,Cm6,gSt1,TR1175,kQ66,co1,reL61,PAS98,PIs08,WAS18,PaK41,pIK60,Wak21,gEk1,cMM0,DC23,VE29,VL68,rR82,BLOCK11,fs2,Ls27,sp2,PD26,fM3,Man22,tMpID2,HdaLL11,HDaLS30,CMcM5,CMTe38,VX5,STaT07,7,2025-06-01 12:00:53
171,VB0007,r13,g78,b3,l69,g48,w93,f56,S8,bk25,A14,g36,K6,L3127,VALs3,vv25,vFa27,VAlL8,vVLK5,VFAk42,VPRs6,V23,OBJ0,2025-01-18,FIK22,reL29,K718,K84,K119,K777,k00,s026,S17,s097,S09682,S563,Pk12,A8,N9,C8,P2,E925,F996,S1,H574,I7,J9,K846,L616,cm00,cm1,Cm93,GST34,tR19,Kq4,Co31,rEL1,PAS1662,PIS2573,wAS53,pAk22,piK15,wAK66,GeK92,CMm63,dc20,vE7,vl23,rr25,BLoCk10,fS3,Ls63,sp22,pd12,FM2908,MAn53,TmPiD1,HDALl39,hdALS22,CMCM60,CMtE26,vX78,StAt2,-3,2025-06-01 12:01:11
169,VB0062,R24,g13,B7,l9,G32,W15,F17,S9,bK20,A1476,G27,k35,l5,VaLS64,vv21,VfA04,ValL13,VVLk58,VfaK1,vPrS21,V6,OBj51,2025-01-03,Fik29,REL18,k864,k37,k075,k442,K503,S180,S64,s096,s09,s09,pk2,A9,N250,C3,D326,E4,R4,G0,H0,I2,V897,W195,L3,CM09,Cm09,cM9,GST16,tr2,Kq77,cO72,rEL69,PAS39,Pis26,wAS07,PAk92,PiK24,waK18,geK2,CmM64,dC07,Ve85,vl21,RR22,BLoCK75,fS29,ls10,sp26,PD2425,fm12,Man29,TMPiD67,HDAlL6,HDAls20,CMCM1660,cMTE0,VX1878,STaT46,11,2025-06-01 12:00:06
210,VB0031,R0,G2519,B1897,L9,G37,W12,F2751,S19,Bk81,A65,g86,k91,L57,VALs02,VV29,vFa14,VALL12,vVLK83,VFaK46,VpRs27,v47,obJ2,2025-01-08,FIK0,rEl1,K340,k871,k034,K680,K154,S339,S00,s835,S641,s097,PK23,M0,B0,O691,P4,E5,R9,G5,T7,I170,V6,K429,X3,CM49,Cm7,cM1,GsT8,Tr6,kq2,CO20,reL7,PAs7,pIS13,WAS11,PaK38,pIK4,WaK34,GEK3,cMm1,DC17,ve26,Vl13,Rr08,bLoCK1,fS60,LS12,sp14,PD14,fM30,maN27,TMPid2,HDALL15,HDaLs1,cMcM24,cMTe1,vx2,stAT2,11,2025-06-01 12:00:37
144,VB0083,r04,g34,B3,L4,g2,w81,F13,S10,BK8,a51,G34,k3,l6,VALS20,VV2426,vfA27,vaLL29,VvlK23,vFAk12,VPRS29,v91,OBJ57,2025-01-23,FiK55,REL10,K698,K094,k01,K048,k003,S094,S069,S83,S446,S05786,pk21,M8,N870,O47,D5,Q1,F9,S8,H783,U2,V0,W867,L3,CM14,CM73,CM59,gSt2,tr29,kQ80,Co50,REL73,PaS41,pIS31,WaS48,PAK2790,PiK5,WAk33,gEK21,CmM89,Dc42,Ve33,vl2,RR2762,BLoCK38,FS23,lS9,Sp78,Pd32,fM00,mAN48,TMPid2,HDALL1890,HDaLS46,CmcM1,CMte13,VX12,sTaT28,-8,2025-06-01 12:01:33
120,VB0058,r7,G21,b58,l0,g6,w40,f46,S21,BK11,a7,G29,k58,l81,vAlS27,vv21,Vfa25,VaLl15,VVlK74,VfaK21,VPrS81,V16,oBJ8,2025-01-19,FIK18,rEl17,k085,K475,K96,K960,K054,S091,s927,s017,S064,S16,PK80,M4,N8,C105,P3,E3,R872,S605,H9,U4,V6,W9,L7,Cm7,cm16,CM5541,GST41,tR01,Kq7,Co0,REl40,pAS07,pIS55,WAs8,PAK28,pIk2,wAk21,gEk15,Cmm12,DC8,VE20,Vl42,RR2161,BLOck17,FS00,Ls08,Sp6,pD72,fm2,mAN7,TmPID9,hDALL3,hDAlS16,CMcM60,CMte12,VX63,STAt32,0,2025-06-01 12:01:07
