contract_id,nta,service_taxonomy,population_taxonomy
8328,BX41,"[""client evaluation/assessment"",""case conferencing"",""intake"",""individual advocacy"",""counseling"",""crisis intervention/management"",""mental health services""]",
5622,MN03,"[""outreach"",""conflict resolution/mediation"",""client referrals"",""counseling"",""mentoring"",""leadership development"",""recreational services""]",
5676,BX06,"[""outreach"",""conflict resolution/mediation"",""crisis intervention/management"",""emergency preparedness and response"",""preventive services"",""mental health services"",""client evaluation/assessment"",""client referrals"",""counseling"",""mentoring"",""service/care planning"",""recreational services"",""community engagement"",""community advocacy""]",
4740,SI22,"[""athletic leagues""]",
548,MN25,"[""advocacy"",""human resources services""]",
2301,SI08,"[""life skills""]",
7617,BK88,,
7177,BK88,,
4740,,"[""athletic leagues""]",
8642,QN68,,
4891,SI22,"[""conflict resolution/mediation"",""training""]",
854,MN27,,
5714,MN34,"[""alternative justice management""]",
4469,SI01,,
2752,BK28,,
5674,,"[""outreach"",""conflict resolution/mediation"",""crisis intervention/management"",""emergency preparedness and response"",""preventive services"",""mental health services"",""client evaluation/assessment"",""client referrals"",""counseling"",""mentoring"",""work readiness"",""service/care planning"",""community engagement""]",
7248,BX39,"[""discharge/re-entry""]",
8325,BK82,,
4095,,"[""outreach"",""community advocacy"",""supportive services""]",
3093,QN53,"[""food services"",""life skills"",""mental health services""]",
9096,,"[""conflict resolution/mediation"",""crisis intervention/management"",""disease control"",""disease prevention"",""health education and supports""]",
2177,BK88,,
5611,QN17,"[""client evaluation/assessment"",""case conferencing"",""intake"",""individual advocacy"",""counseling"",""health services"",""crisis intervention/management"",""mental health services""]",
8631,BK78,,
670,QN31,,
4439,QN61,,
16,BK75,,
3394,MN27,,
4740,QN12,"[""athletic leagues""]",
8327,MN17,"[""discharge/re-entry"",""housing and shelter services""]",
5658,,"[""outreach"",""conflict resolution/mediation"",""crisis intervention/management"",""emergency preparedness and response"",""preventive services"",""mental health services"",""client evaluation/assessment"",""client referrals"",""counseling"",""mentoring"",""work readiness"",""service/care planning"",""community engagement""]",
3396,QN17,,
7272,QN31,"[""discharge/re-entry""]",
4197,BK38,"[""case management"",""individual advocacy"",""individual client outreach""]",
1584,BX09,,
6951,,"[""food services"",""food and nutrition""]","[""females"",""males"",""food stamps recipients"",""low income individuals""]"
577,QN54,,
7303,QN22,,
1115,MN25,,
5648,,"[""outreach"",""conflict resolution/mediation"",""crisis intervention/management"",""emergency preparedness and response"",""preventive services"",""client evaluation/assessment"",""client referrals"",""counseling"",""mentoring"",""academic supports"",""work readiness"",""service/care planning"",""leadership development"",""discharge/re-entry"",""recreational services"",""community engagement"",""community advocacy""]",
7158,MN19,,
7247,MN34,"[""discharge/re-entry"",""housing and shelter services""]",
6496,BK50,"[""food services""]",
6493,BX14,,
5185,QN61,,
529,QN37,,
182,BK30,,
338,MN14,,
5676,BX17,"[""outreach"",""conflict resolution/mediation"",""client referrals"",""counseling"",""mentoring"",""leadership development"",""recreational services""]",
9111,QN37,,
687,BK37,,
3179,MN22,,
7511,MN25,"[""outreach"",""community advocacy"",""training"",""supportive services""]",
3078,QN61,"[""preventive services""]",
7248,MN03,"[""discharge/re-entry""]",
5658,,"[""outreach"",""conflict resolution/mediation"",""crisis intervention/management"",""emergency preparedness and response"",""preventive services"",""client evaluation/assessment"",""client referrals"",""counseling"",""mentoring"",""academic supports"",""work readiness"",""service/care planning"",""leadership development"",""discharge/re-entry"",""recreational services"",""community engagement"",""community advocacy""]",
397,BK44,,
8821,BK81,,
309,BK82,,
5674,BK35,"[""outreach"",""conflict resolution/mediation"",""client referrals"",""counseling"",""mentoring"",""leadership development"",""recreational services""]",
9144,MN27,"[""case management"",""individual advocacy""]",
3028,,"[""case management"",""client evaluation/assessment"",""client monitoring"",""client fiscal management""]","[""court involved"",""adults"",""aging"",""individuals with disabilities"",""ssd recipients"",""ssi recipients"",""low income individuals""]"
696,MN04,,
8402,BK38,,
121,MN25,,
702,BK33,"[""family finding"",""food services"",""mental health services""]",
6943,MN20,,
8839,MN12,,
5679,QN76,"[""outreach"",""conflict resolution/mediation"",""crisis intervention/management"",""emergency preparedness and response"",""preventive services"",""mental health services"",""client evaluation/assessment"",""client referrals"",""counseling"",""mentoring"",""service/care planning"",""recreational services"",""community engagement"",""community advocacy""]",
1968,MN19,,
3016,BX43,,
9218,,"[""conflict resolution/mediation"",""crisis intervention/management"",""disease control"",""disease prevention"",""health education and supports""]",
5641,BK21,"[""outreach"",""conflict resolution/mediation"",""client referrals"",""counseling"",""mentoring"",""leadership development"",""recreational services""]",
4139,MN24,"[""legal representation""]",
7438,BX39,,"[""adults"",""children"",""individuals with disabilities""]"
4740,,"[""recreational services"",""arts and culture"",""mentoring""]",
5563,QN61,"[""legal services"",""case management""]",
2053,BX34,,
5643,,"[""outreach"",""conflict resolution/mediation"",""crisis intervention/management"",""emergency preparedness and response"",""preventive services"",""client evaluation/assessment"",""client referrals"",""counseling"",""mentoring"",""academic supports"",""work readiness"",""service/care planning"",""leadership development"",""discharge/re-entry"",""recreational services"",""community engagement"",""community advocacy""]",
542,BK33,,
199,BK72,,
2009,QN61,,
8648,MN23,,
729,BX62,,
6933,BK32,"[""outreach"",""community advocacy""]",
5622,,"[""outreach"",""conflict resolution/mediation"",""crisis intervention/management"",""emergency preparedness and response"",""preventive services"",""client evaluation/assessment"",""client referrals"",""counseling"",""mentoring"",""academic supports"",""work readiness"",""service/care planning"",""leadership development"",""discharge/re-entry"",""recreational services"",""community engagement"",""community advocacy""]",
5563,BX14,"[""legal services"",""case management""]",
5630,MN03,"[""outreach"",""conflict resolution/mediation"",""crisis intervention/management"",""emergency preparedness and response"",""preventive services"",""mental health services"",""client evaluation/assessment"",""client referrals"",""counseling"",""mentoring"",""service/care planning"",""recreational services"",""community engagement"",""community advocacy""]",
8834,QN61,,
7134,MN11,,
4850,MN25,"[""legal representation""]",
10216,QN12,,
2026,BX09,,
4740,QN76,"[""athletic leagues""]",
2351,BK91,,
2732,QN15,,
2698,BK38,"[""clinical counseling"",""children's room in service location""]","[""victims/survivors of domestic violence""]"
754,MN24,,
7303,MN28,,
5676,,"[""outreach"",""conflict resolution/mediation"",""crisis intervention/management"",""emergency preparedness and response"",""preventive services"",""client evaluation/assessment"",""client referrals"",""counseling"",""mentoring"",""academic supports"",""work readiness"",""service/care planning"",""leadership development"",""discharge/re-entry"",""recreational services"",""community engagement"",""community advocacy""]",
4520,BK38,"[""case management"",""individual advocacy""]",
4740,,"[""recreational services"",""arts and culture"",""mentoring""]",
433,QN55,,
5658,,"[""outreach"",""conflict resolution/mediation"",""crisis intervention/management"",""emergency preparedness and response"",""preventive services"",""mental health services"",""client evaluation/assessment"",""client referrals"",""counseling"",""mentoring"",""work readiness"",""service/care planning"",""community engagement""]",
9175,BX46,,
5622,BK63,"[""outreach"",""conflict resolution/mediation"",""client referrals"",""counseling"",""mentoring"",""leadership development"",""recreational services""]",
6560,MN25,,
5896,SI22,"[""alternative justice management""]",
2094,QN61,,
100,BK31,,
2980,BK77,,
7256,BK32,"[""unspecified"",""mental health services""]",
7074,QN31,"[""outreach"",""community advocacy"",""training"",""legal services"",""supportive services""]",
9146,,"[""conflict resolution/mediation"",""crisis intervention/management"",""disease control"",""disease prevention"",""health education and supports""]",
8469,QN61,,
3179,MN27,,
7836,MN15,,
5788,BX39,"[""academic supports"",""mental health services"",""case management""]",
4003,,"[""civic engagement"",""community engagement"",""community advocacy"",""outreach"",""client referrals"",""volunteering"",""training"",""leadership development"",""case conferencing"",""conference"",""crisis intervention/management"",""career exploration"",""enrollment and recruitment"",""entrepreneurial training"",""job/vocational training"",""materials design and development"",""mentoring"",""preventive services"",""project based learning"",""recreational services"",""resource directory guides"",""resource fairs"",""street outreach"",""symposia"",""team-based coaching"",""toolkits"",""training delivery"",""training materials development"",""needs assessment"",""client evaluation/assessment"",""emergency preparedness and response"",""case management"",""meal delivery""]",
3264,MN36,,
4740,,"[""athletic leagues""]",
4740,SI28,"[""athletic leagues""]",
9144,BK38,"[""case management"",""individual advocacy""]",
3111,BK79,"[""preventive services""]",
4740,BK50,"[""athletic leagues""]",
9043,,"[""conflict resolution/mediation"",""crisis intervention/management"",""disease control"",""disease prevention"",""health education and supports""]",
5815,,"[""alternative justice management""]",
3922,QN12,,
4740,,"[""athletic leagues""]",
1537,BK50,"[""unspecified""]",
9596,MN23,,
5563,BK38,"[""legal services"",""case management""]",
4740,BX27,"[""athletic leagues""]",
5784,BK38,"[""alternative justice management""]",
1846,MN24,,
6754,BX49,,
1604,BK63,"[""life skills""]",
5815,MN11,"[""alternative justice management""]",
3119,QN63,"[""unspecified""]",
3179,MN20,,
7273,MN13,"[""discharge/re-entry"",""housing and shelter services""]",
3956,MN11,,
4003,,"[""civic engagement"",""community engagement"",""community advocacy"",""outreach"",""client referrals"",""volunteering"",""training"",""leadership development"",""case conferencing"",""conference"",""crisis intervention/management"",""career exploration"",""enrollment and recruitment"",""entrepreneurial training"",""job/vocational training"",""materials design and development"",""mentoring"",""preventive services"",""project based learning"",""recreational services"",""resource directory guides"",""resource fairs"",""street outreach"",""symposia"",""team-based coaching"",""toolkits"",""training delivery"",""training materials development"",""needs assessment"",""client evaluation/assessment"",""emergency preparedness and response"",""case management"",""meal delivery""]",
3258,BX43,,
3267,,"[""case management"",""client fiscal management"",""client monitoring"",""client evaluation/assessment""]","[""housing court involved"",""adults"",""aging"",""individuals with disabilities"",""ssd recipients"",""ssi recipients""]"
7272,QN28,"[""discharge/re-entry""]",
6986,BX30,"[""outreach"",""conflict resolution/mediation"",""client referrals"",""counseling"",""mentoring"",""leadership development"",""recreational services""]",
2083,BK42,,
5099,QN61,,
5622,,"[""outreach"",""conflict resolution/mediation"",""crisis intervention/management"",""emergency preparedness and response"",""preventive services"",""client evaluation/assessment"",""client referrals"",""counseling"",""mentoring"",""academic supports"",""work readiness"",""service/care planning"",""leadership development"",""discharge/re-entry"",""recreational services"",""community engagement"",""community advocacy""]",
700,BK43,,
6281,,,
6940,BK38,,
4856,BK38,"[""restitution collections""]",
3269,,"[""case management"",""client evaluation/assessment"",""client fiscal management"",""client monitoring"",""community court appointed guardian services""]","[""court involved"",""court appointed advocate required/assigned"",""individuals with behavioral disabilities"",""adults"",""individuals with disabilities"",""ssi recipients"",""aging""]"
4740,,"[""recreational services"",""arts and culture"",""mentoring""]",
7272,,"[""discharge/re-entry""]",
6953,,"[""academic engagement"",""academic supports"",""behavioral counseling"",""clinical counseling""]","[""young adults"",""females"",""males""]"
5218,MN24,"[""legal representation""]",
238,BK42,,
9617,BK69,,
