hispanic,ela_level_3_1,ell_haitian_creole,math_level_4_1,ela_level_1_1,ell_spanish_1,ela_level_2,math_level_2,hispanic_1,math_test_takers,ell_urdu,grade_5,ell_urdu_1
19,57.1%,,75.0%,s,,s,s,32.2%,28,,,
24,38.5%,,26.3%,s,,s,s,40.7%,38,,9,
147,s,,s,33.3%,,13,9,97.4%,38,,,
s,,,,,,,,s,,,,
s,53.6%,,67.9%,s,,s,s,s,28,,11,
181,s,,s,61.2%,,33,19,95.8%,104,,16,
58,36.8%,,27.0%,s,,15,6,64.4%,37,,19,
33,s,,s,s,,s,s,100.0%,16,,,
18,s,,s,s,,6,s,100.0%,8,,s,
11,47.1%,,47.1%,s,,s,s,36.7%,17,,7,
151,27.0%,,10.8%,17.6%,,29,21,100.0%,83,,28,
11,s,,s,s,,s,s,100.0%,10,,,
409,15.9%,,s,38.2%,,116,83,94.9%,280,,46,
904,28.5%,,9.7%,27.2%,,217,153,91.2%,535,,104,
s,s,,s,s,,s,s,s,s,,,
s,25.0%,,92.9%,s,,s,s,s,28,,9,
s,,,,,,,,s,,,,
19,s,,s,61.5%,,s,s,100.0%,19,,,
s,s,,s,s,,s,s,s,s,,,
s,s,,s,s,,s,s,s,s,,,
9,s,,s,s,,s,s,90.0%,8,,s,
29,60.9%,,30.4%,s,,s,s,61.7%,46,,,
s,s,,s,s,,s,s,s,s,,,
s,,,,,,,,s,,,,
12,s,,s,s,,s,s,100.0%,s,,s,
98,37.9%,,15.4%,s,,19,18,80.3%,65,,21,
43,,,,,,,,35.2%,,,,
20,s,,s,s,,6,s,95.2%,13,,s,
33,53.1%,,s,s,,9,9,94.3%,33,,,
12,41.8%,,69.1%,s,,s,s,13.0%,55,,9,
s,,,,,,,,s,,,,
s,s,,s,s,,s,s,s,s,,s,
s,88.9%,,s,s,,s,s,s,9,,,
10,s,,s,s,,6,6,55.6%,8,,s,
29,s,,s,s,,s,s,100.0%,13,,s,
13,s,,s,s,,s,s,100.0%,13,,,
18,25.2%,,71.3%,s,,s,s,9.0%,115,,45,
s,,,,,,,,s,,,,
s,60.0%,,s,s,,s,s,s,10,,,
20,,,,,,,,80.0%,,,,
s,,,,,,,,s,,,,
126,s,s,16.4%,49.2%,34.2%,59,41,34.5%,183,s,51,s
9,s,,s,s,,s,s,90.0%,s,,,
s,,,,,,,,s,,,,
79,35.5%,,s,s,,s,8,97.5%,33,,,
s,,s,,,s,,,s,,s,,s
s,s,,s,s,,s,s,s,7,,7,
s,,,,,,,,s,,,,
6,s,,s,s,,s,s,35.3%,7,,,
s,s,,s,s,,s,s,s,7,,7,
s,s,,s,s,,s,s,s,6,,s,
123,s,,s,38.7%,,12,6,86.6%,31,,,
s,,,s,,,,s,s,s,,,
11,27.6%,,41.4%,s,,9,s,25.6%,29,,s,
8,s,,s,s,,s,s,88.9%,s,,s,
s,,,,,,,,s,,,,
s,,,,,,,,s,,,,
s,28.1%,,s,s,,16,14,s,32,,32,
s,s,,s,s,,s,s,s,s,,,
s,54.5%,,72.7%,s,,s,s,s,11,,,
s,s,,s,s,,s,s,s,s,,s,
80,s,,s,s,,10,s,94.1%,19,,,
65,s,,s,86.5%,,s,s,97.0%,67,,,
48,s,,s,70.6%,,9,6,100.0%,46,,,
s,s,,91.7%,s,,s,s,s,12,,7,
28,24.2%,,90.9%,s,,s,s,8.4%,165,,53,
s,s,,s,s,,s,s,s,s,,,
66,s,s,s,s,100.0%,8,s,100.0%,16,s,,s
27,44.6%,,60.7%,s,,s,s,27.0%,56,,22,
9,s,s,s,s,100.0%,s,s,100.0%,s,s,,s
13,42.9%,,71.4%,s,,s,s,46.4%,14,,s,
19,s,,s,s,,s,s,100.0%,7,,s,
10,s,,s,s,,s,s,100.0%,7,,,
s,,,,,,,,s,,,,
47,46.8%,,36.4%,s,,s,s,32.4%,77,,23,
26,40.0%,,67.1%,s,,s,s,15.1%,82,,28,
21,s,,s,s,,s,s,80.8%,s,,,
s,s,,77.8%,s,,s,s,s,9,,s,
s,,,,,,,,s,,,,
s,s,,s,s,,s,s,s,s,,,
s,,,,,,,,s,,,,
41,s,,s,s,,s,s,56.2%,13,,,
s,s,,s,s,,s,s,s,s,,,
s,,s,,,s,,,s,,s,,s
6,s,,s,s,,s,s,60.0%,9,,,
12,56.4%,,48.7%,s,,s,s,8.0%,78,,27,
6,s,,s,s,,s,s,100.0%,s,,,
s,s,,s,s,,s,s,s,s,,,
s,,,,,,,,s,,,,
s,s,,s,s,,s,s,s,s,,,
18,,,,,,,,94.7%,,,,
109,s,,s,32.5%,,17,10,98.2%,44,,,
25,23.3%,,80.8%,s,,s,s,21.0%,73,,27,
95,s,s,s,52.5%,100.0%,23,17,100.0%,62,s,14,s
46,s,,s,39.4%,,15,12,100.0%,32,,s,
8,s,,s,s,,s,s,100.0%,8,,,
11,s,s,s,s,100.0%,s,s,100.0%,7,s,s,s
53,s,,s,41.2%,,20,15,69.7%,52,,21,
35,s,,s,34.3%,,15,14,100.0%,34,,,
s,s,,s,s,,s,s,s,s,,,
s,s,,s,s,,s,s,s,s,,,
7,s,,s,s,,s,s,100.0%,7,,,
s,s,,s,s,,s,s,s,s,,s,
53,,s,,,100.0%,,,100.0%,,s,,s
7,s,,s,s,,s,s,100.0%,s,,,
14,s,,s,s,,s,s,100.0%,s,,,
s,,,,,,,,s,,,,
16,,,,,,,,51.6%,,,,
s,35.8%,,77.4%,s,,s,s,s,53,,12,
22,s,,s,50.0%,,s,s,91.7%,13,,s,
6,s,s,s,s,100.0%,s,s,100.0%,s,s,,s
18,24.0%,,90.4%,s,,s,s,9.0%,104,,34,
81,s,,s,s,,9,6,100.0%,17,,,
24,37.1%,,26.5%,s,,s,s,46.2%,34,,8,
28,55.2%,,s,s,,10,13,65.1%,29,,,
41,,,,,,,,73.2%,,,,
102,s,s,s,85.9%,100.0%,11,18,100.0%,101,s,,s
12,s,,s,s,,s,s,52.2%,9,,s,
s,,,,,,,,s,,,,
s,32.3%,,96.8%,s,,s,s,s,31,,6,
s,s,,s,s,,s,s,s,s,,,
10,41.4%,,72.4%,s,,s,s,8.9%,58,,16,
6,s,,s,s,,s,s,100.0%,6,,,
58,s,,s,28.1%,,19,17,77.3%,33,,10,
188,32.8%,,s,s,,21,20,95.9%,65,,22,
s,,,,,,,,s,,,,
8,s,,s,s,,7,s,61.5%,10,,s,
s,s,,s,s,,s,s,s,s,,,
s,s,,s,s,,s,s,s,s,,,
60,s,,s,80.0%,,s,s,98.4%,27,,14,
15,,s,,,100.0%,,,100.0%,,s,,s
6,,s,,,54.5%,,,54.5%,,s,,s
s,s,,s,s,,s,s,s,s,,,
s,,,,,,,,s,,,,
22,37.3%,,31.4%,s,,s,s,37.3%,51,,11,
s,,,,,,,,s,,,,
s,s,,s,s,,s,s,s,s,,,
41,s,s,s,62.2%,100.0%,11,s,100.0%,37,s,s,s
10,s,,s,s,,s,s,100.0%,s,,,
11,s,,s,s,,s,s,91.7%,12,,s,
s,,,,,,,,s,,,,
14,42.3%,,65.4%,s,,s,s,51.9%,26,,12,
s,s,,s,s,,s,s,s,s,,,
109,s,,s,39.3%,,11,s,85.8%,28,,,
s,s,,100.0%,s,,s,s,s,23,,s,
8,,,,,,,,66.7%,,,,
s,31.0%,,37.9%,13.8%,,18,17,s,58,,20,
142,19.1%,,12.8%,30.9%,,47,33,99.3%,109,,13,
19,s,,s,s,,8,7,67.9%,20,,,
194,s,s,s,63.8%,100.0%,37,30,98.0%,134,s,20,s
66,,,,,,,,83.5%,,,,
s,s,,s,s,,s,s,s,s,,s,
s,,,,,,,,s,,,,
s,s,,s,s,,s,s,s,s,,s,
s,s,,100.0%,s,,s,s,s,6,,s,
132,s,,s,37.2%,,34,25,89.8%,79,,28,
39,55.3%,,s,s,,10,s,95.1%,39,,,
30,,,,,,,,83.3%,,,,
28,54.5%,,76.7%,s,,s,s,37.3%,43,,25,
s,,,,,,,,s,,,,
s,s,,s,s,,s,s,s,7,,,
s,,,,,,,,s,,,,
65,45.3%,,35.8%,s,,16,s,61.9%,53,,17,
s,,,,,,,,s,,,,
38,,s,,,100.0%,,,100.0%,,s,,s
76,21.8%,,19.1%,22.1%,,105,80,20.6%,340,,,
27,s,s,s,66.7%,100.0%,8,8,100.0%,22,s,,s
s,s,,s,s,,s,s,s,7,,s,
19,s,,s,70.0%,,s,s,95.0%,12,,,
44,23.3%,,81.6%,s,,s,s,25.6%,87,,26,
s,s,,s,s,,s,s,s,s,,s,
9,,s,,,100.0%,,,100.0%,,s,,s
12,,,,,,,,92.3%,,,,
s,s,s,s,s,s,7,7,s,12,s,s,s
s,,,s,,,,s,s,s,,,
s,,,,,,,,s,,,,
