ela_level_4_1,category,male,asian,special_program,white_1,ell_korean,school_name,ell_korean_1,ell_french,math_level_1_1,ela_l3_l4,ela_l3_l4_1,other,ela_level_2_1,grade_4,ell_bengali
s,English Language Learners,171,s,Dual Language,s,s,P.S./I.S. 218 Rafael Hernandez Dual Language Magne,s,s,72.7%,s,s,s,35.8%,34,s
51.1%,All Students,64,s,Gifted and Talented,9.6%,,P.S. 316 Elijah Stroud,,,s,42,89.4%,s,s,23,
s,Students with Disabilities,s,s,Dual Language,s,,Brooklyn Arts and Science Elementary School,,,s,s,s,s,s,s,
,English Language Learners,s,s,Gifted and Talented,s,s,P.S. 165 Robert E. Simon,s,s,,,,s,,s,s
,Receive free or reduced price lunch,40,s,Dual Language,s,,P.S. 112 Jose Celso Barbosa,,,,,,s,,,
s,Students with Disabilities,s,s,Gifted and Talented,s,,P.S. 316 Elijah Stroud,,,s,s,s,s,s,s,
s,Students in temporary housing,17,s,Dual Language,s,,The Family School,,,s,s,s,s,s,6,
,Attend school outside district of residence,11,s,Dual Language,86.4%,,P.S. 034 Oliver H. Perry,,,,,,s,,,
64.0%,Receive free or reduced price lunch,13,7,Gifted and Talented,59.4%,,P.S./I.S. 217 Roosevelt Island,,,s,25,100.0%,s,s,11,
s,Students in temporary housing,s,s,Gifted and Talented,s,,P.S./I.S. 217 Roosevelt Island,,,s,s,s,s,s,s,
s,Students in temporary housing,s,s,Dual Language,s,,P.S. 084 Lillian Weber,,,s,s,s,s,s,s,
s,Receive free or reduced price lunch,s,s,Dual Language,s,,Lafayette Academy,,,s,s,s,s,s,,
,All Students,16,12,Dual Language,s,,P.S. 250 George H. Lindsay,,,,,,s,,,
s,Students in temporary housing,s,s,Gifted and Talented,s,,The Anderson School,,,s,s,s,s,s,,
,All Students,s,s,Dual Language,s,,P.S. 078 Anne Hutchinson,,,,,,s,,,
15.3%,All Students,35,s,Dual Language,s,,M.S. 390,,,34.2%,29,40.3%,s,43.1%,,
s,Students with Disabilities,s,s,Gifted and Talented,s,,P.S. 129 John H. Finley,,,s,s,s,s,s,s,
,Receive free or reduced price lunch,12,s,Dual Language,s,,P.S. 319,,,,,,s,,,
s,Receive free or reduced price lunch,70,s,Dual Language,s,,Lucero Elementary School,,,54.3%,s,s,s,36.7%,18,
36.0%,Receive free or reduced price lunch,22,s,Gifted and Talented,s,,P.S. 282 Park Slope,,,s,24,96.0%,s,s,11,
s,Receive free or reduced price lunch,30,13,Gifted and Talented,s,,P.S. 102 Jacques Cartier,,,s,s,s,s,28.6%,10,
s,All Students,58,s,Dual Language,s,,P.S. 011 Highbridge,,,s,s,s,s,58.8%,,
s,Attend school outside district of residence,7,s,Dual Language,s,,P.S. 128 Audubon,,,s,s,s,s,s,,
s,English Language Learners,36,s,Dual Language,s,s,P.S. 075 Emily Dickinson,s,s,56.3%,s,s,s,29.0%,14,s
s,Attend school outside district of residence,s,s,Gifted and Talented,s,,P.S. 033 Chelsea Prep,,,s,s,s,s,s,s,
,Students with Disabilities,s,s,Dual Language,s,,Brighter Choice Community School,,,,,,s,,,
,All Students,16,s,Dual Language,s,,P.S. 319,,,,,,s,,,
s,Students with Disabilities,s,s,Dual Language,s,,J.H.S. 218 James P. Sinnott,,,s,s,s,s,s,,
s,Attend school outside district of residence,17,s,Dual Language,s,,Dos Puentes Elementary School,,,s,s,s,s,37.5%,11,
s,Receive free or reduced price lunch,s,s,Dual Language,s,,The Laboratory School of Finance and Technology: X,,,s,s,s,s,s,,
75.2%,Attend school outside district of residence,333,251,Gifted and Talented,40.5%,,"New Explorations into Science, Technology and Math",,,s,310,96.0%,72,s,106,
,Receive free or reduced price lunch,9,s,Dual Language,s,,P.S. 003 The Bedford Village,,,,,,s,,,
s,Students with Disabilities,s,s,Dual Language,s,,James Weldon Johnson,,,s,s,s,s,s,,
s,Students with Disabilities,s,s,Dual Language,s,,Sunset Park Avenues Elementary School,,,s,s,s,s,s,,
14.5%,Receive free or reduced price lunch,62,s,Dual Language,s,,P.S. 108 Sal Abbracciamento,,,42.9%,30,43.5%,s,39.1%,25,
33.3%,Attend school outside district of residence,9,s,Dual Language,s,,J.H.S. 088 Peter Rouget,,,s,12,66.7%,s,s,,
s,Students with Disabilities,s,s,Gifted and Talented,66.7%,,P.S. 166 The Richard Rodgers School of The Arts an,,,s,s,s,s,s,,
s,All Students,53,s,Dual Language,s,,P.S. 048 P.O. Michael J. Buczek,,,32.7%,s,s,s,57.4%,21,
,Students with Disabilities,s,s,Dual Language,s,,P.S. 155 William Paca,,,,,,s,,,
s,Attend school outside district of residence,25,s,Dual Language,s,,P.S. 161 Pedro Albizu Campos,,,45.5%,s,s,s,35.6%,14,
s,Receive free or reduced price lunch,60,s,Dual Language,s,,P.S. 073 Bronx,,,71.9%,s,s,s,28.8%,21,
61.9%,Attend school outside district of residence,11,s,Gifted and Talented,s,,P.S. 204 Morris Heights,,,s,21,100.0%,s,s,10,
s,Attend school outside district of residence,s,s,Dual Language,s,,P.S. 073 Bronx,,,s,s,s,s,s,,
,All Students,s,s,Dual Language,s,,"East Side Elementary School, PS 267",,,,,,s,,,
s,English Language Learners,10,s,Dual Language,s,s,P.S. 098 Shorac Kappock,s,s,68.2%,s,s,s,45.5%,6,s
84.6%,Attend school outside district of residence,16,29,Gifted and Talented,s,,P.S. 130 Hernando De Soto,,,s,s,s,s,s,11,
s,Students in temporary housing,11,s,Dual Language,s,,P.S. 153 Adam Clayton Powell,,,s,s,s,s,53.8%,6,
63.0%,All Students,77,19,Gifted and Talented,84.0%,,P.S. 200 Benson School,,,s,77,95.1%,s,s,27,
s,Students with Disabilities,s,s,Gifted and Talented,66.7%,,P.S. 032 Samuel Mills Sprole,,,s,s,s,s,s,s,
s,Students with Disabilities,s,s,Gifted and Talented,s,,P.S. 153 Adam Clayton Powell,,,s,s,s,s,s,,
,Students with Disabilities,s,s,Dual Language,s,,P.S. 124 Silas B. Dutcher,,,,,,s,,,
,English Language Learners,s,s,Gifted and Talented,s,s,P.S./I.S. 104 The Fort Hamilton School,s,s,,,,s,,,s
,All Students,23,s,Dual Language,s,,P.S. 005 Ellen Lurie,,,,,,s,,,
s,Students in temporary housing,14,9,Dual Language,s,,P.S. 094 The Henry Longfellow,,,s,s,s,s,s,s,
,Students in temporary housing,s,s,Dual Language,s,,P.S. 375 Jackie Robinson School,,,,,,s,,,
s,English Language Learners,29,s,Dual Language,s,s,P.S. 249 The Caton,s,s,s,s,s,s,22.9%,s,s
s,Students with Disabilities,s,s,Gifted and Talented,s,,P.S. 161 The Crown,,,s,s,s,s,s,,
,Attend school outside district of residence,s,s,Dual Language,s,,P.S. 169 Sunset Park,,,,,,s,,,
s,Attend school outside district of residence,s,s,Gifted and Talented,s,,The Riverside School for Makers and Artists,,,s,s,s,s,s,,
,Receive free or reduced price lunch,s,s,Gifted and Talented,s,,P.S. 072 Dr. William Dorney,,,,,,s,,,
83.3%,Attend school outside district of residence,10,7,Gifted and Talented,s,,P.S. 182,,,s,s,s,s,s,s,
11.6%,All Students,167,s,Dual Language,19.2%,,Dos Puentes Elementary School,,,42.0%,48,42.9%,s,32.1%,60,
55.6%,Attend school outside district of residence,11,s,Gifted and Talented,51.7%,,P.S. 132 The Conselyea School,,,s,17,94.4%,s,s,9,
s,Attend school outside district of residence,s,s,Dual Language,s,,P.S. 214 Michael Friedsam,,,s,s,s,s,s,,
s,Receive free or reduced price lunch,67,s,Dual Language,s,,P.S. 008 Luis Belliard,,,25.3%,s,s,s,36.5%,30,
s,Attend school outside district of residence,s,s,Gifted and Talented,s,,East New York Elementary School of Excellence,,,s,s,s,s,s,,
s,Attend school outside district of residence,s,s,Dual Language,s,,Bedford Park Elementary School,,,s,s,s,s,s,,
s,Receive free or reduced price lunch,21,s,Dual Language,s,,P.S. 188 The Island School,,,30.8%,s,s,s,38.5%,16,
,Students in temporary housing,s,s,Dual Language,s,,P.S. 112 Jose Celso Barbosa,,,,,,s,,,
66.7%,Receive free or reduced price lunch,45,16,Gifted and Talented,s,,Milton Fein School,,,s,54,100.0%,s,s,20,
s,Students with Disabilities,s,s,Dual Language,s,,P.S. 018 Park Terrace,,,89.5%,s,s,s,s,,
38.2%,Receive free or reduced price lunch,62,39,Gifted and Talented,s,,P.S. 153 Helen Keller,,,s,71,93.4%,s,s,21,
s,Students in temporary housing,s,s,Dual Language,s,,M.S. 113 Ronald Edmonds Learning Center,,,s,s,s,s,s,,
s,Students with Disabilities,s,s,Dual Language,s,,P.S. 153 Adam Clayton Powell,,,s,s,s,s,s,,
,Students with Disabilities,s,s,Dual Language,s,,P.S. 015 Patrick F. Daly,,,,,,s,,,
,English Language Learners,s,s,Gifted and Talented,s,s,P.S. 024 Spuyten Duyvil,s,s,,,,s,,,s
s,Attend school outside district of residence,s,s,Dual Language,s,,J.H.S. 123 James M. Kieran,,,s,s,s,s,s,,
48.3%,All Students,114,81,Gifted and Talented,30.9%,,P.S. 038 The Pacific,,,s,111,92.5%,17,s,50,
s,All Students,s,s,Dual Language,s,,P.S. 011 Purvis J. Behan,,,s,s,s,s,s,s,
s,English Language Learners,36,s,Dual Language,s,s,P.S. 008 Luis Belliard,s,s,37.5%,s,s,s,44.2%,17,s
,Students in temporary housing,s,s,Dual Language,s,,P.S. 345 Patrolman Robert Bolden,,,,,,s,,,
s,English Language Learners,11,s,Dual Language,s,s,Brooklyn Arts and Science Elementary School,s,s,100.0%,s,s,s,s,s,s
s,Students with Disabilities,s,s,Dual Language,s,,P.S. 132 Juan Pablo Duarte,,,s,s,s,s,s,,
s,Students in temporary housing,s,10,Dual Language,s,,M.S. 131,,,s,s,s,s,s,,
34.5%,Receive free or reduced price lunch,11,s,Gifted and Talented,s,,Concourse Village Elementary School,,,s,28,96.6%,s,s,11,
,Students with Disabilities,10,13,Dual Language,s,,P.S. 169 Sunset Park,,,,,,s,,,
s,English Language Learners,s,6,Dual Language,s,s,School for Global Leaders,s,s,s,s,s,s,s,,s
81.1%,All Students,108,170,Gifted and Talented,7.1%,,P.S. 130 Hernando De Soto,,,s,120,98.4%,17,s,60,
26.5%,Receive free or reduced price lunch,26,s,Gifted and Talented,s,,P.S. 153 Adam Clayton Powell,,,17.6%,26,76.5%,s,s,8,
,Attend school outside district of residence,s,s,Gifted and Talented,s,,P.S. 072 Dr. William Dorney,,,,,,s,,,
s,Students with Disabilities,s,s,Dual Language,s,,Brooklyn Arbor Elementary School,,,s,s,s,s,s,s,
s,Attend school outside district of residence,s,s,Gifted and Talented,s,,P.S. 198 Isador E. Ida Straus,,,s,s,s,s,s,s,
50.0%,Attend school outside district of residence,13,s,Gifted and Talented,s,,P.S. 129 John H. Finley,,,s,s,s,s,s,8,
s,Students with Disabilities,s,s,Gifted and Talented,s,,P.S./I.S. 217 Roosevelt Island,,,s,s,s,s,s,s,
s,Students with Disabilities,s,s,Dual Language,s,,P.S. 030 Wilton,,,s,s,s,s,s,s,
,Students in temporary housing,s,s,Dual Language,s,,P.S. 169 Sunset Park,,,,,,s,,,
s,Students in temporary housing,33,s,Dual Language,s,,Amistad Dual Language School,,,22.0%,s,s,s,28.6%,7,
,Receive free or reduced price lunch,s,s,Dual Language,s,,P.S. 091 Bronx,,,,,,s,,,
s,Students with Disabilities,8,s,Dual Language,s,,The Family School,,,s,s,s,s,s,s,
s,Students in temporary housing,s,s,Dual Language,s,,P.S. 030 Wilton,,,85.7%,s,s,s,s,s,
,English Language Learners,27,41,Dual Language,s,s,P.S. 169 Sunset Park,s,s,,,,s,,,s
s,Students in temporary housing,s,s,Gifted and Talented,s,,P.S. 115 Daniel Mucatel School,,,s,s,s,s,s,s,
s,Students in temporary housing,s,s,Dual Language,s,,P.S. 098 Shorac Kappock,,,s,s,s,s,75.0%,,
s,Receive free or reduced price lunch,s,s,Dual Language,s,,I.S. 068 Isaac Bildersee,,,s,s,s,s,64.3%,,
s,Students in temporary housing,s,s,Dual Language,s,,P.S. 020 Anna Silver,,,s,s,s,s,s,s,
,All Students,36,s,Dual Language,s,,P.S./I.S. 157 The Benjamin Franklin Health & Scien,,,,,,s,,,
s,Students with Disabilities,18,s,Dual Language,s,,Washington Heights Expeditionary Learning School,,,s,s,s,s,s,,
s,Students with Disabilities,14,s,Dual Language,s,,The Bilingual Bicultural School,,,s,s,s,s,s,,
9.3%,All Students,67,s,Dual Language,7.0%,,P.S. 165 Robert E. Simon,,,32.0%,37,38.1%,s,29.9%,25,
s,Students in temporary housing,s,s,Dual Language,s,,Samara Community School,,,s,s,s,s,s,,
42.9%,Receive free or reduced price lunch,16,s,Dual Language,s,,P.S. 020 Clinton Hill,,,s,s,s,s,s,9,
18.8%,Attend school outside district of residence,17,s,Dual Language,18.9%,,P.S. 084 Jose De Diego,,,s,16,50.0%,s,28.1%,16,
s,English Language Learners,s,s,Dual Language,81.8%,s,P.S. 110 The Monitor,s,9,s,s,s,s,s,s,s
s,Attend school outside district of residence,9,s,Dual Language,81.3%,,P.S. 110 The Monitor,,,s,s,s,s,s,s,
,Students with Disabilities,s,s,Dual Language,s,,P.S. 034 Oliver H. Perry,,,,,,s,,,
,Students in temporary housing,7,16,Dual Language,s,,Ralph A. Fabrizio School,,,,,,s,,,
s,English Language Learners,24,s,Dual Language,s,s,P.S. 018 Park Terrace,s,s,87.5%,s,s,s,18.4%,,s
s,Students with Disabilities,s,s,Gifted and Talented,s,,P.S. 163 Alfred E. Smith,,,s,s,s,s,s,,
s,English Language Learners,56,87,Dual Language,s,s,P.S. 184m Shuang Wen,s,s,13.5%,s,s,s,39.6%,s,s
s,Students with Disabilities,s,s,Dual Language,s,,P.S. 096 Joseph Lanzetta,,,s,s,s,s,s,,
s,English Language Learners,42,s,Dual Language,s,s,P.S. 109 Sedgwick,s,s,62.1%,s,s,s,32.0%,8,s
14.0%,All Students,181,s,Dual Language,4.4%,,Amistad Dual Language School,,,27.3%,126,50.4%,s,30.4%,40,
s,English Language Learners,7,s,Dual Language,s,s,P.S. 200- The James Mccune Smith School,s,s,75.0%,s,s,s,s,s,s
,English Language Learners,s,s,Gifted and Talented,s,s,P.S. 015 Roberto Clemente,s,s,,,,s,,,s
s,Receive free or reduced price lunch,7,s,Dual Language,s,,Professor Juan Bosch Public School,,,s,s,s,s,60.0%,s,
s,Students with Disabilities,s,s,Dual Language,s,,The New American Academy at Roberto Clemente State,,,s,s,s,s,s,,
s,English Language Learners,33,s,Dual Language,s,s,Urban Science Academy,s,s,77.4%,s,s,s,21.6%,,s
,Students with Disabilities,s,s,Dual Language,s,,P.S. 109 Sedgwick,,,,,,s,,,
s,Attend school outside district of residence,s,s,Dual Language,s,,P.S. 196 Ten Eyck,,,s,s,s,s,s,,
s,English Language Learners,s,s,Dual Language,s,s,Professor Juan Bosch Public School,s,s,s,s,s,s,s,s,s
s,All Students,27,39,Dual Language,s,,P.S. 001 Alfred E. Smith,,,s,s,s,s,s,,
s,Attend school outside district of residence,15,s,Dual Language,s,,P.S. 018 Park Terrace,,,65.5%,s,s,s,58.6%,,
,Students with Disabilities,s,s,Dual Language,s,,P.S. 011 Highbridge,,,,,,s,,,
,All Students,7,s,Dual Language,19.5%,,P.S. 124 Silas B. Dutcher,,,,,,s,,,
s,Students in temporary housing,12,s,Dual Language,s,,P.S. 132 Juan Pablo Duarte,,,s,s,s,s,s,8,
,Students in temporary housing,s,s,Dual Language,s,,P.S. 155 William Paca,,,,,,s,,,
s,Attend school outside district of residence,s,s,Gifted and Talented,s,,P.S. 176 Ovington,,,s,s,s,s,s,,
s,English Language Learners,30,s,Dual Language,s,s,P.S./I.S. 54,s,s,80.0%,s,s,s,33.3%,14,s
,English Language Learners,s,s,Gifted and Talented,s,s,P.S. 033 Chelsea Prep,s,s,,,,s,,,s
s,Students in temporary housing,8,s,Dual Language,s,,M.S. 319 - Maria Teresa,,,53.8%,s,s,s,42.9%,,
,All Students,10,s,Dual Language,s,,P.S. 003 The Bedford Village,,,,,,s,,,
,Attend school outside district of residence,s,s,Dual Language,s,,P.S. 155 William Paca,,,,,,s,,,
s,Receive free or reduced price lunch,25,45,Dual Language,s,,M.S. 131,,,s,s,s,s,34.0%,,
,All Students,7,s,Dual Language,s,,P.S. 159 Isaac Pitkin,,,s,,,s,,,
s,All Students,35,s,Dual Language,s,,Community Math & Science Prep,,,92.5%,s,s,s,s,,
,Receive free or reduced price lunch,7,s,Dual Language,s,,P.S. 004 Duke Ellington,,,,,,s,,,
10.7%,All Students,82,s,Dual Language,s,,P.S. 028 Wright Brothers,,,20.0%,47,45.6%,s,38.8%,31,
s,English Language Learners,66,s,Dual Language,s,s,P.S./I.S. 210 - Twenty-first Century Academy for C,s,s,31.0%,s,s,s,51.2%,17,s
,Receive free or reduced price lunch,20,s,Dual Language,s,,P.S. 375 Jackie Robinson School,,,,,,s,,,
s,Students in temporary housing,s,s,Dual Language,s,,P.S. 001 The Bergen,,,s,s,s,s,s,s,
61.5%,Attend school outside district of residence,8,s,Gifted and Talented,s,,Milton Fein School,,,s,s,s,s,s,6,
7.6%,Receive free or reduced price lunch,45,s,Dual Language,s,,M.S. 319 - Maria Teresa,,,34.8%,25,31.6%,s,43.0%,,
,Receive free or reduced price lunch,11,s,Dual Language,s,,P.S. 048 Joseph R. Drake,,,,,,s,,,
s,English Language Learners,39,s,Dual Language,s,s,P.S. 046 Edgar Allan Poe,s,s,44.0%,s,s,s,48.0%,19,s
13.4%,All Students,418,546,Dual Language,0.7%,,P.S. 094 The Henry Longfellow,,,19.8%,231,46.2%,s,29.2%,146,
75.0%,Receive free or reduced price lunch,10,18,Gifted and Talented,30.3%,,P.S. 033 Chelsea Prep,,,s,s,s,s,s,7,
s,All Students,27,s,Dual Language,s,,P.S. 161 Juan Ponce De Leon School,,,s,s,s,s,38.1%,13,
s,Receive free or reduced price lunch,s,s,Dual Language,s,,J.H.S. 088 Peter Rouget,,,s,s,s,s,s,,
23.1%,All Students,61,s,Dual Language,30.3%,,Brooklyn Arbor Elementary School,,,s,30,76.9%,s,s,20,
,Students in temporary housing,s,s,Dual Language,s,,P.S. 049 Willis Avenue,,,,,,s,,,
s,Students with Disabilities,s,s,Dual Language,s,,P.S. 161 Pedro Albizu Campos,,,s,s,s,s,s,s,
s,Students in temporary housing,s,s,Dual Language,s,,P.S. 180 Hugo Newman,,,s,s,s,s,s,,
49.5%,All Students,93,44,Gifted and Talented,40.5%,,P.S. 110 Florence Nightingale,,,s,91,91.9%,9,s,28,
,Attend school outside district of residence,s,s,Dual Language,s,,Grant Avenue Elementary School,,,,,,s,,,
36.4%,All Students,28,s,Gifted and Talented,s,,P.S. 149 Danny Kaye,,,s,30,90.9%,s,s,17,
,Students with Disabilities,s,s,Dual Language,s,,Grant Avenue Elementary School,,,,,,s,,,
46.2%,Attend school outside district of residence,10,6,Gifted and Talented,s,,P.S. 153 Helen Keller,,,s,12,92.3%,s,s,s,
11.0%,All Students,71,s,Dual Language,s,,Liberty Avenue Middle School,,,46.1%,20,22.0%,s,29.7%,,
s,Students with Disabilities,s,s,Dual Language,s,,Liberty Avenue Middle School,,,s,s,s,s,s,,
79.3%,All Students,18,23,Gifted and Talented,20.0%,,P.S. 176 Ovington,,,s,29,100.0%,s,s,,
s,Students with Disabilities,29,s,Dual Language,s,,Amistad Dual Language School,,,54.8%,s,s,s,25.8%,9,
,Receive free or reduced price lunch,11,s,Dual Language,s,,P.S. 380 John Wayne Elementary,,,,,,s,,,
s,Receive free or reduced price lunch,15,s,Dual Language,s,,Middle School 322,,,50.0%,s,s,s,42.4%,,
,Students with Disabilities,s,s,Gifted and Talented,s,,P.S. 230 Doris L. Cohen,,,,,,s,,,
,Students with Disabilities,s,s,Dual Language,s,,P.S. 049 Willis Avenue,,,,,,s,,,
s,Attend school outside district of residence,6,s,Gifted and Talented,s,,P.S. 149 Danny Kaye,,,s,s,s,s,s,s,
39.8%,All Students,146,8,Dual Language,73.7%,,P.S. 058 The Carroll,,,s,116,87.2%,39,s,53,
s,Receive free or reduced price lunch,19,s,Dual Language,s,,P.S. 015 Patrick F. Daly,,,s,s,s,s,50.0%,10,
,Receive free or reduced price lunch,26,s,Dual Language,s,,P.S. 155 William Paca,,,,,,s,,,
s,Receive free or reduced price lunch,119,s,Dual Language,s,,P.S. 024,,,44.7%,s,s,s,41.8%,42,
s,Students in temporary housing,s,7,Gifted and Talented,s,,P.S. 124 Yung Wing,,,s,s,s,s,s,,
,Students in temporary housing,s,s,Dual Language,s,,P.S. 035 Franz Siegel,,,s,,,s,,,
s,Receive free or reduced price lunch,9,s,Dual Language,s,,Brooklyn Arts and Science Elementary School,,,100.0%,s,s,s,s,s,
,All Students,21,s,Dual Language,s,,P.S. 375 Jackie Robinson School,,,,,,s,,,
,English Language Learners,s,s,Gifted and Talented,s,s,P.S. 282 Park Slope,s,s,,,,s,,,s
,Students in temporary housing,s,s,Dual Language,s,,P.S. 058 The Carroll,,,,,,s,,,
s,English Language Learners,19,s,Dual Language,s,s,P.S. 084 Jose De Diego,s,s,68.2%,s,s,s,s,s,s
47.7%,All Students,21,s,Gifted and Talented,s,,P.S. 204 Morris Heights,,,s,40,90.9%,s,s,24,
s,Receive free or reduced price lunch,37,s,Dual Language,14.9%,,Brooklyn Arbor Elementary School,,,s,s,s,s,27.3%,14,
s,Receive free or reduced price lunch,26,s,Dual Language,s,,P.S. 161 Juan Ponce De Leon School,,,s,s,s,s,38.1%,13,
s,Attend school outside district of residence,21,s,Dual Language,s,,Castle Bridge School,,,s,s,s,s,s,7,
s,Students in temporary housing,s,s,Dual Language,s,,J.H.S. 088 Peter Rouget,,,s,s,s,s,s,,
,Attend school outside district of residence,s,s,Dual Language,s,,P.S. 004 Duke Ellington,,,,,,s,,,
s,Students in temporary housing,s,s,Dual Language,s,,Lafayette Academy,,,s,s,s,s,s,,
35.6%,Attend school outside district of residence,79,116,Dual Language,s,,P.S. 184m Shuang Wen,,,6.5%,72,69.2%,10,18.3%,12,
s,Students in temporary housing,s,s,Dual Language,s,,Brooklyn Arts and Science Elementary School,,,s,s,s,s,s,s,
s,English Language Learners,s,s,Dual Language,s,s,Bedford Park Elementary School,s,s,46.2%,s,s,s,s,,s
s,English Language Learners,s,s,Dual Language,s,s,Brooklyn Arbor Elementary School,s,s,s,s,s,s,s,6,s
s,Attend school outside district of residence,s,s,Dual Language,s,,P.S. 153 Adam Clayton Powell,,,s,s,s,s,s,s,
s,Receive free or reduced price lunch,46,s,Dual Language,s,,P.S. 046 Edgar Allan Poe,,,35.9%,s,s,s,46.2%,33,
,English Language Learners,s,s,Dual Language,s,s,P.S. 053 Basheer Quisim,s,s,,,,s,,,s
40.0%,All Students,48,s,Dual Language,49.0%,,P.S. 087 William Sherman,,,s,46,83.6%,9,s,17,
,Attend school outside district of residence,s,s,Dual Language,s,,P.S. 112 Lefferts Park,,,,,,s,,,
s,All Students,s,s,Dual Language,s,,"Technology, Arts, and Sciences Studio",,,,s,s,s,s,,
s,All Students,38,s,Dual Language,s,,Soundview Academy for Culture and Scholarship,,,27.5%,s,s,s,39.5%,,
,Receive free or reduced price lunch,18,s,Dual Language,s,,Brighter Choice Community School,,,,,,s,,,
,All Students,s,s,Dual Language,s,,P.S. 053 Basheer Quisim,,,,,,s,,,
s,English Language Learners,29,s,Dual Language,s,s,P.S. 128 Audubon,s,s,68.8%,s,s,s,s,,s
,English Language Learners,s,s,Gifted and Talented,s,s,P.S. 132 The Conselyea School,s,s,,,,s,,,s
s,Students with Disabilities,s,s,Dual Language,s,,P.S. 098 Shorac Kappock,,,s,s,s,s,s,s,
s,English Language Learners,s,11,Dual Language,s,s,M.S. 131,s,s,s,s,s,s,s,,s
s,English Language Learners,31,s,Dual Language,s,s,P.S. 108 Sal Abbracciamento,s,s,66.7%,s,s,s,38.1%,11,s
s,Students in temporary housing,6,s,Dual Language,s,,M.S. M247 Dual Language Middle School,,,46.2%,s,s,s,46.2%,,
s,English Language Learners,30,s,Dual Language,s,s,P.S. 048 P.O. Michael J. Buczek,s,s,46.2%,s,s,s,57.1%,13,s
s,English Language Learners,s,7,Gifted and Talented,s,s,P.S. 038 The Pacific,s,s,s,s,s,s,s,,s
55.2%,Receive free or reduced price lunch,34,s,Gifted and Talented,s,,P.S. 316 Elijah Stroud,,,s,25,86.2%,s,s,14,
s,Attend school outside district of residence,26,s,Gifted and Talented,s,,P.S. 102 Jacques Cartier,,,s,s,s,s,26.5%,13,
,English Language Learners,20,s,Dual Language,100.0%,s,P.S. 034 Oliver H. Perry,s,s,,,,s,,,s
s,Attend school outside district of residence,s,s,Dual Language,s,,Samara Community School,,,s,s,s,s,s,,
