math_level_3_1,ell_arabic_1,math_level_2_1,ell_other,ell_french_1,ell_spanish,black_1,ell_chinese,dbn,total_enrollment,ell_arabic,grade_7,math_l3_l4,year,ell_russian_1,white
s,,s,,,,s,,15K058,16,,,s,2017-18,,12
20.5%,,29.1%,,,,s,,03M247,117,,42,43,2017-18,,s
s,,s,,,,s,,01M378,s,,s,s,2017-18,,s
30.8%,,s,,,,23.6%,,12X463,55,,,s,2017-18,,s
s,,31.4%,,,,3.0%,,19K089,404,,46,s,2017-18,,s
s,s,20.4%,s,s,53,s,s,19K662,53,s,11,s,2017-18,s,s
s,,s,,,,37.5%,,01M188,16,,,s,2017-18,,s
,s,,s,s,s,s,s,13K009,7,s,,,2017-18,s,s
,s,,s,s,s,s,s,20K200,18,s,,,2017-18,100.0%,18
s,,s,,,,s,,17K189,s,,s,s,2017-18,,s
,,,,,,s,,01M301,s,,s,,2017-18,,s
s,,s,,,,s,,15K024,14,,,s,2017-18,,s
,,,,,,22.0%,,09X449,41,,,,2017-18,,s
s,,s,,,,s,,06M513,29,,,s,2017-18,,s
22.1%,,36.8%,,,,s,,06M311,310,,37,66,2017-18,,s
s,,s,,,,s,,01M378,13,,13,s,2017-18,,s
,s,,s,s,19,s,s,10X207,19,s,,,2017-18,s,s
,s,,s,s,10,s,s,13K054,10,s,,,2017-18,s,s
,,,,,,s,,15K169,130,,,,2017-18,,s
s,,83.3%,,,,s,,06M178,22,,,s,2017-18,,s
,,,,,,s,,08X048,s,,,,2017-18,,s
27.0%,,21.2%,,,,43.0%,,15K497,151,,52,56,2017-18,,38
27.5%,,25.2%,,,,8.3%,,03M075,266,,,64,2017-18,,46
,s,,s,s,14,s,s,09X055,14,s,,,2017-18,s,s
s,,s,,,,86.4%,,17K316,44,,,s,2017-18,,s
,,,,,,25.0%,,14K018,48,,,,2017-18,,s
36.5%,,19.8%,,,,s,,06M028,169,,,58,2017-18,,s
s,s,s,s,s,11,s,s,04M372,11,s,,s,2017-18,s,s
s,,28.3%,,,,s,,06M098,46,,,s,2017-18,,s
,,,,,,s,,19K202,s,,,,2017-18,,s
s,,28.0%,,,,s,,03M247,25,,7,s,2017-18,,s
s,,s,,,,s,,04M182,26,,,s,2017-18,,s
,,,,,,s,,15K124,s,,,,2017-18,,s
34.9%,,s,,,,s,,14K110,184,,,s,2017-18,,157
,,,,,,s,,09X311,s,,,,2017-18,,s
s,s,11.1%,s,s,107,s,s,09X073,107,s,,s,2017-18,s,s
s,,s,,,,s,,18K068,s,,,s,2017-18,,s
s,,42.3%,,,,12.0%,,04M096,83,,,s,2017-18,,s
s,s,s,s,s,14,s,s,19K214,15,s,,s,2017-18,s,s
29.3%,,17.3%,,,,s,,01M020,111,,,50,2017-18,,s
,,,,,,s,,06M004,6,,,,2017-18,,s
38.9%,s,s,s,s,14,30.0%,s,17K189,20,s,s,s,2017-18,s,s
,,,,,,s,,14K380,30,,,,2017-18,,s
s,,26.9%,,,,s,,06M103,81,,,s,2017-18,,8
s,s,s,s,s,s,s,s,09X035,s,s,,s,2017-18,s,s
,,,,,,48.8%,,13K054,41,,,,2017-18,,s
s,,s,,,,s,,09X274,29,,,s,2017-18,,s
s,,s,,,,s,,09X055,38,,,s,2017-18,,s
10.9%,,s,,,,s,,02M077,358,,,182,2017-18,,181
,,,,,,100.0%,,18K276,46,,,,2017-18,,s
30.0%,,s,,,,s,,15K094,43,,,18,2017-18,,s
s,,s,,,,s,,09X311,28,,,s,2017-18,,s
,,,,,,s,,19K345,37,,,,2017-18,,s
s,,37.5%,,,,s,,04M057,72,,,s,2017-18,,s
s,,28.6%,,,,s,,06M018,21,,s,s,2017-18,,s
s,,s,,,,s,,07X161,9,,,s,2017-18,,s
,s,,s,s,s,s,s,06M153,s,s,,,2017-18,s,s
s,s,s,s,50.0%,12,s,s,13K133,24,s,,s,2017-18,s,9
s,,s,,,,s,,07X584,6,,,s,2017-18,,s
s,,s,,,,s,,15K136,s,,,s,2017-18,,s
s,,s,,,,s,,12X458,32,,,s,2017-18,,s
s,,s,,,,s,,15K015,10,,,s,2017-18,,s
s,,31.7%,,,,3.2%,,09X109,187,,,s,2017-18,,s
s,s,s,s,s,32,s,s,12X092,32,s,,s,2017-18,s,s
,,,,,,56.1%,,16K627,66,,,,2017-18,,s
s,,32.1%,,,,s,,06M028,44,,,s,2017-18,,s
s,,s,,,,s,,07X030,56,,,s,2017-18,,s
,s,,s,s,s,s,s,14K250,s,s,,,2017-18,s,s
s,,s,,,,s,,02M001,6,,,s,2017-18,,s
18.0%,,30.6%,,,,s,,05M161,145,,24,34,2017-18,,s
38.1%,,s,,,,71.4%,,15K088,21,,,s,2017-18,,s
s,,s,,,,s,,13K113,7,,s,s,2017-18,,s
s,,s,,,,s,,01M188,s,,,s,2017-18,,s
s,,41.7%,,,,s,,06M311,52,,9,s,2017-18,,s
s,,s,,,,s,,13K009,s,,,s,2017-18,,s
s,,s,,,,s,,12X458,9,,,s,2017-18,,s
s,,s,,,,s,,09X274,8,,,s,2017-18,,s
s,,s,,,,88.9%,,16K026,9,,,s,2017-18,,s
s,,s,,,,58.3%,,03M256,12,,,s,2017-18,,s
19.8%,,24.8%,,,,s,,19K662,106,,27,30,2017-18,,s
15.5%,,24.1%,,,,8.0%,,01M184,87,,16,23,2017-18,,s
s,,24.3%,,,,s,,12X092,54,,,s,2017-18,,s
s,,40.0%,,,,s,,10X390,25,,9,s,2017-18,,s
s,,s,,,,s,,06M328,13,,s,s,2017-18,,s
s,,s,,,,s,,17K249,14,,,s,2017-18,,s
s,,22.6%,,,,s,,02M131,53,,21,s,2017-18,,s
s,s,s,s,s,s,s,12,02M124,13,s,,s,2017-18,s,s
s,,s,,,,83.3%,,18K115,24,,,s,2017-18,,s
42.1%,,s,,,,s,,15K001,25,,,s,2017-18,,s
s,s,s,s,s,42,s,s,19K218,42,s,14,s,2017-18,s,s
s,,s,,,,s,,06M348,130,,,s,2017-18,,14
8.2%,,s,,,,s,,02M198,152,,,72,2017-18,,79
s,s,s,s,s,s,s,s,11X355,s,s,,s,2017-18,s,s
s,,s,,,,s,,17K316,s,,,s,2017-18,,s
40.9%,,s,,,,39.1%,,19K677,23,,,s,2017-18,,s
s,,s,,,,s,,09X035,s,,,s,2017-18,,s
21.3%,,28.8%,,,,3.8%,,09X218,860,,92,139,2017-18,,s
29.7%,,32.4%,,,,s,,15K001,202,,,52,2017-18,,s
,,,,,,s,,19K202,s,,,,2017-18,,s
,s,,s,s,13,s,s,14K380,13,s,,,2017-18,s,s
,,,,,,s,,10X054,s,,,,2017-18,,s
s,,12.2%,,,,s,,19K218,52,,16,s,2017-18,,s
,,,,,,s,,14K250,22,,,,2017-18,,s
20.2%,,34.5%,,,,s,,06M210,144,,17,29,2017-18,,s
s,,s,,,,s,,15K136,28,,,s,2017-18,,s
s,,s,,,,s,,19K108,s,,,s,2017-18,,s
s,,s,,,,s,,06M153,12,,,s,2017-18,,s
s,,s,,,,s,,01M015,s,,,s,2017-18,,s
s,,23.8%,,,,s,,06M103,233,,,s,2017-18,,11
,,,,,,s,,20K179,s,,,,2017-18,,s
,,,,,,s,,13K054,s,,,,2017-18,,s
s,,s,,,,s,,06M322,6,,s,s,2017-18,,s
s,,s,,,,s,,03M163,21,,,s,2017-18,,s
17.6%,,31.1%,,,,s,,03M247,74,,29,29,2017-18,,s
