location,latitude,longitude,:@computed_region_sbqj_enih,vehicle_safety_violations_per_vehicle,affiliated_vehicles,percent_wheelchair_accessible_vehicles,community_board,sector_average_vehicle_safety_violations_per_vehicle,bbl,postcode,injury_crashes_per_vehicle,nta,on_demand_service
"{'latitude': '40.675852', 'longitude': '-73.96356'}",40.675852,-73.96356,49.0,0.03,32.0,0.0,8.0,0.1,3011600045.0,11238.0,0.03,Prospect Heights                                                           ,Not Reported
"{'latitude': '40.765944', 'longitude': '-73.912989'}",40.765944,-73.912989,72.0,0.06,16.0,0.0,1.0,0.1,4006840014.0,11103.0,0.0,Astoria                                                                    ,Not Reported
"{'latitude': '40.756839', 'longitude': '-73.999141'}",40.756839,-73.999141,6.0,0.13,113.0,0.0,4.0,0.09,1007080048.0,10018.0,0.01,Hudson Yards-Chelsea-Flatiron-Union Square                                 ,Yes
"{'latitude': '40.803251', 'longitude': '-73.90843'}",40.803251,-73.90843,23.0,0.0,55.0,0.0,1.0,0.06,2025900051.0,10454.0,0.0,Mott Haven-Port Morris                                                     ,Yes
"{'latitude': '40.59092', 'longitude': '-73.961'}",40.59092,-73.961,36.0,0.09,21.0,0.0,15.0,0.09,3072040030.0,11235.0,0.05,Brighton Beach                                                             ,Not Reported
"{'latitude': '40.617782', 'longitude': '-74.101897'}",40.617782,-74.101897,74.0,0.07,45.0,0.0,1.0,0.1,5002470008.0,10301.0,0.02,New Brighton-Silver Lake                                                   ,Not Reported
"{'latitude': '40.737289', 'longitude': '-73.89592'}",40.737289,-73.89592,66.0,0.13,16.0,0.0,2.0,0.06,,11377.0,0.0,Elmhurst-Maspeth                                                           ,Not Reported
"{'latitude': '40.625703', 'longitude': '-73.939761'}",40.625703,-73.939761,38.0,0.0,10.0,0.0,18.0,0.09,3076190005.0,11210.0,0.1,Flatlands                                                                  ,Not Reported
"{'latitude': '40.752235', 'longitude': '-73.85365'}",40.752235,-73.85365,73.0,0.34,52.0,0.0,3.0,0.1,4017860030.0,11368.0,0.08,Corona                                                                     ,Not Reported
"{'latitude': '40.735627', 'longitude': '-73.93612'}",40.735627,-73.93612,66.0,0.09,447.0,0.0,2.0,0.09,4003040002.0,11101.0,0.02,Hunters Point-Sunnyside-West Maspeth                                       ,Not Reported
"{'latitude': '40.75273', 'longitude': '-74.006408'}",40.75273,-74.006408,6.0,0.0,21.0,0.0,4.0,0.09,1006730001.0,10001.0,0.19,Hudson Yards-Chelsea-Flatiron-Union Square                                 ,Yes
"{'latitude': '40.592698', 'longitude': '-73.948855'}",40.592698,-73.948855,36.0,0.13,23.0,0.0,15.0,0.06,3074220202.0,11235.0,0.0,Sheepshead Bay-Gerritsen Beach-Manhattan Beach                             ,Not Reported
"{'latitude': '40.82848', 'longitude': '-73.394994'}",40.82848,-73.394994,,0.26,16.0,0.0,,0.09,,11746.0,0.0,,Not Reported
"{'latitude': '40.740878', 'longitude': '-73.942043'}",40.740878,-73.942043,66.0,0.06,254.0,0.0,2.0,0.06,4001130035.0,11101.0,0.01,Hunters Point-Sunnyside-West Maspeth                                       ,Not Reported
"{'latitude': '40.688403', 'longitude': '-73.819306'}",40.688403,-73.819306,64.0,0.19,10.0,0.0,10.0,0.1,4095620031.0,11419.0,0.1,South Ozone Park                                                           ,Not Reported
"{'latitude': '40.830027', 'longitude': '-73.9723'}",40.830027,-73.9723,,0.05,20.0,0.0,,0.06,,,0.0,,Not Reported
"{'latitude': '40.752792', 'longitude': '-73.88013'}",40.752792,-73.88013,73.0,0.1,81.0,0.0,3.0,0.1,4012710085.0,11372.0,0.05,Jackson Heights                                                            ,Yes
"{'latitude': '40.75273', 'longitude': '-74.00641'}",40.75273,-74.00641,6.0,0.08,13.0,0.0,4.0,0.09,1006730001.0,10001.0,0.0,Hudson Yards-Chelsea-Flatiron-Union Square                                 ,Yes
"{'latitude': '40.681771', 'longitude': '-73.98047'}",40.681771,-73.98047,54.0,0.09,32.0,0.0,2.0,0.1,3003950034.0,11217.0,0.0,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           ,Not Reported
"{'latitude': '40.733779', 'longitude': '-73.635348'}",40.733779,-73.635348,,0.06,16.0,0.0,,0.09,,11530.0,0.0,,Not Reported
"{'latitude': '40.59092', 'longitude': '-73.961'}",40.59092,-73.961,36.0,0.15,13.0,0.0,15.0,0.1,3072040030.0,11235.0,0.0,Brighton Beach                                                             ,Not Reported
"{'latitude': '40.717166', 'longitude': '-73.857354'}",40.717166,-73.857354,70.0,0.0,10.0,10.0,6.0,0.1,4031500130.0,11375.0,0.0,Forest Hills                                                               ,Not Reported
"{'latitude': '40.823087', 'longitude': '-74.155516'}",40.823087,-74.155516,,0.0,23.0,0.0,,0.06,,,0.0,,Not Reported
"{'latitude': '40.864833', 'longitude': '-73.92718'}",40.864833,-73.92718,22.0,0.11,161.0,0.0,12.0,0.1,1021750053.0,10040.0,0.02,Washington Heights North                                                   ,Not Reported
"{'latitude': '40.615053', 'longitude': '-73.98053'}",40.615053,-73.98053,37.0,0.0,12.0,0.0,11.0,0.1,3055430037.0,11204.0,0.09,Bensonhurst West                                                           ,Not Reported
"{'latitude': '40.680078', 'longitude': '-73.958011'}",40.680078,-73.958011,51.0,0.03,29.0,0.0,3.0,0.1,3020200001.0,11238.0,0.07,Clinton Hill                                                               ,Not Reported
"{'latitude': '40.74393', 'longitude': '-73.98819'}",40.74393,-73.98819,7.0,0.06,90.0,0.0,5.0,0.09,1008280040.0,10001.0,0.04,Hudson Yards-Chelsea-Flatiron-Union Square                                 ,Not Reported
"{'latitude': '40.761071', 'longitude': '-73.876906'}",40.761071,-73.876906,73.0,0.21,14.0,0.0,3.0,0.09,4013890025.0,11369.0,0.07,Jackson Heights                                                            ,Yes
"{'latitude': '40.63375', 'longitude': '-74.12479'}",40.63375,-74.12479,74.0,0.19,11.0,0.0,1.0,0.09,5002130029.0,10310.0,0.0,West New Brighton-New Brighton-St. George                                  ,Yes
"{'latitude': '40.846778', 'longitude': '-73.920631'}",40.846778,-73.920631,29.0,0.05,123.0,0.0,5.0,0.1,2028760064.0,10453.0,0.02,University Heights-Morris Heights                                          ,Yes
"{'latitude': '40.742616', 'longitude': '-73.67271'}",40.742616,-73.67271,,0.07,15.0,0.0,,0.06,,11040.0,0.0,,Not Reported
"{'latitude': '40.868211', 'longitude': '-73.82485'}",40.868211,-73.82485,28.0,0.11,52.0,0.0,10.0,0.1,2051410810.0,10475.0,0.06,Co-op City                                                                 ,Not Reported
"{'latitude': '40.760743', 'longitude': '-73.797793'}",40.760743,-73.797793,67.0,0.13,15.0,0.0,7.0,0.1,4052850001.0,11358.0,0.0,Murray Hill                                                                ,Not Reported
"{'latitude': '40.670806', 'longitude': '-73.941161'}",40.670806,-73.941161,49.0,0.03,36.0,0.0,8.0,0.1,3012580016.0,11213.0,0.19,Crown Heights North                                                        ,Not Reported
"{'latitude': '40.733903', 'longitude': '-73.758753'}",40.733903,-73.758753,69.0,0.0,29.0,0.0,11.0,0.06,4077690035.0,11364.0,0.0,Oakland Gardens                                                            ,Not Reported
"{'latitude': '40.759443', 'longitude': '-73.831094'}",40.759443,-73.831094,67.0,0.08,13.0,0.0,7.0,0.1,4049760010.0,11354.0,0.0,Flushing                                                                   ,Yes
"{'latitude': '40.827349', 'longitude': '-73.945743'}",40.827349,-73.945743,19.0,0.1,59.0,0.0,9.0,0.1,1020630004.0,10031.0,0.05,Hamilton Heights                                                           ,Not Reported
"{'latitude': '40.812145', 'longitude': '-73.85679'}",40.812145,-73.85679,26.0,0.11,55.0,0.0,9.0,0.09,2034740064.0,10473.0,0.09,Soundview-Castle Hill-Clason Point-Harding Park                            ,Not Reported
"{'latitude': '40.616294', 'longitude': '-73.98612'}",40.616294,-73.98612,37.0,0.0,15.0,0.0,11.0,0.09,3055550035.0,11204.0,0.0,Bensonhurst West                                                           ,Not Reported
"{'latitude': '40.743687', 'longitude': '-73.310293'}",40.743687,-73.310293,,0.07,27.0,0.0,,0.06,,11729.0,0.04,,Not Reported
"{'latitude': '40.745662', 'longitude': '-73.86428'}",40.745662,-73.86428,68.0,0.2,24.0,0.0,4.0,0.1,4016270202.0,11368.0,0.04,Corona                                                                     ,Not Reported
"{'latitude': '40.650862', 'longitude': '-73.943113'}",40.650862,-73.943113,40.0,0.12,50.0,0.0,17.0,0.1,3048900007.0,11203.0,0.04,East Flatbush-Farragut                                                     ,Not Reported
"{'latitude': '40.856193', 'longitude': '-73.889072'}",40.856193,-73.889072,31.0,0.06,97.0,0.0,6.0,0.1,2030540022.0,10458.0,0.04,Belmont                                                                    ,Not Reported
"{'latitude': '40.812094', 'longitude': '-73.90301'}",40.812094,-73.90301,24.0,0.04,112.0,0.0,2.0,0.09,2026030007.0,10455.0,0.04,Longwood                                                                   ,Not Reported
"{'latitude': '40.680038', 'longitude': '-73.95798'}",40.680038,-73.95798,51.0,0.06,100.0,1.0,3.0,0.1,3020200001.0,11238.0,0.05,Clinton Hill                                                               ,Yes
"{'latitude': '40.841813', 'longitude': '-73.884211'}",40.841813,-73.884211,31.0,0.08,149.0,2.0,6.0,0.1,2029850045.0,10460.0,0.07,East Tremont                                                               ,Not Reported
"{'latitude': '40.75839', 'longitude': '-73.942365'}",40.75839,-73.942365,72.0,0.05,328.0,6.0,1.0,0.1,4004740029.0,11101.0,0.05,Queensbridge-Ravenswood-Long Island City                                   ,Not Reported
"{'latitude': '40.884924', 'longitude': '-73.878591'}",40.884924,-73.878591,34.0,0.23,43.0,2.0,7.0,0.1,2033290142.0,10467.0,0.05,Norwood                                                                    ,Not Reported
"{'latitude': '40.649163', 'longitude': '-74.009293'}",40.649163,-74.009293,45.0,0.07,45.0,0.0,7.0,0.1,3007380001.0,11220.0,0.02,Sunset Park West                                                           ,Not Reported
"{'latitude': '40.687993', 'longitude': '-73.83363'}",40.687993,-73.83363,60.0,0.37,11.0,0.0,9.0,0.09,4094120051.0,11419.0,0.0,Richmond Hill                                                              ,Not Reported
"{'latitude': '40.67053', 'longitude': '-73.784057'}",40.67053,-73.784057,71.0,0.0,12.0,0.0,12.0,0.06,4121270055.0,11434.0,0.0,Springfield Gardens North                                                  ,Yes
"{'latitude': '40.618621', 'longitude': '-74.030267'}",40.618621,-74.030267,41.0,0.1,10.0,0.0,10.0,0.1,3060860045.0,11209.0,0.0,Bay Ridge                                                                  ,Not Reported
"{'latitude': '40.75273', 'longitude': '-74.00641'}",40.75273,-74.00641,6.0,0.0,21.0,0.0,4.0,0.09,1006730001.0,10001.0,0.0,Hudson Yards-Chelsea-Flatiron-Union Square                                 ,Yes
"{'latitude': '40.76449', 'longitude': '-73.997759'}",40.76449,-73.997759,10.0,0.0,12.0,0.0,4.0,0.06,1010940017.0,10036.0,0.0,Clinton                                                                    ,Not Reported
"{'latitude': '40.694521', 'longitude': '-73.931575'}",40.694521,-73.931575,52.0,0.06,78.0,0.0,3.0,0.1,3015960049.0,11221.0,0.06,Stuyvesant Heights                                                         ,Not Reported
"{'latitude': '40.75273', 'longitude': '-74.00641'}",40.75273,-74.00641,6.0,0.0,15.0,0.0,4.0,0.09,1006730001.0,10001.0,0.07,Hudson Yards-Chelsea-Flatiron-Union Square                                 ,Yes
"{'latitude': '40.736531', 'longitude': '-73.52964'}",40.736531,-73.52964,,0.0,11.0,0.0,,0.06,,11756.0,0.0,,Not Reported
"{'latitude': '40.713758', 'longitude': '-73.75641'}",40.713758,-73.75641,61.0,0.09,11.0,0.0,12.0,0.09,4104760001.0,11423.0,0.0,Hollis                                                                     ,Not Reported
"{'latitude': '40.679415', 'longitude': '-73.79201'}",40.679415,-73.79201,71.0,0.08,12.0,0.0,12.0,0.1,4120220031.0,11434.0,0.0,Baisley Park                                                               ,Not Reported
"{'latitude': '40.755282', 'longitude': '-73.99349'}",40.755282,-73.99349,8.0,0.0,35.0,0.0,4.0,0.09,1007610053.0,10018.0,0.03,Hudson Yards-Chelsea-Flatiron-Union Square                                 ,Yes
"{'latitude': '40.675938', 'longitude': '-73.815393'}",40.675938,-73.815393,64.0,0.09,11.0,0.0,10.0,0.09,4116790009.0,11420.0,0.09,South Ozone Park                                                           ,Not Reported
"{'latitude': '40.704842', 'longitude': '-73.651686'}",40.704842,-73.651686,,0.0,12.0,0.0,,0.09,,11552.0,0.0,,Not Reported
"{'latitude': '40.713899', 'longitude': '-73.95531'}",40.713899,-73.95531,56.0,0.11,19.0,0.0,1.0,0.09,3023690016.0,11211.0,0.11,North Side-South Side                                                      ,Not Reported
"{'latitude': '40.614361', 'longitude': '-73.928264'}",40.614361,-73.928264,38.0,0.2,10.0,0.0,18.0,0.1,3085090041.0,11234.0,0.1,Georgetown-Marine Park-Bergen Beach-Mill Basin                             ,Not Reported
"{'latitude': '40.619641', 'longitude': '-73.737598'}",40.619641,-73.737598,,0.13,23.0,0.0,,0.06,,11096.0,0.09,,Not Reported
"{'latitude': '40.634321', 'longitude': '-73.992234'}",40.634321,-73.992234,39.0,0.0,16.0,0.0,12.0,0.1,3056420001.0,11219.0,0.0,Borough Park                                                               ,Not Reported
"{'latitude': '40.722961', 'longitude': '-73.91031'}",40.722961,-73.91031,62.0,0.07,14.0,0.0,5.0,0.06,4026700015.0,11378.0,0.0,Maspeth                                                                    ,Not Reported
"{'latitude': '41.083191', 'longitude': '-74.149513'}",41.083191,-74.149513,,0.0,159.0,0.0,,0.06,,,0.01,,Not Reported
"{'latitude': '40.762639', 'longitude': '-73.874743'}",40.762639,-73.874743,73.0,0.04,49.0,0.0,3.0,0.1,4013740006.0,11369.0,0.06,East Elmhurst                                                              ,Not Reported
"{'latitude': '40.741147', 'longitude': '-73.942306'}",40.741147,-73.942306,66.0,0.05,21.0,0.0,2.0,0.06,4001130035.0,11101.0,0.0,Hunters Point-Sunnyside-West Maspeth                                       ,Not Reported
"{'latitude': '40.597832', 'longitude': '-73.96094'}",40.597832,-73.96094,36.0,0.0,16.0,0.0,15.0,0.09,3073430073.0,11223.0,0.06,Homecrest                                                                  ,Not Reported
"{'latitude': '40.738362', 'longitude': '-73.895646'}",40.738362,-73.895646,66.0,0.2,10.0,0.0,2.0,0.1,4024330046.0,11377.0,0.0,Elmhurst-Maspeth                                                           ,Not Reported
"{'latitude': '40.804257', 'longitude': '-73.9523'}",40.804257,-73.9523,18.0,0.08,84.0,2.0,,0.1,,10026.0,0.08,,Not Reported
"{'latitude': '41.149023', 'longitude': '-73.489533'}",41.149023,-73.489533,,0.0,20.0,0.0,,0.06,,,0.0,,Not Reported
"{'latitude': '40.637339', 'longitude': '-74.081435'}",40.637339,-74.081435,74.0,0.09,35.0,11.0,1.0,0.1,5000230040.0,10301.0,0.03,West New Brighton-New Brighton-St. George                                  ,Yes
"{'latitude': '40.75273', 'longitude': '-74.006408'}",40.75273,-74.006408,6.0,0.03,76.0,0.0,4.0,0.09,1006730001.0,10001.0,0.01,Hudson Yards-Chelsea-Flatiron-Union Square                                 ,Yes
"{'latitude': '40.588063', 'longitude': '-73.95214'}",40.588063,-73.95214,36.0,0.0,11.0,0.0,15.0,0.1,3074627502.0,11204.0,0.27,Sheepshead Bay-Gerritsen Beach-Manhattan Beach                             ,Not Reported
"{'latitude': '40.613289', 'longitude': '-73.982362'}",40.613289,-73.982362,37.0,0.73,14.0,0.0,11.0,0.1,3055640040.0,11204.0,0.22,Bensonhurst West                                                           ,Not Reported
"{'latitude': '40.75273', 'longitude': '-74.00641'}",40.75273,-74.00641,6.0,0.22,13.0,0.0,4.0,0.09,1006730001.0,10001.0,0.07,Hudson Yards-Chelsea-Flatiron-Union Square                                 ,Yes
"{'latitude': '40.74844', 'longitude': '-73.93946'}",40.74844,-73.93946,66.0,0.09,64.0,0.0,2.0,0.1,4004320001.0,11101.0,0.02,Hunters Point-Sunnyside-West Maspeth                                       ,Not Reported
"{'latitude': '40.678872', 'longitude': '-73.96373'}",40.678872,-73.96373,49.0,0.16,25.0,0.0,8.0,0.1,3011400005.0,11238.0,0.12,Prospect Heights                                                           ,Not Reported
"{'latitude': '40.755756', 'longitude': '-73.836021'}",40.755756,-73.836021,67.0,0.07,72.0,0.0,7.0,0.09,4050600068.0,11354.0,0.0,Flushing                                                                   ,Not Reported
"{'latitude': '40.789522', 'longitude': '-73.813228'}",40.789522,-73.813228,67.0,0.08,24.0,0.0,7.0,0.1,4045180015.0,11357.0,0.08,Whitestone                                                                 ,Not Reported
"{'latitude': '40.610532', 'longitude': '-73.954634'}",40.610532,-73.954634,36.0,0.0,13.0,0.0,15.0,0.1,3067820001.0,11229.0,0.0,Madison                                                                    ,Yes
"{'latitude': '40.863348', 'longitude': '-74.09752'}",40.863348,-74.09752,,0.0,12.0,0.0,,0.06,,,0.0,,Not Reported
"{'latitude': '40.75273', 'longitude': '-74.00641'}",40.75273,-74.00641,6.0,0.15,20.0,0.0,4.0,0.09,1006730001.0,10001.0,0.0,Hudson Yards-Chelsea-Flatiron-Union Square                                 ,Yes
"{'latitude': '40.748075', 'longitude': '-73.877522'}",40.748075,-73.877522,68.0,0.05,22.0,0.0,4.0,0.06,4015100005.0,11372.0,0.0,Elmhurst                                                                   ,Not Reported
"{'latitude': '40.682109', 'longitude': '-73.81474'}",40.682109,-73.81474,64.0,0.17,115.0,0.0,10.0,0.1,4116310003.0,11420.0,0.13,South Ozone Park                                                           ,Not Reported
"{'latitude': '40.794972', 'longitude': '-73.93357'}",40.794972,-73.93357,16.0,0.08,172.0,8.0,11.0,0.1,1017090027.0,10029.0,0.09,East Harlem North                                                          ,Not Reported
"{'latitude': '40.708035', 'longitude': '-73.8608'}",40.708035,-73.8608,62.0,0.3,10.0,0.0,5.0,0.06,4038560223.0,11385.0,0.0,Glendale                                                                   ,Not Reported
"{'latitude': '40.703715', 'longitude': '-73.92737'}",40.703715,-73.92737,53.0,0.1,79.0,0.0,4.0,0.1,3031650031.0,11237.0,0.05,Bushwick North                                                             ,Not Reported
"{'latitude': '40.844708', 'longitude': '-73.909828'}",40.844708,-73.909828,27.0,0.05,201.0,0.0,4.0,0.1,2028240051.0,10457.0,0.07,Mount Hope                                                                 ,Not Reported
"{'latitude': '40.704206', 'longitude': '-73.91033'}",40.704206,-73.91033,62.0,0.1,144.0,0.0,5.0,0.1,4034400028.0,11385.0,0.01,Ridgewood                                                                  ,Not Reported
"{'latitude': '40.755545', 'longitude': '-73.814929'}",40.755545,-73.814929,67.0,0.07,57.0,0.0,7.0,0.1,4054060047.0,11355.0,0.05,East Flushing                                                              ,Not Reported
"{'latitude': '40.856313', 'longitude': '-73.928389'}",40.856313,-73.928389,22.0,0.06,350.0,1.0,12.0,0.1,1021610017.0,10040.0,0.04,Washington Heights North                                                   ,Not Reported
"{'latitude': '41.09836', 'longitude': '-73.775645'}",41.09836,-73.775645,,0.08,13.0,0.0,,0.06,,10595.0,0.0,,Not Reported
"{'latitude': '40.602721', 'longitude': '-73.99516'}",40.602721,-73.99516,37.0,0.0,32.0,0.0,11.0,0.1,3063790038.0,11214.0,0.09,Bensonhurst West                                                           ,Not Reported
"{'latitude': '40.751808', 'longitude': '-73.9473'}",40.751808,-73.9473,66.0,0.19,10.0,0.0,2.0,0.09,4004590001.0,11101.0,0.0,Hunters Point-Sunnyside-West Maspeth                                       ,Not Reported
"{'latitude': '40.72785', 'longitude': '-73.854874'}",40.72785,-73.854874,70.0,0.04,23.0,0.0,6.0,0.1,4021050001.0,11374.0,0.0,Forest Hills                                                               ,Yes
"{'latitude': '40.751777', 'longitude': '-73.930235'}",40.751777,-73.930235,72.0,0.0,26.0,0.0,1.0,0.1,4002140238.0,11101.0,0.0,Hunters Point-Sunnyside-West Maspeth                                       ,Not Reported
"{'latitude': '40.740256', 'longitude': '-73.952684'}",40.740256,-73.952684,66.0,0.04,104.0,0.0,2.0,0.06,4000380016.0,11101.0,0.0,Hunters Point-Sunnyside-West Maspeth                                       ,Not Reported
"{'latitude': '40.577118', 'longitude': '-73.96247'}",40.577118,-73.96247,35.0,0.0,11.0,9.0,13.0,0.1,3086880076.0,11235.0,0.18,Brighton Beach                                                             ,Not Reported
"{'latitude': '40.63575', 'longitude': '-73.962804'}",40.63575,-73.962804,43.0,0.05,19.0,0.0,14.0,0.1,3052360008.0,11226.0,0.1,Flatbush                                                                   ,Not Reported
"{'latitude': '40.595422', 'longitude': '-73.992368'}",40.595422,-73.992368,37.0,0.0,14.0,0.0,11.0,0.1,3068760001.0,11214.0,0.0,Bensonhurst East                                                           ,Not Reported
"{'latitude': '40.818455', 'longitude': '-73.862707'}",40.818455,-73.862707,26.0,0.05,270.0,1.0,9.0,0.1,2035580012.0,10473.0,0.04,Soundview-Castle Hill-Clason Point-Harding Park                            ,Not Reported
"{'latitude': '40.766346', 'longitude': '-73.833181'}",40.766346,-73.833181,67.0,0.07,27.0,0.0,7.0,0.1,4049490001.0,11354.0,0.0,Flushing                                                                   ,Not Reported
"{'latitude': '40.864581', 'longitude': '-73.92253'}",40.864581,-73.92253,22.0,0.0,10.0,0.0,12.0,0.1,1022210017.0,10034.0,0.0,Marble Hill-Inwood                                                         ,Not Reported
"{'latitude': '40.629493', 'longitude': '-73.96644'}",40.629493,-73.96644,43.0,0.03,320.0,4.0,14.0,0.1,3064980052.0,11230.0,0.06,Flatbush                                                                   ,Not Reported
"{'latitude': '40.765173', 'longitude': '-73.885915'}",40.765173,-73.885915,73.0,0.0,11.0,0.0,3.0,0.06,4010780044.0,11370.0,0.0,Jackson Heights                                                            ,Not Reported
"{'latitude': '40.634003', 'longitude': '-73.96386'}",40.634003,-73.96386,43.0,0.07,14.0,0.0,14.0,0.09,3052350037.0,11230.0,0.07,Flatbush                                                                   ,Not Reported
"{'latitude': '40.74844', 'longitude': '-73.93946'}",40.74844,-73.93946,66.0,0.13,1564.0,0.0,2.0,0.09,4004320001.0,11101.0,0.04,Hunters Point-Sunnyside-West Maspeth                                       ,Yes
"{'latitude': '40.628543', 'longitude': '-74.006362'}",40.628543,-74.006362,41.0,0.03,151.0,0.0,10.0,0.1,3057510041.0,11219.0,0.03,Dyker Heights                                                              ,Not Reported
"{'latitude': '40.670603', 'longitude': '-73.988814'}",40.670603,-73.988814,50.0,0.04,23.0,0.0,6.0,0.1,3010030040.0,11215.0,0.04,Park Slope-Gowanus                                                         ,Not Reported
"{'latitude': '40.797215', 'longitude': '-73.96941'}",40.797215,-73.96941,15.0,0.0,11.0,0.0,,0.1,,10025.0,0.0,,Not Reported
"{'latitude': '40.61192', 'longitude': '-73.990855'}",40.61192,-73.990855,37.0,0.15,19.0,0.0,11.0,0.09,3062060036.0,11204.0,0.0,Bensonhurst West                                                           ,Not Reported
"{'latitude': '40.576605', 'longitude': '-73.964086'}",40.576605,-73.964086,35.0,0.0,11.0,0.0,13.0,0.1,3086860054.0,11235.0,0.09,Brighton Beach                                                             ,Not Reported
"{'latitude': '40.71642', 'longitude': '-73.99046'}",40.71642,-73.99046,4.0,0.13,121.0,0.0,3.0,0.09,1003090024.0,10002.0,0.02,Chinatown                                                                  ,Not Reported
"{'latitude': '40.667552', 'longitude': '-73.98081'}",40.667552,-73.98081,50.0,0.25,16.0,0.0,6.0,0.1,3010880080.0,11215.0,0.0,Park Slope-Gowanus                                                         ,Not Reported
"{'latitude': '40.687695', 'longitude': '-73.972561'}",40.687695,-73.972561,55.0,0.08,13.0,0.0,2.0,0.1,3021020069.0,11205.0,0.0,Fort Greene                                                                ,Not Reported
"{'latitude': '40.660052', 'longitude': '-73.94769'}",40.660052,-73.94769,44.0,0.04,27.0,0.0,9.0,0.1,3048010037.0,11203.0,0.0,Prospect Lefferts Gardens-Wingate                                          ,Not Reported
"{'latitude': '40.830356', 'longitude': '-73.89832'}",40.830356,-73.89832,25.0,0.05,131.0,0.0,3.0,0.1,2029680028.0,10459.0,0.04,Morrisania-Melrose                                                         ,Yes
"{'latitude': '40.841873', 'longitude': '-73.843614'}",40.841873,-73.843614,28.0,0.06,127.0,0.0,10.0,0.1,2040730001.0,10461.0,0.09,Van Nest-Morris Park-Westchester Square                                    ,Yes
"{'latitude': '40.642138', 'longitude': '-73.96285'}",40.642138,-73.96285,43.0,0.06,18.0,0.0,14.0,0.1,3051470038.0,11226.0,0.0,Flatbush                                                                   ,Not Reported
"{'latitude': '40.596741', 'longitude': '-73.973733'}",40.596741,-73.973733,36.0,0.06,16.0,0.0,15.0,0.06,3071230009.0,11223.0,0.0,Gravesend                                                                  ,Not Reported
"{'latitude': '40.674932', 'longitude': '-73.87351'}",40.674932,-73.87351,47.0,0.05,91.0,0.0,5.0,0.1,3042300020.0,11208.0,0.11,East New York                                                              ,Not Reported
"{'latitude': '40.764275', 'longitude': '-73.8846'}",40.764275,-73.8846,73.0,0.32,12.0,0.0,3.0,0.1,4010960022.0,11370.0,0.08,Jackson Heights                                                            ,Not Reported
"{'latitude': '40.607914', 'longitude': '-74.001567'}",40.607914,-74.001567,37.0,0.0,13.0,0.0,11.0,0.1,3063320001.0,11214.0,0.08,Bensonhurst West                                                           ,Not Reported
"{'latitude': '40.763514', 'longitude': '-73.814317'}",40.763514,-73.814317,67.0,0.22,33.0,0.0,7.0,0.06,4050340020.0,11354.0,0.06,Murray Hill                                                                ,Not Reported
"{'latitude': '40.743032', 'longitude': '-73.866445'}",40.743032,-73.866445,68.0,0.15,91.0,0.0,4.0,0.1,4016210016.0,11368.0,0.02,Corona                                                                     ,Not Reported
