bin,otherbprop,nta2020,residflag,:@computed_region_92fq_4b7q,firecmpany,:@computed_region_yeji_bk3q,pl_firm07,cdtaname20,commntydst,specldst1,councildst,floorsinit,cdta2020
1089788,,MN1203,Residential,39.0,E095,4.0,,MN12 Washington Heights-Inwood (CD 12 Equivalent),112.0,,10.0,,MN12
3044431,,BK0302,Residential,17.0,E222,2.0,,BK03 Bedford-Stuyvesant (CD 3 Approximation),303.0,,41.0,0.0,BK03
1055806,,MN1001,Residential,36.0,L040,4.0,,MN10 Harlem (CD 10 Equivalent),110.0,,9.0,6.0,MN10
3120024,,BK1701,Residential,26.0,E255,2.0,,BK17 East Flatbush (CD 17 Approximation),317.0,,45.0,3.0,BK17
3243434,,BK1802,Residential,8.0,E323,2.0,1.0,BK18 Canarsie-Flatlands (CD 18 Approximation),318.0,,46.0,1.0,BK18
2128897,0.0,BX1103,Residential,12.0,E097,5.0,,BX11 Pelham Parkway-Morris Park (CD 11 Approximation),211.0,,13.0,2.0,BX11
4625346,,QN0401,Residential,5.0,E289,3.0,,QN04 Elmhurst-Corona (CD 4 Approximation),404.0,,25.0,,QN04
4607434,,QN1403,Residential,41.0,E329,3.0,1.0,QN14 The Rockaways (CD 14 Approximation),414.0,,32.0,0.0,QN14
3429787,,BK1803,Residential,8.0,L170,2.0,,BK18 Canarsie-Flatlands (CD 18 Approximation),318.0,,46.0,0.0,BK18
2128344,,BX1201,Residential,2.0,E062,5.0,,BX12 Wakefield-Williamsbridge-Eastchester (CD 12 Approximation),212.0,,12.0,,BX12
4079297,,QN0901,Residential,28.0,L143,3.0,,QN09 Kew Gardens-Richmond Hill-Woodhaven (CD 9 Approximation),409.0,,29.0,,QN09
5013465,,SI0102,Residential,13.0,L077,1.0,,SI01 North Shore (CD 1 Equivalent),501.0,,49.0,0.0,SI01
1057527,,MN1001,Residential,36.0,E058,4.0,,MN10 Harlem (CD 10 Equivalent),110.0,,9.0,4.0,MN10
3106935,,BK0902,Residential,11.0,E249,2.0,,BK09 Crown Heights (South) (CD 9 Approximation),309.0,,40.0,0.0,BK09
3171816,,BK1204,Residential,18.0,L153,2.0,,BK12 Borough Park-Kensington (CD 12 Approximation),312.0,OP - OCEAN PARKWAY,44.0,0.0,BK12
4165230,,QN1104,Residential,16.0,E326,3.0,,QN11 Auburndale-Bayside-Douglaston (CD 11 Approximation),411.0,,23.0,0.0,QN11
1043927,0.0,MN0801,Residential,51.0,L016,4.0,,MN08 Upper East Side-Roosevelt Island (CD 8 Equivalent),108.0,,5.0,5.0,MN08
2068952,,BX1203,Residential,2.0,E038,5.0,,BX12 Wakefield-Williamsbridge-Eastchester (CD 12 Approximation),212.0,,12.0,2.0,BX12
3002485,0.0,BK0201,Residential,38.0,E224,2.0,,BK02 Downtown Brooklyn-Fort Greene (CD 2 Approximation),302.0,,33.0,4.0,BK02
3171432,,BK1204,Residential,18.0,L156,2.0,,BK12 Borough Park-Kensington (CD 12 Approximation),312.0,OP - OCEAN PARKWAY,44.0,2.0,BK12
332486600.00%,,BK0102,Residential,38.0,L104,2.0,,BK01 Williamsburg-Greenpoint (CD 1 Equivalent),301.0,,34.0,4.0,BK01
1.084788E+6,,MN0303,Residential,50.0,E028,4.0,,MN03 Lower East Side-Chinatown (CD 3 Equivalent),103.0,,2.0,5.0,MN03
3186883,0.0,BK1301,Residential,45.0,L166,2.0,,BK13 Coney Island-Brighton Beach (CD 13 Approximation),313.0,,47.0,2.0,BK13
3176011,,BK1501,Residential,18.0,L153,2.0,,BK15 Sheepshead Bay-Gravesend (East) (CD 15 Approximation),315.0,OP - OCEAN PARKWAY,44.0,2.0,BK15
3121942,,BK0701,Residential,27.0,E240,2.0,,BK07 Sunset Park-Windsor Terrace (CD 7 Approximation),307.0,,39.0,3.0,BK07
4217015,,QN1202,Residential,6.0,E275,3.0,,QN12 Jamaica-St. Albans-Hollis (CD 12 Approximation),412.0,,27.0,2.0,QN12
4623625,,QN1003,Residential,41.0,L173,3.0,1.0,QN10 South Ozone Park-Howard Beach (CD 10 Approximation),410.0,,32.0,0.0,QN10
2103117,0.0,BX1002,Residential,,E072,,1.0,BX10 Co-op City-Throgs Neck (CD 10 Approximation),210.0,,13.0,1.0,BX10
1091691,,MN1203,Residential,39.0,L036,4.0,,MN12 Washington Heights-Inwood (CD 12 Equivalent),112.0,IN - INWOOD,10.0,0.0,MN12
4537934,,QN0401,Residential,5.0,E289,3.0,,QN04 Elmhurst-Corona (CD 4 Approximation),404.0,,25.0,0.0,QN04
3109307,,BK1701,Residential,11.0,E248,2.0,,BK17 East Flatbush (CD 17 Approximation),317.0,,40.0,3.0,BK17
2059766,,BX1201,Residential,2.0,E038,5.0,,BX12 Wakefield-Williamsbridge-Eastchester (CD 12 Approximation),212.0,,12.0,3.0,BX12
1079856,,MN0903,Residential,23.0,L034,4.0,,MN09 Morningside Heights-Hamilton Heights (CD 9 Equivalent),109.0,,7.0,5.0,MN09
3005348,,BK0601,Residential,27.0,L131,2.0,,BK06 Park Slope-Carroll Gardens (CD 6 Approximation),306.0,,39.0,4.0,BK06
3006887,,BK0601,Residential,38.0,E279,2.0,,BK06 Park Slope-Carroll Gardens (CD 6 Approximation),306.0,,39.0,4.0,BK06
1804397,,MN1102,Residential,36.0,L030,4.0,,MN11 East Harlem (CD 11 Equivalent),111.0,,9.0,,MN11
3001928,,BK0201,Residential,38.0,E205,2.0,,BK02 Downtown Brooklyn-Fort Greene (CD 2 Approximation),302.0,,33.0,5.0,BK02
1058092,,MN1002,Residential,36.0,E059,4.0,,MN10 Harlem (CD 10 Equivalent),110.0,,9.0,4.0,MN10
3402608,0.0,BK0503,Residential,25.0,E290,2.0,,BK05 East New York-Cypress Hills (CD 5 Approximation),305.0,,42.0,1.0,BK05
3048536,,BK0301,Residential,49.0,E230,2.0,,BK03 Bedford-Stuyvesant (CD 3 Approximation),303.0,,36.0,2.0,BK03
3037308,,BK0802,Residential,48.0,E234,2.0,,BK08 Crown Heights (North) (CD 8 Approximation),308.0,,35.0,,BK08
1041262,,MN0802,Residential,51.0,E039,4.0,,MN08 Upper East Side-Roosevelt Island (CD 8 Equivalent),108.0,,4.0,5.0,MN08
4205869,,QN1001,Residential,46.0,L126,3.0,,QN10 South Ozone Park-Howard Beach (CD 10 Approximation),410.0,,28.0,2.0,QN10
4002220,,QN0202,Residential,33.0,E259,3.0,,QN02 Long Island City-Sunnyside-Woodside (CD 2 Approximation),402.0,,26.0,2.0,QN02
4624283,,QN1001,Residential,46.0,E302,3.0,,QN10 South Ozone Park-Howard Beach (CD 10 Approximation),410.0,,28.0,0.0,QN10
3167017,,BK1101,Residential,45.0,E243,2.0,,BK11 Bensonhurst-Bath Beach (CD 11 Approximation),311.0,,43.0,25.0,BK11
4023584,,QN0302,Residential,4.0,E316,3.0,,QN03 Jackson Heights-East Elmhurst (CD 3 Approximation),403.0,,22.0,3.0,QN03
3039740,,BK0302,Residential,17.0,E222,2.0,,BK03 Bedford-Stuyvesant (CD 3 Approximation),303.0,,41.0,3.0,BK03
3068816,0.0,BK0104,Residential,30.0,E216,2.0,,BK01 Williamsburg-Greenpoint (CD 1 Equivalent),301.0,,34.0,2.0,BK01
3247420,,BK1503,Residential,15.0,L169,2.0,,BK15 Sheepshead Bay-Gravesend (East) (CD 15 Approximation),315.0,,48.0,1.0,BK15
3120055,,BK1701,Residential,26.0,E255,2.0,,BK17 East Flatbush (CD 17 Approximation),317.0,,45.0,2.0,BK17
4053887,,QN0203,Residential,34.0,Q288,3.0,,QN02 Long Island City-Sunnyside-Woodside (CD 2 Approximation),402.0,,26.0,3.0,QN02
3079534,,BK0402,Residential,37.0,Q252,2.0,,BK04 Bushwick (CD 4 Equivalent),304.0,,37.0,3.0,BK04
3178710,,BK1501,Residential,45.0,E254,2.0,,BK15 Sheepshead Bay-Gravesend (East) (CD 15 Approximation),315.0,OP - OCEAN PARKWAY,44.0,2.0,BK15
3066720,,BK0101,Residential,38.0,E229,2.0,,BK01 Williamsburg-Greenpoint (CD 1 Equivalent),301.0,,33.0,,BK01
3013102,,BK0703,Residential,7.0,E201,2.0,,BK07 Sunset Park-Windsor Terrace (CD 7 Approximation),307.0,,43.0,2.0,BK07
1053622,,MN1002,Residential,36.0,L030,4.0,,MN10 Harlem (CD 10 Equivalent),110.0,,9.0,4.0,MN10
3237997,,BK1802,Residential,8.0,E323,2.0,,BK18 Canarsie-Flatlands (CD 18 Approximation),318.0,,46.0,0.0,BK18
1089328,,MN0901,Residential,23.0,E047,4.0,,MN09 Morningside Heights-Hamilton Heights (CD 9 Equivalent),109.0,,7.0,5.0,MN09
3399681,,BK0301,Residential,49.0,E235,2.0,,BK03 Bedford-Stuyvesant (CD 3 Approximation),303.0,,36.0,,BK03
4166726,,QN1302,Residential,16.0,L162,3.0,,QN13 Queens Village-Bellerose-Rosedale (CD 13 Approximation),413.0,,23.0,1.0,QN13
2130524,,BX0402,Residential,35.0,E068,5.0,,BX04 Highbridge-Concourse (CD 4 Approximation),204.0,,16.0,,BX04
1054466,,MN1102,Residential,35.0,L014,4.0,,MN11 East Harlem (CD 11 Equivalent),111.0,125TH - 125TH STREET,9.0,0.0,MN11
3856558,,BK0301,Residential,49.0,L102,2.0,,BK03 Bedford-Stuyvesant (CD 3 Approximation),303.0,,36.0,,BK03
3009365,,BK0702,Residential,7.0,L122,2.0,,BK07 Sunset Park-Windsor Terrace (CD 7 Approximation),307.0,,38.0,,BK07
3110734,,BK1701,Residential,26.0,E255,2.0,,BK17 East Flatbush (CD 17 Approximation),317.0,,45.0,2.0,BK17
3254181,,BK1502,Residential,8.0,E321,2.0,,BK15 Sheepshead Bay-Gravesend (East) (CD 15 Approximation),315.0,,46.0,2.0,BK15
1014950,0.0,MN0401,Residential,10.0,E001,4.0,,MN04 Chelsea-Hell's Kitchen (CD 4 Approximation),104.0,,3.0,5.0,MN04
4068071,,QN0504,Residential,34.0,L136,3.0,,QN05 Ridgewood-Maspeth-Middle Village (CD 5 Approximation),405.0,,30.0,2.0,QN05
4065213,0.0,QN0401,Residential,5.0,E287,3.0,,QN04 Elmhurst-Corona (CD 4 Approximation),404.0,,30.0,2.0,QN04
3395605,,BK0601,Residential,27.0,E239,2.0,,BK06 Park Slope-Carroll Gardens (CD 6 Approximation),306.0,,39.0,0.0,BK06
3082205,,BK1602,Residential,25.0,E227,2.0,,BK16 Ocean Hill-Brownsville (CD 16 Approximation),316.0,,41.0,3.0,BK16
4607706,,QN0102,Residential,4.0,E262,3.0,,QN01 Astoria-Queensbridge (CD 1 Equivalent),401.0,,22.0,0.0,QN01
1080794,,MN0501,Residential,50.0,L007,4.0,,MN05 Midtown-Flatiron-Union Square (CD 5 Approximation),105.0,,4.0,,MN05
3092251,,BK0501,Residential,37.0,E236,2.0,,BK05 East New York-Cypress Hills (CD 5 Approximation),305.0,,37.0,,BK05
3249106,,BK1503,Residential,8.0,E321,2.0,1.0,BK15 Sheepshead Bay-Gravesend (East) (CD 15 Approximation),315.0,,46.0,2.0,BK15
1043972,,MN0801,Residential,51.0,E044,4.0,,MN08 Upper East Side-Roosevelt Island (CD 8 Equivalent),108.0,TA - TRANSIT LAND USE,5.0,20.0,MN08
3039615,,BK0302,Residential,17.0,E222,2.0,,BK03 Bedford-Stuyvesant (CD 3 Approximation),303.0,,41.0,0.0,BK03
3213383,,BK1801,Residential,26.0,L157,2.0,,BK18 Canarsie-Flatlands (CD 18 Approximation),318.0,,45.0,2.0,BK18
3068252,,BK0104,Residential,30.0,E216,2.0,,BK01 Williamsburg-Greenpoint (CD 1 Equivalent),301.0,,34.0,3.0,BK01
5176136,,SI0201,Residential,14.0,E161,1.0,,SI02 Mid-Island (CD 2 Approximation),502.0,,50.0,0.0,SI02
3055679,,BK0301,Residential,49.0,L102,2.0,,BK03 Bedford-Stuyvesant (CD 3 Approximation),303.0,,36.0,3.0,BK03
1003012,,MN0201,Residential,32.0,E055,4.0,,MN02 Greenwich Village-SoHo (CD 2 Equivalent),102.0,SNX - SOHO-NOHO MIXED USE,1.0,3.0,MN02
2017580,0.0,BX0702,Residential,29.0,E079,5.0,,BX07 Fordham-Bedford Park-Norwood (CD 7 Approximation),207.0,,14.0,2.0,BX07
3.022083E+6,,BK0602,Residential,27.0,E239,2.0,,BK06 Park Slope-Carroll Gardens (CD 6 Approximation),306.0,,39.0,2.0,BK06
1040033,,MN0604,Residential,1.0,E008,4.0,,MN06 East Midtown-Murray Hill (CD 6 Approximation),106.0,TA - TRANSIT LAND USE,5.0,2.0,MN06
4128311,,QN1101,Residential,3.0,L167,3.0,,QN11 Auburndale-Bayside-Douglaston (CD 11 Approximation),411.0,,20.0,1.0,QN11
3001775,,BK0201,Residential,38.0,E205,2.0,,BK02 Downtown Brooklyn-Fort Greene (CD 2 Approximation),302.0,,33.0,5.0,BK02
4135766,,QN1102,Residential,20.0,E306,3.0,,QN11 Auburndale-Bayside-Douglaston (CD 11 Approximation),411.0,,19.0,2.0,QN11
3097599,,BK0503,Residential,25.0,E225,2.0,,BK05 East New York-Cypress Hills (CD 5 Approximation),305.0,,42.0,0.0,BK05
3007367,,BK0601,Residential,27.0,E239,2.0,,BK06 Park Slope-Carroll Gardens (CD 6 Approximation),306.0,,39.0,0.0,BK06
1.011016E+6,,MN0203,Residential,10.0,Q018,4.0,,MN02 Greenwich Village-SoHo (CD 2 Equivalent),102.0,,3.0,4.0,MN02
4623194,,QN0103,Residential,4.0,E260,3.0,,QN01 Astoria-Queensbridge (CD 1 Equivalent),401.0,,22.0,0.0,QN01
3429525,,BK0502,Residential,37.0,L175,2.0,,BK05 East New York-Cypress Hills (CD 5 Approximation),305.0,,42.0,0.0,BK05
4146560,,QN0706,Residential,3.0,L152,3.0,,QN07 Flushing-Murray Hill-Whitestone (CD 7 Approximation),407.0,,20.0,2.0,QN07
3175096,,BK1204,Residential,18.0,L153,2.0,,BK12 Borough Park-Kensington (CD 12 Approximation),312.0,OP - OCEAN PARKWAY,44.0,2.0,BK12
1063041,,MN1201,Residential,39.0,E067,4.0,,MN12 Washington Heights-Inwood (CD 12 Equivalent),112.0,,10.0,0.0,MN12
3079250,0.0,BK0402,Residential,37.0,Q252,2.0,,BK04 Bushwick (CD 4 Equivalent),304.0,,37.0,2.0,BK04
1090723,,MN1002,Residential,36.0,E037,4.0,,MN10 Harlem (CD 10 Equivalent),110.0,,9.0,,MN10
4622956,,QN0302,Residential,21.0,E316,3.0,,QN03 Jackson Heights-East Elmhurst (CD 3 Approximation),403.0,,21.0,0.0,QN03
5082528,,SI0304,Residential,9.0,E164,1.0,,SI03 South Shore (CD 3 Approximation),503.0,SRD - SOUTH RICHMOND DEVELOPMENT,51.0,2.0,SI03
3430001,,BK0602,Residential,27.0,E226,2.0,,BK06 Park Slope-Carroll Gardens (CD 6 Approximation),306.0,,39.0,0.0,BK06
4623611,,QN1202,Residential,6.0,E275,3.0,,QN12 Jamaica-St. Albans-Hollis (CD 12 Approximation),412.0,,28.0,0.0,QN12
3071125,,BK0104,Residential,30.0,L108,2.0,,BK01 Williamsburg-Greenpoint (CD 1 Equivalent),301.0,,34.0,4.0,BK01
4304095,,QN1403,Residential,41.0,L137,3.0,1.0,QN14 The Rockaways (CD 14 Approximation),414.0,,32.0,1.0,QN14
2128714,,BX0202,Residential,43.0,L031,5.0,,BX02 Longwood-Hunts Point (CD 2 Approximation),202.0,,17.0,,BX02
3427355,,BK0402,Residential,37.0,L112,2.0,,BK04 Bushwick (CD 4 Equivalent),304.0,,37.0,,BK04
3004855,,BK0601,Residential,27.0,E202,2.0,,BK06 Park Slope-Carroll Gardens (CD 6 Approximation),306.0,,39.0,0.0,BK06
4106387,,QN0702,Residential,20.0,E295,3.0,,QN07 Flushing-Murray Hill-Whitestone (CD 7 Approximation),407.0,,19.0,2.0,QN07
2005024,0.0,BX0202,Residential,43.0,E050,5.0,,BX02 Longwood-Hunts Point (CD 2 Approximation),203.0,,17.0,2.0,BX02
1046268,,MN0801,Residential,1.0,E044,4.0,1.0,MN08 Upper East Side-Roosevelt Island (CD 8 Equivalent),108.0,,5.0,49.0,MN08
2831488,,BX0901,Residential,31.0,E090,5.0,,BX09 Soundview-Parkchester (CD 9 Approximation),209.0,,17.0,,BX09
3429724,,BK0102,Residential,38.0,E221,2.0,,BK01 Williamsburg-Greenpoint (CD 1 Equivalent),301.0,MX-8 - MIXED USE-8 (GREENPOINT-WILLIAMSBURG BK),33.0,0.0,BK01
4623771,,QN0203,Residential,33.0,L163,3.0,,QN02 Long Island City-Sunnyside-Woodside (CD 2 Approximation),402.0,,26.0,0.0,QN02
3320833,,BK1101,Residential,18.0,E330,2.0,,BK11 Bensonhurst-Bath Beach (CD 11 Approximation),311.0,,43.0,0.0,BK11
4218166,,QN1202,Residential,6.0,E275,3.0,,QN12 Jamaica-St. Albans-Hollis (CD 12 Approximation),412.0,,27.0,2.0,QN12
3085141,,BK0503,Residential,25.0,L103,2.0,,BK05 East New York-Cypress Hills (CD 5 Approximation),305.0,,42.0,3.0,BK05
3055821,,BK0301,Residential,49.0,L102,2.0,,BK03 Bedford-Stuyvesant (CD 3 Approximation),303.0,,36.0,2.0,BK03
3426234,,BK1802,Residential,8.0,E323,2.0,,BK18 Canarsie-Flatlands (CD 18 Approximation),318.0,,46.0,0.0,BK18
3209423,,BK1403,Residential,15.0,L159,2.0,,BK14 Flatbush-Midwood (CD 14 Approximation),314.0,,45.0,2.0,BK14
3172035,,BK1204,Residential,18.0,L153,2.0,,BK12 Borough Park-Kensington (CD 12 Approximation),312.0,OP - OCEAN PARKWAY,44.0,3.0,BK12
3429395,,BK1302,Residential,45.0,E245,2.0,1.0,BK13 Coney Island-Brighton Beach (CD 13 Approximation),313.0,OP - OCEAN PARKWAY,47.0,0.0,BK13
3342040,,BK1803,Residential,8.0,L170,2.0,,BK18 Canarsie-Flatlands (CD 18 Approximation),318.0,,46.0,1.0,BK18
3025082,,BK0602,Residential,27.0,Q001,2.0,,BK06 Park Slope-Carroll Gardens (CD 6 Approximation),306.0,,39.0,4.0,BK06
3064507,,BK0101,Residential,38.0,E238,2.0,,BK01 Williamsburg-Greenpoint (CD 1 Equivalent),301.0,,33.0,3.0,BK01
4179887,,QN1301,Residential,16.0,E251,3.0,,QN13 Queens Village-Bellerose-Rosedale (CD 13 Approximation),413.0,,23.0,1.0,QN13
2118796,,BX0902,Residential,31.0,L054,5.0,,BX09 Soundview-Parkchester (CD 9 Approximation),209.0,,18.0,0.0,BX09
4618717,,QN0105,Residential,33.0,L128,3.0,,QN01 Astoria-Queensbridge (CD 1 Equivalent),401.0,LIC,26.0,,QN01
1.010929E+6,,MN0203,Residential,10.0,Q018,4.0,,MN02 Greenwich Village-SoHo (CD 2 Equivalent),102.0,,3.0,4.0,MN02
4435202,,QN1203,Residential,46.0,E302,3.0,,QN12 Jamaica-St. Albans-Hollis (CD 12 Approximation),412.0,,28.0,,QN12
3066410,,BK0101,Residential,38.0,E238,2.0,,BK01 Williamsburg-Greenpoint (CD 1 Equivalent),301.0,,33.0,2.0,BK01
3131225,,BK1202,Residential,18.0,E247,2.0,,BK12 Borough Park-Kensington (CD 12 Approximation),312.0,,44.0,0.0,BK12
1058755,,MN1002,Residential,36.0,E037,4.0,,MN10 Harlem (CD 10 Equivalent),110.0,,9.0,4.0,MN10
3198020,0.0,BK1501,Residential,15.0,E246,2.0,,BK15 Sheepshead Bay-Gravesend (East) (CD 15 Approximation),315.0,,48.0,3.0,BK15
1079353,,MN0303,Residential,50.0,E005,4.0,,MN03 Lower East Side-Chinatown (CD 3 Equivalent),103.0,,2.0,5.0,MN03
3197370,0.0,BK1502,Residential,15.0,E321,2.0,,BK15 Sheepshead Bay-Gravesend (East) (CD 15 Approximation),315.0,,48.0,2.0,BK15
5008057,,SI0104,Residential,13.0,E156,1.0,,SI01 North Shore (CD 1 Equivalent),501.0,,49.0,0.0,SI01
3428696,,BK0401,Residential,30.0,E218,2.0,,BK04 Bushwick (CD 4 Equivalent),304.0,,34.0,,BK04
4028676,,QN0301,Residential,5.0,E307,3.0,,QN03 Jackson Heights-East Elmhurst (CD 3 Approximation),403.0,,25.0,3.0,QN03
4029133,,QN0301,Residential,5.0,E307,3.0,,QN03 Jackson Heights-East Elmhurst (CD 3 Approximation),403.0,,25.0,6.0,QN03
3430083,,BK0301,Residential,38.0,L119,2.0,,BK03 Bedford-Stuyvesant (CD 3 Approximation),303.0,MX-4 - MIXED USE-4 (FLUSHING/BEDFORD BK),33.0,0.0,BK03
3136951,,BK1202,Residential,18.0,E282,2.0,,BK12 Borough Park-Kensington (CD 12 Approximation),312.0,,44.0,3.0,BK12
3158868,,BK1002,Residential,44.0,E284,2.0,,BK10 Bay Ridge-Dyker Heights (CD 10 Approximation),310.0,,38.0,2.0,BK10
5175140,,SI0302,Residential,9.0,L082,1.0,,SI03 South Shore (CD 3 Approximation),503.0,,51.0,0.0,SI03
3071847,,BK0401,Residential,30.0,E218,2.0,,BK04 Bushwick (CD 4 Equivalent),304.0,,34.0,4.0,BK04
3055463,,BK0204,Residential,48.0,E210,2.0,,BK02 Downtown Brooklyn-Fort Greene (CD 2 Approximation),302.0,,35.0,4.0,BK02
4624865,,QN1202,Residential,46.0,E303,3.0,,QN12 Jamaica-St. Albans-Hollis (CD 12 Approximation),412.0,,28.0,0.0,QN12
1.015658E+6,,MN0501,Residential,10.0,E001,4.0,,MN05 Midtown-Flatiron-Union Square (CD 5 Approximation),105.0,,3.0,18.0,MN05
2115856,,BX0301,Residential,43.0,L019,5.0,,BX03 Morrisania-Crotona Park East (CD 3 Approximation),203.0,,17.0,,BX03
4156719,,QN1102,Residential,20.0,L164,3.0,,QN11 Auburndale-Bayside-Douglaston (CD 11 Approximation),411.0,,19.0,2.0,QN11
3326183,,BK0402,Residential,37.0,E271,2.0,,BK04 Bushwick (CD 4 Equivalent),304.0,,37.0,1.0,BK04
517706500.00%,,SI0105,Residential,14.0,E166,1.0,,SI01 North Shore (CD 1 Equivalent),501.0,,50.0,0.0,SI01
4178159,,QN1301,Residential,16.0,E251,3.0,,QN13 Queens Village-Bellerose-Rosedale (CD 13 Approximation),413.0,,23.0,1.0,QN13
3136090,,BK1202,Residential,27.0,E282,2.0,,BK12 Borough Park-Kensington (CD 12 Approximation),312.0,,44.0,,BK12
4298600,,QN1401,Residential,47.0,E328,3.0,,QN14 The Rockaways (CD 14 Approximation),414.0,,31.0,2.0,QN14
1008803,,MN0202,Residential,50.0,E033,4.0,,MN02 Greenwich Village-SoHo (CD 2 Equivalent),102.0,,2.0,5.0,MN02
3017574,,BK0702,Residential,7.0,L122,2.0,,BK07 Sunset Park-Windsor Terrace (CD 7 Approximation),307.0,,39.0,3.0,BK07
1020421,,MN0602,Residential,50.0,E005,4.0,,MN06 East Midtown-Murray Hill (CD 6 Approximation),106.0,,2.0,5.0,MN06
3429991,,BK0302,Residential,49.0,E217,2.0,,BK03 Bedford-Stuyvesant (CD 3 Approximation),303.0,,36.0,0.0,BK03
4040058,,QN0401,Residential,5.0,E289,3.0,,QN04 Elmhurst-Corona (CD 4 Approximation),404.0,,25.0,0.0,QN04
3003239,,BK0601,Residential,27.0,E224,2.0,,BK06 Park Slope-Carroll Gardens (CD 6 Approximation),306.0,,39.0,4.0,BK06
