addressnum,schmiddle,schelmntry,hotelprop,firebattln,schcommnty,enlargemnt,datelstupd,datecomplt,nonresflag,bct2020,otherbinit,ownership,job_status
230,224.0,17.0,,40.0,20.0,Horizontal,2024-12-20T00:00:00.000,,,3002200.0,,Private For-Profit: Individual,1. Filed Application
962,406.0,91.0,,37.0,32.0,,2025-05-12T00:00:00.000,2025-01-07T00:00:00.000,,3039700.0,0.0,Private For-Profit: Corporation,5. Completed Construction
67-07,37.0,351.0,,50.0,28.0,,2021-08-30T00:00:00.000,,Non-Residential,4070700.0,,Private For-Profit: Individual,1. Filed Application
1270,127.0,649.0,,26.0,9.0,,2022-09-19T00:00:00.000,,,2015100.0,0.0,Private For-Profit: Partnership,2. Approved Application
17-33,16.0,297.0,,52.0,25.0,,2022-09-06T00:00:00.000,2022-09-06T00:00:00.000,,4103300.0,,Private For-Profit: Corporation,5. Completed Construction
153,98.0,877.0,,2.0,2.0,,2025-05-12T00:00:00.000,,,1007100.0,,Private For-Profit: Individual,2. Approved Application
106,340.0,830.0,,19.0,10.0,,2025-05-19T00:00:00.000,,,1030900.0,0.0,Private For-Profit: Partnership,3. Permitted for Construction
375,404.0,36.0,,28.0,14.0,,2024-05-17T00:00:00.000,,Non-Residential,3048500.0,,Private For-Profit: Partnership,3. Permitted for Construction
1752,127.0,669.0,,19.0,9.0,,2011-07-05T00:00:00.000,2010-01-15T00:00:00.000,,2022701.0,0.0,Private For-Profit: Individual,5. Completed Construction
2759,410.0,204.0,,44.0,19.0,,2025-01-23T00:00:00.000,,Non-Residential,3114600.0,0.0,Private For-Profit: Individual,3. Permitted for Construction
1 2,88.0,517.0,,7.0,2.0,,2024-05-28T00:00:00.000,,,1005800.0,,Private For-Profit: Corporation,2. Approved Application
708A,282.0,233.0,,31.0,13.0,,2013-01-04T00:00:00.000,,,3013100.0,0.0,Private For-Profit: Partnership,9. Withdrawn
22,302.0,78.0,,28.0,32.0,,2017-07-26T00:00:00.000,2017-07-26T00:00:00.000,,3042300.0,0.0,Private For-Profit: Individual,5. Completed Construction
2718,260.0,150.0,,41.0,17.0,,2024-03-19T00:00:00.000,2024-12-03T00:00:00.000,,3082400.0,0.0,Private For-Profit: Corporation,5. Completed Construction
245-19,62.0,445.0,,54.0,29.0,Horizontal,2023-12-06T00:00:00.000,2023-12-06T00:00:00.000,,4066402.0,,Private For-Profit: Individual,5. Completed Construction
2260,205.0,26.0,,58.0,22.0,Horizontal,2025-06-13T00:00:00.000,,,3070201.0,,Private For-Profit: Individual,1. Filed Application
2060,200.0,141.0,,42.0,21.0,,2025-03-31T00:00:00.000,,,3046800.0,0.0,Private For-Profit: Individual,3. Permitted for Construction
314,404.0,38.0,,35.0,14.0,,2022-03-31T00:00:00.000,,,3052700.0,,Private For-Profit: Partnership,1. Filed Application
686,404.0,46.0,,28.0,14.0,,2024-04-25T00:00:00.000,,,3059100.0,,Private For-Profit: Individual,3. Permitted for Construction
1676,351.0,228.0,,40.0,20.0,,2025-03-03T00:00:00.000,,,3047000.0,0.0,Private For-Profit: Individual,3. Permitted for Construction
147-21,326.0,297.0,,52.0,25.0,,2025-04-24T00:00:00.000,,,4103900.0,0.0,Private For-Profit: Individual,3. Permitted for Construction
465,362.0,282.0,,22.0,31.0,,2025-06-26T00:00:00.000,,,5018901.0,0.0,Private For-Profit: Partnership,3. Permitted for Construction
145,94.0,874.0,,6.0,2.0,,2025-06-23T00:00:00.000,,,1006500.0,,Private For-Profit: Corporation,3. Permitted for Construction
1111,215.0,147.0,,41.0,17.0,,2025-03-10T00:00:00.000,,,3050600.0,,Private For-Profit: Corporation,3. Permitted for Construction
169,93.0,525.0,0.0,10.0,2.0,,2025-06-23T00:00:00.000,,,1014000.0,,Private For-Profit: Individual,1. Filed Application
24 0,94.0,875.0,,2.0,2.0,,2024-11-15T00:00:00.000,2024-10-02T00:00:00.000,,1007700.0,,Private For-Profit: Individual,5. Completed Construction
573,223.0,224.0,0.0,40.0,20.0,,2024-05-22T00:00:00.000,,,3013600.0,10.0,Private For-Profit: Individual,3. Permitted for Construction
202,341.0,621.0,,15.0,11.0,,2013-10-07T00:00:00.000,,,2044902.0,,Private For-Profit: Individual,9. Withdrawn
107,407.0,92.0,0.0,37.0,32.0,,2023-09-18T00:00:00.000,2023-06-15T00:00:00.000,,3041300.0,,Private For-Profit: Individual,5. Completed Construction
762,142.0,679.0,,26.0,8.0,,2010-04-06T00:00:00.000,,,2007900.0,0.0,Private For-Profit: Corporation,9. Withdrawn
31,93.0,522.0,,10.0,2.0,,2023-10-25T00:00:00.000,,,1012200.0,,Private For-Profit: Individual,1. Filed Application
215,6.0,269.0,,23.0,31.0,,2025-05-22T00:00:00.000,,,5013800.0,0.0,Private For-Profit: Individual,9. Withdrawn
915,189.0,138.0,,33.0,21.0,,2023-05-05T00:00:00.000,,,3041600.0,,Private For-Profit: Individual,3. Permitted for Construction
568,404.0,40.0,0.0,35.0,14.0,,2022-02-10T00:00:00.000,2021-12-27T00:00:00.000,,3051300.0,,Private For-Profit: Partnership,5. Completed Construction
651,236.0,177.0,,41.0,18.0,,2025-03-13T00:00:00.000,,,3085000.0,0.0,Private For-Profit: Individual,9. Withdrawn
79-13,368.0,791.0,,46.0,24.0,,2025-06-25T00:00:00.000,,Non-Residential,4063302.0,,Private For-Profit: Corporation,1. Filed Application
5311,219.0,228.0,,40.0,20.0,,2022-11-23T00:00:00.000,,Non-Residential,3047200.0,,Private For-Profit: Corporation,9. Withdrawn
425,94.0,516.0,,7.0,2.0,,2019-08-01T00:00:00.000,2018-11-20T00:00:00.000,,1008900.0,0.0,"Government, City: Partnership",5. Completed Construction
217,223.0,214.0,,40.0,20.0,,2025-06-24T00:00:00.000,,,3006800.0,,Private For-Profit: Individual,3. Permitted for Construction
203,100.0,575.0,,11.0,5.0,,2024-05-14T00:00:00.000,,,1022600.0,,"Government, City: City Agency",2. Approved Application
63,108.0,583.0,0.0,13.0,6.0,,2014-12-01T00:00:00.000,,,1025100.0,,Private For-Profit: Corporation,2. Approved Application
62,404.0,29.0,,57.0,14.0,,2023-12-05T00:00:00.000,,Non-Residential,3025700.0,,Private For-Profit: Corporation,2. Approved Application
431,275.0,108.0,,48.0,15.0,,2025-06-04T00:00:00.000,,,3014901.0,0.0,Private For-Profit: Partnership,3. Permitted for Construction
20-12,420.0,301.0,0.0,52.0,25.0,,2016-07-01T00:00:00.000,2016-05-20T00:00:00.000,,4092500.0,,Private For-Profit: Individual,5. Completed Construction
419,275.0,114.0,,31.0,15.0,,2025-01-31T00:00:00.000,,,3012901.0,0.0,Private For-Profit: Partnership,2. Approved Application
145,404.0,43.0,,35.0,14.0,,2022-10-06T00:00:00.000,,,3049700.0,0.0,Private For-Profit: Individual,2. Approved Application
374A,275.0,109.0,,48.0,15.0,Horizontal,2025-06-26T00:00:00.000,,,3015300.0,,Private For-Profit: Corporation,1. Filed Application
970,228.0,171.0,,58.0,18.0,,2024-08-06T00:00:00.000,,,3095600.0,0.0,Private For-Profit: Corporation,1. Filed Application
373,404.0,33.0,,57.0,14.0,,2011-11-10T00:00:00.000,,,3050900.0,0.0,Private For-Profit: Individual,3. Permitted for Construction
113,284.0,236.0,,31.0,13.0,,2025-06-04T00:00:00.000,,,3020100.0,,Private For-Profit: Individual,3. Permitted for Construction
20,404.0,32.0,,28.0,14.0,,2017-04-27T00:00:00.000,2017-04-27T00:00:00.000,,3038900.0,0.0,Private For-Profit: Corporation,5. Completed Construction
192-04,39.0,461.0,,54.0,29.0,,2023-01-25T00:00:00.000,2023-01-25T00:00:00.000,,4048200.0,0.0,Private For-Profit: Individual,5. Completed Construction
310,404.0,42.0,,35.0,14.0,,2025-04-28T00:00:00.000,,Non-Residential,3051900.0,0.0,Private For-Profit: Partnership,3. Permitted for Construction
857,108.0,582.0,0.0,13.0,6.0,,2020-08-14T00:00:00.000,,,1024700.0,,Private For-Profit: Individual,2. Approved Application
818,214.0,104.0,,48.0,15.0,Horizontal,2025-05-28T00:00:00.000,,,3050402.0,,Private For-Profit: Individual,1. Filed Application
109-67,372.0,360.0,,50.0,28.0,,2025-04-25T00:00:00.000,2025-08-14T00:00:00.000,,4019400.0,0.0,Private For-Profit: Individual,5. Completed Construction
1151,220.0,97.0,,48.0,15.0,,2025-06-23T00:00:00.000,,Non-Residential,3022200.0,0.0,Private For-Profit: Corporation,2. Approved Application
131-35,22.0,311.0,,52.0,25.0,,2016-01-12T00:00:00.000,,,4087100.0,0.0,Private For-Profit: Partnership,3. Permitted for Construction
871,88.0,521.0,208.0,9.0,2.0,,2024-12-05T00:00:00.000,,Non-Residential,1013700.0,0.0,Private For-Profit: Corporation,1. Filed Application
1008,127.0,652.0,,17.0,9.0,,2020-01-31T00:00:00.000,,,2018900.0,0.0,Private For-Profit: Corporation,9. Withdrawn
1628,187.0,8.0,,33.0,22.0,Horizontal,2025-05-09T00:00:00.000,,,3054800.0,,Private For-Profit: Individual,3. Permitted for Construction
114A,284.0,243.0,,57.0,13.0,,2024-06-12T00:00:00.000,2024-06-12T00:00:00.000,,3026100.0,,Private For-Profit: Corporation,5. Completed Construction
605,95.0,542.0,,11.0,3.0,,2025-06-16T00:00:00.000,2025-08-04T00:00:00.000,,1019900.0,,Private For-Profit: Corporation,5. Completed Construction
172,404.0,43.0,,35.0,14.0,Horizontal,2024-12-13T00:00:00.000,2024-06-10T00:00:00.000,Non-Residential,3049500.0,,Private For-Profit: Corporation,5. Completed Construction
408,81.0,502.0,,4.0,1.0,,2024-12-31T00:00:00.000,,Non-Residential,1001402.0,,Private For-Profit: Corporation,3. Permitted for Construction
215,3.0,252.0,,23.0,31.0,,2025-02-28T00:00:00.000,,,5024402.0,0.0,Private For-Profit: Corporation,2. Approved Application
52,96.0,820.0,281.0,1.0,2.0,,2025-06-02T00:00:00.000,,Non-Residential,1000700.0,0.0,Private For-Profit: Corporation,3. Permitted for Construction
1116,219.0,228.0,,42.0,20.0,,2025-06-24T00:00:00.000,,,3021600.0,0.0,Private For-Profit: Individual,3. Permitted for Construction
407,410.0,197.0,,39.0,19.0,,2025-06-02T00:00:00.000,,,3116600.0,0.0,Private For-Profit: Corporation,2. Approved Application
305,407.0,90.0,,37.0,32.0,,2017-02-23T00:00:00.000,2016-08-01T00:00:00.000,,3040900.0,0.0,Private For-Profit: Partnership,5. Completed Construction
43,94.0,874.0,,2.0,2.0,,2025-06-18T00:00:00.000,,,1006700.0,,Private For-Profit: Individual,2. Approved Application
2715,190.0,4.0,,33.0,22.0,,2025-05-30T00:00:00.000,,,3057400.0,,Private For-Profit: Individual,1. Filed Application
39-57,28.0,900.0,,49.0,30.0,,2024-08-30T00:00:00.000,2024-08-30T00:00:00.000,,4025700.0,0.0,Private For-Profit: Partnership,5. Completed Construction
222,402.0,747.0,,9.0,3.0,,2024-04-11T00:00:00.000,,,1015900.0,,Private For-Profit: Corporation,1. Filed Application
756,69.0,192.0,,39.0,19.0,,2024-01-04T00:00:00.000,,,3111600.0,0.0,Private For-Profit: Corporation,1. Filed Application
1564,351.0,228.0,,40.0,20.0,,2020-07-06T00:00:00.000,2020-07-06T00:00:00.000,,3024000.0,0.0,Private For-Profit: Individual,5. Completed Construction
864,219.0,226.0,0.0,40.0,20.0,,2025-05-16T00:00:00.000,,Non-Residential,3010602.0,,Private For-Profit: Corporation,3. Permitted for Construction
1433,118.0,605.0,,20.0,11.0,,2019-11-25T00:00:00.000,,,2045600.0,0.0,Private For-Profit: Individual,2. Approved Application
180,127.0,652.0,,17.0,9.0,,2010-02-08T00:00:00.000,,Non-Residential,2018900.0,0.0,Private For-Profit: Corporation,9. Withdrawn
94-11,413.0,335.0,0.0,46.0,24.0,,2024-04-04T00:00:00.000,,,4068300.0,0.0,Private For-Profit: Corporation,1. Filed Application
1137,219.0,228.0,,42.0,20.0,,2023-10-30T00:00:00.000,,,3021600.0,0.0,Private For-Profit: Individual,1. Filed Application
105,284.0,769.0,,57.0,13.0,Horizontal,2025-06-10T00:00:00.000,,,3020500.0,,Private For-Profit: Partnership,1. Filed Application
3467,128.0,715.0,,19.0,10.0,Horizontal,2023-12-15T00:00:00.000,,,2042100.0,,Private For-Profit: Corporation,2. Approved Application
3294,146.0,927.0,,20.0,8.0,,2020-03-16T00:00:00.000,,,2027402.0,0.0,Private For-Profit: Individual,3. Permitted for Construction
1349,217.0,223.0,,42.0,20.0,,2024-12-02T00:00:00.000,,,3019800.0,0.0,Private For-Profit: Individual,2. Approved Application
1993,139.0,906.0,,18.0,10.0,,2018-06-29T00:00:00.000,2011-11-28T00:00:00.000,,2037504.0,0.0,Private For-Profit: Corporation,5. Completed Construction
659,404.0,33.0,,57.0,14.0,,2025-02-13T00:00:00.000,2024-11-13T00:00:00.000,,3050700.0,0.0,Private For-Profit: Corporation,5. Completed Construction
534,81.0,502.0,,4.0,1.0,,2015-10-23T00:00:00.000,,,1003400.0,,Private For-Profit: Corporation,2. Approved Application
106,64.0,404.0,,47.0,27.0,,2024-05-22T00:00:00.000,,,4091603.0,0.0,Private For-Profit: Corporation,3. Permitted for Construction
415,95.0,543.0,,11.0,3.0,,2017-03-24T00:00:00.000,,,1020701.0,0.0,Private For-Profit: Corporation,9. Withdrawn
422,265.0,166.0,,38.0,17.0,,2025-01-08T00:00:00.000,,,3033300.0,,Private For-Profit: Corporation,2. Approved Application
145,81.0,502.0,,4.0,1.0,,2025-03-12T00:00:00.000,,Non-Residential,1001402.0,0.0,Private Non-Profit: Unspecified,2. Approved Application
1 58,98.0,515.0,,6.0,2.0,,2012-07-24T00:00:00.000,,,1006800.0,,Private For-Profit: Other,2. Approved Application
281,302.0,79.0,,37.0,32.0,,2023-02-09T00:00:00.000,,,3042100.0,0.0,Private For-Profit: Individual,3. Permitted for Construction
99-78,323.0,424.0,,51.0,27.0,,2025-05-07T00:00:00.000,,,4088400.0,0.0,Private For-Profit: Corporation,3. Permitted for Construction
237,275.0,111.0,,48.0,15.0,,2024-10-03T00:00:00.000,,,3014101.0,,Private For-Profit: Individual,3. Permitted for Construction
2167,205.0,27.0,,58.0,22.0,Horizontal,2025-06-18T00:00:00.000,,,3069602.0,,Private For-Profit: Individual,1. Filed Application
1299,362.0,277.0,,22.0,31.0,,2023-12-16T00:00:00.000,,,5030301.0,,,1. Filed Application
5,404.0,33.0,,57.0,14.0,,2012-01-24T00:00:00.000,2012-01-24T00:00:00.000,,3053101.0,0.0,Private For-Profit: Individual,5. Completed Construction
1005,98.0,523.0,,8.0,2.0,,2025-06-20T00:00:00.000,,,1010801.0,,Private For-Profit: Corporation,1. Filed Application
84-03,32.0,817.0,,46.0,24.0,Horizontal,2025-05-14T00:00:00.000,2025-05-14T00:00:00.000,,4049900.0,,Private For-Profit: Individual,5. Completed Construction
35,284.0,235.0,,31.0,13.0,Horizontal,2024-09-23T00:00:00.000,,,3019700.0,,Private For-Profit: Individual,1. Filed Application
1422,270.0,164.0,,38.0,17.0,Horizontal,2025-05-19T00:00:00.000,,,3033500.0,,Private For-Profit: Individual,3. Permitted for Construction
81-32,15.0,489.0,,53.0,26.0,,2025-01-13T00:00:00.000,2025-01-13T00:00:00.000,,4157902.0,,Private For-Profit: Individual,5. Completed Construction
38-01,338.0,474.0,,53.0,26.0,,2025-05-13T00:00:00.000,,,4112300.0,0.0,Private For-Profit: Individual,3. Permitted for Construction
166,87.0,508.0,0.0,4.0,2.0,,2025-04-17T00:00:00.000,2024-10-16T00:00:00.000,,1004100.0,,Private For-Profit: Individual,5. Completed Construction
117-43,60.0,444.0,,50.0,27.0,Horizontal,2024-08-06T00:00:00.000,,,4018200.0,,Private For-Profit: Individual,3. Permitted for Construction
118-24,42.0,454.0,,54.0,29.0,Horizontal,2024-04-18T00:00:00.000,,,4060600.0,,Private For-Profit: Individual,3. Permitted for Construction
30,69.0,182.0,,39.0,19.0,,2024-11-06T00:00:00.000,,Non-Residential,3105804.0,0.0,Private For-Profit: Corporation,3. Permitted for Construction
107-15,60.0,437.0,,51.0,27.0,,2025-06-18T00:00:00.000,,,4010600.0,,Private For-Profit: Individual,1. Filed Application
765,127.0,649.0,,26.0,9.0,,2017-04-11T00:00:00.000,2017-04-11T00:00:00.000,,2013500.0,0.0,Private For-Profit: Individual,5. Completed Construction
433,275.0,115.0,,48.0,15.0,,2024-10-30T00:00:00.000,,,3011901.0,,Private For-Profit: Individual,2. Approved Application
39-58,28.0,900.0,,49.0,30.0,,2024-09-25T00:00:00.000,2024-09-24T00:00:00.000,,4025700.0,0.0,Private For-Profit: Partnership,5. Completed Construction
3101,260.0,151.0,,41.0,17.0,,2025-04-15T00:00:00.000,,,3082600.0,,Private For-Profit: Individual,1. Filed Application
986,200.0,141.0,,48.0,21.0,,2025-06-27T00:00:00.000,,,3046400.0,0.0,Private For-Profit: Individual,1. Filed Application
31-18,367.0,758.0,,45.0,30.0,,2024-10-17T00:00:00.000,2025-03-11T00:00:00.000,,4007500.0,0.0,Private For-Profit: Corporation,5. Completed Construction
67,404.0,41.0,,28.0,14.0,,2025-06-09T00:00:00.000,,,3048100.0,0.0,Private For-Profit: Individual,3. Permitted for Construction
334,404.0,37.0,,35.0,14.0,,2025-01-06T00:00:00.000,2024-10-02T00:00:00.000,Non-Residential,3055100.0,0.0,Private For-Profit: Partnership,5. Completed Construction
195,95.0,547.0,,12.0,3.0,,2012-11-05T00:00:00.000,,,1022000.0,,Private For-Profit: Partnership,9. Withdrawn
1899,126.0,705.0,,18.0,12.0,,2023-02-03T00:00:00.000,2023-02-03T00:00:00.000,,2036901.0,0.0,Private For-Profit: Individual,5. Completed Construction
331,93.0,527.0,0.0,10.0,2.0,,2017-04-03T00:00:00.000,,,1013800.0,,Private For-Profit: Partnership,9. Withdrawn
258,275.0,115.0,0.0,32.0,15.0,,2025-04-04T00:00:00.000,,Non-Residential,3007500.0,0.0,Private For-Profit: Individual,3. Permitted for Construction
93-04,49.0,461.0,,54.0,29.0,,2024-08-26T00:00:00.000,,,4048400.0,,Private For-Profit: Individual,3. Permitted for Construction
230,95.0,539.0,,11.0,3.0,,2010-04-15T00:00:00.000,,,1018300.0,,Private For-Profit: Corporation,9. Withdrawn
966,126.0,696.0,0.0,26.0,12.0,,2021-09-03T00:00:00.000,2021-05-18T00:00:00.000,,2012901.0,,Private For-Profit: Partnership,5. Completed Construction
2716,260.0,148.0,,41.0,17.0,,2025-04-25T00:00:00.000,,Non-Residential,3082600.0,0.0,Private For-Profit: Individual,3. Permitted for Construction
5102,275.0,94.0,,40.0,15.0,,2025-03-31T00:00:00.000,2025-03-31T00:00:00.000,Non-Residential,3009800.0,,Private Non-Profit: Unspecified,5. Completed Construction
1,,,,,,,2023-08-19T00:00:00.000,,,,,,2. Approved Application
97-16 GARAGE,323.0,435.0,,51.0,27.0,,2022-04-19T00:00:00.000,,,4004002.0,,Private For-Profit: Individual,3. Permitted for Construction
22,163.0,716.0,,15.0,10.0,,2022-04-20T00:00:00.000,2022-03-03T00:00:00.000,,2043101.0,0.0,Private For-Profit: Partnership,5. Completed Construction
561,404.0,45.0,,35.0,14.0,,2023-12-11T00:00:00.000,,,3056900.0,0.0,Private For-Profit: Corporation,3. Permitted for Construction
248,88.0,519.0,,7.0,2.0,,2024-06-18T00:00:00.000,2024-09-24T00:00:00.000,Non-Residential,1010900.0,,Private For-Profit: Corporation,5. Completed Construction
1299,362.0,277.0,,22.0,31.0,,2023-05-05T00:00:00.000,,,5030301.0,0.0,,1. Filed Application
424,275.0,114.0,,31.0,15.0,,2024-05-02T00:00:00.000,,,3004100.0,,Private For-Profit: Corporation,2. Approved Application
139,284.0,769.0,,57.0,13.0,,2025-05-13T00:00:00.000,,,3016300.0,,Private For-Profit: Corporation,1. Filed Application
621,282.0,233.0,,31.0,13.0,Horizontal,2025-04-18T00:00:00.000,,,3011901.0,,Private For-Profit: Individual,9. Withdrawn
2046,139.0,710.0,,18.0,10.0,,2011-01-18T00:00:00.000,2011-01-18T00:00:00.000,,2037300.0,0.0,Private For-Profit: Corporation,5. Completed Construction
280,81.0,502.0,,4.0,1.0,,2025-06-02T00:00:00.000,,Non-Residential,1003002.0,0.0,Private For-Profit: Partnership,3. Permitted for Construction
171,185.0,1.0,,43.0,22.0,Horizontal,2024-11-08T00:00:00.000,,,3062000.0,,Private For-Profit: Individual,9. Withdrawn
143,181.0,132.0,,43.0,21.0,,2025-02-27T00:00:00.000,2024-12-09T00:00:00.000,,3029600.0,,Private For-Profit: Individual,5. Completed Construction
518,339.0,713.0,,27.0,10.0,,2016-02-05T00:00:00.000,,,2029500.0,0.0,Private For-Profit: Partnership,9. Withdrawn
313,98.0,522.0,,8.0,2.0,,2023-12-04T00:00:00.000,,Non-Residential,1010802.0,,Private For-Profit: Partnership,1. Filed Application
178,404.0,31.0,,57.0,14.0,,2025-01-22T00:00:00.000,,,3025700.0,0.0,Private For-Profit: Corporation,3. Permitted for Construction
181,404.0,42.0,,35.0,14.0,Horizontal,2024-12-09T00:00:00.000,,,3055300.0,,Private For-Profit: Corporation,3. Permitted for Construction
836,126.0,695.0,0.0,26.0,12.0,,2017-05-16T00:00:00.000,,,2012901.0,,Private Non-Profit: Corporation,9. Withdrawn
1160,198.0,143.0,,33.0,21.0,,2024-01-17T00:00:00.000,,,3045200.0,,Private For-Profit: Individual,3. Permitted for Construction
415,77.0,344.0,,45.0,24.0,,2021-10-20T00:00:00.000,,Non-Residential,4059100.0,,Private For-Profit: Corporation,9. Withdrawn
600,284.0,243.0,,57.0,13.0,Horizontal,2025-05-22T00:00:00.000,,,3025300.0,,Private For-Profit: Corporation,3. Permitted for Construction
394,282.0,233.0,,31.0,13.0,Horizontal,2025-04-04T00:00:00.000,,,3013100.0,,Private For-Profit: Individual,3. Permitted for Construction
126,87.0,509.0,,4.0,2.0,,2025-04-14T00:00:00.000,,Non-Residential,1001600.0,0.0,Private For-Profit: Corporation,3. Permitted for Construction
2247,172.0,731.0,,19.0,10.0,,2024-08-13T00:00:00.000,2017-05-03T00:00:00.000,,2023900.0,0.0,Private For-Profit: Partnership,5. Completed Construction
2305,260.0,150.0,,41.0,17.0,,2024-05-29T00:00:00.000,2023-11-01T00:00:00.000,,3079400.0,,Private For-Profit: Partnership,5. Completed Construction
2060,100.0,572.0,,12.0,5.0,,2025-01-29T00:00:00.000,,Non-Residential,1019600.0,0.0,Private For-Profit: Corporation,1. Filed Application
320,402.0,535.0,,11.0,3.0,,2025-01-13T00:00:00.000,,,1016300.0,,Private For-Profit: Individual,3. Permitted for Construction
107,255.0,206.0,,44.0,19.0,,2024-05-08T00:00:00.000,,,3117400.0,0.0,Private For-Profit: Corporation,1. Filed Application
131-23,60.0,440.0,,54.0,27.0,,2024-10-07T00:00:00.000,2024-09-20T00:00:00.000,,4081800.0,,Private For-Profit: Corporation,5. Completed Construction
405,105.0,589.0,,13.0,6.0,,2025-03-03T00:00:00.000,2025-05-29T00:00:00.000,,1029900.0,0.0,Private For-Profit: Corporation,5. Completed Construction
118-11,59.0,399.0,,54.0,28.0,,2025-05-06T00:00:00.000,,,4028802.0,0.0,Private For-Profit: Corporation,2. Approved Application
400,93.0,527.0,,10.0,2.0,,2022-07-20T00:00:00.000,,,1013604.0,,Private For-Profit: Corporation,9. Withdrawn
42_,81.0,502.0,,4.0,1.0,,2025-04-22T00:00:00.000,2023-07-18T00:00:00.000,,1003200.0,,Private For-Profit: Corporation,5. Completed Construction
149,81.0,502.0,,4.0,1.0,,2023-06-06T00:00:00.000,,Non-Residential,1003001.0,,Private For-Profit: Partnership,2. Approved Application
11,94.0,875.0,0.0,6.0,2.0,,2023-11-06T00:00:00.000,,,1006300.0,0.0,Private For-Profit: Individual,2. Approved Application
174-06,59.0,395.0,,50.0,28.0,,2025-03-11T00:00:00.000,2025-08-19T00:00:00.000,,4033401.0,,Private For-Profit: Individual,5. Completed Construction
1582,405.0,80.0,,28.0,32.0,,2025-01-31T00:00:00.000,,,3044500.0,,Private For-Profit: Corporation,3. Permitted for Construction
13,9.0,287.0,,21.0,31.0,,2025-04-03T00:00:00.000,2025-04-03T00:00:00.000,,5007400.0,0.0,Private For-Profit: Corporation,5. Completed Construction
938,228.0,750.0,,58.0,18.0,,2025-02-03T00:00:00.000,,,3095600.0,,Private For-Profit: Individual,1. Filed Application
1578,204.0,9.0,,33.0,22.0,,2025-03-31T00:00:00.000,,,3064400.0,,Private For-Profit: Individual,3. Permitted for Construction
877,91.0,531.0,,1.0,2.0,,2024-11-09T00:00:00.000,,,1000500.0,0.0,,3. Permitted for Construction
1990,97.0,550.0,,12.0,4.0,,2023-08-24T00:00:00.000,,,1019600.0,,Private For-Profit: Partnership,1. Filed Application
1,,,,,,,2024-11-19T00:00:00.000,,,,,Private For-Profit: Individual,1. Filed Application
2 32,275.0,109.0,,48.0,15.0,,2024-10-07T00:00:00.000,2024-08-23T00:00:00.000,,3013700.0,,Private For-Profit: Corporation,5. Completed Construction
21-16,30.0,380.0,,49.0,30.0,,2025-02-25T00:00:00.000,,,4031700.0,0.0,Private For-Profit: Individual,3. Permitted for Construction
22,275.0,100.0,,32.0,15.0,,2025-06-27T00:00:00.000,,Non-Residential,3005302.0,0.0,Private For-Profit: Partnership,1. Filed Application
1111A,148.0,683.0,,3.0,8.0,,2021-07-23T00:00:00.000,2021-07-23T00:00:00.000,,2007200.0,0.0,Private For-Profit: Individual,5. Completed Construction
