other_1,grade_1,english_language_learners_2,grade_pk,white_2,male_1,grade_9,female_2,grade_2,asian_1,male_2,english_language_learners_1
2,0,19.4%,0,3.6%,189,102,37.8%,0,92,62.2%,59
15,36,2.8%,53,21.9%,148,0,53.6%,35,16,46.4%,9
9,0,2.1%,0,12.5%,272,0,56.9%,0,22,43.1%,13
7,44,3.9%,18,43.4%,149,0,51.0%,58,34,49.0%,12
39,129,5.8%,0,45.0%,390,0,50.6%,120,165,49.4%,46
41,53,3.9%,18,37.2%,174,0,48.2%,47,20,51.8%,13
8,0,3.5%,0,4.6%,293,131,20.2%,0,25,79.8%,13
30,0,0.2%,0,49.1%,232,117,56.0%,0,128,44.0%,1
9,0,3.0%,0,12.3%,291,137,33.7%,0,9,66.3%,13
9,0,4.2%,0,11.7%,176,91,50.8%,0,21,49.2%,15
50,117,0.8%,0,71.0%,420,0,49.2%,128,98,50.8%,7
12,0,7.0%,0,2.9%,356,155,51.0%,0,27,49.0%,51
1,31,14.0%,12,2.5%,199,0,49.4%,31,22,50.6%,55
7,0,1.0%,0,38.1%,131,0,54.7%,0,111,45.3%,3
6,39,13.5%,27,4.2%,196,0,49.1%,33,7,50.9%,52
3,0,1.0%,0,13.0%,86,26,58.5%,0,13,41.5%,2
1,47,14.7%,33,5.0%,253,0,47.5%,46,9,52.5%,71
0,0,2.6%,0,1.3%,0,129,100.0%,0,13,0.0%,10
15,107,20.3%,34,8.1%,229,0,38.1%,98,11,61.9%,75
47,0,1.2%,0,1.9%,162,114,61.5%,0,41,38.5%,5
1,0,6.2%,0,3.6%,171,70,43.9%,0,22,56.1%,19
17,0,0.0%,0,61.4%,219,131,59.5%,0,109,40.5%,0
41,136,1.5%,0,73.1%,397,0,47.1%,130,78,52.9%,11
158,0,0.0%,0,44.1%,714,753,73.7%,0,518,26.3%,1
2,0,0.5%,0,7.4%,46,61,78.8%,0,3,21.2%,1
1,0,1.9%,0,12.1%,70,0,55.4%,0,53,44.6%,3
6,0,12.8%,0,1.1%,218,153,51.2%,0,2,48.8%,57
20,85,4.8%,36,27.9%,215,0,48.3%,56,57,51.7%,20
0,0,8.1%,0,7.0%,83,0,55.4%,0,5,44.6%,15
61,0,0.8%,0,36.7%,374,123,49.9%,0,113,50.1%,6
7,0,0.2%,0,30.1%,194,106,56.4%,0,221,43.6%,1
4,0,21.5%,0,1.0%,235,141,40.5%,0,8,59.5%,85
24,0,2.6%,0,3.6%,119,496,93.4%,0,91,6.6%,46
6,0,23.0%,0,3.0%,198,89,40.2%,0,96,59.8%,76
2,0,25.1%,0,1.8%,161,124,43.1%,0,5,56.9%,71
4,0,6.6%,0,4.8%,83,0,50.0%,0,20,50.0%,11
25,126,2.5%,0,75.3%,391,0,46.1%,136,82,53.9%,18
16,109,1.8%,0,64.2%,395,0,48.0%,102,50,52.0%,14
10,0,0.0%,0,63.6%,145,0,60.3%,0,78,39.7%,0
0,0,7.6%,0,3.8%,59,0,43.8%,0,14,56.2%,8
1,0,8.9%,0,1.7%,77,29,57.0%,0,2,43.0%,16
2,0,0.0%,0,29.6%,56,19,64.8%,0,12,35.2%,0
9,76,7.8%,36,28.0%,249,0,49.1%,89,13,50.9%,38
50,130,2.6%,0,70.7%,418,0,46.5%,151,77,53.5%,20
2,0,54.6%,0,4.6%,412,0,46.4%,0,170,53.6%,419
17,99,14.7%,0,15.0%,329,0,45.8%,96,23,54.2%,89
11,0,4.7%,0,3.6%,122,143,66.3%,0,31,33.7%,17
40,92,10.8%,47,43.6%,326,0,48.9%,89,126,51.1%,69
18,32,3.7%,53,27.9%,165,0,48.9%,38,12,51.1%,12
2,0,11.0%,0,2.4%,82,0,50.0%,0,2,50.0%,18
4,0,7.8%,0,5.1%,162,91,36.5%,0,24,63.5%,20
9,75,7.0%,34,28.2%,219,0,50.2%,65,55,49.8%,31
45,95,8.5%,54,44.4%,353,0,49.3%,113,131,50.7%,59
2,0,13.7%,0,2.9%,195,120,43.1%,0,96,56.9%,47
4,0,12.9%,0,14.1%,59,85,30.6%,0,4,69.4%,11
31,67,3.2%,36,62.9%,254,0,46.2%,71,65,53.8%,15
11,0,9.0%,0,8.6%,670,333,50.0%,0,218,50.0%,121
0,0,1.3%,0,8.0%,33,1,56.0%,0,2,44.0%,1
11,0,1.1%,0,29.8%,165,106,55.8%,0,38,44.2%,4
8,0,1.6%,0,7.7%,40,66,83.8%,0,6,16.2%,4
5,0,5.7%,0,2.6%,162,128,61.7%,0,16,38.3%,24
11,25,9.1%,27,1.8%,144,0,49.5%,29,8,50.5%,26
11,37,10.6%,0,10.9%,151,0,44.9%,38,48,55.1%,29
3,49,21.1%,15,2.2%,246,0,45.9%,41,5,54.1%,96
0,0,82.8%,0,4.0%,128,13,48.8%,0,156,51.2%,207
4,88,13.2%,36,2.1%,454,0,47.0%,101,34,53.0%,113
3,0,11.1%,0,2.1%,229,144,47.2%,0,3,52.8%,48
1,36,15.6%,32,3.4%,141,0,52.0%,39,19,48.0%,46
4,0,8.8%,0,6.6%,137,122,39.4%,0,13,60.6%,20
31,0,0.4%,0,41.8%,131,124,75.3%,0,32,24.7%,2
4,0,21.8%,0,1.2%,217,153,48.0%,0,6,52.0%,91
4,94,14.6%,36,2.3%,433,0,48.6%,103,29,51.4%,123
20,90,7.2%,15,27.2%,316,0,47.2%,94,40,52.8%,43
3,0,2.0%,0,49.8%,87,0,65.1%,0,34,34.9%,5
1,43,14.8%,18,3.0%,111,0,51.7%,39,42,48.3%,34
10,0,7.4%,0,16.4%,554,0,46.2%,0,581,53.8%,76
1,0,1.0%,0,16.5%,50,97,48.5%,0,7,51.5%,1
3,54,0.4%,0,59.1%,284,0,50.1%,84,135,49.9%,2
64,0,0.7%,0,35.8%,351,112,50.8%,0,104,49.2%,5
1,0,4.5%,0,2.6%,118,179,55.6%,0,5,44.4%,12
3,0,7.8%,0,8.8%,143,115,25.9%,0,7,74.1%,15
9,42,15.6%,36,12.2%,265,0,50.3%,56,65,49.7%,83
2,35,9.7%,0,0.3%,156,0,45.8%,37,3,54.2%,28
6,0,7.6%,0,1.9%,147,0,44.3%,0,40,55.7%,20
1,18,4.0%,18,9.8%,91,0,47.7%,28,12,52.3%,7
7,16,8.7%,61,21.4%,97,0,50.5%,20,6,49.5%,17
44,0,0.4%,0,38.4%,284,0,49.1%,0,249,50.9%,2
12,37,0.0%,70,63.9%,74,0,52.3%,0,15,47.7%,0
50,0,1.1%,0,8.4%,157,116,64.4%,0,29,35.6%,5
6,0,6.2%,0,1.5%,303,157,35.0%,0,33,65.0%,29
19,41,2.7%,36,47.1%,148,0,43.7%,41,25,56.3%,7
11,63,12.3%,54,4.9%,189,0,51.7%,58,5,48.3%,48
8,0,2.6%,0,11.0%,90,97,52.9%,0,19,47.1%,5
6,0,0.3%,0,63.7%,177,0,54.1%,0,68,45.9%,1
14,55,2.2%,0,64.3%,166,0,48.9%,58,34,51.1%,7
27,72,3.8%,34,63.3%,274,0,48.4%,55,87,51.6%,20
10,52,10.1%,32,8.5%,147,0,55.2%,54,51,44.8%,33
16,0,2.2%,0,46.1%,180,0,56.3%,0,30,43.7%,9
5,0,14.4%,0,3.0%,200,88,39.9%,0,7,60.1%,48
1,33,18.3%,32,38.5%,59,0,43.3%,0,42,56.7%,19
18,0,0.9%,0,11.6%,194,109,57.5%,0,99,42.5%,4
61,0,0.6%,0,35.7%,351,118,50.9%,0,114,49.1%,4
12,0,6.7%,0,4.1%,298,214,57.4%,0,27,42.6%,47
1,0,44.9%,0,0.2%,236,0,47.0%,0,334,53.0%,200
4,98,11.2%,36,8.4%,344,0,50.1%,97,559,49.9%,77
20,0,2.2%,0,3.8%,123,498,93.1%,0,87,6.9%,39
10,58,10.4%,33,1.6%,207,0,46.4%,45,21,53.6%,40
14,0,11.5%,0,2.0%,231,190,57.8%,0,9,42.2%,63
0,0,3.1%,0,0.5%,95,7,50.3%,0,37,49.7%,6
51,128,9.1%,0,43.2%,356,0,50.8%,134,138,49.2%,66
4,0,0.7%,0,38.9%,131,0,55.3%,0,102,44.7%,2
71,151,3.7%,18,65.4%,434,0,50.4%,139,61,49.6%,32
39,107,2.3%,34,63.7%,311,0,49.4%,100,67,50.6%,14
3,36,8.2%,0,69.4%,50,0,49.0%,0,10,51.0%,8
28,98,4.3%,36,62.0%,229,0,48.2%,64,64,51.8%,19
0,34,3.5%,25,10.1%,101,0,49.2%,38,14,50.8%,7
50,0,0.7%,0,34.3%,280,0,49.2%,0,258,50.8%,4
4,0,4.8%,0,1.5%,249,1,52.3%,0,7,47.7%,25
35,56,0.2%,0,52.8%,267,0,52.2%,56,157,47.8%,1
22,107,0.2%,0,44.9%,794,117,50.8%,139,448,49.2%,4
1,0,8.0%,0,6.3%,74,50,57.5%,0,3,42.5%,14
0,0,81.5%,0,10.1%,193,66,45.8%,0,94,54.2%,290
1,0,6.9%,0,6.6%,117,14,54.8%,0,4,45.2%,18
1,0,5.6%,0,2.0%,129,0,48.8%,0,3,51.2%,14
8,66,9.9%,35,2.2%,219,0,47.4%,61,31,52.6%,41
0,0,46.0%,0,1.1%,311,0,44.1%,0,443,55.9%,256
4,0,4.9%,0,0.7%,151,97,66.1%,0,8,33.9%,22
51,113,0.2%,0,44.1%,823,193,50.8%,111,500,49.2%,4
4,32,4.4%,13,2.0%,102,0,49.8%,24,0,50.2%,9
6,0,22.5%,0,1.7%,259,98,38.6%,0,59,61.4%,95
15,0,6.5%,0,1.8%,319,168,48.2%,0,30,51.8%,40
9,0,0.0%,0,61.4%,114,0,51.7%,0,19,48.3%,0
33,0,0.2%,0,54.8%,247,70,49.0%,0,33,51.0%,1
0,0,4.3%,0,15.9%,26,3,62.3%,0,3,37.7%,3
18,113,1.7%,0,75.1%,379,0,45.9%,120,91,54.1%,12
6,0,18.1%,0,2.7%,200,154,51.1%,0,8,48.9%,74
4,0,0.0%,0,19.6%,191,116,56.5%,0,257,43.5%,0
11,0,21.1%,0,2.1%,239,82,38.4%,0,49,61.6%,82
3,0,0.4%,0,63.8%,115,0,49.8%,0,17,50.2%,1
0,0,41.9%,0,0.2%,215,0,47.0%,0,325,53.0%,170
28,113,4.6%,36,60.0%,314,0,51.5%,94,52,48.5%,30
8,0,1.4%,0,38.4%,134,0,54.1%,0,103,45.9%,4
2,39,10.0%,26,1.6%,97,0,48.9%,21,9,51.1%,19
80,134,1.2%,35,68.4%,369,0,51.3%,122,71,48.7%,9
