location1,monhourclose,programcity,:@computed_region_92fq_4b7q,longitude,frihouropen,dfta_funded,wedhouropen,sathouropen
"{'type': 'Point', 'coordinates': [-73.985312, 40.761143]}",,NEW YORK,10.0,-73.985312,,Y,,
"{'type': 'Point', 'coordinates': [-74.004007, 40.710353]}",03:00,NEW YORK,32.0,-74.004007,07:00,Y,07:00,00:00
"{'type': 'Point', 'coordinates': [-73.753207, 40.593761]}",,FAR ROCKAWAY,47.0,-73.753207,,Y,,
"{'type': 'Point', 'coordinates': [-73.991847, 40.745782]}",05:00,NEW YORK,10.0,-73.991847,09:00,Y,09:00,00:00
"{'type': 'Point', 'coordinates': [-73.78843, 40.588954]}",04:00,FAR ROCKAWAY,47.0,-73.78843,08:00,Y,08:00,00:00
"{'type': 'Point', 'coordinates': [-73.909661, 40.804413]}",05:00,BRONX,43.0,-73.909661,09:00,Y,09:00,00:00
"{'type': 'Point', 'coordinates': [-73.991235, 40.765461]}",04:30,NEW YORK,10.0,-73.991235,08:00,Y,08:00,00:00
"{'type': 'Point', 'coordinates': [-73.865988, 40.755742]}",,FLUSHING,21.0,-73.865988,,Y,,
"{'type': 'Point', 'coordinates': [-73.742187, 40.595996]}",04:00,FAR ROCKAWAY,47.0,-73.742187,08:00,Y,08:00,00:00
"{'type': 'Point', 'coordinates': [-73.851046, 40.871144]}",05:00,BRONX,2.0,-73.851046,09:00,Y,09:00,00:00
"{'type': 'Point', 'coordinates': [-73.997705, 40.731781]}",05:00,NEW YORK,32.0,-73.997705,09:00,Y,09:00,00:00
"{'type': 'Point', 'coordinates': [-73.879612, 40.648735]}",05:00,BROOKLYN,25.0,-73.879612,09:00,Y,09:00,00:00
"{'type': 'Point', 'coordinates': [-73.879686, 40.737205]}",04:00,FLUSHING,5.0,-73.879686,09:00,Y,09:00,00:00
"{'type': 'Point', 'coordinates': [-73.998544, 40.64607]}",05:00,BROOKLYN,7.0,-73.998544,09:00,Y,09:00,00:00
"{'type': 'Point', 'coordinates': [-73.945697, 40.643428]}",05:00,BROOKLYN,26.0,-73.945697,09:00,Y,09:00,00:00
"{'type': 'Point', 'coordinates': [-73.983941, 40.683365]}",05:00,BROOKLYN,38.0,-73.983941,09:00,Y,09:00,00:00
"{'type': 'Point', 'coordinates': [-73.954062, 40.80386]}",06:00,NEW YORK,36.0,-73.954062,09:00,Y,09:00,00:00
"{'type': 'Point', 'coordinates': [-73.905923, 40.665956]}",05:00,BROOKLYN,17.0,-73.905923,09:00,Y,09:00,00:00
"{'type': 'Point', 'coordinates': [-73.925706, 40.837232]}",04:00,BRONX,42.0,-73.925706,08:00,Y,08:00,00:00
"{'type': 'Point', 'coordinates': [-73.993655, 40.746817]}",08:00,NEW YORK,10.0,-73.993655,11:00,Y,11:00,00:00
"{'type': 'Point', 'coordinates': [-73.997825, 40.711958]}",05:00,NEW YORK,32.0,-73.997825,09:00,Y,09:00,00:00
"{'type': 'Point', 'coordinates': [-73.945112, 40.780904]}",05:00,NEW YORK,1.0,-73.945112,09:00,Y,09:00,00:00
"{'type': 'Point', 'coordinates': [-74.075377, 40.596713]}",04:00,STATEN ISLAND,14.0,-74.075377,08:00,Y,08:00,00:00
"{'type': 'Point', 'coordinates': [-73.94048, 40.792306]}",04:00,NEW YORK,35.0,-73.94048,08:00,Y,08:00,00:00
"{'type': 'Point', 'coordinates': [-73.94174, 40.83328]}",05:00,NEW YORK,23.0,-73.94174,09:00,Y,09:00,00:00
"{'type': 'Point', 'coordinates': [-73.968686, 40.629268]}",04:00,BROOKLYN,11.0,-73.968686,08:00,Y,08:00,00:00
"{'type': 'Point', 'coordinates': [-74.117523, 40.636486]}",04:00,STATEN ISLAND,13.0,-74.117523,08:00,Y,08:00,00:00
"{'type': 'Point', 'coordinates': [-73.944757, 40.630096]}",05:00,BROOKLYN,26.0,-73.944757,09:00,Y,09:00,00:00
"{'type': 'Point', 'coordinates': [-73.820331, 40.751765]}",04:00,FLUSHING,3.0,-73.820331,08:30,Y,08:30,08:30
"{'type': 'Point', 'coordinates': [-73.997288, 40.612087]}",03:00,BROOKLYN,45.0,-73.997288,07:00,Y,07:00,00:00
"{'type': 'Point', 'coordinates': [-73.957543, 40.60102]}",03:30,BROOKLYN,15.0,-73.957543,8 :30,Y,8 :30,:
"{'type': 'Point', 'coordinates': [-74.002509, 40.573177]}",05:00,BROOKLYN,45.0,-74.002509,09:00,Y,09:00,00:00
"{'type': 'Point', 'coordinates': [-73.972263, 40.604832]}",04:30,BROOKLYN,18.0,-73.972263,09:00,Y,08:30,00:00
"{'type': 'Point', 'coordinates': [-73.902222, 40.66514]}",05:00,BROOKLYN,25.0,-73.902222,09:00,Y,09:00,00:00
"{'type': 'Point', 'coordinates': [-73.86706, 40.874872]}",04:00,BRONX,2.0,-73.86706,08:00,Y,08:00,00:00
"{'type': 'Point', 'coordinates': [-73.987636, 40.766197]}",05:00,NEW YORK,10.0,-73.987636,09:00,Y,09:00,00:00
"{'type': 'Point', 'coordinates': [-74.002509, 40.573177]}",,BROOKLYN,45.0,-74.002509,,Y,,
"{'type': 'Point', 'coordinates': [-73.979527, 40.778624]}",05:00,NEW YORK,19.0,-73.979527,09:00,Y,09:00,00:00
"{'type': 'Point', 'coordinates': [-73.945112, 40.780904]}",05:00,NEW YORK,1.0,-73.945112,09:00,Y,09:00,00:00
"{'type': 'Point', 'coordinates': [-73.927909, 40.854783]}",05:00,NEW YORK,39.0,-73.927909,09:00,Y,09:00,00:00
"{'type': 'Point', 'coordinates': [-73.895674, 40.703874]}",,FLUSHING,34.0,-73.895674,,Y,,
"{'type': 'Point', 'coordinates': [-73.903308, 40.664982]}",05:00,BROOKLYN,17.0,-73.903308,09:00,Y,09:00,00:00
"{'type': 'Point', 'coordinates': [-73.919907, 40.691707]}",05:30,BROOKLYN,30.0,-73.919907,08:00,Y,08:00,00:00
"{'type': 'Point', 'coordinates': [-74.023321, 40.633477]}",05:00,BROOKLYN,44.0,-74.023321,09:00,Y,09:00,00:00
"{'type': 'Point', 'coordinates': [-73.826264, 40.833889]}",04:00,BRONX,12.0,-73.826264,08:00,Y,08:00,00:00
"{'type': 'Point', 'coordinates': [-73.850368, 40.8351]}",04:00,BRONX,31.0,-73.850368,08:00,Y,08:00,00:00
"{'type': 'Point', 'coordinates': [-73.904096, 40.878666]}",05:00,BRONX,40.0,-73.904096,09:00,Y,09:00,00:00
"{'type': 'Point', 'coordinates': [-73.939975, 40.663388]}",05:00,BROOKLYN,17.0,-73.939975,09:00,Y,09:00,00:00
"{'type': 'Point', 'coordinates': [-73.866044, 40.73147]}",04:00,FLUSHING,28.0,-73.866044,08:00,Y,08:00,00:00
"{'type': 'Point', 'coordinates': [-73.941982, 40.671821]}",04:00,BROOKLYN,48.0,-73.941982,08:00,Y,08:00,00:00
"{'type': 'Point', 'coordinates': [-73.917671, 40.805994]}",04:00,BRONX,35.0,-73.917671,08:30,Y,08:30,00:00
"{'type': 'Point', 'coordinates': [-73.94614, 40.812977]}",05:00,NEW YORK,36.0,-73.94614,09:00,Y,09:00,00:00
"{'type': 'Point', 'coordinates': [-73.794058, 40.704393]}",05:00,JAMAICA,6.0,-73.794058,09:00,Y,09:00,00:00
"{'type': 'Point', 'coordinates': [-73.95276, 40.729007]}",04:00,BROOKLYN,38.0,-73.95276,08:00,Y,08:00,00:00
"{'type': 'Point', 'coordinates': [-73.91959, 40.832331]}",05:00,BRONX,42.0,-73.91959,09:00,Y,09:00,00:00
"{'type': 'Point', 'coordinates': [-74.125677, 40.594454]}",05:00,STATEN ISLAND,14.0,-74.125677,09:00,Y,09:00,00:00
"{'type': 'Point', 'coordinates': [-73.866616, 40.861733]}",04:00,BRONX,12.0,-73.866616,08:00,Y,08:00,00:00
"{'type': 'Point', 'coordinates': [-74.020799, 40.633953]}",04:30,BROOKLYN,44.0,-74.020799,08:00,Y,08:30,00:00
"{'type': 'Point', 'coordinates': [-73.945112, 40.780904]}",05:00,NEW YORK,1.0,-73.945112,09:00,Y,09:00,00:00
"{'type': 'Point', 'coordinates': [-74.001541, 40.749065]}",05:00,NEW YORK,10.0,-74.001541,09:00,Y,09:00,00:00
"{'type': 'Point', 'coordinates': [-73.814726, 40.735033]}",04:00,FLUSHING,24.0,-73.814726,08:00,Y,08:00,00:00
"{'type': 'Point', 'coordinates': [-74.100329, 40.561467]}",05:00,STATEN ISLAND,14.0,-74.100329,09:00,Y,09:00,00:00
"{'type': 'Point', 'coordinates': [-73.925909, 40.74519]}",05:00,LONG ISLAND CITY,33.0,-73.925909,09:00,Y,09:00,00:00
"{'type': 'Point', 'coordinates': [-73.857264, 40.753941]}",05:00,FLUSHING,21.0,-73.857264,09:00,Y,09:00,00:00
"{'type': 'Point', 'coordinates': [-73.940761, 40.703179]}",05:00,BROOKLYN,30.0,-73.940761,09:00,Y,09:00,00:00
"{'type': 'Point', 'coordinates': [-73.770641, 40.672622]}",05:00,JAMAICA,46.0,-73.770641,09:00,Y,09:00,00:00
"{'type': 'Point', 'coordinates': [-73.933467, 40.772947]}",05:00,LONG ISLAND CITY,4.0,-73.933467,09:00,Y,09:00,00:00
"{'type': 'Point', 'coordinates': [-73.993916, 40.743386]}",05:00,NEW YORK,10.0,-73.993916,09:00,Y,09:00,00:00
"{'type': 'Point', 'coordinates': [-73.753207, 40.593761]}",05:00,FAR ROCKAWAY,47.0,-73.753207,09:00,Y,09:00,00:00
"{'type': 'Point', 'coordinates': [-73.825379, 40.703976]}",,JAMAICA,28.0,-73.825379,,Y,,
"{'type': 'Point', 'coordinates': [-73.928728, 40.755141]}",05:00,LONG ISLAND CITY,33.0,-73.928728,09:00,Y,09:00,00:00
"{'type': 'Point', 'coordinates': [-73.850212, 40.73591]}",,FLUSHING,28.0,-73.850212,,Y,,
"{'type': 'Point', 'coordinates': [-74.131879, 40.564389]}",05:00,STATEN ISLAND,9.0,-74.131879,09:00,Y,09:00,00:00
,05:00,WHITE PLAINS,,,09:00,Y,09:00,00:00
"{'type': 'Point', 'coordinates': [-73.784187, 40.841097]}",03:00,BRONX,12.0,-73.784187,08:00,Y,08:00,00:00
"{'type': 'Point', 'coordinates': [-74.035376, 40.638645]}",04:00,BROOKLYN,44.0,-74.035376,08:00,Y,08:00,00:00
"{'type': 'Point', 'coordinates': [-73.731285, 40.75942]}",05:00,FLUSHING,16.0,-73.731285,09:00,Y,09:00,00:00
"{'type': 'Point', 'coordinates': [-73.907843, 40.815994]}",04:30,BRONX,43.0,-73.907843,08:30,Y,08:30,00:00
"{'type': 'Point', 'coordinates': [-73.910226, 40.618864]}",05:00,BROOKLYN,8.0,-73.910226,09:00,Y,09:00,00:00
"{'type': 'Point', 'coordinates': [-73.966466, 40.631169]}",05:00,BROOKLYN,26.0,-73.966466,09:00,Y,09:00,00:00
"{'type': 'Point', 'coordinates': [-73.842204, 40.884011]}",04:00,BRONX,2.0,-73.842204,08:00,Y,08:00,00:00
"{'type': 'Point', 'coordinates': [-73.957339, 40.716685]}",04:00,BROOKLYN,38.0,-73.957339,08:00,Y,08:00,00:00
