building_location,community_district,census_tract,street_name,address_number,other_required,public_space_type,permitted_amenities,principal_public_space
Pearl Street bounded by Avenue of the Finest and Madison Street,1,29.0,PEARL STREET,375,Light Sculpture,Arcade; Plaza,,; Starr Whitehouse Landscape Architects & Planners PLLC (Design Change and Arcade Reduction 11/06/2017)
Full block bounded by Sixth and Seventh Avenues and West 51st and 52nd Streets,5,131.0,SIXTH AVENUE,1285,,Pedestrian Circulation Space; Sidewalk Widening; Through Block Galleria; Urban Plaza,,"Skidmore, Owings & Merrill/Edward Larrabee Barnes Associates"
Full blocks between Seventh and Eighth Avenues and West 31st and 33rd Streets,5,101.0,PENNSYLVANIA PLAZA,2,,Plaza (C6-2); Plaza (C6-4),,Charles Luckman
South side of East 42nd Street between Second and Third Avenues,6,88.0,EAST 42 STREET,212,,Urban Plaza,,Emery Roth & Sons
Northwest corner of Third Avenue and East 96th Street,11,158.02,EAST 96 STREET,175,,Residential Plaza,,Costas Kondylis Architects
"entire block bounded by fdr drive, first avenue, east 34th street, and east 35th street",6,86.01,EAST 34 STREET,401,"Childrens play area, game tables and associated seating provided.",Residential Plaza,,"2015 Modification: Matthews Nielsen Landscape Architects, PC and LightTime Design [2000 Sources: Philip Birnbaum & Associates; Thomas Balsley Associates; Landgarden Landscape Architects (for alteration)]"
South of East 93rd Street between Second Avenue and Third Avenue,8,154.0,EAST 92 STREET,205,skylight,Non-Bonused Open Area; Public Plaza,,Starr Whitehouse Landcape
Full blockfront on east side of Broadway between West 63rd and 64th Streets,7,149.0,LINCOLN PLAZA,1,,Arcade; Plaza,,Philip Birnbaum
Full blcokfront on west side of Third Avenue between East 64th and 65th Streets,8,120.0,EAST 65 STREET,160,,Plaza,,Emery Roth & Sons
East side of Madison Avenue between East 49th and 50th Streets,5,102.0,MADISON AVENUE,437,,Arcade; Plaza,,M. Paul Friedberg; MPFP LLC (for alteration in 2014)
"Block bounded by Jackson Avenue, 45th Avenue, 23rd Street, and 44th Drive",2,19.0,COURT SQUARE,1,,Landscaped Public Open Space; Pedestrian Circulation Space,,"Skidmore, Owings & Merrill"
"Full block bounded by South Street, Water Street, Vietnam Veterans Plaza, and Old Slip",1,9.0,WATER STREET,55,"Elevated Plaza: stairs connecting to street level on Water Street and South Street events platform, stair balconies, viewing platform, boardwalk, support space and illuminated beacon; rebuilding and maintenance of adjacent Jeannette Park (now Vietnam Veterans Plaza) to the west as an urban park with landscaping, seating, and lighting",Arcade; Elevated Plaza; Plaza,Other Permitted,"M. Paul Friedberg & Partners; Rogers Marvel Architects, PLLC and Ken Smith (for alteration in 2004)"
Full blockfront on west side of Sixth Avenue between West 41st and 42nd Streets,5,113.0,SIXTH AVENUE,1095,,Special Permit Plaza; Subway Concourse,,Kahn and Jacobs; Bonsignore Brignati & Mazzotta (for alteration in 1989); Moed de Armas & Shannon (for alteration in 2010)
South side of East 80th Street between Third and Lexington Avenues,8,140.0,EAST 80 STREET,178,,Plaza,,Philip Birnbaum
Southeast corner of East 24th Street and Third Avenue,6,64.0,EAST 24 STREET,200,,Plaza,,Clarence Lilien & Associates
"Full block bounded by Nassau, Broadway, Cedar Street, and Liberty Street",1,7.0,BROADWAY,140,,Plaza,Other Permitted,"Skidmore, Owings & Merrill; Alta Planning & Design (for alteration in 2012)"
Full blockfront on west side of Sixth Avenue between West 43rd and 44th Streets,5,119.0,SIXTH AVENUE,1133,,Plaza,,Emery Roth & Sons; Gensler (2014 Cafe + Design Change)
Northwest corner of East 50th Street and Lexington Avenue,5,100.0,LEXINGTON AVENUE,560,,Arcade; Covered Pedestrian Space; Public Access Area,,The Eggers Group; Skidmore Owings and Merrill LLP (for alteration in 2014)
"The subject property spans multiple block/lots across a North and South parcel. The North parcel (North of West 52nd Street) is on Block 1081, lot 39 and part of lot 29. The South parcel (South of West 52nd Street) is block 1080, part of lot 25.",4,135.0,WEST 52 STREET,501,,Linear Open Space; Open Space,,
East side of Fifth Avenue between East 56th and 57th Streets,5,112.02,FIFTH AVENUE,725,"Landscaped Terrace (Fifth Floor), Passageway: multiple pedestrian connections to Niketown; skylight",Covered Pedestrian Space; Landscaped Terraces; Passageway,,Swanke Hayden Connell Architects; Thomas Balsley Associates
Southeast corner of Albany Street and Washington Street,1,13.0,WASHINGTON STREET,123,kiosk provided,Urban Plaza,,Thomas Balsley Associates
Southwest corner of Ryder's Alley and Eden's Alley,1,15.02,CLIFF STREET,15,,Urban Plaza,Open Air Cafe,Avinash K. Malhotra; Weintraub Diaz Landscape Architecture PLLC (2016 design change)
Southwest corner of Broadway and Exchange Alley,1,13.0,BROADWAY,55,,Other Public Access Areas; Urban Plaza,,Fox & Fowle; Abel Bainsson and Butz (for alteration in 2010)
West side of Jay Street between Willoughby Street and Tech Place,2,11.0,JAY STREET,350,,Plaza and Plaza Connected Open Space; Urban Plaza,Other Permitted,William B. Tabler Architects/Office of William B. Kuhl; William B. Tabler Architects/Moss Gilday Group (for alteration in 2003)
,4,103.0,WEST 33 STREET,450,,Public Access Area,,Field Operations
Southeast corner of East 47th Street and Fifth Avenue,5,94.0,FIFTH AVENUE,575,,Covered Pedestrian Space,Other Permitted,Emery Roth & Sons; Gensler and Moed de Armas & Shannon Architects (for alteration in 2007)
West side of Sixth Avenue between West 49th and 50th Streets,5,125.0,SIXTH AVENUE,1251,,Plaza,,Harrison and Abramovitz
,8,238.01,WEST LOOP ROAD,2,,Public Access Area,,James Corner Field Operations
Southeast corner of First Avenue and East 56th Street,6,106.01,EAST 56 STREET,400,,Arcade; Plaza,,Philip Birnbaum
North side of East 72nd Street between First and Second Avenues,8,126.0,EAST 72 STREET,353,,Arcade; Plaza,,Max Wechsler
West side of Second Avenue between East 54th and 55th Streets,6,108.0,EAST 54 STREET,245,video surveillance cameras,Plaza; Residential Plaza,Open Air Cafe,Sidney Philip Gilbert & Associates
Northwest corner of West 53rd Street and Seventh Avenue,5,131.0,SEVENTH AVENUE,825,,Plaza,,Russell M. Boak Associates
Full blockfront on east side of First Avenue between East 70th and 71st Streets,8,124.0,EAST 71 STREET,400,,Plaza,,"Schuman, Lichtenstein, Claman"
"North side of West 55th Street and south side of West 56th Street between Sixth Avenue and Seventh Avenue. Additional lots: 1008/19, 21, 22, 25 & 44.",5,137.0,WEST 55 STREET,125,,Through Block Connection,,Edward Larrabee Barnes
"Full block bound by Sands Street, Jay Street, High Street, and Pearl Street.",2,13.0,SANDS STREET,90,,Plaza,,
,6,88.0,FIRST AVENUE,685,,Public Access Area,,
West side of Sixth Avenue between West 52nd and 53rd Streets,5,131.0,SIXTH AVENUE,1301,,Arcade; Plaza,,Shreve Lamb Harmon Associates
Southeast corner of First Avenue and East 54th Street,6,86.03,EAST 54 STREET,400,,Plaza,,"H.I. Feldman/Schuman, Lichtenstein & Claman"
"Full blockfront east side of Sixth Avenue between West 27th Street and West 26th Street. Original BBL: 828/1,4,5,74,77,80.",5,58.0,SIXTH AVENUE,776,Yes,Urban Plaza,,Thomas Balsley Associates
West side of Third Avenue between East 39th and 40th Streets,6,80.0,THIRD AVENUE,600,,Arcade; Plaza,,Emery Roth & Sons
Southwest corner of West 16th Street Fifth Avenue,5,54.0,FIFTH AVENUE,108,,Residential Plaza,,Stamatios P. Lykos & Associates
East side of Bowery between Delancey Street and Rivington Street,3,18.0,BOWERY,189,,Public Plaza,,"The Stephen B. Jacobs Group, Abel Bainnson Butz, LLP"
Northeast corner of East 42nd Street and Third Avenue,6,88.0,EAST 42 STREET,201,,Plaza,,Ted Moudis Associates [2000 Sources: Emery Roth & Sons]
East side of Third Avenue between East 32nd and 33rd Streets,6,70.0,EAST 33 STREET,200,,Plaza,,"Philip Birnbaum/Schuman, Lichtenstein & Claman"
Full block between Seventh and Eighth Avenues and West 33rd and 34th Streets,5,101.0,PENNSYLVANIA PLAZA,1,,Arcade; Plaza,,Kahn and Jacobs; Thomas Balsley Associates (for alteration in 2007); Zurita Architects (for alteration in 2010)
,2,273.02,BRIELLE AVENUE,475,,Publicly Accessible Open Space,,
South side of East 47th Street between Second and Third Avenues,6,90.0,EAST 47 STREET,212,,Plaza,,Philip Birnbaum
West side of Sixth Avenue between West 47th and 48th Streets,5,125.0,SIXTH AVENUE,1211,,Plaza; Subway Concourse; Through Block Arcade,,Harrison and Abramovitz
Full blockfront on west side of First Avenue between East 92nd and 93rd Streets,8,154.0,EAST 93 STREET,340,"treatment of building walls with decorative lattice screen and stucco wall surfacing on East 92nd Street and East 93rd Street, gazebo in area adjacent to garage entrance on East 93rd Street",Residential Plaza,,Weintraub & di Domenico; William Q. Brothers III Architect (for alteration in 2010)
,11,242.0,EAST 126 STREET,225,,'Public Plaza',,
Southeast corner of Park Avenue and East 71st Street,8,128.0,PARK AVENUE,733,,Arcade; Plaza,,Kahn and Jacobs with Harry F. Green
East side of Fifth Avenue between East 41st and 42nd Streets,5,82.0,FIFTH AVENUE,489,,Arcade,,Kahn and Jacobs
Southeast corner of Lexington Avenue and East 37th Street,6,80.0,LEXINGTON AVENUE,285,,Variance Arcade,,Harry F. Green
Full blockfront on west side of Broadway between West 70th and 71st Streets,7,159.0,WEST 70 STREET,201,,Plaza,,S.J. Kessler & Sons
North side of East 57th Street between Lexington and Park Avenues,5,112.03,EAST 57 STREET,115,skylight,Covered Pedestrian Space,Other Permitted,David Kenneth Specter
Southeast corner of First Avenue and East 70th Street,8,124.0,EAST 70 STREET,400,,Residential Plaza,,Quennell Rothschild Associates
Full block bounded by Broadway and Seventh Avenue and West 39th and 40th Streets,5,113.0,BROADWAY,1411,,Arcade; Plaza,,Irwin Chanin; Moed de Armas & Shannon Architects (for alteration in 2014)
Southeast corner of East 32nd Street and Park Avenue South,5,72.0,PARK AVENUE SOUTH,475,,Arcade; Plaza,,"Shreve, Lamb & Harmon"
South side of East 58th Street between Sutton Place South and First Avenue,6,106.01,EAST 58 STREET,410,,Plaza,,Max Wechsler
South side of East 72nd Street between FDR Drive and York Avenue. Original BBL: 1483/1001-1147.,8,124.0,EAST 72 STREET,524,,Residential Plaza,,Frank Williams & Associates
South side of East 39th Street between Second and Third Avenues,6,78.0,EAST 39 STREET,222,,Plaza,,"Sidney Goldhammer; MUSHO Architecture and Design, LLC (for alteration in 2004)"
Northeast corner of Second Avenue and East 43rd Street,6,88.0,EAST 43 STREET,303,,Residential Plaza,,Avinash Malhotra
Southwest corner of East 42nd Street and Park Avenue,5,82.0,PARK AVENUE,120,special exhibition area adjacent to Covered Pedestrian Space used by Whitney Museum of American Art with changing exhibits about six times a year,Arcade; Covered Pedestrian Space,,Ulrich Franzen
!North side of East 48th Street between Third and Lexington Avenues,6,92.0,EAST 48 STREET,141,,Pedestrian Circulation Space; Urban Plaza,Open Air Cafe,"Thomas Balsley Associates, Skordas Design Studio (Cafe cert 2015)"
South side of West 57th Street between Fifth and Sixth Avenues,5,112.01,WEST 57 STREET,40,,Plaza; Through Block Arcade,,Jack Brown
"South side of East 72nd Street between First and York Avenues. Original BBL: 1466/29, 31, 1001-1208.",8,124.0,EAST 72 STREET,422,,Residential Plaza,,Thomas Balsley Associates
