pops_number,building_address_with_zip,latitude,bbl,:@computed_region_92fq_4b7q,zip_code,longitude-hour_of_access_required
M050058,"6 EAST 43 STREET, New York, NY 10017",40.753507,1012770008.0,51,10017,-73.979798-24 Hours
M020001,"60 EAST 8 STREET, New York, NY 10003",40.730499,1005487501.0,32,10003,-73.993076-24 Hours
M050076,"712 FIFTH AVENUE, New York, NY 10019",40.762294,1012710038.0,51,10019,-73.975103-24 Hours; Restricted Hours
M050026,"1330 SIXTH AVENUE, New York, NY 10019",40.761966,1012690001.0,51,10019,-73.978478-24 Hours
M010037,"388 GREENWICH STREET, New York, NY 10013",40.720865,1002160001.0,32,10013,-74.011003-24 Hours
M060045,"212 EAST 47 STREET, New York, NY 10017",40.753272,1013207506.0,51,10017,-73.971659-24 Hours
M110004,"225 EAST 126 STREET, New York, NY 10035",40.804311,1017910001.0,35,10035,-73.93422-nan
M050054,"1155 SIXTH AVENUE, New York, NY 10036",40.756672,1009970029.0,51,10036,-73.98336-24 Hours
M080013,"265 EAST 66 STREET, New York, NY 10065",40.765598,1014210021.0,51,10065,-73.96142-24 Hours
M080061,"345 EAST 93 STREET, New York, NY 10128",40.78178,1015560023.0,1,10128,-73.946256-24 Hours
M080001,"118 EAST 60 STREET, New York, NY 10022",40.762812,1013940007.0,51,10022,-73.968648-24 Hours
M050038,"1633 BROADWAY, New York, NY 10019",40.762107,1010220043.0,10,10019,-73.984702-24 Hours
M080039,"171 EAST 84 STREET, New York, NY 10028",40.777876,1015137501.0,1,10028,-73.955231-24 Hours
M020004,"99 JANE STREET, New York, NY 10014",40.738442,1006427502.0,10,10014,-74.008596-Restricted Hours
M050074,"156 WEST 56 STREET, New York, NY 10019",40.764241,1010087503.0,51,10019,-73.979745-24 Hours; Restricted Hours
M080055,"303 EAST 83 STREET, New York, NY 10028",40.776028,1015460001.0,1,10028,-73.952651-24 Hours
M020006,"246 SPRING STREET, New York, NY 10013",40.725306,1004917503.0,10,10013,-74.005408-24 Hours
M080056,"$353 EAST 83 STREET, New York, NY 10028",40.775349,1015460023.0,1,10028,-73.9509-24 Hours
M060006,"166 EAST 34 STREET, New York, NY 10016",40.745467,1008890039.0,50,10016,-73.978675-24 Hours
M010018,"40 BROAD STREET, New York, NY 10004",40.706021,1000247501.0,32,10004,-74.011787-24 Hours
M080033,"900 PARK AVENUE, New York, NY 10075",40.776088,1014917501.0,51,10075,-73.960695-24 Hours
M010033,"160 WATER STREET, New York, NY 10038",40.706804,1000700043.0,32,10038,-74.005879-24 Hours
M070011,"130 WEST 67 STREET, New York, NY 10023",40.774875,1011380053.0,19,10023,-73.983233-24 Hours
M010045,"75 WALL STREET, New York, NY 10005",40.705041,1000317501.0,32,10005,-74.008119-24 Hours
M060037,"245 EAST 40 STREET, New York, NY 10016",40.748957,1013140021.0,51,10016,-73.973343-24 Hours
M050064,"1 PENNSYLVANIA PLAZA, New York, NY 10119",40.751263,1007830070.0,10,10119,-73.992374-24 Hours
M050022,"1350 SIXTH AVENUE, New York, NY 10019",40.762575,1012700071.0,51,10019,-73.977778-24 Hours
M010042,"17 BATTERY PLACE, New York, NY 10004",40.7056,1000157501.0,32,10004,-74.015837-24 Hours
M050095,"12 EAST 49 STREET, New York, NY 10017",40.757231,1012840007.0,51,10017,-73.977022-24 Hours; Restricted Hours
M080006,"733 PARK AVENUE, New York, NY 10021",40.770092,1014050072.0,51,10021,-73.964136-24 Hours
M050091,"1535 BROADWAY, New York, NY 10036",40.758627,1010177501.0,10,10036,-73.986197-24 Hours; Restricted Hours
M010008,"200 WATER STREET, New York, NY 10038",40.70741,1000750001.0,32,10038,-74.004736-24 Hours
M080070,"1725 YORK AVENUE, New York, NY 10128",40.778319,1015690016.0,1,10128,-73.94598-24 Hours
M060086,"353 EAST 17 STREET, New York, NY 10003",40.733602,1009237501.0,50,10003,-73.981432-24 Hours
M060079,"243 LEXINGTON AVENUE, New York, NY 10016",40.746466,1008900025.0,50,10016,-73.97923-24 Hours
M060005,"150 EAST 34 STREET, New York, NY 10016",40.745895,1008890055.0,50,10016,-73.979288-24 Hours
M050111,"172 MADISON AVENUE, New York, NY 10016",40.747406,1008637502.0,51,10016,-73.983637-24 Hours
M050043,"1221 SIXTH AVENUE, New York, NY 10036",40.759381,1010010029.0,51,10036,-73.982067-24 Hours
M050047,"1211 SIXTH AVENUE, New York, NY 10036",40.758664,1010000029.0,51,10036,-73.982399-24 Hours
M050036,"650 FIFTH AVENUE, New York, NY 10019",40.75977,1012670041.0,51,10019,-73.976804-Restricted Hours
M080094,"400 EAST 84 STREET, New York, NY 10028",40.775165,1015630004.0,1,10028,-73.950164-24 Hours
M060022,"330 EAST 39 STREET, New York, NY 10016",40.747088,1009440010.0,51,10016,-73.972452-24 Hours
M080008,"200 EAST 61 STREET, New York, NY 10065",40.762366,1014157501.0,51,10065,-73.965591-Restricted Hours
M080003,"980 FIFTH AVENUE, New York, NY 10075",40.777041,1014910001.0,51,10075,-73.963201-24 Hours
M110001,"175 EAST 96 STREET, New York, NY 10128",40.785712,1016240033.0,1,10128,-73.949629-24 Hours
M080023,"300 EAST 74 STREET, New York, NY 10021",40.769607,1014480003.0,1,10021,-73.957212-Restricted Hours
M060072,"300 EAST 59 STREET, New York, NY 10022",40.760167,1013510001.0,1,10022,-73.964228-24 Hours
K010001,"334 WALLABOUT STREET, Brooklyn, NY 11206",40.70116,3022657501.0,38,11206,-73.948665-nan
M050055,"1133 SIXTH AVENUE, New York, NY 10036",40.756057,1009960029.0,51,10036,-73.983866-24 Hours
M060085,"200 EAST 32 STREET, New York, NY 10016",40.744021,1009127502.0,50,10016,-73.97896-24 Hours
M060017,"222 EAST 39 STREET, New York, NY 10016",40.748203,1009190042.0,51,10016,-73.974848-24 Hours
M060031,"599 LEXINGTON AVENUE, New York, NY 10022",40.757866,1013070023.0,51,10022,-73.970752-24 Hours
M070030,"40 COLUMBUS AVENUE, New York, NY 10023",40.770871,1011320001.0,10,10023,-73.984295-nan
M050048,"1185 SIXTH AVENUE, New York, NY 10036",40.757899,1009990029.0,51,10036,-73.982519-24 Hours
M010060,"130 WILLIAM STREET, New York, NY 10038",40.709112,1000777501.0,32,10038,-74.006345-24 Hours
