eng,nycgov_threshold,pwgtp,cit,sporder,wkw,msp,povunit_id,agecateg,jwtr,est_eitc,est_housing
3.0,35044.0,41,5,1,1.0,1.0,1,2,1.0,1047.5875,713.99982
3.0,35044.0,115,4,2,,1.0,1,3,,0.0,17798.027
1.0,50108.082,83,1,4,6.0,6.0,1,2,,0.0,11006.939
,30845.143,85,1,3,,,1,1,,0.0,0.0
3.0,30845.143,169,5,2,,1.0,1,2,,0.0,0.0
,50108.082,124,4,3,2.0,6.0,1,2,1.0,0.0,0.0
1.0,42861.836,40,5,4,,6.0,1,2,,0.0,0.0
2.0,35044.0,102,4,1,2.0,1.0,1,2,10.0,0.0,17798.027
,39037.0,151,1,1,1.0,1.0,1,2,4.0,0.0,0.0
1.0,46545.484,56,1,3,,,1,1,,0.0,0.0
,16241.6,579,1,1,1.0,6.0,1,2,4.0,0.0,0.0
2.0,22900.654,132,5,1,,1.0,1,3,,0.0,1688.8021
1.0,16241.6,72,5,1,1.0,6.0,1,2,9.0,0.0,0.0
,50108.082,69,1,1,1.0,1.0,1,2,4.0,0.0,0.0
2.0,16241.6,60,4,1,,3.0,1,3,,0.0,0.0
2.0,24508.658,306,4,1,,5.0,1,2,,0.0,9678.6113
,35044.0,236,1,4,,,1,1,,0.0,11496.932
1.0,24508.658,63,5,8,,6.0,2,2,,0.0,0.0
,39037.0,47,1,5,,,1,1,,0.0,0.0
3.0,16241.6,207,5,2,6.0,3.0,2,2,,0.0,520.64581
,39037.0,61,1,4,,6.0,1,3,,0.0,14176.897
,22900.654,48,1,1,1.0,1.0,1,2,2.0,0.0,0.0
3.0,69629.258,106,5,5,1.0,2.0,1,2,4.0,0.0,0.0
,35044.0,319,5,4,,,1,1,,0.0,0.0
,22900.654,175,1,1,1.0,6.0,1,2,4.0,0.0,0.0
,42861.836,72,1,6,,,1,1,,0.0,0.0
,16241.6,72,1,1,1.0,6.0,1,2,1.0,0.0,0.0
,39037.0,150,1,3,,,1,1,,0.0,0.0
,16241.6,138,5,1,1.0,6.0,1,2,11.0,0.0,0.0
,22900.654,43,1,1,,1.0,1,3,,0.0,0.0
1.0,35044.0,34,4,2,1.0,1.0,1,2,4.0,0.0,0.0
2.0,30845.143,62,5,2,,1.0,1,2,,0.0,0.0
,24508.658,147,1,2,,6.0,1,1,,0.0,0.0
,22900.654,105,1,2,,1.0,1,3,,0.0,0.0
,22900.654,148,1,1,1.0,6.0,1,2,1.0,0.0,0.0
2.0,46545.484,79,4,2,1.0,1.0,1,2,4.0,0.0,0.0
,22900.654,51,1,2,1.0,6.0,1,2,4.0,0.0,0.0
,66553.617,160,1,12,,,1,1,,0.0,0.0
,35044.0,398,1,3,,2.0,1,2,,0.0,0.0
2.0,22900.654,76,4,1,1.0,1.0,1,3,1.0,0.0,1664.8021
2.0,35044.0,82,5,2,5.0,1.0,1,2,,4052.3879,16124.094
,24508.658,123,1,1,1.0,3.0,1,2,7.0,0.0,0.0
,39037.0,100,1,1,1.0,1.0,1,2,10.0,5972.9468,0.0
3.0,22900.654,150,2,1,,4.0,1,3,,0.0,3320.8022
,16241.6,33,1,1,1.0,6.0,1,3,1.0,0.0,0.0
,42861.836,64,1,2,1.0,1.0,1,2,1.0,0.0,0.0
,22900.654,127,4,2,1.0,1.0,1,2,4.0,0.0,3284.8022
1.0,39037.0,48,1,2,1.0,1.0,1,2,,0.0,12344.435
,16241.6,125,1,1,1.0,6.0,1,2,1.0,0.0,0.0
,53565.191,37,4,2,2.0,1.0,1,2,2.0,0.0,0.0
,22900.654,239,1,1,,3.0,1,3,,0.0,9440.8018
,29096.334,367,1,1,,5.0,1,2,,0.0,0.0
,42861.836,83,1,3,1.0,6.0,1,2,10.0,3461.0,16650.703
,22900.654,145,1,2,,6.0,1,2,,0.0,0.0
,29096.334,94,1,2,,,1,1,,0.0,0.0
1.0,35044.0,387,1,2,1.0,2.0,1,2,4.0,0.0,0.0
4.0,22900.654,107,4,2,,1.0,1,3,,0.0,0.0
2.0,35044.0,89,4,1,,1.0,1,3,,0.0,11898.0
,22900.654,43,1,2,1.0,6.0,1,2,1.0,0.0,1232.8021
2.0,35044.0,134,4,2,,1.0,1,3,,0.0,4278.0
1.0,22900.654,223,1,1,,1.0,1,3,,0.0,0.0
,30845.143,102,1,2,1.0,1.0,1,2,10.0,0.0,0.0
2.0,22900.654,69,5,2,1.0,1.0,1,2,4.0,0.0,0.0
,50108.082,70,3,5,,,1,1,,0.0,0.0
,22900.654,114,4,1,,1.0,1,3,,0.0,0.0
1.0,16241.6,40,5,1,2.0,6.0,1,2,1.0,0.0,9674.3281
1.0,42861.836,46,5,3,2.0,6.0,1,2,1.0,0.0,0.0
2.0,39037.0,69,4,2,1.0,1.0,1,2,1.0,0.0,14384.435
,22900.654,44,4,1,1.0,6.0,1,2,4.0,0.0,0.0
1.0,16241.6,101,4,1,,3.0,1,3,,0.0,0.0
,39037.0,115,5,2,1.0,1.0,1,2,1.0,0.0,0.0
,39037.0,95,1,4,,,1,1,,0.0,14384.435
,24508.658,239,1,2,,,1,1,,0.0,882.85278
1.0,22900.654,114,1,2,,4.0,1,3,,0.0,6589.1216
1.0,56929.145,31,4,1,1.0,1.0,1,2,4.0,0.0,0.0
,22900.654,64,4,1,,3.0,1,2,,0.0,3.1178236
4.0,35044.0,171,5,4,,6.0,1,2,,0.0,17246.248
1.0,29096.334,378,1,2,,,1,1,,0.0,0.0
1.0,35044.0,52,4,2,1.0,1.0,1,2,1.0,0.0,0.0
2.0,46545.484,64,4,1,1.0,1.0,1,2,10.0,0.0,0.0
2.0,42861.836,142,4,5,,3.0,1,3,,0.0,0.0
1.0,33391.77,155,5,2,,6.0,1,1,,0.0,0.0
,66553.617,132,1,10,,,1,1,,0.0,0.0
,22900.654,281,1,1,1.0,4.0,1,2,4.0,0.0,0.0
,24508.658,54,1,2,,6.0,1,1,,0.0,0.0
,16241.6,178,4,1,1.0,4.0,1,2,1.0,0.0,0.0
3.0,46545.484,95,5,1,1.0,2.0,1,2,1.0,0.0,0.0
2.0,22900.654,82,4,1,1.0,1.0,1,3,1.0,0.0,0.0
,22900.654,45,1,1,1.0,1.0,1,2,4.0,0.0,0.0
1.0,56929.145,49,4,4,,6.0,1,2,,0.0,0.0
,50108.082,109,1,5,2.0,6.0,1,2,10.0,0.0,0.0
,16241.6,141,1,1,,4.0,1,3,,0.0,0.0
2.0,22900.654,192,4,2,1.0,1.0,1,3,4.0,0.0,3560.8022
,22900.654,77,4,1,1.0,1.0,1,2,10.0,0.0,0.0
1.0,35044.0,170,1,2,1.0,1.0,1,2,2.0,0.0,2246.9187
,60209.934,31,1,3,,6.0,1,2,,0.0,34664.117
,66553.617,145,1,1,1.0,1.0,1,2,1.0,6431.0,0.0
1.0,22900.654,62,4,1,1.0,5.0,1,2,11.0,0.0,0.0
,46545.484,192,1,5,,,1,1,,0.0,1695.796
2.0,22900.654,86,4,2,,1.0,1,2,,0.0,1664.8021
,22900.654,210,1,2,,1.0,1,3,,0.0,0.0
,39037.0,187,1,5,,,1,1,,0.0,0.0
,42861.836,74,1,3,1.0,6.0,1,2,4.0,0.0,0.0
,29096.334,165,1,3,,,1,1,,0.0,14211.266
,22900.654,39,1,2,1.0,6.0,1,2,4.0,0.0,10292.802
2.0,22900.654,47,4,2,1.0,1.0,1,2,1.0,0.0,0.0
2.0,69629.258,111,5,8,,2.0,1,2,,0.0,0.0
1.0,16241.6,73,5,1,,6.0,1,2,,0.0,0.0
2.0,22900.654,135,2,1,,3.0,1,3,,0.0,0.0
4.0,22900.654,105,5,2,1.0,1.0,1,3,4.0,0.0,5960.8022
,42861.836,43,1,4,1.0,6.0,1,2,1.0,0.0,0.0
2.0,56929.145,49,4,2,1.0,6.0,1,2,8.0,0.0,0.0
3.0,56929.145,55,5,6,4.0,1.0,1,2,,0.0,0.0
,30845.143,596,1,3,,,1,1,,0.0,0.0
,22900.654,40,1,1,,1.0,1,2,,0.0,0.0
,22900.654,100,1,2,,1.0,1,3,,0.0,0.0
4.0,22900.654,29,4,6,,2.0,2,3,,0.0,0.0
,39037.0,57,1,3,,,1,1,,0.0,12344.435
1.0,50108.082,164,4,2,,1.0,1,2,,0.0,0.0
1.0,42861.836,147,1,4,4.0,6.0,1,2,,0.0,0.0
,35044.0,203,1,1,1.0,1.0,1,2,4.0,0.0,6474.0
2.0,22900.654,183,4,1,,1.0,1,3,,0.0,3560.8022
,16241.6,39,1,1,5.0,6.0,1,2,4.0,152.91016,0.0
1.0,35044.0,172,1,3,,,1,1,,0.0,17246.248
1.0,42861.836,138,1,3,4.0,6.0,1,2,,137.70946,0.0
2.0,42861.836,29,5,1,2.0,1.0,1,2,1.0,5478.894,0.0
,42861.836,88,1,3,1.0,2.0,1,2,1.0,0.0,10009.938
,16241.6,69,1,1,,4.0,1,2,,0.0,0.0
4.0,22900.654,121,5,2,,3.0,1,3,,0.0,0.0
1.0,39037.0,63,4,3,,,1,1,,0.0,11000.435
2.0,46545.484,212,1,4,,,1,1,,0.0,1695.796
1.0,22900.654,466,5,2,1.0,1.0,1,2,1.0,0.0,0.0
2.0,22900.654,62,4,1,1.0,1.0,1,3,10.0,0.0,2612.8022
,50108.082,45,4,1,,1.0,1,3,,0.0,0.0
1.0,50108.082,73,3,5,,6.0,1,2,,0.0,0.0
3.0,39037.0,374,4,1,,4.0,1,2,,0.0,2252.4343
,35044.0,57,1,3,,,1,1,,0.0,17022.0
1.0,35044.0,325,1,3,,6.0,1,2,,0.0,1313.9998
,56929.145,145,1,5,,6.0,1,2,,0.0,0.0
1.0,29096.334,43,1,3,,,1,1,,0.0,2961.8032
3.0,35044.0,314,5,3,1.0,6.0,1,2,4.0,0.0,2278.53
,35044.0,79,1,2,2.0,1.0,1,2,1.0,0.0,0.0
,16241.6,146,4,1,1.0,6.0,1,2,4.0,0.0,0.0
,30845.143,83,1,3,,,1,1,,0.0,0.0
,22900.654,54,1,1,6.0,1.0,1,3,,0.0,0.0
3.0,50108.082,101,4,1,,1.0,1,3,,0.0,11006.939
,42861.836,235,1,4,1.0,6.0,1,2,4.0,1111.4669,11161.241
2.0,16241.6,74,5,5,5.0,6.0,3,2,4.0,0.0,0.0
,22900.654,113,1,1,2.0,4.0,1,2,4.0,0.0,0.0
,16241.6,47,1,1,,3.0,1,3,,0.0,0.0
1.0,22900.654,55,2,2,,6.0,1,3,,0.0,0.0
,46545.484,101,4,5,,1.0,1,2,,0.0,0.0
1.0,29096.334,377,1,3,,,1,1,,0.0,0.0
,16241.6,46,1,1,1.0,6.0,1,2,4.0,0.0,0.0
1.0,35044.0,81,1,1,1.0,1.0,1,2,1.0,0.0,0.0
,35044.0,123,4,1,1.0,1.0,1,2,1.0,0.0,0.0
1.0,16241.6,447,1,1,2.0,6.0,1,2,,0.0,0.0
,16241.6,81,1,1,1.0,6.0,1,2,1.0,0.0,0.0
2.0,22900.654,63,4,2,,1.0,1,3,,0.0,1268.8021
1.0,46545.484,54,1,4,,6.0,1,2,,0.0,0.0
,22900.654,129,4,1,,1.0,1,3,,0.0,3284.8022
1.0,42861.836,63,1,2,1.0,1.0,1,2,1.0,0.0,0.0
,46545.484,65,1,5,,,1,1,,0.0,0.0
,24508.658,105,1,2,,6.0,1,1,,0.0,0.0
1.0,56929.145,28,5,6,,,1,1,,0.0,0.0
,16241.6,51,4,1,,4.0,1,3,,0.0,0.0
1.0,50108.082,94,1,4,,6.0,1,2,,0.0,0.0
1.0,35044.0,156,5,4,,,1,1,,0.0,0.0
1.0,46545.484,110,4,1,1.0,6.0,1,2,4.0,0.0,0.0
1.0,42861.836,38,1,1,1.0,1.0,1,2,10.0,6431.0,0.0
