schl,boro,off_threshold,ten,sch,pretaxincome_pu,est_povgapindex,wagp_adj,rel
18.0,1,12043,2,1,28468.025,0.0,0.0,0
13.0,2,29967,3,2,112453.77,0.0,0.0,2
20.0,1,19642,3,1,36674.113,0.074391969,6179.8916,0
13.0,2,26324,3,2,36978.039,0.12322684,14183.358,15
12.0,1,25554,3,2,24010.398,0.0,0.0,2
17.0,2,31234,4,1,71828.578,0.0,26340.521,0
7.0,4,29967,3,2,91178.727,0.0,0.0,2
6.0,5,29967,2,2,168174.11,0.0,0.0,2
20.0,4,35324,1,1,207786.19,0.0,45690.676,5
6.0,2,25465,1,2,678775.0,0.0,0.0,2
21.0,1,25900,3,1,146899.06,0.0,75982.273,1
16.0,4,19642,2,1,195527.72,0.0,33432.199,2
16.0,5,26324,3,1,45184.125,0.0,27353.619,0
16.0,3,13064,3,1,31406.008,0.0,31406.008,0
22.0,4,13064,1,1,64331.66,0.0,60785.82,0
10.0,3,25465,3,3,688905.94,0.0,0.0,2
21.0,3,13064,3,1,38497.688,0.0,38497.688,0
16.0,2,33553,3,1,24111.709,0.0,8915.2539,1
18.0,1,13064,1,1,28366.717,0.015183089,0.0,11
8.0,1,30718,3,2,91178.727,0.0,0.0,2
10.0,3,29967,1,2,214776.56,0.0,0.0,2
1.0,4,25900,1,1,6483.8208,0.81810254,2127.5037,1
21.0,2,35324,3,2,69903.695,0.0,0.0,7
4.0,4,29967,3,2,26847.07,0.0,0.0,4
15.0,5,16815,3,1,10130.97,0.55390054,0.0,0
17.0,2,35324,3,1,69903.695,0.0,35458.395,2
16.0,2,19642,1,1,98280.539,0.0,11144.067,6
,2,20231,3,0,12157.164,0.0,0.0,2
21.0,2,31234,2,3,100499.22,0.0,72942.984,10
6.0,2,48546,1,3,19552.771,0.5498361,0.0,2
,2,20212,3,0,20261.939,0.19448331,0.0,2
18.0,4,15178,2,1,128460.7,0.0,0.0,1
16.0,1,12043,2,1,12157.164,0.22972536,0.0,0
16.0,4,37581,3,1,0.0,0.67176729,0.0,5
19.0,3,15178,2,1,13170.261,0.0,0.0,5
1.0,1,16815,3,1,61798.918,0.0,0.0,1
3.0,1,25465,3,2,10130.97,0.11385179,0.0,2
16.0,2,26324,3,1,36978.039,0.12322684,0.0,13
8.0,2,29967,3,2,58759.625,0.0,0.0,4
1.0,2,19642,1,1,158549.69,0.0,0.0,6
13.0,3,16815,3,1,111845.91,0.0,40523.879,0
1.0,2,35324,3,2,69903.695,0.0,0.0,7
16.0,2,19642,3,1,25732.664,0.14162001,17425.268,0
19.0,2,31689,1,1,129250.91,0.0,14183.358,2
19.0,1,13064,3,1,101309.7,0.0,101309.7,0
21.0,1,16815,3,1,12562.402,0.35971907,12562.402,0
15.0,2,20212,3,1,75982.273,0.0,35458.395,1
21.0,2,20212,3,3,75982.273,0.0,40523.879,0
1.0,2,15178,2,1,155003.84,0.0,36471.492,1
18.0,5,16815,3,1,105362.09,0.0,105362.09,0
9.0,3,25465,3,1,37484.59,0.0,0.0,1
14.0,3,15178,3,1,76286.203,0.0,0.0,13
8.0,4,25465,3,2,67877.5,0.0,0.0,2
21.0,5,29967,2,1,168174.11,0.0,101309.7,0
16.0,2,48546,1,1,19552.771,0.5498361,8104.7759,1
22.0,3,13064,1,1,141833.58,0.0,141833.58,0
24.0,2,16815,3,1,402706.06,0.0,303929.09,0
21.0,2,20231,3,1,38497.688,0.0,38497.688,0
20.0,3,25554,1,1,48648.918,0.0,8104.7759,0
19.0,5,17308,3,1,8510.0146,0.81867409,0.0,0
22.0,4,13064,1,1,131702.61,0.0,131702.61,0
,2,20231,3,0,4862.8657,0.44642007,0.0,2
16.0,2,15178,1,1,21356.084,0.14304961,0.0,0
15.0,4,36068,1,1,104348.99,0.0,0.0,8
16.0,5,13064,3,3,3039.291,0.75439209,3039.291,0
21.0,2,29967,3,1,60785.82,0.0,0.0,1
17.0,2,16815,3,1,80034.664,0.0,70916.789,0
17.0,2,20212,3,1,10130.97,0.22178932,10130.97,0
9.0,2,20212,3,1,20261.939,0.19448331,20261.939,13
21.0,4,31689,1,1,205658.69,0.0,81047.758,0
19.0,4,12043,2,1,59975.344,0.0,0.0,0
21.0,4,34612,1,1,126839.74,0.0,126637.13,0
19.0,3,13064,3,2,8104.7759,0.4689604,2026.194,12
,2,29967,3,0,58759.625,0.0,0.0,2
10.0,2,45064,2,2,146696.45,0.0,0.0,2
18.0,2,13064,3,1,46095.914,0.0,46095.914,0
22.0,3,20212,3,1,314566.63,0.0,233012.31,0
19.0,4,25900,1,1,209508.45,0.0,51667.945,1
15.0,2,16815,3,1,45791.984,0.0,20464.559,0
8.0,1,13064,3,1,8510.0146,0.0,0.0,0
21.0,4,25900,1,1,209508.45,0.0,115493.05,0
7.0,2,25465,3,2,107894.83,0.0,0.0,2
21.0,2,19642,1,1,98280.539,0.0,51667.945,0
20.0,4,16815,3,2,79021.563,0.0,0.0,1
22.0,3,16815,3,3,31709.936,0.0,31709.936,0
21.0,2,16815,4,3,125117.48,0.0,116506.16,1
10.0,4,35324,1,2,207786.19,0.0,0.0,10
22.0,2,13064,2,1,4153.6978,0.73796302,4153.6978,15
22.0,3,25465,3,1,688905.94,0.0,668644.0,0
21.0,2,13064,1,1,92191.828,0.0,0.0,0
19.0,2,12043,3,1,26847.07,0.0,0.0,0
19.0,2,35324,1,1,127346.29,0.0,0.0,2
16.0,2,25900,1,1,183877.11,0.0,13676.81,0
16.0,1,26324,3,1,26137.902,0.20813772,3849.7686,2
21.0,2,31689,3,2,67370.953,0.0,1519.6455,2
22.0,3,25465,2,1,668644.0,0.0,0.0,1
16.0,4,31234,1,1,88038.133,0.0,0.0,7
7.0,5,38929,1,2,49236.516,0.0,0.0,2
,3,20212,2,0,668644.0,0.0,0.0,2
5.0,2,53491,3,3,178305.08,0.0,0.0,2
12.0,1,13064,3,1,9928.3506,0.0,0.0,0
3.0,4,37581,3,1,0.0,0.67176729,0.0,10
21.0,3,16815,3,1,70916.789,0.0,35458.395,13
21.0,2,40705,3,1,105544.45,0.0,60785.82,0
20.0,4,25900,1,1,182357.45,0.0,93204.922,1
22.0,2,13064,3,3,20272.07,0.0,20261.939,0
8.0,4,25465,1,2,85100.148,0.0,0.0,2
21.0,3,13064,3,1,96244.219,0.0,96244.219,0
17.0,2,19642,1,1,128055.46,0.0,23301.23,2
,2,31689,1,0,129250.91,0.0,0.0,7
16.0,1,12043,2,1,10313.327,0.19522363,0.0,0
18.0,4,25554,3,1,39409.473,0.0,39409.473,0
16.0,2,16815,3,1,65648.688,0.0,0.0,6
17.0,2,15178,3,1,20667.18,0.0,0.0,2
3.0,2,33553,1,3,203632.5,0.0,0.0,2
22.0,2,19642,3,1,126738.44,0.0,49337.824,2
19.0,2,15178,3,1,26948.381,0.0,0.0,0
16.0,1,16815,2,1,8510.0146,0.19409218,0.0,0
22.0,3,25465,2,1,668644.0,0.0,668644.0,0
22.0,4,16815,3,2,134235.36,0.0,82060.859,0
11.0,3,25465,3,2,37484.59,0.0,0.0,2
22.0,5,15178,3,1,62305.465,0.0,0.0,0
22.0,4,31234,1,1,210217.63,0.0,70916.789,2
21.0,3,16815,3,1,241826.25,0.0,170200.3,0
15.0,1,20212,3,1,48527.348,0.0,37991.137,0
19.0,1,15178,3,1,16209.552,0.0,0.0,0
17.0,3,16815,3,1,111845.91,0.0,0.0,1
15.0,4,26324,2,1,66864.398,0.0,0.0,1
21.0,5,29967,2,1,168174.11,0.0,66864.398,1
1.0,2,25465,3,2,36471.492,0.0,0.0,2
14.0,4,17242,3,2,37281.969,0.0,0.0,7
16.0,4,13064,3,1,50654.852,0.0,50654.852,15
20.0,2,36068,3,2,42651.383,0.05674642,0.0,2
14.0,1,20231,3,1,45589.363,0.0,0.0,0
