native_american,calendar_year,cd_51,cd_21,cd_36,caucasian,cd_03,cd_31,unknown_race,cd_04,cd_46,cd_28,cd_07,unknown_cd,cd_50,cd_44,cd_45
*,2024,*,14,23,206,0,18,0,*,13,18,18,97,13,65,22
0,2022,0,0,0,*,0,0,0,0,0,*,0,0,0,0,0
0,2024,*,*,*,35,*,*,23,*,*,*,*,13,*,*,*
0,2023,0,0,*,0,0,0,0,0,0,0,0,0,0,0,0
0,2024,0,0,0,*,0,0,0,0,0,0,0,0,0,0,0
121,2023,71,138,403,1321,201,407,39,88,181,261,308,4088,112,158,274
0,2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2025,0,0,*,*,0,0,0,0,0,0,0,*,0,0,0
0,2023,0,0,0,0,0,0,0,0,0,0,0,*,0,0,0
0,2024,0,0,0,*,0,0,0,0,0,0,0,0,0,0,0
0,2024,0,0,0,0,*,*,0,*,0,*,*,16,0,0,*
0,2023,0,0,0,0,0,*,0,0,0,0,0,*,0,0,0
0,2024,0,0,0,0,0,0,0,0,0,0,*,0,0,0,*
0,2024,0,0,0,0,*,0,0,0,0,0,0,0,0,0,0
*,2024,*,*,*,15,*,*,0,0,*,*,*,14,*,*,*
0,2022,0,0,0,*,0,0,0,0,0,0,0,*,0,0,0
*,2023,*,*,*,15,*,*,0,*,*,*,*,26,*,*,*
0,2023,0,0,0,0,0,*,0,0,0,0,0,0,0,0,0
*,2024,17,28,27,128,*,23,*,*,22,29,13,127,16,19,28
*,2024,*,15,15,119,*,18,*,*,12,18,13,75,*,31,16
*,2022,0,*,0,*,0,0,0,0,*,0,*,*,0,0,*
0,2023,0,0,0,0,0,0,0,0,0,0,0,*,0,0,0
0,2023,0,0,0,*,0,0,0,0,0,0,0,*,0,0,0
*,2024,0,0,*,*,0,*,0,0,*,0,0,*,0,0,0
0,2025,0,0,0,0,0,0,0,0,0,0,0,*,0,0,0
0,2023,0,0,0,*,0,0,0,0,*,0,0,*,0,*,0
0,2022,0,*,*,20,*,*,0,0,*,*,*,*,*,*,*
14,2023,26,56,83,365,16,70,*,0,43,51,50,276,35,73,49
0,2023,0,0,0,0,0,0,0,0,0,0,0,*,0,0,0
*,2025,22,29,54,469,28,37,10,*,26,45,48,164,16,34,29
0,2025,0,0,0,0,0,0,0,0,0,0,0,*,0,0,0
0,2025,0,*,0,*,*,0,0,0,0,0,*,*,*,0,0
0,2025,0,0,*,0,0,0,0,0,0,0,0,0,0,0,0
0,2022,0,0,0,*,0,0,0,0,0,0,0,*,0,0,0
0,2023,0,0,0,*,0,0,0,0,0,0,0,*,0,0,0
*,2024,*,*,12,37,*,16,*,*,*,*,11,69,*,*,*
0,2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2024,0,0,0,*,0,*,0,0,0,0,0,29,0,0,0
*,2022,*,24,35,117,17,46,0,*,18,34,32,294,*,15,20
0,2024,0,*,*,*,*,*,*,0,*,0,0,*,*,0,*
0,2022,*,*,*,*,*,*,0,0,0,0,*,*,0,*,0
0,2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2024,0,*,0,*,0,0,0,0,0,0,0,*,0,0,*
0,2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2024,0,0,0,*,0,0,0,0,0,0,0,0,0,0,0
0,2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
*,2023,*,*,*,41,*,*,*,*,*,*,*,51,*,*,*
0,2023,0,0,0,0,0,0,0,0,*,0,0,*,0,0,0
0,2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2024,0,0,0,*,0,0,0,0,0,0,0,0,0,0,0
*,2024,0,*,*,23,*,*,0,*,*,*,*,42,*,*,*
0,2023,0,0,0,*,0,*,0,0,*,*,0,*,0,0,0
0,2025,0,0,0,*,0,0,0,0,0,0,0,0,0,0,0
0,2024,*,*,*,76,*,*,21,*,*,*,*,29,*,*,*
