cd_17,cd_48,cd_19,cd_26,female,cd_11,cd_20,cd_06,cd_16,cd_23
39,15,15,*,817,30,10,*,50,*
110,31,15,30,2132,54,37,13,122,20
0,0,0,0,*,0,0,0,0,0
324,21,*,27,2339,113,13,11,247,*
0,0,0,0,20,*,*,0,*,*
*,*,0,0,35,0,*,0,*,*
*,*,0,0,37,*,0,0,*,0
0,0,0,0,*,0,0,0,0,0
0,0,0,0,*,0,0,0,0,0
*,0,0,*,32,0,0,0,*,0
0,0,0,0,0,0,0,0,*,0
0,0,0,0,*,0,0,0,0,0
0,0,0,0,*,0,0,0,0,0
0,*,0,0,46,0,*,0,*,0
25,13,*,*,540,*,10,0,31,*
101,15,*,28,1331,44,*,*,103,*
368,145,52,108,"5,599",168,104,53,375,77
0,*,0,*,*,0,0,0,*,0
*,*,*,0,36,0,0,0,*,0
0,0,0,0,*,0,0,0,0,0
0,0,0,0,*,0,0,0,0,0
24,*,*,*,286,12,*,0,21,*
0,0,0,0,*,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,*,0,0,0,0,0
*,*,0,0,31,*,0,0,*,0
0,0,0,0,*,0,0,0,0,0
*,0,0,0,22,*,0,0,0,0
0,*,0,0,*,0,*,0,0,0
0,*,0,0,*,0,0,0,0,0
21,*,*,*,309,13,*,*,29,*
0,*,0,0,*,0,0,0,0,0
*,*,0,0,138,*,*,*,*,*
0,0,0,0,*,0,0,0,0,0
0,0,0,0,*,0,0,0,0,0
*,0,0,0,23,0,0,*,0,0
52,10,*,15,710,21,*,*,45,*
