cd_47,cd_01,has_reasonable_accommodation,cd_32,cd_14,cd_18,_18_24,cd_38
0,0,0,0,0,0,*,0
0,0,0,0,*,0,*,0
0,0,0,0,0,0,0,0
0,0,0,0,0,*,0,0
*,0,0,*,*,*,*,*
*,*,0,*,10,10,*,*
*,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
*,*,0,*,*,*,10,*
0,0,*,0,*,0,0,0
52,38,18,57,138,98,189,67
0,0,0,0,0,0,*,0
0,0,0,0,0,0,0,0
0,0,0,*,0,0,*,0
0,0,0,0,0,0,0,0
*,0,*,*,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,*,*
*,*,22,*,*,*,15,*
0,*,0,0,0,0,*,*
*,0,*,*,*,*,*,*
0,0,0,0,0,0,0,0
0,*,*,0,*,*,*,*
0,0,0,0,0,0,0,0
0,0,0,0,0,0,*,0
0,*,*,0,0,0,0,0
0,0,*,0,0,0,*,0
0,0,0,0,0,0,0,0
*,*,0,0,*,*,*,*
*,*,0,*,*,*,0,0
0,0,0,0,0,0,0,0
*,0,0,0,0,0,0,0
*,0,*,0,*,0,*,*
0,0,0,0,0,0,0,0
0,0,*,0,0,*,*,0
0,0,0,0,0,0,0,0
0,0,0,0,*,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,*,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,*,0
*,*,0,*,*,0,13,*
0,0,*,0,0,0,0,0
0,0,0,0,0,0,0,0
0,*,*,0,*,*,12,*
0,0,0,0,0,*,0,0
*,*,0,*,*,*,20,0
0,0,0,0,0,0,0,0
0,0,0,0,*,0,*,0
0,0,0,0,0,0,0,0
10,*,0,*,*,*,*,*
0,0,0,*,*,*,*,*
*,0,*,0,*,*,0,0
0,0,0,0,0,0,0,0
0,0,*,0,0,0,*,0
0,0,0,0,0,0,*,0
*,0,0,0,0,*,*,0
0,0,0,0,0,0,0,0
*,0,13,0,0,0,*,0
*,*,*,*,23,13,39,*
11,*,41,*,14,13,46,*
0,0,0,0,0,0,*,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
17,*,0,*,*,*,0,*
0,0,0,0,0,0,*,0
63,50,370,19,152,103,306,44
0,0,0,0,0,0,0,*
0,*,*,*,*,0,0,0
10,*,21,*,11,*,*,*
0,0,0,0,0,0,0,0
0,0,0,0,0,*,*,0
0,0,0,0,0,*,0,*
*,*,22,*,*,*,15,*
0,0,0,0,*,0,13,0
0,0,0,0,0,0,*,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
*,*,0,*,*,10,*,*
0,0,0,0,*,0,0,0
0,0,0,0,0,0,0,0
60,43,20,36,70,75,97,59
0,0,0,0,0,0,*,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
173,118,"1,038",92,401,295,"1,116",172
0,0,*,0,*,*,*,0
*,*,0,*,*,*,0,*
*,13,*,*,10,*,0,*
*,0,*,*,*,*,20,*
0,0,*,0,0,*,*,*
0,0,0,0,0,0,0,0
0,0,*,0,0,*,*,0
0,0,0,0,*,*,0,0
*,0,19,*,*,*,23,*
*,10,24,*,12,11,0,12
0,0,*,0,*,0,*,0
*,*,0,0,*,*,*,0
0,0,0,0,0,0,0,0
*,*,*,*,11,*,18,*
0,0,0,*,0,*,*,0
0,0,*,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,*,0
0,0,0,0,0,0,0,0
14,11,185,13,59,52,165,40
450,311,116,350,925,668,939,376
