pivot-metric,pivot-value,permitid,axle2weight,totalnoofaxle,axle3loadrating,loadindescription,axle4space,loadoutheight,vehicletype,loadoutdescription,overalllength,vehicletypeother,steeringnooftires
fullapplicationno,SJ-201539-239,3400,25750.0,3.0,8800.0,,,,Other Single,,32.06,,2.0
fullapplicationno,Val-2015713-746,3907,29000.0,3.0,8800.0,,,,Other Single,,31.03,CONCRETE MIXER,2.0
leasecompanyname,,3790,,,,Raw Bulk Milk,,12.03,,Empty,,,
leasecompanyname,,2803,26000.0,3.0,26000.0,,,,Dump Truck,,35.0,,2.0
fullapplicationno,Ult-2014729-794,2524,16006.0,3.0,,,,,,,35.08,,
leasecompanyname,,3383,22000.0,3.0,9370.0,,,,Other Single,,32.04,TANK TRUCK,2.0
leasecompanyname,,4269,,,,Bulk Raw Milk,,11.06,,Empty,,,
leasecompanyname,,3480,,,,Bulk Raw Milk,,12.0,,Empty,,,
fullapplicationno,SKA-2015116-63,3224,32200.0,2.0,,,,,,,41.02,,
leasecompanyname,,2696,23000.0,3.0,5750.0,,,,Other Single,,34.0,stak,2.0
fullapplicationno,L.F-201572-713,3874,16100.0,2.0,,,,,,,32.0,,
fullapplicationno,Wor-2015318-322,3483,,,,Bulk Raw Milk,,12.0,,Empty,,,
fullapplicationno,con-2015112-1178,4429,23000.0,3.0,5750.0,,,,Other Single,,34.0,UTILITY,2.0
fullapplicationno,con-2014919-991,2721,23000.0,3.0,5750.0,,,,Other Single,,34.0,066UTILITY,2.0
fullapplicationno,Wor-2015317-311,3472,,,,Bulk Raw Milk,,11.06,,Empty,,,
leasecompanyname,,3416,29500.0,3.0,8800.0,,,,Other Single,,30.03,CONCRETE MIXER,2.0
fullapplicationno,NEW3-20141222-1404,3134,29500.0,3.0,32400.0,,,,Dump Truck,,28.0,,2.0
fullapplicationno,ARC-201488-812,2542,26880.0,3.0,7610.0,,,,Other Single,,34.06,ROLLOFF,2.0
fullapplicationno,Wor-20141125-1225,2955,,,,Bulk Raw Milk,,12.03,,Empty,,,
fullapplicationno,Yon-2015821-875,4126,,,,,,,Tractor Trailer,,,,
leasecompanyname,,3452,,,,Bulk Raw Milk,,12.03,,Empty,,,
leasecompanyname,,3483,,,,Bulk Raw Milk,,12.0,,Empty,,,
leasecompanyname,,4479,23000.0,3.0,24020.0,,,,Other Single,,34.0,UTILITY,2.0
fullapplicationno,Wor-2015317-319,3480,,,,Bulk Raw Milk,,12.0,,Empty,,,
leasecompanyname,,3245,36000.0,2.0,,,,,,,41.05,,
fullapplicationno,The1-201478-759,2489,25000.0,3.0,7660.0,,,,Dump Truck,,31.06,,2.0
leasecompanyname,,4222,28095.0,3.0,8800.0,,,,Other Single,,21.03,,2.0
fullapplicationno,St-20141212-1361,3091,23000.0,3.0,6610.0,,,,Dump Truck,,22.04,,2.0
leasecompanyname,,5946,25000.0,3.0,,,,,,,28.01,,
fullapplicationno,Val-20151015-1008,4259,29000.0,3.0,8800.0,,,,Other Single,,31.03,,2.0
leasecompanyname,,3805,,,,Bulk Raw Milk,,12.0,,Empty,,,
leasecompanyname,,3446,23000.0,3.0,24020.0,,,,Other Single,,34.0,Tank,2.0
fullapplicationno,COR-201585-808,3969,33500.0,2.0,,,,,Dump Truck,,20.06,,2.0
fullapplicationno,G.A-201547-400,3561,29500.0,3.0,9920.0,,,,Cement Truck,,31.0,,2.0
leasecompanyname,,2702,23000.0,3.0,5750.0,,,,Other Single,,34.0,utility,2.0
fullapplicationno,NYC1-2015612-659,3820,,,,Raw Bulk Milk,,11.06,,Empty,,,
leasecompanyname,,2453,,,,Bulk Raw Milk,,12.03,,Empty,,,
fullapplicationno,con-2015910-925,4176,23000.0,3.0,24020.0,,,,Other Single,,34.0,UTILITY,2.0
leasecompanyname,,3944,,,,Raw Bulk Milk,,11.06,,Empty,,,
fullapplicationno,Wor-20141125-1213,2943,,,,Bulk Raw Milk,,11.06,,Empty,,,
leasecompanyname,,3199,29000.0,3.0,8800.0,,,,Other Single,,31.03,CONCRETE MIXER,2.0
leasecompanyname,,3484,,,,Bulk Raw Milk,,12.0,,Empty,,,
leasecompanyname,,2546,29000.0,3.0,8800.0,,,,Other Single,,31.03,CONCRETE MIXER,2.0
fullapplicationno,S.-2015123-128,3289,16000.0,4.0,,,4.06,,,,53.0,,
fullapplicationno,Sup-20141217-1394,3124,10380.0,5.0,,,4.07,,,,39.04,,
fullapplicationno,Sal-201599-915,4166,26880.0,3.0,6720.0,,,,Dump Truck,,34.06,,2.0
leasecompanyname,,3512,23300.0,4.0,,,5.05,,,,36.01,,
fullapplicationno,New1-2015116-79,3240,26100.0,2.0,,,,,,,38.02,,
fullapplicationno,Val-201518-38,3199,29000.0,3.0,8800.0,,,,Other Single,,31.03,CONCRETE MIXER,2.0
fullapplicationno,con-20151029-1120,4371,23000.0,3.0,5750.0,,,,Other Single,,34.0,DUMP,2.0
leasecompanyname,,4665,26500.0,3.0,,,,,,,25.05,,
fullapplicationno,Dem-2015325-355,3516,,,,,,,Tractor Trailer,,,,
fullapplicationno,Val-2014811-816,2546,29000.0,3.0,8800.0,,,,Other Single,,31.03,CONCRETE MIXER,2.0
leasecompanyname,,4259,29000.0,3.0,8800.0,,,,Other Single,,31.03,,2.0
fullapplicationno,Val-201539-254,3415,29500.0,3.0,8800.0,,,,Other Single,,31.03,CONCRETE MIXER,2.0
fullapplicationno,con-2014919-981,2711,23000.0,3.0,5750.0,,,,Other Single,,34.0,UTILITY,2.0
leasecompanyname,,4330,22500.0,3.0,5625.0,,,,Dump Truck,,34.0,,2.0
fullapplicationno,con-2015112-1169,4420,23000.0,3.0,5750.0,,,,Other Single,,34.0,UTILITY,2.0
fullapplicationno,Cra-2015122-109,3270,36700.0,2.0,,,,,,,41.05,,
fullapplicationno,con-2014924-1027,2757,23000.0,3.0,5750.0,,,,Other Single,,34.0,tank truck,2.0
leasecompanyname,,4006,29000.0,3.0,8800.0,,,,Other Single,,31.03,CONCRETE MIXER,2.0
leasecompanyname,,3399,24210.0,3.0,8800.0,,,,Other Single,,32.0,,2.0
leasecompanyname,,4176,23000.0,3.0,24020.0,,,,Other Single,,34.0,UTILITY,2.0
leasecompanyname,,3936,,,,Raw Bulk Milk,,12.03,,Empty,,,
fullapplicationno,Wor-2014626-721,2451,,,,Bulk Raw Milk,,12.03,,Empty,,,
leasecompanyname,,6796,18740.0,4.0,,,4.06,,,,34.11,,
leasecompanyname,,2606,,,,Bulk Raw Milk,,11.06,,Empty,,,
fullapplicationno,con-2014918-966,2696,23000.0,3.0,5750.0,,,,Other Single,,34.0,stak,2.0
leasecompanyname,,3115,,,,,,,Tractor Trailer,,,,
leasecompanyname,,4471,23000.0,3.0,24020.0,,,,Other Single,,34.0,Utility,2.0
leasecompanyname,,3907,29000.0,3.0,8800.0,,,,Other Single,,31.03,CONCRETE MIXER,2.0
leasecompanyname,,3548,29500.0,3.0,8800.0,,,,Other Single,,31.03,CONCRETE MIXER,2.0
fullapplicationno,con-2015112-1199,4450,23000.0,3.0,5750.0,,,,Other Single,,34.0,tank truck,2.0
fullapplicationno,Val-201539-252,3413,29500.0,3.0,8800.0,,,,Other Single,,30.03,CONCRETE MIXER,2.0
leasecompanyname,,2721,23000.0,3.0,5750.0,,,,Other Single,,34.0,066UTILITY,2.0
fullapplicationno,M-Q-201577-732,3893,18636.0,5.0,,,4.02,,,,40.0,,
fullapplicationno,Sup-2015125-1333,4584,10380.0,5.0,,,4.07,,,,39.04,,
fullapplicationno,Wor-201477-749,2479,,,,Raw Bulk Milk,,11.06,,Empty,,,
fullapplicationno,con-2015112-1167,4418,23000.0,3.0,5750.0,,,,Other Single,,34.0,UTILITY,2.0
leasecompanyname,,2634,26000.0,3.0,8800.0,,,,Other Single,,34.05,,2.0
leasecompanyname,,4432,23000.0,3.0,5750.0,,,,Other Single,,34.0,UTILITY,2.0
fullapplicationno,Wor-2015611-644,3805,,,,Bulk Raw Milk,,12.0,,Empty,,,
fullapplicationno,Ecc1-20151118-1280,4531,28640.0,3.0,28640.0,,,,Dump Truck,,27.0,,2.0
fullapplicationno,con-2014925-1047,2777,23000.0,3.0,5750.0,,,,Other Single,,34.0,vACTOR,2.0
leasecompanyname,,3872,29500.0,3.0,8100.0,,,,Dump Truck,,32.06,,2.0
leasecompanyname,,4276,,,,Bulk Raw Milk,,11.06,,Empty,,,
leasecompanyname,,3459,,,,Bulk Raw Milk,,12.03,,Empty,,,
leasecompanyname,,4156,28640.0,3.0,28640.0,,,,Cement Truck,,33.06,,2.0
leasecompanyname,,2524,16006.0,3.0,,,,,,,35.08,,
fullapplicationno,Hal-2015430-495,3656,,,,,,,Tractor Trailer,,,,
fullapplicationno,con-20151029-1132,4383,23000.0,3.0,5750.0,,,,Other Single,,34.0,UTILITY,2.0
fullapplicationno,Par-20141014-1107,2837,29500.0,3.0,8100.0,,,,Dump Truck,,24.11,,2.0
leasecompanyname,,4180,29500.0,3.0,9920.0,,,,Cement Truck,,33.0,,2.0
fullapplicationno,NYC1-2015720-775,3936,,,,Raw Bulk Milk,,12.03,,Empty,,,
leasecompanyname,,4517,23000.0,3.0,24020.0,,,,Other Single,,34.0,Tank,2.0
leasecompanyname,,3400,25750.0,3.0,8800.0,,,,Other Single,,32.06,,2.0
leasecompanyname,,3575,,,,,,,Tractor Trailer,,,,
leasecompanyname,,4570,,,,,,,Tractor Trailer,,,,
fullapplicationno,con-20151028-1097,4348,22700.0,3.0,5675.0,,,,Other Single,,34.0,utility,2.0
leasecompanyname,,4290,,,,Raw Bulk Milk,,12.03,,Empty,,,
fullapplicationno,NYC1-20151019-1044,4295,,,,Raw Bulk Milk,,11.06,,Empty,,,
fullapplicationno,Bay-20141211-1325,3055,33000.0,2.0,,,,,,,41.02,,
leasecompanyname,,2713,23000.0,3.0,5750.0,,,,Dump Truck,,34.0,,2.0
fullapplicationno,A.-2014610-690,2420,,,,,,,Tractor Trailer,,,,
fullapplicationno,Bay-20151214-1414,4665,26500.0,3.0,,,,,,,25.05,,
fullapplicationno,PET-2015216-174,3335,32400.0,2.0,,,,,Other Single,,26.0,TANK TRUCK,4.0
fullapplicationno,All-2015114-57,3218,20907.0,3.0,,,,,,,36.06,,
fullapplicationno,New1-2015116-84,3245,36000.0,2.0,,,,,,,41.05,,
leasecompanyname,,3397,24680.0,3.0,8170.0,,,,Other Single,,35.0,BOOM TRUCK,2.0
fullapplicationno,con-2014918-952,2682,22700.0,3.0,5675.0,,,,Other Single,,34.0,UTILITY,2.0
leasecompanyname,,3224,32200.0,2.0,,,,,,,41.02,,
leasecompanyname,,3134,29500.0,3.0,32400.0,,,,Dump Truck,,28.0,,2.0
fullapplicationno,Val-2015328-370,3531,29000.0,3.0,8800.0,,,,Other Single,,31.03,CONCRETE MIXER,2.0
leasecompanyname,,3239,36000.0,2.0,,,,,,,41.05,,
fullapplicationno,con-2014919-987,2717,23000.0,3.0,5750.0,,,,Dump Truck,,34.0,,2.0
leasecompanyname,,2955,,,,Bulk Raw Milk,,12.03,,Empty,,,
leasecompanyname,,4378,23000.0,3.0,5750.0,,,,Other Single,,34.0,UTILITY,2.0
leasecompanyname,,2973,,,,,,,Tractor Trailer,,,,
fullapplicationno,Wor-2015317-294,3455,,,,Bulk Raw Milk,,12.03,,Empty,,,
leasecompanyname,,3937,,,,Raw Bulk Milk,,12.03,,Empty,,,
leasecompanyname,,2462,,,,,,,Tractor Trailer,,,,
fullapplicationno,SJ-2015101-971,4222,28095.0,3.0,8800.0,,,,Other Single,,21.03,,2.0
leasecompanyname,,2467,,,,,,,Tractor Trailer,,,,
fullapplicationno,NYC1-2015612-651,3812,,,,Raw Bulk Milk,,11.06,,Empty,,,
leasecompanyname,,3472,,,,Bulk Raw Milk,,11.06,,Empty,,,
fullapplicationno,Mid-20141219-1403,3133,22000.0,3.0,22000.0,,,,Dump Truck,,35.0,,2.0
fullapplicationno,SSP-20141226-1410,3140,16937.0,5.0,,,4.06,,,,45.05,,
leasecompanyname,,3874,16100.0,2.0,,,,,,,32.0,,
fullapplicationno,New1-2015116-78,3239,36000.0,2.0,,,,,,,41.05,,
fullapplicationno,Wor-2015317-300,3461,,,,Bulk Raw Milk,,12.03,,Empty,,,
fullapplicationno,con-2015113-1220,4471,23000.0,3.0,24020.0,,,,Other Single,,34.0,Utility,2.0
fullapplicationno,Alm-201587-824,3985,,,,,,,Tractor Trailer,,,,
fullapplicationno,con-2015112-1175,4426,23000.0,3.0,5750.0,,,,Other Single,,34.0,UTILITY,2.0
leasecompanyname,,3895,26400.0,3.0,,,,,,,35.07,,
leasecompanyname,,3055,33000.0,2.0,,,,,,,41.02,,
leasecompanyname,,2648,22700.0,3.0,5675.0,,,,Other Single,,34.0,utility,2.0
fullapplicationno,ISL-201472-732,2462,,,,,,,Tractor Trailer,,,,
fullapplicationno,Mid-2015105-987,4238,26000.0,3.0,26000.0,,,,Dump Truck,,35.0,,2.0
leasecompanyname,,2682,22700.0,3.0,5675.0,,,,Other Single,,34.0,UTILITY,2.0
leasecompanyname,,3415,29500.0,3.0,8800.0,,,,Other Single,,31.03,CONCRETE MIXER,2.0
leasecompanyname,,3498,,,,Bulk Raw Milk,,11.06,,Empty,,,
leasecompanyname,,3249,38124.0,2.0,,,,,,,41.11,,
fullapplicationno,con-2014917-924,2654,22500.0,3.0,5625.0,,,,Dump Truck,,34.0,,2.0
leasecompanyname,,4584,10380.0,5.0,,,4.07,,,,39.04,,
fullapplicationno,Wor-2014626-723,2453,,,,Bulk Raw Milk,,12.03,,Empty,,,
fullapplicationno,Val-2014106-1076,2806,29000.0,3.0,8800.0,,,,Other Single,,31.03,CONCRETE MIXER,2.0
leasecompanyname,,2736,23000.0,3.0,5750.0,,,,Other Single,,34.0,tank,2.0
leasecompanyname,,2855,23000.0,3.0,24020.0,,,,Other Single,,30.0,STAK,2.0
fullapplicationno,con-2015317-284,3445,23000.0,3.0,24020.0,,,,Other Single,,34.0,Tank,2.0
leasecompanyname,,3470,,,,Bulk Raw Milk,,11.06,,Empty,,,
leasecompanyname,,2548,29000.0,3.0,8800.0,,,,Other Single,,31.03,CONCRETE MIXER,2.0
fullapplicationno,con-20141020-1125,2855,23000.0,3.0,24020.0,,,,Other Single,,30.0,STAK,2.0
fullapplicationno,Y.M-2014926-1054,2784,,,,,,,Tractor Trailer,,,,
leasecompanyname,,4216,26000.0,3.0,8800.0,,,,Other Single,,34.05,,2.0
leasecompanyname,,3461,,,,Bulk Raw Milk,,12.03,,Empty,,,
leasecompanyname,,2420,,,,,,,Tractor Trailer,,,,
fullapplicationno,con-2014918-958,2688,22700.0,3.0,5675.0,,,,Other Single,,34.0,UTILITY,2.0
fullapplicationno,C.A-2015615-661,3822,27720.0,3.0,6610.0,,,,Dump Truck,,21.11,,2.0
fullapplicationno,con-2014917-910,2640,,,,,,,Tractor Trailer,,,,
leasecompanyname,,4000,29000.0,3.0,8800.0,,,,Other Single,,31.03,CONCRETE MIXER,2.0
leasecompanyname,,2511,,,,,,,Tractor Trailer,,,,
leasecompanyname,,2968,,,,Bulk Raw MIlk,,11.06,,Empty,,,
fullapplicationno,Yon-2015529-589,3750,,,,,,,Tractor Trailer,,,,
leasecompanyname,,4295,,,,Raw Bulk Milk,,11.06,,Empty,,,
fullapplicationno,con-20151027-1079,4330,22500.0,3.0,5625.0,,,,Dump Truck,,34.0,,2.0
leasecompanyname,,3283,,,,,,,Tractor Trailer,,,,
leasecompanyname,,2489,25000.0,3.0,7660.0,,,,Dump Truck,,31.06,,2.0
leasecompanyname,,2581,,,,Bulk Raw Milk,,11.06,,Empty,,,
leasecompanyname,,3607,29500.0,3.0,29500.0,,,,Cement Truck,,32.04,,2.0
leasecompanyname,,2596,,,,Bulk Raw Milk,,12.0,,Empty,,,
leasecompanyname,,4120,29500.0,3.0,8000.0,,,,Other Single,,29.0,,2.0
fullapplicationno,con-2015113-1209,4460,23000.0,3.0,5750.0,,,,Other Single,,34.0,utility,2.0
leasecompanyname,,3141,,,,,,,Tractor Trailer,,,,
fullapplicationno,Bar-2015414-418,3579,,,,,,,Tractor Trailer,,,,
fullapplicationno,con-2014919-976,2706,23000.0,3.0,5750.0,,,,Other Single,,34.0,UTILITY,2.0
leasecompanyname,,4473,23000.0,3.0,24020.0,,,,Other Single,,34.0,Tank,2.0
fullapplicationno,A.-20141211-1324,3054,,,,,,,Tractor Trailer,,,,
leasecompanyname,,6621,23294.0,3.0,,,,,,,27.09,,
leasecompanyname,,3992,23000.0,3.0,5750.0,,,,Cement Truck,,29.01,,2.0
leasecompanyname,,3490,,,,Bulk Raw Milk,,11.06,,Empty,,,
fullapplicationno,NEW3-2014814-831,2561,29500.0,3.0,26600.0,,,,Dump Truck,,28.0,,2.0
fullapplicationno,ABL-2017621-384,6276,15500.0,4.0,,,2.09,,,,37.1,,
leasecompanyname,,4420,23000.0,3.0,5750.0,,,,Other Single,,34.0,UTILITY,2.0
fullapplicationno,CRA1-201577-734,3895,26400.0,3.0,,,,,,,35.07,,
leasecompanyname,,2646,23000.0,3.0,5750.0,,,,Other Single,,34.0,1003utility,2.0
leasecompanyname,,3270,36700.0,2.0,,,,,,,41.05,,
leasecompanyname,,4450,23000.0,3.0,5750.0,,,,Other Single,,34.0,tank truck,2.0
leasecompanyname,,2954,,,,Bulk Raw Milk,,12.03,,Empty,,,
fullapplicationno,PET-2015227-222,3383,22000.0,3.0,9370.0,,,,Other Single,,32.04,TANK TRUCK,2.0
leasecompanyname,,3672,29000.0,3.0,8800.0,,,,Other Single,,31.03,,2.0
fullapplicationno,CRA1-2015325-351,3512,23300.0,4.0,,,5.05,,,,36.01,,
fullapplicationno,Dou-2015528-585,3746,29500.0,3.0,7375.0,,,,Dump Truck,,26.05,,2.0
fullapplicationno,Wor-20141125-1230,2960,,,,Bulk Raw Milk,,12.03,,Empty,,,
leasecompanyname,,3516,,,,,,,Tractor Trailer,,,,
fullapplicationno,Wor-20141125-1239,2969,,,,Bulk Raw Milk,,11.06,,Empty,,,
fullapplicationno,NYC1-201562-605,3766,,,,Bulk Raw Milk,,11.06,,Empty,,,
fullapplicationno,Sca-2015420-446,3607,29500.0,3.0,29500.0,,,,Cement Truck,,32.04,,2.0
fullapplicationno,Wor-20141125-1224,2954,,,,Bulk Raw Milk,,12.03,,Empty,,,
leasecompanyname,,2755,23000.0,3.0,5750.0,,,,Other Single,,28.06,utility,2.0
fullapplicationno,PET-2015216-175,3336,29500.0,3.0,9370.0,,,,Other Single,,33.0,TANK TRUCK,2.0
fullapplicationno,con-2014924-1028,2758,23000.0,3.0,5750.0,,,,Other Single,,34.0,tank truck,2.0
leasecompanyname,,2614,23165.0,3.0,8800.0,,,,Other Single,,29.08,,2.0
leasecompanyname,,2777,23000.0,3.0,5750.0,,,,Other Single,,34.0,vACTOR,2.0
leasecompanyname,,3531,29000.0,3.0,8800.0,,,,Other Single,,31.03,CONCRETE MIXER,2.0
fullapplicationno,NYC1-2015720-785,3946,,,,Raw Bulk Milk,,11.06,,Empty,,,
fullapplicationno,Wor-2015317-309,3470,,,,Bulk Raw Milk,,11.06,,Empty,,,
leasecompanyname,,2716,23000.0,3.0,5750.0,,,,Dump Truck,,34.0,,2.0
leasecompanyname,,3969,33500.0,2.0,,,,,Dump Truck,,20.06,,2.0
leasecompanyname,,3274,36700.0,2.0,,,,,,,43.07,,
fullapplicationno,SJ-2015101-965,4216,26000.0,3.0,8800.0,,,,Other Single,,34.05,,2.0
leasecompanyname,,2914,,,,,,,Tractor Trailer,,,,
fullapplicationno,A.-201554-499,3660,,,,,,,Tractor Trailer,,,,
fullapplicationno,NYC1-201586-820,3981,,,,Bulk Raw Milk,,11.06,,Empty,,,
leasecompanyname,,4531,28640.0,3.0,28640.0,,,,Dump Truck,,27.0,,2.0
leasecompanyname,,4451,23000.0,3.0,5750.0,,,,Other Single,,34.0,tank truck,2.0
leasecompanyname,,2640,,,,,,,Tractor Trailer,,,,
fullapplicationno,Eas1-2014117-1184,2914,,,,,,,Tractor Trailer,,,,
leasecompanyname,,2495,28640.0,3.0,29500.0,,,,Cement Truck,,33.06,,2.0
fullapplicationno,con-2015112-1200,4451,23000.0,3.0,5750.0,,,,Other Single,,34.0,tank truck,2.0
fullapplicationno,Wor-201492-876,2606,,,,Bulk Raw Milk,,11.06,,Empty,,,
leasecompanyname,,3455,,,,Bulk Raw Milk,,12.03,,Empty,,,
leasecompanyname,,3976,,,,Bulk Raw Milk,,11.06,,Empty,,,
leasecompanyname,,4238,26000.0,3.0,26000.0,,,,Dump Truck,,35.0,,2.0
leasecompanyname,,4467,23000.0,3.0,5750.0,,,,Other Single,,34.0,vACTOR,2.0
leasecompanyname,,3893,18636.0,5.0,,,4.02,,,,40.0,,
fullapplicationno,RAN-20141126-1243,2973,,,,,,,Tractor Trailer,,,,
fullapplicationno,Bov-2014814-830,2560,,,,,,,Tractor Trailer,,,,
fullapplicationno,Mon-2015121-1319,4570,,,,,,,Tractor Trailer,,,,
leasecompanyname,,3946,,,,Raw Bulk Milk,,11.06,,Empty,,,
fullapplicationno,con-2015113-1217,4468,23000.0,3.0,5750.0,,,,Other Single,,34.0,VACTOR,2.0
fullapplicationno,C.-20141229-1411,3141,,,,,,,Tractor Trailer,,,,
fullapplicationno,Mid-2014106-1073,2803,26000.0,3.0,26000.0,,,,Dump Truck,,35.0,,2.0
