boroughname,permitseriesshortdesc,t2_permitnumber,permitissuedate,applicationtrackingid,total,count,average
BROOKLYN,COMMERCIAL REFUSE CONTAINER PERMIT,B162025195A17,2025-07-14 09:10:45,2025071400211340,,1,
BROOKLYN,DOT IN-HOUSE PAVING AND MILLING,B152025192A56,2025-07-11 09:58:41,2025071100285123,,6,
BROOKLYN,DOT IN-HOUSE PAVING AND MILLING,B152025196A15,2025-07-15 14:48:11,2025071500976823,,20,
BROOKLYN,COMMERCIAL REFUSE CONTAINER PERMIT,B162025193A23,2025-07-12 11:39:16,2025071200097023,,6,
QUEENS,COMMERCIAL REFUSE CONTAINER PERMIT,Q162025193A07,2025-07-12 08:16:13,2025071200031913,,1,
BROOKLYN,DOT IN-HOUSE PAVING AND MILLING,B152025192A81,2025-07-11 10:06:31,2025071100309886,,4,
BROOKLYN,COMMERCIAL REFUSE CONTAINER PERMIT,B162025191A15,2025-07-10 09:12:26,2025071000235320,,1,
BROOKLYN,COMMERCIAL REFUSE CONTAINER PERMIT,B162025191A65,2025-07-10 13:55:25,2025071000769630,,1,
BROOKLYN,COMMERCIAL REFUSE CONTAINER PERMIT,B162025192A11,2025-07-11 08:31:25,2025071100138553,,1,
BROOKLYN,COMMERCIAL REFUSE CONTAINER PERMIT,B162025191A80,2025-07-10 19:11:11,2025071001036003,,1,
BROOKLYN,COMMERCIAL REFUSE CONTAINER PERMIT,B162025196A22,2025-07-15 09:27:45,2025071500309893,,1,
BROOKLYN,DOT IN-HOUSE PAVING AND MILLING,B152025192A24,2025-07-11 09:27:59,2025071100234853,,8,
BROOKLYN,COMMERCIAL REFUSE CONTAINER PERMIT,B162025192B36,2025-07-11 17:12:39,2025071100900510,,1,
BROOKLYN,DOT IN-HOUSE PAVING AND MILLING,B152025197A30,2025-07-16 14:59:54,2025071600925616,,27,
MANHATTAN,MANHOLE EMBARGO PERMIT,M032025195A15,2025-07-14 07:19:24,2025071400057950,,1,
MANHATTAN,MANHOLE EMBARGO PERMIT,M032025197A01,2025-07-16 06:57:39,2025071600057900,,1,
BROOKLYN,COMMERCIAL REFUSE CONTAINER PERMIT,B162025191A55,2025-07-10 13:03:21,2025071000662760,,1,
BROOKLYN,COMMERCIAL REFUSE CONTAINER PERMIT,B162025196A93,2025-07-15 21:04:49,2025071501190243,,1,
BROOKLYN,COMMERCIAL REFUSE CONTAINER PERMIT,B162025191A11,2025-07-10 08:52:48,2025070900972283,,1,
BROOKLYN,COMMERCIAL REFUSE CONTAINER PERMIT,B162025190A11,2025-07-09 09:16:27,2025070900221266,,2,
BROOKLYN,BUILDING OPERATION PERMIT,B022025191B90,2025-07-10 18:12:13,2025070801072910,,4,
BROOKLYN,COMMERCIAL REFUSE CONTAINER PERMIT,B162025192A80,2025-07-11 12:44:50,2025071000622963,,12,
BROOKLYN,DOT IN-HOUSE PAVING AND MILLING,B152025192A74,2025-07-11 10:06:28,2025071100309886,,16,
BROOKLYN,COMMERCIAL REFUSE CONTAINER PERMIT,B162025191A68,2025-07-10 15:09:19,2025071000906810,,1,
BROOKLYN,COMMERCIAL REFUSE CONTAINER PERMIT,B162025192A45,2025-07-11 10:16:13,2025071100137570,,1,
BROOKLYN,COMMERCIAL REFUSE CONTAINER PERMIT,B162025191A37,2025-07-10 10:33:06,2025071000363286,,3,
BROOKLYN,COMMERCIAL REFUSE CONTAINER PERMIT,B162025192A07,2025-07-11 08:24:26,2025071100119983,,1,
BROOKLYN,COMMERCIAL REFUSE CONTAINER PERMIT,B162025192B16,2025-07-11 15:13:42,2025071100784750,,1,
MANHATTAN,MANHOLE EMBARGO PERMIT,M032025191A08,2025-07-10 07:11:32,2025071000051730,,12,
MANHATTAN,MANHOLE EMBARGO PERMIT,M032025199A10,2025-07-18 07:34:44,2025071800067326,,2,
BROOKLYN,COMMERCIAL REFUSE CONTAINER PERMIT,B162025195A42,2025-07-14 11:40:27,2025071400484636,,1,
BROOKLYN,COMMERCIAL REFUSE CONTAINER PERMIT,B162025195A73,2025-07-14 14:24:49,2025071400749493,,2,
BROOKLYN,COMMERCIAL REFUSE CONTAINER PERMIT,B162025195A02,2025-07-14 00:33:16,2025071400003596,,1,
BROOKLYN,DOT IN-HOUSE PAVING AND MILLING,B152025197A40,2025-07-16 14:59:57,2025071600925616,,18,
