globalid,location,globalid_1,buildingnumber,location_1,width,total_citycouncil
757859E8-D583-4E16-B36D-766D4CAC5B6E,"{'type': 'Point', 'coordinates': [-74.08929481590557, 40.62266336268375]}",757859E8-D583-4E16-B36D-766D4CAC5B6E,17,"{'type': 'Point', 'coordinates': [-74.08929481590557, 40.62266336268375]}",,98.0
A87FC185-DFAE-418D-A258-C8821B418EF4,"{'type': 'Point', 'coordinates': [-73.98732616767961, 40.57643293682527]}",A87FC185-DFAE-418D-A258-C8821B418EF4,2001,"{'type': 'Point', 'coordinates': [-73.98732616767961, 40.57643293682527]}",,47.0
AF862ACF-05FF-4E0C-995A-DDE773ABF373,"{'type': 'Point', 'coordinates': [-74.07737610190178, 40.62435055876708]}",AF862ACF-05FF-4E0C-995A-DDE773ABF373,48,"{'type': 'Point', 'coordinates': [-74.07737610190178, 40.62435055876708]}",,98.0
82519EB8-845E-4B75-9D7A-1B70B6F455B2,"{'type': 'Point', 'coordinates': [-74.09100182676453, 40.62570560630179]}",82519EB8-845E-4B75-9D7A-1B70B6F455B2,11,"{'type': 'Point', 'coordinates': [-74.09100182676453, 40.62570560630179]}",,98.0
007B07DE-A47D-4513-8B03-A564C29B41FA,"{'type': 'Point', 'coordinates': [-74.11211808489698, 40.560553394165126]}",007B07DE-A47D-4513-8B03-A564C29B41FA,15,"{'type': 'Point', 'coordinates': [-74.11211808489698, 40.560553394165126]}",,50.0
F0EF6B0F-B93D-4A2A-A4B9-50AA9FC6D635,"{'type': 'Point', 'coordinates': [-74.0761430345168, 40.62394851353919]}",F0EF6B0F-B93D-4A2A-A4B9-50AA9FC6D635,50,"{'type': 'Point', 'coordinates': [-74.0761430345168, 40.62394851353919]}",,49.0
93D8F90B-F7DC-4D62-BAAB-8DCAC4D755D3,"{'type': 'Point', 'coordinates': [-74.00286617258807, 40.633250318259556]}",93D8F90B-F7DC-4D62-BAAB-8DCAC4D755D3,1046,"{'type': 'Point', 'coordinates': [-74.00286617258807, 40.633250318259556]}",25.0,38.0
A7E6E01A-7D72-44D5-B745-EED81450AA5E,"{'type': 'Point', 'coordinates': [-73.73136542417802, 40.694699957781985]}",A7E6E01A-7D72-44D5-B745-EED81450AA5E,115-114,"{'type': 'Point', 'coordinates': [-73.73136542417802, 40.694699957781985]}",,27.0
7870B4FE-3C49-4497-8506-0FD626664540,"{'type': 'Point', 'coordinates': [-74.11412222024394, 40.561493974753674]}",7870B4FE-3C49-4497-8506-0FD626664540,340,"{'type': 'Point', 'coordinates': [-74.11412222024394, 40.561493974753674]}",,50.0
42850327-71C5-442B-B7BF-062100BA5A75,"{'type': 'Point', 'coordinates': [-73.7792804673344, 40.73186615419869]}",42850327-71C5-442B-B7BF-062100BA5A75,75-003,"{'type': 'Point', 'coordinates': [-73.7792804673344, 40.73186615419869]}",,23.0
EE1E5A57-C963-49C3-9833-4CFFDDCD2BDD,"{'type': 'Point', 'coordinates': [-74.11738366190983, 40.56252990017468]}",EE1E5A57-C963-49C3-9833-4CFFDDCD2BDD,242,"{'type': 'Point', 'coordinates': [-74.11738366190983, 40.56252990017468]}",,200.0
C759127D-4081-41BD-A758-912C0169A4C0,"{'type': 'Point', 'coordinates': [-74.07730413396833, 40.623602652571186]}",C759127D-4081-41BD-A758-912C0169A4C0,86,"{'type': 'Point', 'coordinates': [-74.07730413396833, 40.623602652571186]}",,49.0
6AC474F7-0D16-43EC-A1F9-8C9B6C14F434,"{'type': 'Point', 'coordinates': [-74.13088024029413, 40.60672684318438]}",6AC474F7-0D16-43EC-A1F9-8C9B6C14F434,207,"{'type': 'Point', 'coordinates': [-74.13088024029413, 40.60672684318438]}",,49.0
8807C991-C306-4113-B2E5-0897EB183DEF,"{'type': 'Point', 'coordinates': [-74.07883520391414, 40.624033313147685]}",8807C991-C306-4113-B2E5-0897EB183DEF,95,"{'type': 'Point', 'coordinates': [-74.07883520391414, 40.624033313147685]}",,49.0
D1181E4B-6F78-49D0-97A6-71098B1237E2,"{'type': 'Point', 'coordinates': [-74.09279130749073, 40.621846193103714]}",D1181E4B-6F78-49D0-97A6-71098B1237E2,174,"{'type': 'Point', 'coordinates': [-74.09279130749073, 40.621846193103714]}",,98.0
8C627B0F-3A41-4C8D-BA90-249423C0A176,"{'type': 'Point', 'coordinates': [-73.73656089256534, 40.73694285000424]}",8C627B0F-3A41-4C8D-BA90-249423C0A176,80-026,"{'type': 'Point', 'coordinates': [-73.73656089256534, 40.73694285000424]}",,23.0
F906CBF3-DB30-4198-BDF2-28442D65B683,"{'type': 'Point', 'coordinates': [-74.11633848286635, 40.561997250264916]}",F906CBF3-DB30-4198-BDF2-28442D65B683,278,"{'type': 'Point', 'coordinates': [-74.11633848286635, 40.561997250264916]}",,200.0
2AAED972-EFB3-42D4-A957-982C193A7F0C,"{'type': 'Point', 'coordinates': [-73.84951207365086, 40.6543790196147]}",2AAED972-EFB3-42D4-A957-982C193A7F0C,81-19,"{'type': 'Point', 'coordinates': [-73.84951207365086, 40.6543790196147]}",,32.0
013D47E6-063A-49B1-B14C-ECACC02B36C2,"{'type': 'Point', 'coordinates': [-73.94404777028993, 40.67829561612317]}",013D47E6-063A-49B1-B14C-ECACC02B36C2,1452,"{'type': 'Point', 'coordinates': [-73.94404777028993, 40.67829561612317]}",,36.0
EE7B83A9-F669-4458-9E90-C9C0C65E42E1,"{'type': 'Point', 'coordinates': [-73.7805349993451, 40.784313104774775]}",EE7B83A9-F669-4458-9E90-C9C0C65E42E1,212-09,"{'type': 'Point', 'coordinates': [-73.7805349993451, 40.784313104774775]}",,38.0
08E0C020-5012-42B9-8FEE-06FF3CCE25EE,"{'type': 'Point', 'coordinates': [-74.02354099907215, 40.61842771396618]}",08E0C020-5012-42B9-8FEE-06FF3CCE25EE,626,"{'type': 'Point', 'coordinates': [-74.02354099907215, 40.61842771396618]}",3.0,43.0
8EE97251-0953-4A33-9050-4950F2318BC8,"{'type': 'Point', 'coordinates': [-74.13102204411233, 40.60128403498094]}",8EE97251-0953-4A33-9050-4950F2318BC8,405,"{'type': 'Point', 'coordinates': [-74.13102204411233, 40.60128403498094]}",,294.0
DF44105B-C2B3-4A09-A847-597DA7BE5682,"{'type': 'Point', 'coordinates': [-74.19959361238105, 40.52773017445136]}",DF44105B-C2B3-4A09-A847-597DA7BE5682,5728,"{'type': 'Point', 'coordinates': [-74.19959361238105, 40.52773017445136]}",,51.0
D6431F9C-0CDE-4660-BA54-D37BCA58FDCA,"{'type': 'Point', 'coordinates': [-74.07837380056175, 40.62407653943668]}",D6431F9C-0CDE-4660-BA54-D37BCA58FDCA,30,"{'type': 'Point', 'coordinates': [-74.07837380056175, 40.62407653943668]}",,98.0
33C65754-C69F-446A-8C57-AEE0B130271F,"{'type': 'Point', 'coordinates': [-74.09125575758118, 40.62334045333577]}",33C65754-C69F-446A-8C57-AEE0B130271F,104,"{'type': 'Point', 'coordinates': [-74.09125575758118, 40.62334045333577]}",,98.0
579DE376-9866-4338-8607-8B9EA8E2B43F,"{'type': 'Point', 'coordinates': [-74.11330582291524, 40.56113240299107]}",579DE376-9866-4338-8607-8B9EA8E2B43F,361,"{'type': 'Point', 'coordinates': [-74.11330582291524, 40.56113240299107]}",,50.0
F12DB550-A01E-40EE-AD04-9CC4AF741D5E,"{'type': 'Point', 'coordinates': [-74.11206907776545, 40.55971206004408]}",F12DB550-A01E-40EE-AD04-9CC4AF741D5E,29,"{'type': 'Point', 'coordinates': [-74.11206907776545, 40.55971206004408]}",,50.0
