geseats_prog4,weekendprogram,selectioncriteria5_prog1,ellprograms,code_prog1,activities,rank,dense_rank
.,No,,"English as a New Language, Transitional Bilingual Education: Spanish",Q190U,Computer Club; Computers; Debate Team; Geometry Prep; Honors Program; Math Team; NJHS; Science Olympia; SHSAT Prep; Student Council; Yearbook Club,1,1
,Yes,,English as a New Language,X243L,Arts; Cheerleading; Dance; Drama; Girls Talk; Project-Based Learning; Technology Program: Mobile Computer Labs; Voices and Choices; Writing Matters,1,1
.,Yes,,English as a New Language,Q072M,Alvin Ailey Dance; ARISTA Honor Society; Beacon; Broadway Jr.; Gender Classes; Gospel Choir; MOUSE Squad; Multicultural Club; Penny Harvest; Spanish Proficiency Exam Tutoring; Specialized High School Prep; International Travel Program; Student Council; Summer Transition Program,1,1
,No,,English as a New Language,X593M,"LEAP Program, Dance, Visual and Performing Arts, Step, Leadership, Fitness, Chess Club. The after school academic programs include Homework assistance, Math and ELA remediation.",1,1
.,No,,English as a New Language,M362M,"Biking; Board Games Club; Creative Writing; Extended Day Program (Academic, Arts, and Sports Electives); Fashion Design; Field Trips; Knitting; Music Band; Neuroscience; Newspaper; Robotics; Student Government; Theater Performances; Tinker’s Workshop; Visual Arts",1,1
.,No,,English as a New Language,M114M,"Students may work with a teacher to develop and teach their own elective or extracurricular activity. Some classes that have been offered in the past are knitting, computer game design, Braille, American Sign language, film-making, whiffle ball, cooking, fashion design, the history of comic film, and Zumba.",1,1
.,Yes,.,"English as a New Language, Transitional Bilingual Education: Spanish",K898U,"Student Ambassadors, Student Government, Chess Club, Robotics, Dance, Science Club, Math Club. More to be offered based on community input.",1,1
.,No,,English as a New Language,Q281U,Art Club; Games Club; Gay-Straight Alliance; Girl Talk; Glee; Japanese Culture Club; Junior NAACP; K-Pop; Key Club; Literacy Lab; Model UN; Newspaper Club; OST Hodori; Peer Mediation; Photography; Roblox Club; Robotics; School Newspaper; Student Government; Table Tennis; Tutoring; Ultimate Frisbee; Yearbook; Yiddish Song Club; Young Men's Leadership,1,1
,Yes–Saturday program for academic support and enrichment,,"English as a New Language, Transitional Bilingual Education: Spanish",X331U,"Computer; Dance; Extensive After-School and Saturday Sports, Tutoring, and Arts Classes; Four Super Scholar trips Per Year Including: Snow Tubing, Horseback Riding, Six Flags (special trips for students who score an 85% or higher in four classes, pass all of their classes with at least 70%, and have read the required amount of independent books); Mentoring in Medicine; Mock Trial; Perfect Attendance Classes; Sign Language; Spelling Bee; Thanksgiving Turkey Bowl; Winter Talent Show",1,1
.,Yes,Punctuality,"English as a New Language, Dual Language: Spanish",M057S,Breakthrough New York Academic Program; Chorus; City Year After-School Program; Double Dutch; Drumline (Tiger Band Program); Flag Corps Team; Little Scholars Tutoring Program; Roads To Success AfterSchool Program,1,1
.,Yes—Saturday program for academic support and enrichment.,,English as a New Language,M286L,Advisory; Cartooning and Fashion Design; Chess; Dance; Drama; Engineering and Business; Fine Arts: Sketching; Music Theory; Performing Arts; Photography; Production; Robotics; Sculpting; Step; Video Game Animation,1,1
.,Yes–Saturday program for academic support and enrichment.,,English as a New Language,M415S,"21st Century Leadership; Advisory; Band & Percussion; Basketball; Chess Club; College For Every Student (CFES); Community Service Learning; Culinary Arts; Dance Workshop; Extended Learning Time; Fun STEM (Science, Technology, Engineering, and Math) Club; Glee Club; Musical Theater; Peer Mentoring; Pep Rally; Robotics Club; Student Government; Track and Field",1,1
,Yes,,English as a New Language,X532U,"After-School Clubs: Blogging, Breakdancing, Chess, Cooking, Regents Prep, Student Council, Theater, Web Design; School Trips to: Boston, MA, Broadway, Mini-Golf, Museums, Rock Climbing, Sporting Events, Washington DC",1,1
