facname,facgroup,t4_latitude,t4_longitude,schooldist,category,count,avg_value,total_value,max_value
CHINESE AMERICAN PLANNING COUNCIL INC,HUMAN SERVICES,40.7571785496,-73.831266963,25.0,Medium,1,25.0,25.0,25.0
SAFE SPACE PREVENTIVE,CHILD SERVICES AND WELFARE,40.6860142872,-73.8273156838,27.0,High,1,27.0,27.0,27.0
OUR LADY STAR OF THE SEA PRESCHOOL,DAY CARE AND PRE-KINDERGARTEN,40.5331895395,-74.1908047023,31.0,High,1,31.0,31.0,31.0
ST. FRANCIS THRIFT STORE TEXTILE DROP-OFF SITE,SOLID WASTE,40.794604,-73.970956,3.0,Low,1,3.0,3.0,3.0
LANGSTON HUGHES PLAYGROUND,PARKS AND PLAZAS,40.8122108373,-73.9463814519,5.0,Low,1,5.0,5.0,5.0
"CHERRY LANE ALTERNATIVE, INC.",CULTURAL INSTITUTIONS,40.7312673084,-74.0053113255,2.0,Low,1,2.0,2.0,2.0
NYU LANGONE PERLMUTTER CANCER CENTER-34TH STREET,HEALTH CARE,40.7457188849,-73.9788265259,2.0,Low,1,2.0,2.0,2.0
MIDTOWN COMMUNITY COURT,JUSTICE AND CORRECTIONS,40.764879,-73.985455,2.0,Low,1,2.0,2.0,2.0
HOLY CROSS SCHOOL,SCHOOLS (K-12),40.8168690627,-73.8605933877,8.0,Low,1,8.0,8.0,8.0
"PS, THE SHORT FILM EXHIBITION INC.",CULTURAL INSTITUTIONS,40.7209133437,-73.9858647025,1.0,Low,1,1.0,1.0,1.0
BRONXCHESTER,CHILD SERVICES AND WELFARE,40.819059011,-73.9113444872,7.0,Low,1,7.0,7.0,7.0
CHELSEA PARK,PARKS AND PLAZAS,40.749941648,-74.0007282581,2.0,Low,1,2.0,2.0,2.0
GROWING UP GREEN CHARTER SCHOOL,SCHOOLS (K-12),40.7531210622,-73.9357059245,30.0,High,1,30.0,30.0,30.0
LIVING FAITH COM CHURCH VBS,CHILD SERVICES AND WELFARE,40.7580924182,-73.7944357834,25.0,Medium,1,25.0,25.0,25.0
RAIL LINE,TRANSPORTATION,40.637549,-74.140502,31.0,High,1,31.0,31.0,31.0
