program_highlights,partner_nonprofit,se_services,partner_cbo,priority01,priority02,priority03
"Four-year core courses in Math, Science, English, and History; Syracuse University Project Advance: Opportunity to earn Syracuse University credits in grades eleven and twelve; CUNY College Now courses; Touro College courses in grades eleven and twelve; Leadership (Advisory) Program; Art, Chorus, Theater; NASDAQ: Business Plan Competition; Sponsor for Educational Opportunity (SEO)","Sponsor for Educational Opportunity(SEO), Junior Achievement of New York",This school will provide students with disabilities the supports and services indicated on their IEPs.,"Trinity Church, Liberty Partnership Program, Syracuse University Mentor-Mentee Alliance (SUMMA) and Friends of Leadership",Open to New York City residents,,
"CTE healthcare focus with three career pathways: (1) Business of Healthcare, which is the administration and management of healthcare; (2) Clinical Healthcare, which is direct treatment of patients; and (3) Public Health, which focuses on proactive care, disease management and health outreach/education; Regents prep curricula; Rigorous project-based instruction; Internships and work-based learning; Academic advisement; Community action and service; Advisory",,This school will provide students with disabilities the supports and services indicated on their IEPs.,,Priority to New York City residents who attend an information session,Then to New York City residents,
"College and Career Program, Internships, CUNY College Now, Virtual Online Courses, Advisory Program",Solid Foundations for Healthy Families,This school will provide students with disabilities the supports and services indicated on their IEPs.,"Affinity Health Plan, Healthy Respect, South Bronx Neighborhood Centers / Project Uplift",Priority to New York City residents who attend an information session,Then to New York City residents,
"Fine Arts: Drawing, Painting, Sculpture, Ceramics, College Portfolio Preparation, Art as elective; Dance: Ballet, Jazz and Modern Technique, Pointe, Dance History, Choreography; Drama: Play Production, Voice, Diction and Movement, Set and Costume Design, Creative Writing; Music: Wind Ensemble (audition), Jazz Band (audition), String Orchestra, Concert Band, Beginning Band, Concert Choir, Women’s Choir, Beginning Choir, Performing Choir (audition), Music as elective, Solo Repertoire Workshop; Academic Programs: Comprehensive Math and Science Program, Advancement via Individual Determination (AVID) Program, Honors Courses, CUNY College Now","The Rudin Foundation, Independence Community Foundation, Peter Jay Sharp Foundation",This school will provide students with disabilities the supports and services indicated on their IEPs.,"New Tech (iZone 360 School), Exploring The Arts - Tony Bennett Partner School, New York Cares",Priority to Brooklyn students or residents,Then to New York City residents,
"Internships, Mentorship Program, Early College Experience, Courses in Computer Systems and Information Technology; Small advisory groups led by faculty mentor; Science, Technology, Engineering and Mathematics (STEM); Academic and Career Planning starting in the ninth grade; Saturday Academy featuring PSAT/SAT prep; Project-based STEM workshops; Tutoring offered",,This school will provide students with disabilities the supports and services indicated on their IEPs.,,Priority to Brooklyn students or residents who attend an information session,Then to New York City residents who attend an information session,Then to Brooklyn students or residents
"Internships for all seniors; artists-in-residence; project-based learning in academic classes; daily advisory; daily reading period; college classes at New York University (NYU) and John Jay College; extensive daily after-school tutoring; and about 40 school trips a year to museums and performances. After completing a ninth grade rotation of all of the arts, students select a major in art, music, dance or drama; priority in selection is given based on attendance and punctuality.",,This school will provide students with disabilities the supports and services indicated on their IEPs.,"Educational Alliance for comprehensive after-school programs and college advising; The Door and Henry Street Settlement for college advising, college trips and SAT preparation classes; Peer Health Exchange for weekly workshops on teen health issues led by NYU students.",Priority to Districts 1 and 2 students or residents who attend an information session,Then to Manhattan students or residents who attend an information session,Then to New York City residents who attend an information session
"Internships for all seniors; artists-in-residence; project-based learning in academic classes; daily advisory; daily reading period; college classes at New York University (NYU) and John Jay College; extensive daily after-school tutoring; and about 40 school trips a year to museums and performances. After completing a ninth grade rotation of all of the arts, students select a major in art, music, dance or drama; priority in selection is given based on attendance and punctuality.",,This school will provide students with disabilities the supports and services indicated on their IEPs.,"Educational Alliance for comprehensive after-school programs and college advising; The Door and Henry Street Settlement for college advising, college trips and SAT preparation classes; Peer Health Exchange for weekly workshops on teen health issues led by NYU students.",Priority to Districts 1 and 2 students or residents who attend an information session,Then to Manhattan students or residents who attend an information session,Then to New York City residents who attend an information session
"Accounting, Entrepreneurship and Marketing Program, Art Exhibitions, Astronomy, Career Exploration, Chorus, CUNY College Now, Drama, EMT, Environmental Science, Executive Internship, Gaining Early Awareness and Readiness for Undergraduate Programs (GEAR UP), Honors Classes, Intel Math/Science Research, Jazz Band, Law & Enforcement, Law & Forensics, Orchestra, Performing Arts, Piano, Robotics,Theatre Company, Upward Bound, Vocational Training Center","National Association of Latino Elected and Appointed Officials (NALEO), South Asian Council for Social Services",This school will provide students with disabilities the supports and services indicated on their IEPs.,"ELMCOR, Generation Citizen, Global Kids, Goodwill Industries, Horticultural Society, Leadership Program, South Asian Youth Action (SAYA ),Wildlife Conservation of America, and Zone 126",Priority to Queens students or residents,Then to New York City residents,For Zoned Program only: Guaranteed offer to students who apply and live in the zoned area.
Learning Voyages: in-depth investigations of themes or topics crossing multiple academic subjects through authentic projects and/or field work; Collaboration with community partners to develop leadership; Extra tutoring for students before and after school; Specialized carpentry program that includes building boats and other exciting projects; Kaplan SAT prep classes and a four-year sequence of college trips provided.,,This school will provide students with disabilities the supports and services indicated on their IEPs.,"The Rockaway Waterfront Alliance, The Cloud Institute, Children’s Environmental Literacy Foundation, C-CAP (Careers Through Culinary Arts Program), National Center For Construction , Education and Research, The New York City Leadership Academy, The Australian United States Services in Education (AUSSIES)",Priority to Queens students or residents who attend an information session,Then to New York City residents who attend an information session,Then to Queens students or residents
"College Advisory, College Tours, CUNY College Now, Humanities, Financial Literacy, Pre-engineering, Robotics, Instructional Technology, MOUSE Squad, Digital Photography, Leadership & Mentorship Programs, Peer Mediation, Conflict Resolution, Extended Day, Science, Technology, Engineering, and Mathematics (STEM) Enrichment Courses, Summer Enrichment Placements, Three-year Talent Block: Visual Arts, School Band, Improv, Senior Internship, Ninth Grade Leadership Development, Career and College Planning",Institute for Student Achievement,This school will provide students with disabilities the supports and services indicated on their IEPs.,"College Confident, Educational Services Center SAT and College Preparation, iZone 360 iLearnNYC Comedy Hall of Fame LEAP NYChess iMentor College Now",Priority to Queens students or residents who attend an information session,Then to New York City residents who attend an information session,Then to Queens students or residents
"HSCL features a unique early college experience through classes (e.g. Research Writing) taught in collaboration with the faculty of St. John’s University (SJU) at the Queens Campus for qualifying students; Additional elective classes include CAD Design and 3D Printing in conjunction with Parsons/The New School for Design, Chess and Comparative Anatomy & Physiology; Innovative Music program includes Latin Jazz, Rock and String Ensembles; Internships are available with the Queens Library, Chapin Home for the Aged, Grace Episcopal Church’s Food Pantry as well as other community-based organizations; Advisory and peer support system; Kaplan K-12 SAT prep classes and a four-year sequence of college trips and college counseling services built into the academic program.",,This school will provide students with disabilities the supports and services indicated on their IEPs.,"Queens Library, Jamaica YMCA",Priority to Queens students or residents who attend an information session,Then to New York City residents who attend an information session,Then to Queens students or residents
Health and Wellness Program,"Zeta Phi Beta Sorority, Inc.",This school will provide students with disabilities the supports and services indicated on their IEPs.,"The Leadership Program, The Coalition of 100 Black Women",Eligibility: Open only to female students,Priority to New York City residents who attend an information session,Then to New York City residents
