t1_address,t4_address,t4_bin,t7_bin,dsny_district,dsny_zone,hours,point_1,rank,dense_rank
"84 East 7th Street, New York, NY, USA","84 East 7th Street, New York, NY, USA",1006282.0,1006282.0,MN03,MN,"Friday 8:00 AM-8:00 PM, Thursday 8:00 AM-8:00 PM, Wednesday 8:00 AM-8:00 PM, Tuesday 8:00 AM-8:00 PM, Monday 8:00 AM-8:00 PM, Sunday 2:00 PM-4:00 PM, Wednesday Closed, Friday Closed, Thursday Closed, Saturday Closed, Tuesday Closed, Monday Closed, Saturd","{'type': 'Point', 'coordinates': [-73.9862860001998, 40.7270170000377]}",1,1
"265 Nagle Avenue, New York, NY, USA","265 Nagle Avenue, New York, NY, USA",1064706.0,1064706.0,MN12,MN,,"{'type': 'Point', 'coordinates': [-73.9202520001307, 40.8630830001835]}",1,1
"130 Crosby Street, New York, NY 10012, USA","130 Crosby Street, New York, NY 10012, USA",1007944.0,1007944.0,MN02,MN,,"{'type': 'Point', 'coordinates': [-73.9963910003454, 40.7247089997238]}",1,1
"245 West 10th Street, New York, NY 10014, USA","245 West 10th Street, New York, NY 10014, USA",1011183.0,1011183.0,MN02,MN,,"{'type': 'Point', 'coordinates': [-74.0058949997554, 40.7339349998036]}",1,1
"14 West 8th Street, New York, NY, USA","14 West 8th Street, New York, NY, USA",1008860.0,1008860.0,MN02,MN,,"{'type': 'Point', 'coordinates': [-73.9973569999266, 40.732530999809]}",1,1
"5 Blue Slip, Brooklyn, NY, USA","5 Blue Slip, Brooklyn, NY, USA",3418261.0,3418261.0,BKN01,BKN,"Sunday Closed, Saturday 12:00 PM-7:00 PM, Friday 12:00 PM-12:00 PM, Thursday 12:00 PM-7:00 PM, Wednesday 12:00 PM-7:00 PM, Tuesday 12:00 PM-7:00 PM, Monday Closed","{'type': 'Point', 'coordinates': [-73.9592950001651, 40.7362949998176]}",1,1
"1360 Fulton Street, Brooklyn, NY 11216, USA","1360 Fulton Street, Brooklyn, NY 11216, USA",3329709.0,3329709.0,BKN03,BKN,,"{'type': 'Point', 'coordinates': [-73.9464929997531, 40.6801139999643]}",1,2
"25 McGuinness Blvd, Brooklyn, NY, USA","25 McGuinness Blvd, Brooklyn, NY, USA",3066846.0,3066846.0,BKN01,BKN,,"{'type': 'Point', 'coordinates': [-73.9479329996092, 40.7234920002588]}",1,3
"167 North 9th Street, Brooklyn, NY, USA","167 North 9th Street, Brooklyn, NY, USA",3061704.0,3061704.0,BKN01,BKN,,"{'type': 'Point', 'coordinates': [-73.9559159999244, 40.7188660000691]}",1,3
"672 Driggs Avenue, Brooklyn, NY, USA","672 Driggs Avenue, Brooklyn, NY, USA",3062466.0,3062466.0,BKN01,BKN,,"{'type': 'Point', 'coordinates': [-73.9594710001875, 40.7144430002475]}",1,3
"64 North 9th Street, Brooklyn, NY 11249, USA","64 North 9th Street, Brooklyn, NY 11249, USA",3392437.0,3392437.0,BKN01,BKN,"Monday 09:00 AM-05:00 PM, Tuesday 09:00 AM-05:00 PM, Wednesday 09:00 AM-05:00 PM, Thursday 09:00 AM-05:00 PM, Friday 09:00 AM-05:00 PM, Saturday Closed, Sunday Closed","{'type': 'Point', 'coordinates': [-73.9599810003239, 40.7207729998773]}",1,3
"672 Driggs Avenue, Brooklyn, NY, USA","672 Driggs Avenue, Brooklyn, NY, USA",3062466.0,3062466.0,BKN01,BKN,,"{'type': 'Point', 'coordinates': [-73.9594710001875, 40.7144430002475]}",1,3
"569 Wilson Avenue, Brooklyn, NY, USA","569 Wilson Avenue, Brooklyn, NY, USA",3079058.0,3079058.0,BKN04,BKN,,"{'type': 'Point', 'coordinates': [-73.9085170003603, 40.691080000245]}",1,3
"195 Linden Street, Brooklyn, NY 11221, USA","195 Linden Street, Brooklyn, NY 11221, USA",3076116.0,3076116.0,BKN04,BKN,"Monday 08:00 AM-06:00 PM, Tuesday 08:00 AM-06:00 PM, Wednesday 08:00 AM-06:00 PM, Thursday 08:00 AM-06:00 PM, Friday 08:00 AM-06:00 PM, Saturday 10:00 AM-04:00 PM, Sunday Closed","{'type': 'Point', 'coordinates': [-73.9176570000715, 40.6956489996049]}",1,3
"175 Tompkins Avenue, Brooklyn, NY 11206, USA","175 Tompkins Avenue, Brooklyn, NY 11206, USA",3049352.0,3049352.0,BKN03,BKN,,"{'type': 'Point', 'coordinates': [-73.9456040001255, 40.6932549998216]}",1,3
"181 Lexington Avenue, Brooklyn, NY, USA","181 Lexington Avenue, Brooklyn, NY, USA",3056359.0,3056359.0,BKN03,BKN,,"{'type': 'Point', 'coordinates': [-73.9551549999043, 40.6873310000288]}",1,3
"976 Park Place, Brooklyn, NY, USA","976 Park Place, Brooklyn, NY, USA",3031601.0,3031601.0,BKN08,BKN,"Monday 11:00 AM-07:30 PM, Tuesday 11:00 AM-07:30 PM, Wednesday 11:00 AM-07:30 PM, Thursday 11:00 AM-07:30 PM, Friday 11:00 AM-07:30 PM, Saturday 11:00 AM-07:30 PM, Sunday Closed","{'type': 'Point', 'coordinates': [-73.9451899999195, 40.6729309996691]}",1,3
"576 Blake Avenue, Brooklyn, NY, USA","576 Blake Avenue, Brooklyn, NY, USA",3336125.0,3336125.0,BKN05,BKN,,"{'type': 'Point', 'coordinates': [-73.8968049998518, 40.6671779996682]}",1,3
"126-06 15th Avenue, College Point, NY, USA","126-06 15th Avenue, College Point, NY, USA",4437977.0,4437977.0,QE07,QE,,"{'type': 'Point', 'coordinates': [-73.8418590002936, 40.7848559999077]}",1,1
"126-06 15th Avenue, College Point, NY, USA","126-06 15th Avenue, College Point, NY, USA",4437977.0,4437977.0,QE07,QE,,"{'type': 'Point', 'coordinates': [-73.8418590002936, 40.7848559999077]}",1,1
"126-06 15th Avenue, College Point, NY, USA","126-06 15th Avenue, College Point, NY, USA",4437977.0,4437977.0,QE07,QE,,"{'type': 'Point', 'coordinates': [-73.8418590002936, 40.7848559999077]}",1,1
"30-05 Whitestone Expy, Flushing, NY, USA","30-05 Whitestone Expy, Flushing, NY, USA",4100748.0,4100748.0,QE07,QE,,"{'type': 'Point', 'coordinates': [-73.8335439999566, 40.7702710000098]}",4,1
"183-14 Hillside Avenue, Jamaica, NY, USA","183-14 Hillside Avenue, Jamaica, NY, USA",4212730.0,4212730.0,QE12,QE,,"{'type': 'Point', 'coordinates': [-73.7781329996392, 40.7135589999511]}",1,1
"231-02 Mentone Ave, Jamaica, NY 11413, USA","231-02 Mentone Ave, Jamaica, NY 11413, USA",4283794.0,4283794.0,QE13,QE,"Monday 12:00 PM-08:00 PM, Tuesday 12:00 PM-08:00 PM, Wednesday 12:00 PM-08:00 PM, Thursday 12:00 PM-08:00 PM, Friday 12:00 PM-08:00 PM, Saturday 12:00 PM-08:00 PM, Sunday 12:00 PM-08:00 PM","{'type': 'Point', 'coordinates': [-73.74499500032, 40.6665900004314]}",1,1
"178-36 Wexford Terrace, Jamaica, NY, USA","178-36 Wexford Terrace, Jamaica, NY, USA",4534092.0,4534092.0,QE08,QE,,"{'type': 'Point', 'coordinates': [-73.7843579998228, 40.7134070001361]}",1,1
"155 Norway Avenue, Staten Island, NY, USA","155 Norway Avenue, Staten Island, NY, USA",5109514.0,5109514.0,SI02,SI,"Monday 12:00 PM-07:00 PM, Tuesday 12:00 PM-07:00 PM, Wednesday 12:00 PM-07:00 PM, Thursday 12:00 PM-07:00 PM, Friday 12:00 PM-07:00 PM, Saturday 12:00 PM-07:00 PM, Sunday 12:00 PM-07:00 PM","{'type': 'Point', 'coordinates': [-74.0785929995683, 40.5944700002935]}",1,1
"2275 Richmond Avenue, Staten Island, NY, USA","2275 Richmond Avenue, Staten Island, NY, USA",5107371.0,5107371.0,SI02,SI,,"{'type': 'Point', 'coordinates': [-74.1642459996542, 40.5911409996606]}",1,1
"155 Norway Avenue, Staten Island, NY, USA","155 Norway Avenue, Staten Island, NY, USA",5109514.0,5109514.0,SI02,SI,"Monday 12:00 PM-07:00 PM, Tuesday 12:00 PM-07:00 PM, Wednesday 12:00 PM-07:00 PM, Thursday 12:00 PM-07:00 PM, Friday 12:00 PM-07:00 PM, Saturday 12:00 PM-07:00 PM, Sunday 12:00 PM-07:00 PM","{'type': 'Point', 'coordinates': [-74.0785929995683, 40.5944700002935]}",1,1
"155 Norway Avenue, Staten Island, NY, USA","155 Norway Avenue, Staten Island, NY, USA",5109514.0,5109514.0,SI02,SI,"Monday 12:00 PM-07:00 PM, Tuesday 12:00 PM-07:00 PM, Wednesday 12:00 PM-07:00 PM, Thursday 12:00 PM-07:00 PM, Friday 12:00 PM-07:00 PM, Saturday 12:00 PM-07:00 PM, Sunday 12:00 PM-07:00 PM","{'type': 'Point', 'coordinates': [-74.0785929995683, 40.5944700002935]}",1,1
"1513 Forest Avenue, Staten Island, NY, USA","1513 Forest Avenue, Staten Island, NY, USA",5110056.0,5110056.0,SI01,SI,,"{'type': 'Point', 'coordinates': [-74.1388860001898, 40.6252109996911]}",1,1
"17 Brook Street, Staten Island, NY 10301, USA","17 Brook Street, Staten Island, NY 10301, USA",5000385.0,5000385.0,SI01,SI,"Monday Closed, Tuesday 11:00 AM-07:00 PM, Wednesday 11:00 AM-07:00 PM, Thursday 11:00 AM-07:00 PM, Friday 11:00 AM-07:00 PM, Saturday 11:00 AM-07:00 PM, Sunday 11:00 AM-04:00 PM","{'type': 'Point', 'coordinates': [-74.0812089996966, 40.6374059999901]}",1,1
"17 Brook Street, Staten Island, NY 10301, USA","17 Brook Street, Staten Island, NY 10301, USA",5000385.0,5000385.0,SI01,SI,"Monday Closed, Tuesday 11:00 AM-07:00 PM, Wednesday 11:00 AM-07:00 PM, Thursday 11:00 AM-07:00 PM, Friday 11:00 AM-07:00 PM, Saturday 11:00 AM-07:00 PM, Sunday 11:00 AM-04:00 PM","{'type': 'Point', 'coordinates': [-74.0812089996966, 40.6374059999901]}",1,1
"3139 Veterans Road West, Staten Island, NY 10309, USA","3139 Veterans Road West, Staten Island, NY 10309, USA",5155332.0,5155332.0,SI03,SI,"Monday 10:00 AM-10:00 PM, Tuesday 10:00 AM-10:00 PM, Wednesday 10:00 AM-10:00 PM, Thursday 10:00 AM-10:00 PM, Friday 10:00 AM-10:00 PM, Saturday 10:00 AM-10:00 PM, Sunday 10:00 AM-10:00 PM","{'type': 'Point', 'coordinates': [-74.2378560001553, 40.5279189997652]}",1,1
"2720 Veterans Road West, Staten Island, NY 10309, USA","2720 Veterans Road West, Staten Island, NY 10309, USA",5170012.0,5170012.0,SI03,SI,,"{'type': 'Point', 'coordinates': [-74.2283630003532, 40.5307299998928]}",1,1
"2720 Veterans Road West, Staten Island, NY 10309, USA","2720 Veterans Road West, Staten Island, NY 10309, USA",5170012.0,5170012.0,SI03,SI,,"{'type': 'Point', 'coordinates': [-74.2283630003532, 40.5307299998928]}",1,1
"150 52nd Street, Brooklyn, NY, USA","150 52nd Street, Brooklyn, NY, USA",3337255.0,3337255.0,BKS07,BKS,"Monday 9:00 AM-5:00 PM, Tuesday 9:00 AM-5:00 PM, Wednesday 9:00 AM-5:00 PM, Thursday 9:00 AM-5:00 PM, Friday 9:00 AM-5:00 PM, Saturday Closed, Sunday Closed","{'type': 'Point', 'coordinates': [-74.0188419996595, 40.6482789995794]}",1,1
"5361 Preston Ct, Brooklyn, NY, USA","5361 Preston Ct, Brooklyn, NY, USA",3350216.0,3350216.0,BKS18,BKS,,"{'type': 'Point', 'coordinates': [-73.92371199961, 40.6387249996622]}",1,2
"360 Van Brunt Street, Brooklyn, NY, USA","360 Van Brunt Street, Brooklyn, NY, USA",3336621.0,3336621.0,BKS06,BKS,,"{'type': 'Point', 'coordinates': [-74.0127650000057, 40.6777370000657]}",1,3
