bin,tr6_no,t2_tr6_no,block,t5_block,t4_bin,filing_type,owner_bus_street_name,current_status,rank,dense_rank
2013018,TR6-707988-7C-N1,TR6-707988-7C-N1,3112,3112,2013018,Auto-Generated,,SAFE,1,4
1016287,TR6-802365-8C-N1,TR6-802365-8C-N1,851,851,1016287,Auto-Generated,,SWARMP,1,4
4301620,TR6-911776-9B-N1,TR6-911776-9B-N1,15810,15810,4301620,Auto-Generated,,UNSAFE,1,4
3342263,TR6-809661-8A-N1,TR6-809661-8A-N1,3315,3315,3342263,Auto-Generated,,SAFE,1,4
3342263,TR6-809661-8A-N1,TR6-809661-8A-N1,3315,3315,3342263,Auto-Generated,,SWARMP,2,4
1087657,TR6-814133-8A-N1,TR6-814133-8A-N1,1849,1849,1087657,Auto-Generated,,SAFE,1,5
1015200,TR6-901895-9A-N1,TR6-901895-9A-N1,809,809,1015200,Auto-Generated,,SWARMP,1,6
2057437,TR6-916870-9A-N1,TR6-916870-9A-N1,4649,4649,2057437,Auto-Generated,,SAFE,1,6
1015200,TR6-901895-9A-N1,TR6-901895-9A-N1,809,809,1015200,Auto-Generated,,SAFE,2,6
3396505,TR6-918595-9B-N1,TR6-918595-9B-N1,2290,2290,3396505,Auto-Generated,,SAFE,2,7
3396505,TR6-918595-9B-N1,TR6-918595-9B-N1,2290,2290,3396505,Auto-Generated,,SWARMP,1,7
1031763,TR6-803784-8B-N1,TR6-803784-8B-N1,1210,1210,1031763,Auto-Generated,,SWARMP,1,8
2051297,TR6-808654-8B-N1,TR6-808654-8B-N1,4428,4428,2051297,Auto-Generated,,SWARMP,1,9
3324228,TR6-810020-8B-N1,TR6-810020-8B-N1,5287,5287,3324228,Auto-Generated,,SWARMP,1,9
1043215,TR6-805131-8C-N1,TR6-805131-8C-N1,1412,1412,1043215,Auto-Generated,,SWARMP,2,10
1043215,TR6-805131-8C-N1,TR6-805131-8C-N1,1412,1412,1043215,Auto-Generated,,SAFE,1,10
1053397,TR6-906155-9C-N1,TR6-906155-9C-N1,1721,1721,1053397,Auto-Generated,,SAFE,1,11
1081701,TR6-803319-8A-N1,TR6-803319-8A-N1,1066,1066,1081701,Auto-Generated,,SWARMP,2,12
1081701,TR6-803319-8A-N1,TR6-803319-8A-N1,1066,1066,1081701,Auto-Generated,,SWARMP,1,12
4533965,TR6-814311-8B-N1,TR6-814311-8B-N1,4960,4960,4533965,Auto-Generated,,No Report Filed,1,13
3326947,TR6-709737-7A-A1,TR6-709737-7A-A1,3709,3709,3326947,Amended,90 CHURCH STREET,SAFE,1,1
1088885,TR6-701504-7B-I1,TR6-701504-7B-I1,740,740,1088885,Initial,200 WEST 55 STREET SUITE 42,SAFE,1,1
1088885,TR6-701504-7B-I1,TR6-701504-7B-I1,740,740,1088885,Initial,200 WEST 55 STREET SUITE 42,SAFE,1,1
1059716,TR6-806826-8C-I1,TR6-806826-8C-I1,1982,1982,1059716,Initial,"25 W 39TH ST, 2ND FL",SAFE,1,1
1039990,TR6-904726-9A-A1,TR6-904726-9A-A1,1349,1349,1039990,Amended,"260 MADISON AVENUE,",UNSAFE,1,1
