bn,t3_bn,t4_alphabetic_name_long,t5_alphabetic_name_long,progcount,program_highlights,se_services
M463,M463,High School for Media and Communications,High School for Media and Communications,1,"Visual Arts Program, Creative Writing/Theater Arts Program, Honors-level courses in English, Global History, and United States History; Journalism/School Newspaper, Student Leadership Program, Freshman Advisory Program, National Honor Society, Writing for College, Introduction to Film, Achieve Now Academy Program, Student Government, College Now Program at The City College of New York",This school will provide students with disabilities the supports and services indicated on their IEPs.
K540,K540,John Dewey High School,John Dewey High School,8,"Computer Science Institute, Medical & Health Professions, Academy of Finance (NAF), FIRST Robotics, Pre-Engineering, Bilingual Chinese, Marine Science, Space Science Academy, HTML Web Design, Computer Graphic Design, Fashion Design, Performing Arts & Dance, Photography, Computer Graphics & Visual Arts, Ceramics, College Now, Culinary ACE Cafe, Saturday & After-school English Language Learners (ELL) Academy",This school will provide students with disabilities the supports and services indicated on their IEPs.
M419,M419,Landmark High School,Landmark High School,1,"Performance-based Assessments: All students are required to do in-depth research and writing and present their portfolios in front of a committee. College Opportunities: College Now, Upward Bound, College Trips, Full-time College Advisor, Partnerships with Baruch College, New York University (NYU), and John Jay College. Special programs: Art for Progress, Music classes through the Midori Foundation, Jazz Ensemble, Choral Music, Drama Program with Stage Doors and Youth Theater Initiative, SAT Prep, After-school clubs and activities, PSAL Sports",This school will provide students with disabilities the supports and services indicated on their IEPs.
X334,X334,International Community High School,International Community High School,1,"Small academic classes that incorporate English and Native Languages, Internship, Advisory, College Now, Drama, Studio Art, College Summit, Senior Mentoring",This school will provide students with disabilities the supports and services indicated on their IEPs.
Q520,Q520,Middle College High School at LaGuardia Community College,Middle College High School at LaGuardia Community College,1,"The focus in grades 9 and 10 (lower division) is academic and literacy skill development to prepare students for college course work. Starting in the 10th grade students become eligible to apply for college courses. During their senior year, students can apply to remain a 5th year to receive their Associate Degree or earn college credits from LaGuardia Community College. All students are required to enroll in college classes. All students who are enrolled in college classes receive extra support through daily seminar classes.",This school will provide students with disabilities the supports and services indicated on their IEPs.
K445,K445,New Utrecht High School,New Utrecht High School,8,"Academic Honors Academy, Medical & Health Careers, Business and Technology, Academy of Hospitality and Tourism, Academy of Legal Studies, Small Business Operations, College Now",This school will provide students with disabilities the supports and services indicated on their IEPs.
Q258,Q258,Energy Tech High School,Energy Tech High School,1,"Associate's degree - Up to two years of college coursework in engineering, College classes as early as 10th grade, Internships and apprenticeships, Off-site technical training, Mentor program, College and career trips, Small-group “learning labs,” Daily Advisory groups, Town Hall meetings, Student e-portfolios, Opportunities for collaborative and problem-based learning. Language Classes: As we expand, we plan to offer Spanish and Spanish Native Language Arts.",This school will provide students with disabilities the supports and services indicated on their IEPs.
R064,R064,Gaynor McCown Expeditionary Learning School,Gaynor McCown Expeditionary Learning School,1,"Expeditionary Learning: in-depth investigations of academic curricula that incorporate real-world connections, project-based learning and character development, utilizing outside experts; Crew: Advisory group of 12-15 students who work with one staff member to receive guidance, develop leadership, support academics and build character",This school will provide students with disabilities the supports and services indicated on their IEPs.
X455,X455,Harry S Truman High School,Harry S Truman High School,7,"Pre-Engineering, Law and Legal Studies/Law Enforcement Academy, Computer Technology, Culinary Arts, Multimedia Communication, Air Force Junior Reserve Officers' Training Corps (AFJROTC), Summer Internship, Sports and Arts, GEAR UP, Four-year program allowing students to graduate with a high school diploma as well as an Associate degree from Mercy College.",This school will provide students with disabilities the supports and services indicated on their IEPs.
K393,K393,Frederick Douglass Academy IV Secondary School,Frederick Douglass Academy IV Secondary School,1,"College Now with Medgar Evers College, Fresh Prep Core, Science, Technology, Engineering & Mathematics (STEM) Robotics with New York City College of Technology, Dance4Peace",This school will provide students with disabilities the supports and services indicated on their IEPs.
M304,M304,Mott Hall High School,Mott Hall High School,1,"Online grading system for parents and students, Before- and -after school tutoring, Saturday Academy, Tutoring with City College, College Now, College for Every Student (CFES), College Prep with Columbia University, Regents Prep Program, iZone, Advanced Placement courses, Credit Recovery Electives",This school will provide students with disabilities the supports and services indicated on their IEPs.
