section,bin,site_section,site_bin,building_owner_name,procedure_name,total_acm_amount
Stair Hall #56 151 Ten Eyck Walk APT. #3B Exterior Windows,3327884.0,Stair Hall #56 151 Ten Eyck Walk APT. #3B Exterior Windows,3327884.0,New York City Housing Authority (NYCHA),Exterior Vertical Surface,8.0
east side - south north side,2015241.0,east side - south north side,2015241.0,NYC School Construction Authority (NYCSCA),DEP Variance,300.0
Room #205,4004978.0,Room #205,4004978.0,Queensboro Tower LLC,Interior Foam,140.0
Apt. 1B,3321414.0,Apt. 1B,3321414.0,New York City Housing Authority (NYCHA),VAT Protocol in NYCHA Apt,633.0
2H,1080441.0,2H,1080441.0,17 and 24 Corporation,DEP Variance,4.0
Tank Room,3321770.0,Tank Room,3321770.0,New York City Housing Authority (NYCHA),Full Containment,681.0
P E Elev,1086339.0,P E Elev,1086339.0,NYC School Construction Authority (NYCSCA),Exterior Vertical Surface,28.0
Pump & Tank Room,3321764.0,Pump & Tank Room,3321764.0,New York City Housing Authority (NYCHA),DEP Variance,525.0
Apt. 12A Kitchen,1028714.0,Apt. 12A Kitchen,1028714.0,"Scott Landesman, Trustee of 145 CPW UWS Trust",Tent,20.0
Tent #12 / Westside Storage Room,2001950.0,Tent #12 / Westside Storage Room,2001950.0,New York Public Library,DEP Variance,31.0
Corridor,3343253.0,Corridor,3343253.0,Linden Plaza Preservation L.P.,DEP Variance,12800.0
"South Elevation Quad C & D, Drop #4",1001026.0,"South Elevation Quad C & D, Drop #4",1001026.0,"Silverstein Properties, Inc.",Exterior Vertical Surface,4.0
Roof 'B',3819133.0,Roof 'B',3819133.0,"Consolidated Edison   Company of NY, Inc.",Exterior Foam,4.0
"Apts A,B,C,D,E,F,G,J,K,L,M,N,P,Q,R",3188894.0,"Apts A,B,C,D,E,F,G,J,K,L,M,N,P,Q,R",3188894.0,New York City Housing Authority (NYCHA),Tent,30.0
Southwest Elevation,1050766.0,Southwest Elevation,1050766.0,77th St. and East End Ave Corp. c/o D.E. Prop Mgmt,Exterior Vertical Surface,56.0
"Exterior Facade Elevations# 13,14,16",3335247.0,"Exterior Facade Elevations# 13,14,16",3335247.0,New York City Housing Authority (NYCHA),Exterior Vertical Surface,8.0
boiler room,3127184.0,boiler room,3127184.0,Leon Goldenberg,Tent,45.0
Room 811,1031008.0,Room 811,1031008.0,305 West End Property LLC,DEP Variance,48.0
Courtyard East Elevation,3039906.0,Courtyard East Elevation,3039906.0,NYC School Construction Authority (NYCSCA),Exterior Vertical Surface,35.0
Storage Room F9-2,4459431.0,Storage Room F9-2,4459431.0,Clearview Gardens Corporation,Tent,190.0
Kitchen / Pantry,3117240.0,Kitchen / Pantry,3117240.0,Holy Cross RC Church,Interior Foam,425.0
Exterior Façade Elevation # 7,1081301.0,Exterior Façade Elevation # 7,1081301.0,New York City Housing Authority (NYCHA),Exterior Vertical Surface,10.0
Exterior Façade Elevation # 7,1081301.0,Exterior Façade Elevation # 7,1081301.0,Mount Sinai West,Exterior Vertical Surface,10.0
"Room L, L2, L3 & M",1037546.0,"Room L, L2, L3 & M",1037546.0,SL Green Realty Corp.,Full Containment,180.0
Apartment # 11H,2091116.0,Apartment # 11H,2091116.0,New York City Housing Authority (NYCHA),VAT Protocol in NYCHA Apt,577.0
Unit L - Bedroom,3343253.0,Unit L - Bedroom,3343253.0,Linden Plaza Preservation L.P.,DEP Variance,1840.0
Apt. 15J - Bathroom,1084124.0,Apt. 15J - Bathroom,1084124.0,NYCHA Real Estate Development   Design & Construct,Tent,8.0
main center,4077359.0,main center,4077359.0,Hao-Dong Ma,Exterior Foam,32.0
West Wall AC shaft,1035473.0,West Wall AC shaft,1035473.0,350 Park EAT LLC,Subchapter G,640.0
