principal_name_t2,principal_name_t5,school_support_team_name,location_category_description,field_support_center_name,fiscal_year,total,count,average
TIMOTHY SULLIVAN,TIMOTHY SULLIVAN,School Support Team 9- Bronx,K-8,Field Support Center - Bronx,2019,321100010019.0,1,321100010019.0
Pierre Orbe,Pierre Orbe,School Support Team 1- Bronx,High school,Field Support Center - Bronx,2019,321000011440.0,1,321000011440.0
DARRYL HARRINGTON,DARRYL HARRINGTON,School Support Team 3- Bronx,Elementary,Field Support Center - Bronx,2019,321000010306.0,1,321000010306.0
CLAUDIA TAHIRAJ-SADRIJA,CLAUDIA TAHIRAJ-SADRIJA,School Support Team 3- Bronx,Elementary,Field Support Center - Bronx,2019,321000010008.0,1,321000010008.0
James Waslawski,James Waslawski,School Support Team 1- Bronx,Secondary School,Field Support Center - Bronx,2019,320900011350.0,1,320900011350.0
OLIVIA FRANCIS WEBBER,OLIVIA FRANCIS WEBBER,School Support Team 8- Bronx,Elementary,Field Support Center - Bronx,2019,320900010114.0,1,320900010114.0
Shea Reeder,Shea Reeder,,Elementary,,2019,320800861074.0,1,320800861074.0
WILLIAM FRACKELTON,WILLIAM FRACKELTON,School Support Team 7- Bronx,Junior High-Intermediate-Middle,Field Support Center - Bronx,2019,320800010448.0,1,320800010448.0
DAVID VAZQUEZ,DAVID VAZQUEZ,School Support Team 7- Bronx,Junior High-Intermediate-Middle,Field Support Center - Bronx,2019,320800010424.0,1,320800010424.0
Evelyn Hey,Evelyn Hey,,Elementary,,2019,320700860889.0,1,320700860889.0
Evan Schwartz,Evan Schwartz,School Support Team 2- Affinity Group,High school,Affinity Group,2019,320700011600.0,1,320700011600.0
Kristin Cahill Garcia,Kristin Cahill Garcia,School Support Team 1- Affinity Group,High school,Affinity Group,2019,320700011259.0,1,320700011259.0
ELLEN FLANAGAN,ELLEN FLANAGAN,School Support Team 1- Bronx,Secondary School,Field Support Center - Bronx,2019,320700011221.0,1,320700011221.0
DR. RAMON GONZALEZ,DR. RAMON GONZALEZ,School Support Team 6- Bronx,Secondary School,Field Support Center - Bronx,2019,320700010223.0,1,320700010223.0
DR. GIOVANNA DELUCCHI,DR. GIOVANNA DELUCCHI,School Support Team 6- Bronx,Elementary,Field Support Center - Bronx,2019,320700010043.0,1,320700010043.0
Charlie Ortiz,Charlie Ortiz,,Elementary,,2019,310600861111.0,1,310600861111.0
DEIRDRE BUDD,DEIRDRE BUDD,School Support Team 7- Manhattan,Elementary,Field Support Center - Manhattan,2019,310600010178.0,1,310600010178.0
CARY PANTALEON,CARY PANTALEON,School Support Team 7- Manhattan,Elementary,Field Support Center - Manhattan,2019,310600010128.0,1,310600010128.0
Boris Consuegra,Boris Consuegra,School Support Team 7- Manhattan,Elementary,Field Support Center - Manhattan,2019,310600010115.0,1,310600010115.0
Altagracia Villalona,Altagracia Villalona,School Support Team 2- Manhattan,High school,Field Support Center - Manhattan,2019,310500011304.0,1,310500011304.0
Melitina Hernandez,Melitina Hernandez,School Support Team 5- Manhattan,K-8,Field Support Center - Manhattan,2019,310500010123.0,1,310500010123.0
Eve Colavito/Kara Brockett,Eve Colavito/Kara Brockett,,K-12 all grades,,2019,310400860919.0,1,310400860919.0
Brian Bradley,Brian Bradley,School Support Team 6- Manhattan,Junior High-Intermediate-Middle,Field Support Center - Manhattan,2019,310400010377.0,1,310400010377.0
MARCIA SULIT,MARCIA SULIT,School Support Team 6- Manhattan,Elementary,Field Support Center - Manhattan,2019,310400010155.0,1,310400010155.0
Marc Maurice,Marc Maurice,,Elementary,,2019,310300860963.0,1,310300860963.0
ROBERT GENTILE,ROBERT GENTILE,School Support Team 1- Manhattan,High school,Field Support Center - Manhattan,2019,310200011420.0,1,310200011420.0
DIMITRI SALIANI,DIMITRI SALIANI,School Support Team 1- Manhattan,High school,Field Support Center - Manhattan,2019,310200010416.0,1,310200010416.0
Jennifer Rehn,Jennifer Rehn,School Support Team 4- Manhattan,Junior High-Intermediate-Middle,Field Support Center - Manhattan,2019,310200010167.0,1,310200010167.0
Sandra Miller,Sandra Miller,School Support Team 4- Manhattan,Elementary,Field Support Center - Manhattan,2019,310200010077.0,1,310200010077.0
Patrick Reimer,Patrick Reimer,School Support Team 5- Affinity Group,High school,Affinity Group,2019,310100011458.0,1,310100011458.0
Matthew Willie,Matthew Willie,School Support Team 1- Manhattan,High school,Field Support Center - Manhattan,2019,310100011448.0,1,310100011448.0
SONHANDO ESTWICK,SONHANDO ESTWICK,School Support Team 3- Manhattan,Junior High-Intermediate-Middle,Field Support Center - Manhattan,2019,310100010839.0,1,310100010839.0
MELISSA RODRIGUEZ,MELISSA RODRIGUEZ,School Support Team 3- Manhattan,K-8,Field Support Center - Manhattan,2019,310100010140.0,1,310100010140.0
Gregg Soulette,Gregg Soulette,Children First Network 751,K-12 all grades,D75 CITYWIDE FSC,2019,307500011138.0,1,307500011138.0
