incident_address,t3_incident_address,latitude,longitude,t5_latitude,t5_longitude,y_coordinate_state_plane,x_coordinate_state_plane,location_type
71-01 PARSONS BOULEVARD,71-01 PARSONS BOULEVARD,40.729931,-73.810428,40.729931,-73.810428,205328,1036658,Street/Sidewalk
117-06 NASHVILLE BOULEVARD,117-06 NASHVILLE BOULEVARD,40.696135,-73.745031,40.696135,-73.745031,192977,1055045,Street/Sidewalk
1249 SUTTER AVENUE,1249 SUTTER AVENUE,40.673013,-73.871713,40.673013,-73.871713,184414,1019773,Street/Sidewalk
142-15 110 AVENUE,142-15 110 AVENUE,40.686371,-73.801942,40.686371,-73.801942,189285,1039132,Street/Sidewalk
1503 85 STREET,1503 85 STREET,40.612056,-74.008504,40.612056,-74.008504,162170,981886,Street/Sidewalk
5-47 50 AVENUE,5-47 50 AVENUE,40.743072,-73.954735,40.743072,-73.954735,210017,996424,Street/Sidewalk
5-47 50 AVENUE,5-47 50 AVENUE,40.743072,-73.954735,40.743072,-73.954735,210017,996424,Street/Sidewalk
5-47 50 AVENUE,5-47 50 AVENUE,40.743072,-73.954735,40.743072,-73.954735,210017,996424,Street/Sidewalk
514 79 STREET,514 79 STREET,40.626176,-74.023535,40.626176,-74.023535,167435,977748,Street/Sidewalk
514 79 STREET,514 79 STREET,40.626176,-74.023535,40.626176,-74.023535,167435,977748,Street/Sidewalk
514 79 STREET,514 79 STREET,40.626176,-74.023535,40.626176,-74.023535,167435,977748,Street/Sidewalk
83-72 VIETOR AVENUE,83-72 VIETOR AVENUE,40.744092,-73.880338,40.744092,-73.880338,209886,1017055,Street/Sidewalk
83-72 VIETOR AVENUE,83-72 VIETOR AVENUE,40.744092,-73.880338,40.744092,-73.880338,209886,1017055,Street/Sidewalk
33-08 169 STREET,33-08 169 STREET,40.767047,-73.796759,40.767047,-73.796759,218801,1040626,Street/Sidewalk
1522 GREENE AVENUE,1522 GREENE AVENUE,40.703003,-73.914455,40.703003,-73.914455,195430,1007940,Street/Sidewalk
807 44 STREET,807 44 STREET,40.644453,-73.999831,40.644453,-73.999831,174028,984257,Street/Sidewalk
807 44 STREET,807 44 STREET,40.644453,-73.999831,40.644453,-73.999831,174028,984257,Street/Sidewalk
200 BROOME STREET,200 BROOME STREET,40.71759,-73.987291,40.71759,-73.987291,200591,987763,Street/Sidewalk
2871E EAST 194 STREET,2871E EAST 194 STREET,40.852479,-73.832172,40.852479,-73.832172,249903,1030679,Street/Sidewalk
37-69 WARREN STREET,37-69 WARREN STREET,40.749527,-73.870378,40.749527,-73.870378,212870,1019872,Street/Sidewalk
623 WEST 170 STREET,623 WEST 170 STREET,40.84313,-73.940272,40.84313,-73.940272,246312,1000872,Street/Sidewalk
2548 EAST 27 STREET,2548 EAST 27 STREET,40.590106,-73.943155,40.590106,-73.943155,154351,1000109,Street/Sidewalk
34-25 109 STREET,34-25 109 STREET,40.755645,-73.85905,40.755645,-73.85905,214778,1023159,Street/Sidewalk
34-25 109 STREET,34-25 109 STREET,40.755645,-73.85905,40.755645,-73.85905,214778,1023159,Street/Sidewalk
149 GELSTON AVENUE,149 GELSTON AVENUE,40.617562,-74.028117,40.617562,-74.028117,164344,976445,Street/Sidewalk
149 GELSTON AVENUE,149 GELSTON AVENUE,40.617562,-74.028117,40.617562,-74.028117,164344,976445,Street/Sidewalk
22 WEST 48 STREET,22 WEST 48 STREET,40.757637,-73.979545,40.757637,-73.979545,215325,990040,Street/Sidewalk
275 GLENMORE AVENUE,275 GLENMORE AVENUE,40.672731,-73.90056,40.672731,-73.90056,184311,1011845,Street/Sidewalk
275 GLENMORE AVENUE,275 GLENMORE AVENUE,40.672731,-73.90056,40.672731,-73.90056,184311,1011845,Street/Sidewalk
275 GLENMORE AVENUE,275 GLENMORE AVENUE,40.672731,-73.90056,40.672731,-73.90056,184311,1011845,Street/Sidewalk
2860 KINGSBRIDGE TERRACE,2860 KINGSBRIDGE TERRACE,40.874268,-73.90236,40.874268,-73.90236,257807,1011177,Street/Sidewalk
2860 KINGSBRIDGE TERRACE,2860 KINGSBRIDGE TERRACE,40.874268,-73.90236,40.874268,-73.90236,257807,1011177,Street/Sidewalk
2860 KINGSBRIDGE TERRACE,2860 KINGSBRIDGE TERRACE,40.874268,-73.90236,40.874268,-73.90236,257807,1011177,Street/Sidewalk
329 LINDEN STREET,329 LINDEN STREET,40.699086,-73.914099,40.699086,-73.914099,193921,1008097,Street/Sidewalk
611 GREENWOOD AVENUE,611 GREENWOOD AVENUE,40.65181,-73.975425,40.65181,-73.975425,176644,991021,Street/Sidewalk
898 LEXINGTON AVENUE,898 LEXINGTON AVENUE,40.767241,-73.96552,40.767241,-73.96552,218770,994053,Street/Sidewalk
1 BOWLING GREEN,1 BOWLING GREEN,40.704036,-74.013749,40.704036,-74.013749,195870,980580,Street/Sidewalk
1 BOWLING GREEN,1 BOWLING GREEN,40.704036,-74.013749,40.704036,-74.013749,195870,980580,Street/Sidewalk
1 BOWLING GREEN,1 BOWLING GREEN,40.704036,-74.013749,40.704036,-74.013749,195870,980580,Street/Sidewalk
40-49 74 STREET,40-49 74 STREET,40.745384,-73.890874,40.745384,-73.890874,210860,1014415,Street/Sidewalk
60-14 55 DRIVE,60-14 55 DRIVE,40.725646,-73.905579,40.725646,-73.905579,203732,1010450,Street/Sidewalk
101-01 35 AVENUE,101-01 35 AVENUE,40.754603,-73.866813,40.754603,-73.866813,214152,1021161,Street/Sidewalk
576 5 AVENUE,576 5 AVENUE,40.756657,-73.978975,40.756657,-73.978975,214894,990155,Street/Sidewalk
1265 WARD AVENUE,1265 WARD AVENUE,40.831133,-73.87801,40.831133,-73.87801,241955,1018074,Street/Sidewalk
493 DEAN STREET,493 DEAN STREET,40.681815,-73.973806,40.681815,-73.973806,187523,991571,Street/Sidewalk
500 WEST 30 STREET,500 WEST 30 STREET,40.751985,-74.001704,40.751985,-74.001704,213296,983929,Street/Sidewalk
500 WEST 30 STREET,500 WEST 30 STREET,40.751985,-74.001704,40.751985,-74.001704,213296,983929,Street/Sidewalk
99 CHESTNUT STREET,99 CHESTNUT STREET,40.685621,-73.875687,40.685621,-73.875687,189056,1018629,Street/Sidewalk
EAST 170 STREET,EAST 170 STREET,40.835724,-73.905784,40.835724,-73.905784,243768,1010321,Street/Sidewalk
