brooklyn_cooperatives_comparable_properties_boro_block_lot,brooklyn_cooperatives_comparable_properties_address,comp_address_match,brooklyn_cooperatives_comparable_properties_neighborhood,brooklyn_cooperatives_comparable_properties_est_gross_income,brooklyn_cooperatives_comparable_properties_full_market_value,brooklyn_cooperatives_comparable_properties_gross_income_per_sqft
3-01106-0016,"{'latitude': '40.700718609954', 'longitude': '-73.989944198243', 'human_address': '{""address"": ""10 PROSPECT PARK"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}","{'latitude': '40.700718609954', 'longitude': '-73.989944198243', 'human_address': '{""address"": ""10 PROSPECT PARK"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",PARK SLOPE,273307,945000,20.39
3-01083-0045,"{'latitude': '40.700601192899', 'longitude': '-73.986689185254', 'human_address': '{""address"": ""92 PROSPECT PARK"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}","{'latitude': '40.700601192899', 'longitude': '-73.986689185254', 'human_address': '{""address"": ""92 PROSPECT PARK"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",PARK SLOPE,541893,945000,20.39
3-01433-0060,"{'latitude': '40.675822338388', 'longitude': '-73.915437089504', 'human_address': '{""address"": ""2153 PACIFIC STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}","{'latitude': '40.675822338388', 'longitude': '-73.915437089504', 'human_address': '{""address"": ""2153 PACIFIC STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",OCEAN HILL,188850,400000,7.5
3-07158-0063,"{'latitude': '40.594364129614', 'longitude': '-73.964489496344', 'human_address': '{""address"": ""2265 OCEAN PARKWAY"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}","{'latitude': '40.594364129614', 'longitude': '-73.964489496344', 'human_address': '{""address"": ""2265 OCEAN PARKWAY"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",OCEAN PARKWAY-SOUTH,1067573,3610000,16.66
3-06681-0415,"{'latitude': '40.604687768398', 'longitude': '-73.967081100248', 'human_address': '{""address"": ""1802 OCEAN PARKWAY"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}","{'latitude': '40.604687768398', 'longitude': '-73.967081100248', 'human_address': '{""address"": ""1802 OCEAN PARKWAY"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",OCEAN PARKWAY-SOUTH,1776890,5530000,12.82
3-02715-0005,"{'latitude': '40.721275035634', 'longitude': '-73.946816971154', 'human_address': '{""address"": ""532 GRAHAM AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}","{'latitude': '40.721275035634', 'longitude': '-73.946816971154', 'human_address': '{""address"": ""532 GRAHAM AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",GREENPOINT,324883,718000,25.3
3-02338-0023,"{'latitude': '40.714528092855', 'longitude': '-73.954858073945', 'human_address': '{""address"": ""64 HAVEMEYER STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}","{'latitude': '40.714528092855', 'longitude': '-73.954858073945', 'human_address': '{""address"": ""64 HAVEMEYER STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",WILLIAMSBURG-NORTH,470925,1590000,16.1
3-06111-0001,"{'latitude': '42.433188999772', 'longitude': '-78.748646000413', 'human_address': '{""address"": ""9411 SHORE ROAD"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}","{'latitude': '42.433188999772', 'longitude': '-78.748646000413', 'human_address': '{""address"": ""9411 SHORE ROAD"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",BAY RIDGE,2071843,7740000,20.64
3-05988-0045,"{'latitude': '40.627008519064', 'longitude': '-74.026668892304', 'human_address': '{""address"": ""8024 4 AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}","{'latitude': '40.627008519064', 'longitude': '-74.026668892304', 'human_address': '{""address"": ""8024 4 AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",BAY RIDGE,1054771,3940000,17.92
3-05611-0044,"{'latitude': '40.636393187154', 'longitude': '-73.987135379895', 'human_address': '{""address"": ""4418 14 AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}","{'latitude': '40.636393187154', 'longitude': '-73.987135379895', 'human_address': '{""address"": ""4418 14 AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",BOROUGH PARK,296600,833000,12.21
3-05597-0061,"{'latitude': '40.64039368674', 'longitude': '-73.991900383152', 'human_address': '{""address"": ""1157 43 STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}","{'latitude': '40.64039368674', 'longitude': '-73.991900383152', 'human_address': '{""address"": ""1157 43 STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",BOROUGH PARK,186400,483000,10.47
3-08669-0068,"{'latitude': '40.576980051214', 'longitude': '-73.968051236283', 'human_address': '{""address"": ""3045 OCEAN PARKWAY"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}","{'latitude': '40.576980051214', 'longitude': '-73.968051236283', 'human_address': '{""address"": ""3045 OCEAN PARKWAY"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",BRIGHTON BEACH,560032,1740000,15.91
3-05060-0008,"{'latitude': '40.651736768813', 'longitude': '-73.965183055765', 'human_address': '{""address"": ""55 PARADE PLACE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}","{'latitude': '40.651736768813', 'longitude': '-73.965183055765', 'human_address': '{""address"": ""55 PARADE PLACE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",FLATBUSH-CENTRAL,898270,2330000,10.48
3-05209-0022,"{'latitude': '40.639451899077', 'longitude': '-73.955216461757', 'human_address': '{""address"": ""2323 NEWKIRK AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}","{'latitude': '40.639451899077', 'longitude': '-73.955216461757', 'human_address': '{""address"": ""2323 NEWKIRK AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",FLATBUSH-CENTRAL,132897,282000,8.52
3-05064-0029,"{'latitude': '40.654875040802', 'longitude': '-73.95867318209', 'human_address': '{""address"": ""32 CLARKSON AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}","{'latitude': '40.654875040802', 'longitude': '-73.95867318209', 'human_address': '{""address"": ""32 CLARKSON AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",FLATBUSH-CENTRAL,809150,1720000,8.31
3-06462-0040,"{'latitude': '42.433188999772', 'longitude': '-78.748646000413', 'human_address': '{""address"": ""8847 BAY 16 STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}","{'latitude': '42.433188999772', 'longitude': '-78.748646000413', 'human_address': '{""address"": ""8847 BAY 16 STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",BATH BEACH,1495679,3560000,9.38
3-07440-0028,"{'latitude': '40.589296304507', 'longitude': '-73.949603704658', 'human_address': '{""address"": ""2950 OCEAN AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}","{'latitude': '40.589296304507', 'longitude': '-73.949603704658', 'human_address': '{""address"": ""2950 OCEAN AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",SHEEPSHEAD BAY,803275,2720000,15.3
3-07464-0035,"{'latitude': '40.586510824766', 'longitude': '-73.949066628079', 'human_address': '{""address"": ""3060 OCEAN AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}","{'latitude': '40.586510824766', 'longitude': '-73.949066628079', 'human_address': '{""address"": ""3060 OCEAN AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",SHEEPSHEAD BAY,2137345,6650000,13.98
3-00238-0061,"{'latitude': '40.695762713949', 'longitude': '-73.991750559915', 'human_address': '{""address"": ""24 CLINTON STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}","{'latitude': '40.695762713949', 'longitude': '-73.991750559915', 'human_address': '{""address"": ""24 CLINTON STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",BROOKLYN HEIGHTS,945868,3920000,25.9
3-00261-0018,"{'latitude': '40.693118169056', 'longitude': '-73.99682619349', 'human_address': '{""address"": ""277 HICKS STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}","{'latitude': '40.693118169056', 'longitude': '-73.99682619349', 'human_address': '{""address"": ""277 HICKS STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",BROOKLYN HEIGHTS,630134,2610000,25.3
3-00208-0331,"{'latitude': '40.698201367782', 'longitude': '-73.996420254488', 'human_address': '{""address"": ""160 COLUMBIA HEIGHTS"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}","{'latitude': '40.698201367782', 'longitude': '-73.996420254488', 'human_address': '{""address"": ""160 COLUMBIA HEIGHTS"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",BROOKLYN HEIGHTS,2013897,8340000,23.85
3-07674-0021,"{'latitude': '40.614978526173', 'longitude': '-73.954261299993', 'human_address': '{""address"": ""1925 OCEAN AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}","{'latitude': '40.614978526173', 'longitude': '-73.954261299993', 'human_address': '{""address"": ""1925 OCEAN AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",MIDWOOD,362021,861000,9.53
