neighborhood_tabulation_area,neighborhood_tabulation_area_1,account_density_quartile,estimated_number_of_radio_1,reviewed_for_millimeter_wave,estimated_lifeline_eligible,mobile_telecom_franchise,population_projections_2050,street_furniture_city_benches,commercial_fiber_max_isp,number_of_free_public_wi,estimated_aerial_plant,available_free_public_wi,number_of_fixed_wireless,number_of_dcas_buildings,percentage_of_blocks_without,percentage_of_households,sample_of_nta_field_surveyed,reviewed_for_aerial_fiber,commercial_fiber_choice,utility_pole_make_ready,percentage_of_blocks_with_1,geographic_variations_in,reviewed_for_underground,account_density,total_population,street_furniture_fdny_call,mobile_dependent_households_1
QN68,Queensbridge-Ravenswood-Long Island City,Medium Low,15.0,YES,1996.0,Medium High,31059.0,3,4,14,0.59,True,3.0,1,0.08,0.51,YES,NO,Medium High,4.0,1.0,Above and Underground Network,YES,353.0,18938,58,Medium Low Connected
QN03,Springfield Gardens South-Brookville,Low,19.0,NO,602.0,Low,20537.0,1,4,0,1.0,False,2.0,16,0.2,1.0,NO,NO,Low,3.0,0.96,Above Ground (Utility Pole Presence),NO,98.0,22196,31,High Connected
BK75,Bedford,High,103.0,NO,6073.0,Medium High,82022.0,19,3,5,0.0,True,1.0,12,0.15,0.6,NO,NO,Medium High,4.5,1.0,Underground Network Areas,NO,680.0,79075,69,High Connected
MN31,Lenox Hill-Roosevelt Island,High,32.0,NO,822.0,High,81782.0,10,6,43,0.06,True,3.0,4,0.0,0.42,NO,NO,High,4.5,0.99,Above and Underground Network,NO,1241.0,82085,70,Low Connected
MN19,Turtle Bay-East Midtown,High,21.0,NO,363.0,High,56606.0,3,11,108,0.0,True,1.0,4,0.0,0.14,NO,NO,High,4.5,1.0,Underground Network Areas,NO,1118.0,50121,26,Low Connected
BX49,Pelham Parkway,Medium Low,29.0,NO,1559.0,High,32957.0,1,3,1,1.0,True,0.0,1,0.11,1.0,NO,NO,Medium High,4.0,0.81,Above and Underground Network,NO,379.0,28608,7,High Connected
BX59,Westchester-Unionport,Medium Low,0.0,NO,2166.0,Medium High,31621.0,2,4,0,1.0,False,0.0,15,0.14,1.0,NO,NO,Medium High,4.0,0.78,Above and Underground Network,NO,281.0,28444,29,Medium High Connected
BK78,Bushwick South,Medium High,13.0,NO,5918.0,Medium High,89551.0,17,3,2,0.0,True,2.0,4,0.23,0.69,NO,NO,Low,4.5,1.0,Underground Network Areas,NO,588.0,72809,72,High Connected
QN51,Murray Hill,Medium Low,8.0,NO,3173.0,Medium High,52719.0,1,3,0,0.99,False,2.0,7,0.03,0.81,NO,NO,Medium High,4.0,1.0,Above and Underground Network,NO,352.0,50102,113,High Connected
QN05,Rosedale,Low,33.0,NO,585.0,Low,25398.0,3,3,1,0.95,True,2.0,20,0.11,0.86,NO,NO,Low,3.0,0.98,Above and Underground Network,NO,136.0,26680,64,Medium High Connected
BX14,East Concourse-Concourse Village,High,30.0,NO,6821.0,High,72125.0,17,4,2,0.97,True,1.0,7,0.07,1.0,NO,NO,High,4.5,0.75,Above and Underground Network,NO,857.0,64459,42,High Connected
QN33,Cambria Heights,Low,55.0,NO,291.0,Medium Low,18767.0,3,2,1,0.7,True,1.0,2,0.05,0.99,NO,NO,Medium Low,3.0,1.0,Above Ground (Utility Pole Presence),NO,151.0,21032,55,Medium High Connected
QN72,Steinway,Medium Low,8.0,NO,1612.0,Medium Low,53110.0,3,3,1,0.79,True,2.0,10,0.21,0.15,NO,NO,Low,4.0,1.0,Above and Underground Network,NO,366.0,47234,103,Low Connected
QN23,College Point,Low,16.0,NO,1421.0,Low,25650.0,5,3,0,0.98,False,2.0,18,0.07,1.0,NO,NO,Medium Low,3.0,0.98,Above and Underground Network,NO,213.0,24750,58,High Connected
QN26,North Corona,Medium High,2.0,NO,3778.0,Medium High,57526.0,3,3,1,0.81,True,2.0,3,0.04,0.73,NO,NO,Medium Low,4.5,0.99,Above and Underground Network,NO,557.0,54859,45,High Connected
BK61,Crown Heights North,High,34.0,NO,8146.0,Medium High,120199.0,29,4,28,0.24,True,2.0,29,0.09,0.66,NO,NO,Medium High,4.5,1.0,Above and Underground Network,NO,721.0,111782,98,Medium High Connected
BK99,park-cemetery-etc-Brooklyn,,,,0.0,Low,,0,3,0,,False,,4,0.68,,,,Low,,0.65,,,,328,54,Low Connected
QN57,Lindenwood-Howard Beach,Low,0.0,NO,1131.0,Low,26339.0,1,3,1,1.0,True,2.0,38,0.18,0.98,YES,YES,Low,3.0,0.96,Above and Underground Network,YES,166.0,28313,77,Medium Low Connected
SI12,Mariner's Harbor-Arlington-Port Ivory-Graniteville,Low,21.0,NO,2185.0,Medium Low,31963.0,5,3,0,0.71,False,1.0,12,0.13,1.0,YES,YES,Medium Low,4.0,0.97,Above Ground (Utility Pole Presence),YES,211.0,32780,124,Medium High Connected
MN17,Midtown-Midtown South,Medium High,19.0,NO,308.0,High,39081.0,8,15,144,0.0,True,2.0,2,0.0,0.11,NO,NO,High,4.5,1.0,Underground Network Areas,NO,460.0,27754,29,Low Connected
BX06,Belmont,Medium High,17.0,NO,3156.0,High,31859.0,4,4,1,1.0,True,1.0,2,0.12,1.0,NO,NO,Medium High,4.5,0.73,Above and Underground Network,NO,489.0,28962,31,High Connected
QN41,Fresh Meadows-Utopia,Low,8.0,NO,782.0,Low,17961.0,3,3,1,0.24,True,1.0,1,0.1,0.64,NO,NO,Medium Low,3.0,1.0,Above and Underground Network,NO,174.0,19500,50,Low Connected
BK58,Flatlands,Medium Low,21.0,NO,2939.0,Low,68335.0,12,4,1,1.0,True,3.0,15,0.07,0.47,NO,NO,Medium High,4.0,0.95,Above and Underground Network,NO,386.0,70560,60,Medium Low Connected
MN04,Hamilton Heights,High,4.0,NO,3191.0,High,49470.0,14,4,53,0.0,True,2.0,1,0.0,0.88,NO,NO,High,4.5,0.87,Underground Network Areas,NO,779.0,52510,59,Medium Low Connected
QN70,Astoria,High,7.0,NO,3503.0,Medium Low,90077.0,15,3,50,0.74,True,3.0,12,0.16,0.32,NO,NO,Medium Low,4.5,1.0,Above and Underground Network,NO,800.0,74094,104,Medium Low Connected
QN99,park-cemetery-etc-Queens,,,,0.0,Low,,0,3,0,,False,,6,0.82,,,,Low,,0.46,,,,67,98,Low Connected
BK90,East Williamsburg,Medium Low,23.0,NO,2287.0,Low,40041.0,8,3,18,0.07,True,1.0,4,0.17,0.35,NO,NO,Low,4.0,1.0,Above and Underground Network,NO,425.0,36587,80,Medium High Connected
BK34,Sunset Park East,High,54.0,NO,8086.0,Medium High,76212.0,5,4,0,0.5,False,2.0,8,0.12,0.19,NO,NO,Medium High,4.5,1.0,Above and Underground Network,NO,786.0,64170,71,Medium Low Connected
BX07,Bronxdale,High,50.0,NO,3234.0,High,40261.0,3,3,0,1.0,False,0.0,1,0.02,1.0,NO,NO,Medium High,4.5,0.87,Above and Underground Network,NO,798.0,38814,13,High Connected
BK88,Borough Park,Medium High,51.0,NO,10543.0,Medium High,117080.0,13,4,1,0.27,True,2.0,14,0.12,0.48,NO,NO,Medium High,4.5,1.0,Above and Underground Network,NO,497.0,99534,98,Medium Low Connected
QN19,Glendale,Medium Low,8.0,NO,1120.0,Low,32893.0,3,2,1,0.42,True,2.0,7,0.05,0.85,NO,NO,Low,4.0,1.0,Above and Underground Network,NO,338.0,35677,83,Medium Low Connected
SI37,Stapleton-Rosebank,Low,12.0,NO,1693.0,Medium Low,39068.0,3,3,5,0.96,True,2.0,10,0.07,0.99,NO,NO,Medium High,3.0,0.98,Above Ground (Utility Pole Presence),NO,206.0,25281,130,Low Connected
QN71,Old Astoria,High,0.0,NO,1684.0,Medium High,41693.0,6,3,7,0.96,True,3.0,1,0.09,0.17,NO,NO,Medium Low,4.5,0.99,Above and Underground Network,NO,667.0,23694,38,Medium Low Connected
BX13,Co-op City,Medium Low,21.0,NO,2835.0,Medium Low,44704.0,4,3,1,1.0,True,0.0,9,0.37,1.0,NO,NO,Low,4.0,0.44,Above and Underground Network,NO,418.0,46725,49,Medium Low Connected
QN12,Hammels-Arverne-Edgemere,Low,10.0,NO,3300.0,Low,41227.0,2,2,2,0.88,True,2.0,14,0.33,1.0,NO,NO,Low,3.0,0.94,Above and Underground Network,NO,220.0,42665,83,Medium High Connected
BX46,Parkchester,High,46.0,NO,1711.0,High,31601.0,2,3,1,1.0,True,0.0,0,0.19,1.0,NO,NO,Medium Low,4.5,0.76,Above and Underground Network,NO,1063.0,30318,23,Medium High Connected
BK44,Madison,Medium High,0.0,NO,2217.0,Medium High,43649.0,1,3,0,1.0,False,2.0,1,0.02,1.0,NO,NO,Low,4.5,0.97,Above and Underground Network,NO,549.0,41116,28,Low Connected
BK93,Starrett City,Medium High,0.0,NO,1331.0,Low,13957.0,2,3,0,0.05,False,2.0,0,0.52,0.99,NO,NO,Low,4.5,0.13,Above and Underground Network,NO,556.0,12553,33,Low Connected
QN46,Bayside-Bayside Hills,Low,0.0,NO,1337.0,Medium Low,44484.0,22,3,1,0.99,True,2.0,9,0.06,1.0,YES,YES,Medium Low,3.0,1.0,Above and Underground Network,YES,151.0,42718,166,Medium Low Connected
MN27,Chinatown,Medium High,52.0,NO,3988.0,High,48741.0,10,8,21,0.0,True,1.0,16,0.0,0.54,NO,NO,High,4.5,1.0,Underground Network Areas,NO,616.0,42766,64,Low Connected
MN34,East Harlem North,Medium High,21.0,NO,6113.0,High,71957.0,32,5,38,0.07,True,2.0,8,0.0,0.98,NO,NO,High,4.5,0.95,Above and Underground Network,NO,524.0,61330,84,Medium High Connected
MN23,West Village,High,16.0,NO,299.0,High,67683.0,11,10,35,0.0,True,1.0,1,0.0,0.29,NO,NO,High,4.5,1.0,Underground Network Areas,NO,922.0,65393,100,Medium Low Connected
SI48,Arden Heights,Medium Low,0.0,NO,730.0,Low,25908.0,1,2,0,1.0,False,1.0,8,0.02,1.0,NO,NO,Medium Low,3.0,1.0,Above Ground (Utility Pole Presence),NO,249.0,26887,52,Low Connected
BK81,Brownsville,Medium High,4.0,YES,6480.0,Medium High,67556.0,25,3,1,0.43,True,2.0,9,0.18,0.54,YES,NO,Medium Low,4.5,0.99,Above and Underground Network,YES,529.0,51236,69,High Connected
QN98,Airport,,,,0.0,Low,,0,3,0,,False,,1,0.89,,,,Low,,0.16,,,,0,130,Low Connected
QN50,Elmhurst-Maspeth,Medium Low,3.0,NO,1344.0,Low,29655.0,3,2,10,0.56,True,3.0,3,0.19,0.26,NO,NO,Medium Low,4.0,1.0,Above and Underground Network,NO,280.0,23789,45,Medium High Connected
QN63,Woodside,Medium Low,21.0,NO,2253.0,Medium Low,51598.0,5,3,6,0.65,True,3.0,9,0.2,0.28,NO,NO,Low,4.0,1.0,Above and Underground Network,NO,418.0,41942,57,Medium Low Connected
QN34,Queens Village,Low,35.0,NO,2323.0,Low,52924.0,4,2,0,1.0,False,1.0,17,0.07,0.98,NO,NO,Low,3.0,1.0,Above and Underground Network,NO,171.0,54518,189,Medium High Connected
SI28,Port Richmond,Low,0.0,NO,1006.0,Low,22650.0,4,4,0,1.0,False,1.0,9,0.1,0.99,NO,NO,Medium Low,3.0,0.99,Above Ground (Utility Pole Presence),NO,120.0,19293,96,Medium Low Connected
QN08,St. Albans,Low,4.0,NO,1791.0,Low,51236.0,3,2,1,1.0,True,1.0,33,0.02,1.0,NO,NO,Low,3.0,1.0,Above and Underground Network,NO,182.0,53151,155,High Connected
SI14,Grasmere-Arrochar-Ft. Wadsworth,Low,16.0,NO,667.0,Low,16215.0,5,3,3,0.71,True,1.0,4,0.26,1.0,NO,NO,Medium Low,3.0,0.95,Above Ground (Utility Pole Presence),NO,160.0,16417,68,Low Connected
