globalid,plantingspaceonstreet,overheadutilities,buildingnumber,:@computed_region_sbqj_enih,:@computed_region_efsh_h5xi,stateassembly,crossstreet1
9FFF927A-5640-43FA-B6A2-F2C8A126860A,,,13-18,59,20529,23.0,GRANDVIEW TERRACE
3D8D5AB0-FBEC-4A6C-AF23-3F026C7EDB4D,1F,,57,76,10693,64.0,MANILA AVENUE
1F6D4817-45A5-4447-8331-5FEA1593F68F,2f,,655,76,10693,64.0,MILL ROAD
4C0F1AA7-2984-487A-9CFC-1FDADD2195AA,,,89,74,10691,61.0,TOMPKINS AVENUE
F2FBA47B-7A0F-4864-913F-D564DCE842F4,,,424,76,10693,64.0,PENN AVENUE
A5194C88-73A3-456F-ADF5-E2780EC6D986,E 117 ST,,441,16,13093,68.0,PLEASANT AVENUE
03485F90-9CF1-42DB-9282-6C61BBE44C13,,,85,74,10691,61.0,QUINN STREET
00E41EC1-D3BF-4E29-AA21-9C7A4BBB63B1,,,235-016,69,14505,,
491BEC1F-2E35-419F-9E6C-87CCF5FB4B70,,,127,74,10369,63.0,GRAND AVENUE
E5DF3A8E-701F-481E-9377-BD49AC79B86B,,,2846,76,10693,64.0,MALDEN PLACE
21431016-EDB8-4A0B-B122-673125800C87,SECOR AVENUE,,2188,30,11275,83.0,LIGHT STREET
A1427F22-91FB-40F2-81E0-8376461D431D,,,2211,30,11275,83.0,BELL AVENUE
CA929EBD-C6AB-4996-96DC-398F48D5C48E,1F,,22,76,10693,64.0,MANILA AVENUE
3A1FD06D-E23A-4610-9B51-E2F357A6EC98,,,74,74,10369,63.0,GRYMES HILL ROAD
812F0FEF-0D83-4619-BC47-640AEACEA4B2,E 89 ST,,231,11,10099,73.0,2 AVENUE
EC0343E5-F42F-4FA0-B866-E81E0C3B4642,,,157-016,65,14507,27.0,PARSONS BOULEVARD
74D0B306-7BAD-4AB8-AA0A-705D464284EF,,,2771,28,11274,82.0,SWINTON AVENUE
C80C9E73-C3C3-4F1B-B629-1A60815C3347,,,174,74,10700,63.0,JEWETT AVENUE
BED8D76E-09B6-4758-8AAE-8386F7287DB0,1F,,2127,38,13825,59.0,AVENUE U
06AB9174-45FD-4C01-9350-8B2B15A0E7C2,,,89,74,10691,61.0,TOMPKINS AVENUE
CE09E6F2-15F7-4353-93F1-D9EE92A98A02,W 153 ST,,542,19,12428,71.0,BROADWAY
F520401E-CA08-4BF6-B8AD-3A476A90CB2C,75 street,,68-035,62,15309,28.0,69 AVENUE
92786116-966F-4ECC-93BE-1F941A964D6A,1F,,9,76,10693,64.0,MANILA AVENUE
EE5D04B4-DE31-4066-8AC0-84A89D15D347,1X,,437,76,10692,64.0,NUGENT AVENUE
C2E8AAB2-4143-426F-9BC2-90B98A9C3581,yes,,1057,27,10934,79.0,EAST  166 STREET
088C963B-A7AE-4457-8871-B8B6979D72BE,1f,,128,74,10692,64.0,ROSEBANK PLACE
C08E0983-5709-41EC-A3B4-B227CBA8199B,,,25,74,10369,61.0,HILLCREST ROAD
40875D04-4E04-4E10-8188-2D2972E82DCB,,,,76,10692,,
