location_code,geographical_district_code,avgofprop_n,:@computed_region_efsh_h5xi,schools,bin,:@computed_region_sbqj_enih,bbl,engroupa,avgofnocrim_n,avgofoth_n
K136,15,0.75,30153.0,1,3010580.0,,3007130020.0,4C,1.74,1.11
K109,22,1.72,12602.0,2,3114526.0,,3050220002.0,7C,5.77,3.02
M206,4,0.63,11092.0,1,1084005.0,,1018160001.0,3C,1.67,0.9
Q501,30,,11420.0,2,4009594.0,,4006390016.0,4C,,
K422,19,,17215.0,2,3413878.0,47.0,3044490001.0,4C,,
K538,32,,13828.0,2,3075413.0,53.0,3032980001.0,5C,,
M143,6,,13091.0,2,1063703.0,22.0,1021550035.0,5C,,
K377,32,,27928.0,2,3076784.0,,3033600001.0,3C,,
K707,15,0.63,24509.0,1,3394175.0,,3006880026.0,3C,1.67,0.9
K149,19,0.63,11108.0,1,3084348.0,,3037740016.0,3C,1.67,0.9
K177,21,1.72,18183.0,1,3175834.0,37.0,3066310001.0,7C,5.77,3.02
R053,31,0.98,3045.0,1,5065016.0,,5051060001.0,5C,2.38,1.71
K552,32,,2044.0,4,3076908.0,,3033650098.0,3C,,
K763,18,0.98,19729.0,2,3104513.0,,3047390001.0,5C,2.38,1.71
K543,17,,13510.0,6,3336215.0,43.0,3051030010.0,3C,,
K020,13,0.98,17212.0,2,3058531.0,55.0,3020910003.0,5C,2.38,1.71
X333,8,0.75,,1,2005348.0,,2026960085.0,4C,1.74,1.11
K029,15,0.98,11592.0,1,3255627.0,,3003110001.0,5C,2.38,1.71
M419,2,2.55,24127.0,2,1013096.0,,1007420007.0,9C,7.25,3.5
M964,4,1.72,22056.0,1,1051497.0,,1016090007.0,7C,5.77,3.02
X052,8,,19134.0,2,2005133.0,,2026860020.0,3C,,
M112,4,0.63,23068.0,1,1084005.0,,1018160001.0,3C,1.67,0.9
K199,21,0.63,6760.0,1,3180761.0,,3067400025.0,3C,1.67,0.9
M407,2,,19497.0,5,1020419.0,,1009220008.0,4C,,
M242,3,1.39,11429.0,2,1057683.0,,1019060011.0,6C,3.64,2.12
K057,16,0.63,24907.0,3,3043822.0,,3016160001.0,3C,1.67,0.9
M286,5,0.75,26655.0,1,1059723.0,,1019840033.0,4C,1.74,1.11
K682,20,0.98,11680.0,2,3396829.0,,3066180001.0,5C,2.38,1.71
M020,1,0.63,2259.0,2,1004325.0,,1003550001.0,3C,1.67,0.9
K205,20,1.39,2680.0,1,3134749.0,,3055710001.0,6C,3.64,2.12
X200,12,,,4,2005366.0,,2026980012.0,3C,,
X090,9,0.75,7758.0,1,2002745.0,,2024560100.0,4C,1.74,1.11
M518,4,,4798.0,4,1051515.0,,1016120050.0,2C,,
M423,6,,795.0,3,1076776.0,,1022330020.0,3C,,
K255,22,0.98,19750.0,1,3184034.0,,3068210123.0,5C,2.38,1.71
M132,6,,13091.0,2,1063947.0,22.0,1021650026.0,3C,,
X088,9,0.98,10934.0,1,2094533.0,27.0,2028300017.0,5C,2.38,1.71
X195,12,0.75,11610.0,1,2088553.0,26.0,2037750025.0,4C,1.74,1.11
K112,20,0.75,23302.0,1,3157760.0,,3061800001.0,4C,1.74,1.11
X162,7,0.75,3087.0,2,2004314.0,,2026160001.0,4C,1.74,1.11
K229,20,1.72,13511.0,1,3167212.0,37.0,3063910024.0,7C,5.77,3.02
K127,20,,13511.0,3,3150481.0,41.0,3059730001.0,3C,,
K214,19,0.63,17215.0,1,3095254.0,47.0,3042430001.0,3C,1.67,0.9
K312,22,0.63,13825.0,1,3236665.0,38.0,3083930001.0,3C,1.67,0.9
M035,2,0.98,14924.0,1,1025241.0,,1010430022.0,5C,2.38,1.71
M183,2,0.75,10090.0,2,1045569.0,11.0,1014610007.0,4C,1.74,1.11
M505,3,,20891.0,2,1055911.0,,1018550009.0,2C,,
K328,19,0.63,17280.0,1,3084283.0,,3037680001.0,3C,1.67,0.9
K233,18,,13827.0,3,3104990.0,40.0,3047530001.0,2C,,
M860,3,,1963.0,2,1055204.0,,1018300019.0,3C,,
M178,6,,13098.0,2,1064128.0,22.0,1021710036.0,3C,,
X695,7,0.75,10933.0,1,,23.0,,4C,1.74,1.11
K142,15,,26770.0,2,3336036.0,,3003690001.0,4C,,
M157,5,,23208.0,5,1054156.0,,1017520022.0,3C,,
