date,citywide,business_integrity_commission,board_of_correction,district_attorney_queens,department_of_correction,department_of_finance,housing_preservation_and,department_of_transportation,department_of_youth_and,office_of_the_comptroller,department_for_the_aging,office_of_special_narcotics,department_of_small_business,department_of_homeless,office_of_the_actuary,district_attorney_kings_county,law_department,department_of_buildings,equal_employment_practices,mayoralty,department_of_design_and,department_of_information
2020-09-21T00:00:00.000,67910,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,$0,0,0,0,0,0
2021-06-28T00:00:00.000,59232201,0,0,0,0,0,0,0,0,0,0,0,0,2668862,0,0,$0,0,0,0,5862586,13334710
2021-01-02T00:00:00.000,5969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,$0,0,0,0,0,0
2020-07-14T00:00:00.000,25221435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,$0,0,0,0,0,0
2020-10-14T00:00:00.000,191458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,$0,0,0,0,0,0
2020-09-17T00:00:00.000,2204273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,$0,0,0,0,1609546,0
2020-03-27T00:00:00.000,13391287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,$0,0,0,0,0,0
2021-04-07T00:00:00.000,1730558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,$0,0,0,0,0,0
2020-08-31T00:00:00.000,7946321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,$0,0,0,0,328689,0
2020-10-26T00:00:00.000,111093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,$0,0,0,0,0,0
2021-05-17T00:00:00.000,2015798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,$0,0,0,0,0,0
2021-02-24T00:00:00.000,3840972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,$0,0,0,0,0,0
2020-03-17T00:00:00.000,1049038,0,0,0,0,0,0,351135,0,0,0,0,0,0,0,0,$0,0,0,0,0,0
2021-05-01T00:00:00.000,2550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,$0,0,0,0,0,0
2021-05-03T00:00:00.000,8656951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,$0,0,0,0,0,0
2021-01-26T00:00:00.000,2155591,0,0,0,0,0,0,0,0,0,0,0,0,1666682,0,37485,$0,0,0,0,0,0
2020-07-10T00:00:00.000,6967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,$0,0,0,788,0,0
2021-02-04T00:00:00.000,2384561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17010,$0,0,0,0,2181581,4950
2020-12-19T00:00:00.000,523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,$0,0,0,0,0,0
2020-07-30T00:00:00.000,168579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,$0,0,0,57994,0,0
2020-05-01T00:00:00.000,515968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,$0,0,0,0,0,176160
2020-04-03T00:00:00.000,14783882,0,0,0,0,0,0,3542,0,0,0,0,0,0,24923,1400,$0,0,0,0,78668,0
2021-04-05T00:00:00.000,37013920,0,0,0,0,0,0,0,0,0,0,0,0,5517325,0,48250,$0,0,0,0,0,31080709
2021-03-25T00:00:00.000,562279,0,0,0,20000,0,0,0,0,0,0,0,0,0,0,0,$0,0,0,0,0,0
2020-04-17T00:00:00.000,503537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72196,$0,350220,0,0,0,0
2020-12-18T00:00:00.000,276250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,$0,0,0,0,0,0
2020-11-13T00:00:00.000,294372,0,0,736,0,0,0,0,0,0,0,0,0,0,0,0,$0,0,0,0,0,0
2020-07-15T00:00:00.000,26216451,0,0,0,0,0,0,0,0,0,8126509,0,0,0,0,0,$0,0,0,92732,0,0
2020-12-03T00:00:00.000,1122843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,$0,0,0,0,499494,0
2020-12-01T00:00:00.000,2420264,0,0,0,0,0,0,0,0,0,0,0,2160000,0,0,0,$0,0,0,0,0,0
2020-05-12T00:00:00.000,3712690,0,0,0,0,0,0,0,0,0,0,0,3083750,0,0,0,$0,0,0,0,0,0
2020-06-30T00:00:00.000,41452,0,0,0,0,0,0,0,1720,0,0,6800,20000,0,0,0,$0,0,0,0,0,0
2020-05-29T00:00:00.000,2204115,0,0,0,0,5890,0,0,0,0,0,0,0,0,0,0,$0,0,0,0,15800,0
2021-01-19T00:00:00.000,322019246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,$0,0,0,0,0,136880
2021-05-04T00:00:00.000,753949,0,0,0,0,0,0,0,0,0,0,0,0,70446,0,0,$0,3595,0,0,0,0
2020-05-31T00:00:00.000,13535780,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,$0,0,0,0,0,0
2020-12-14T00:00:00.000,1142826,0,0,0,0,0,0,0,0,851,0,0,0,0,0,0,$0,0,0,0,0,0
2020-06-24T00:00:00.000,38103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,$0,0,0,0,0,0
2020-11-17T00:00:00.000,42670313,0,0,1145,0,0,0,0,0,0,0,0,2044277,0,0,0,$0,0,0,0,0,0
2021-02-18T00:00:00.000,4057991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27403,$0,0,0,0,0,0
2020-08-03T00:00:00.000,552359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,$0,0,0,0,0,0
2021-05-26T00:00:00.000,8264308,0,0,0,0,0,0,0,0,0,0,0,0,4031920,0,0,$0,145745,0,0,0,0
2021-02-17T00:00:00.000,99939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,$0,0,0,0,0,0
2021-01-07T00:00:00.000,287100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,$0,0,0,0,0,0
2020-06-18T00:00:00.000,677996,0,0,0,0,0,0,0,1429,0,0,0,128483,0,0,0,$0,0,0,0,0,0
2020-11-20T00:00:00.000,962293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,$0,0,0,0,880797,0
2020-12-17T00:00:00.000,2410864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,$0,0,0,0,0,0
2020-12-22T00:00:00.000,5619815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6300,$0,0,0,0,0,0
2020-09-22T00:00:00.000,17500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,$0,0,0,0,0,0
2020-07-17T00:00:00.000,11199643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,$0,0,0,0,0,0
2021-06-09T00:00:00.000,3226749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,$0,0,0,0,0,0
2021-05-06T00:00:00.000,58287140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,$0,0,0,0,0,32490
2020-10-19T00:00:00.000,7526248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1490,$0,0,0,0,0,0
2020-10-15T00:00:00.000,4611517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,$0,0,0,0,0,0
2020-09-02T00:00:00.000,61229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,$0,0,0,0,0,0
2020-12-23T00:00:00.000,110130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,$0,0,0,0,0,0
2021-04-23T00:00:00.000,554194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,$0,0,0,0,0,0
2021-03-04T00:00:00.000,6209894,0,0,0,0,0,1833,0,0,0,0,0,0,0,0,0,$0,969,0,0,0,0
2020-10-28T00:00:00.000,1682814,0,0,0,0,0,0,0,4979,0,0,0,0,0,0,0,$0,0,0,0,2592,0
2020-06-13T00:00:00.000,2100676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,$0,0,0,0,0,0
2020-04-21T00:00:00.000,6291960,0,0,25442,0,0,0,0,0,0,0,0,0,0,0,72226,$0,0,0,0,0,0
2021-05-11T00:00:00.000,12247158,0,0,0,0,0,0,0,0,0,0,0,0,1045857,0,5670,$0,84106,0,0,0,6215353
2021-04-22T00:00:00.000,124038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,$0,0,0,0,0,54146
2021-01-06T00:00:00.000,526645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,$0,0,0,0,0,0
2021-03-15T00:00:00.000,7653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,$0,0,0,0,0,0
2020-04-22T00:00:00.000,12784506,0,0,0,0,0,0,0,0,0,0,0,1668600,0,0,13181,$0,0,0,0,0,614936
2020-05-11T00:00:00.000,7205369,0,0,0,0,0,0,0,0,0,0,0,4410000,0,0,674,$0,0,0,0,0,0
2020-07-24T00:00:00.000,1528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,$0,0,0,0,0,0
2020-04-16T00:00:00.000,9620990,1400,6349,0,0,0,0,0,0,0,0,0,902500,0,0,0,$0,0,0,0,0,5187936
2021-01-13T00:00:00.000,470367,0,0,811,0,0,0,0,0,0,0,0,0,0,0,0,$0,0,0,0,0,0
2021-06-03T00:00:00.000,4959202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,$0,0,0,0,285808,3102070
2020-07-18T00:00:00.000,627056,0,0,0,0,0,0,112717,0,0,0,0,0,0,0,0,$0,0,0,0,0,0
2021-04-21T00:00:00.000,8102891,0,0,0,0,0,0,0,0,0,0,0,0,208238,0,0,$0,0,0,0,0,911712
2020-05-16T00:00:00.000,278623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,$0,0,0,0,0,0
2020-10-06T00:00:00.000,20436162,0,0,0,0,0,0,0,0,0,0,0,87500,0,0,0,$0,0,0,0,0,0
2021-01-25T00:00:00.000,635934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3921,$0,0,0,0,212277,0
2021-01-29T00:00:00.000,6503323,0,0,0,0,0,0,80000,0,0,0,0,21605,3726519,0,0,$0,0,0,0,0,0
2021-03-09T00:00:00.000,28187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,$0,0,0,0,0,0
2020-07-22T00:00:00.000,368167,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,$0,0,0,0,0,0
2021-02-10T00:00:00.000,771354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,$0,0,0,0,0,0
2020-09-11T00:00:00.000,2312289,0,0,0,0,0,0,0,0,0,0,0,2303691,0,0,0,$0,0,0,0,0,0
2021-02-23T00:00:00.000,23624669,0,0,0,341040,0,0,0,0,0,0,0,0,0,0,0,$0,0,0,0,0,0
2020-12-15T00:00:00.000,1692883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,$0,0,0,0,0,0
2020-03-30T00:00:00.000,3793465,0,0,0,82500,0,0,6900,0,0,0,0,0,0,0,0,$0,0,0,0,0,0
2021-04-16T00:00:00.000,6802808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,$0,0,0,0,0,199887
2020-04-12T00:00:00.000,1840,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,$0,0,0,0,0,0
2021-02-19T00:00:00.000,61309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,$0,30000,0,0,0,13500
2021-05-15T00:00:00.000,1357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,$0,0,0,0,0,0
2020-11-04T00:00:00.000,3101848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,$0,0,0,0,589160,0
2020-05-15T00:00:00.000,100482890,0,0,0,0,0,0,0,0,0,0,0,43268,0,0,0,$0,0,0,60000,100000000,10741
