objectid,globalid,physicalid,r_blockfaceid,bike_trafdir,lsubsect,l_high_hn,rw_type,pre_type,truck_route_type,l_zip,created_date,streetwidth,r_zip,twisted_parity_flag
90838,eb3b9c10-b213-4367-b6fd-77a21b470c12,100514,1622611241.0,,3D,,1,,,10301.0,2007-11-29T00:00:00.000Z,18.0,10301.0,N
62379,1417f6ce-431d-4ece-aed2-c521582c679e,68682,2022605715.0,,3A,109,1,,2.0,11213.0,2007-11-29T00:00:00.000Z,38.0,11213.0,N
85692,c269c5f9-156e-4b0e-9819-13e0b1da60ae,94705,1822603801.0,,1D,47,1,AVE,,11223.0,2007-11-29T00:00:00.000Z,50.0,11223.0,N
78352,01282339-99b6-4b68-a477-5ee835719fd2,86561,1822607339.0,,6C,1899,1,,,11223.0,2007-11-29T00:00:00.000Z,28.0,11223.0,N
65735,0146e5ad-8dab-409b-8998-876f15f82c8f,72293,2022609302.0,,1A,241,1,,,11212.0,2007-11-29T00:00:00.000Z,34.0,11212.0,N
50393,c635d45a-a8a8-4f0b-aa4b-26ed0277d736,55346,1722603339.0,,3C,270,1,,,10312.0,2007-11-29T00:00:00.000Z,34.0,10312.0,N
34701,0b1025a7-45a4-4846-89cf-2863b9f32871,38221,,,3A,,1,,,11238.0,2007-11-29T00:00:00.000Z,40.0,11238.0,N
78582,e3792109-b5d4-4c49-aa03-15cfc6d67caf,86803,1422601663.0,,4C,699,1,,,10473.0,2007-11-29T00:00:00.000Z,34.0,10473.0,N
54789,912b5e30-9e33-40a8-a7cc-337223dc603f,60154,1922600603.0,TW,,,1,,,11215.0,2007-11-29T00:00:00.000Z,60.0,11215.0,N
134293,4507d4e2-4222-4349-9a84-dcc2eba0979b,106727,92270685.0,,1E,,10,,,11370.0,2007-11-29T00:00:00.000Z,20.0,11370.0,N
30152,fe7a32c0-efba-45de-b38e-f6b8476eacfe,33250,82263144.0,,1C,264-099,1,,,11004.0,2007-11-29T00:00:00.000Z,40.0,11004.0,N
54519,9646f856-965b-4c96-ba25-ab4384c6061e,59865,1422601643.0,,3D,2799,1,,,10461.0,2007-11-29T00:00:00.000Z,42.0,10465.0,N
83613,a3ab5d34-1d02-42be-b737-e80df06fe255,92498,82262590.0,,3E,149-099,1,,,11435.0,2007-11-29T00:00:00.000Z,30.0,11435.0,N
134125,16c78736-e2ca-4e50-bc65-136b34fbfb13,205823,2022600010.0,,3D,943,1,,,11239.0,2007-11-29T00:00:00.000Z,54.0,11239.0,N
132092,14057679-e259-473a-ac16-627b9b626bd9,200772,,TW,,,6,,,10472.0,2023-08-01T11:26:55.000Z,,10472.0,N
64317,3e1c6938-2587-40c4-9e07-3c014271679a,70803,112264593.0,,6E,228-099,1,,,11364.0,2007-11-29T00:00:00.000Z,40.0,11364.0,N
20830,09fd1478-e9f3-4be4-aead-09079f89132c,23295,1222600984.0,,1A,199,1,,,10065.0,2007-11-29T00:00:00.000Z,30.0,10065.0,N
17094,2a271d1b-52da-41f6-aa38-a983fa27ece1,19151,1322607473.0,TF,4A,2476,1,,2.0,10030.0,2009-06-16T00:00:00.000Z,44.0,10030.0,N
128684,8deafa3d-5ba6-44d5-bdbb-5f0d648a3650,7229,82261445.0,,2D,,2,,,11427.0,2007-11-29T00:00:00.000Z,54.0,11427.0,N
82357,17099ab9-d9b9-4610-8499-4d155db9d88c,91044,82268138.0,,1E,72-099,1,,,11365.0,2007-11-29T00:00:00.000Z,30.0,11365.0,N
1826,b269acb3-031c-4c05-8cb1-4b8f28ef2006,2203,1322607936.0,,3B,2479,1,,2.0,10035.0,2007-11-29T00:00:00.000Z,60.0,10035.0,N
7673,567a9835-806a-474d-acae-ef950f119c24,8692,92269803.0,,2E,65-099,1,,2.0,11374.0,2007-11-29T00:00:00.000Z,52.0,11374.0,N
72554,afc0233b-b7cc-41eb-bf4d-0083b59de1ae,80186,112269088.0,,6D,14-099,1,,,11357.0,2007-11-29T00:00:00.000Z,28.0,11357.0,N
64980,a5840e8e-2926-41dc-8b33-5f7ee8b045eb,71497,2022609420.0,,3C,0,1,,,11208.0,2007-11-29T00:00:00.000Z,34.0,11208.0,N
115844,8075c590-1a0f-47bc-9544-8dd96b5b256b,184077,,,,,1,,,11234.0,2018-04-24T10:24:34.000Z,16.0,11234.0,N
3453,4f667d42-d3a2-47b2-b79c-18d3c556ab90,4148,1222606888.0,FT,1A,0,1,,3.0,10002.0,2007-11-29T00:00:00.000Z,46.0,10002.0,N
50463,e53da82c-8831-4fed-b571-5bb3ab699337,55421,1722600695.0,,4C,546,1,,,10314.0,2007-11-29T00:00:00.000Z,38.0,10314.0,N
39884,14fdd70a-1dad-418b-881a-d91f947ddabe,43980,1922610018.0,,5B,749,1,,2.0,11206.0,2007-11-29T00:00:00.000Z,40.0,11206.0,N
44839,ee9da927-d46a-493d-bce7-4b1f255984f3,49236,1722608273.0,,5E,533,1,,2.0,10312.0,2007-11-29T00:00:00.000Z,26.0,10312.0,N
100109,bbfafd60-3c12-4ed9-a165-d36d7f551584,120750,1722610961.0,,5C,41,1,,,10312.0,2007-11-29T00:00:00.000Z,32.0,10312.0,N
31518,8950f29d-cf65-43ce-84d4-8c64f709d4bf,34686,92262521.0,TF,2D,93-099,1,,,11374.0,2007-11-29T00:00:00.000Z,44.0,11374.0,N
77363,52dd9248-4b97-472f-afac-4610f6d8bb09,85493,1922613862.0,,5B,79,1,,,11206.0,2009-06-16T00:00:00.000Z,30.0,11206.0,N
54810,48cac5fb-8b44-4db7-a5d2-1a16bfc56fd5,60176,1922605741.0,,3D,83,1,,,11217.0,2007-11-29T00:00:00.000Z,30.0,11217.0,N
32661,9f565de5-f4fe-4d71-a0f8-43f68bc7afb0,35960,1422606014.0,TF,2B,863,1,,,10456.0,2007-11-29T00:00:00.000Z,34.0,10456.0,N
134133,39c9f157-ff7f-4f04-b242-9d6d2027d4f4,205801,1422606487.0,,,,1,,,11370.0,2007-11-29T00:00:00.000Z,22.0,11370.0,N
84607,8896ea35-6520-4f99-8a4f-b33aa67fab45,93544,92266545.0,,3D,102-099,1,,,11368.0,2007-11-29T00:00:00.000Z,30.0,11368.0,N
119270,9b689e7c-2d04-48b2-9013-a81ebeb24e09,192354,,,,,6,,,10475.0,2021-06-08T10:22:18.000Z,,10475.0,N
39154,6296b4c6-1b1c-454e-8765-3c4805b0fd83,43185,1922609863.0,,3A,1403,1,,3.0,11216.0,2007-11-29T00:00:00.000Z,32.0,11216.0,N
28691,c02b6d52-53ab-4715-9ca4-1a466bc79192,31709,102267257.0,,1D,30-099,1,,,11369.0,2007-11-29T00:00:00.000Z,30.0,11369.0,N
129102,ec9ade9a-7676-4f3a-b5c6-6cf6f6c694d5,408,1322605457.0,,3B,,2,,,10034.0,2007-11-29T00:00:00.000Z,36.0,10034.0,N
59760,a020f746-dbf2-4b80-a480-6cc988d2b40f,65689,1722601192.0,,7E,44,1,,,10309.0,2007-11-29T00:00:00.000Z,35.0,10309.0,N
75723,4d8ef1a2-e658-4715-b22d-066fbf8bcb09,83667,52262901.0,,2D,90-099,1,,,11421.0,2007-11-29T00:00:00.000Z,28.0,11421.0,N
41845,ae226cd4-129b-4ad3-af6a-0c152ce0d62f,46054,1922605519.0,FT,1A,164,1,,,11222.0,2007-11-29T00:00:00.000Z,34.0,11222.0,N
29971,01c543ff-422d-4afa-95d7-21e4733d2773,33056,82265984.0,,6D,0,1,,,11364.0,2007-11-29T00:00:00.000Z,15.0,11364.0,N
56339,85d51860-b51d-4573-be3d-0e3604a1edc6,61859,1622608159.0,,4E,224,1,,,10314.0,2007-11-29T00:00:00.000Z,24.0,10314.0,N
57558,ec23b7b7-6ca4-4318-89f4-6063f842d4e5,63217,1522603853.0,,,,3,,,10453.0,2007-11-29T00:00:00.000Z,34.0,10453.0,N
94535,bc9ed34d-bef8-4d12-9992-9266f508d58c,104724,1722700519.0,,2D,,1,,,10308.0,2007-11-29T00:00:00.000Z,20.0,10308.0,N
65432,7d2c36db-0552-49f8-913e-d4ff644b7f74,71979,,TF,1C,,1,,,11207.0,2007-11-29T00:00:00.000Z,36.0,11207.0,N
131474,7ccb333e-b176-4400-9b5b-8bbe18aa5fb8,199704,,,,,1,,,11371.0,2023-04-04T16:40:39.000Z,,11371.0,N
133156,0cd6b170-4f44-4a63-b18a-6c88435e0845,202969,,,,,6,,,10452.0,2024-03-13T09:19:29.000Z,,10452.0,N
99751,92ef15ee-86f5-443d-af75-08a026c20c88,117832,1322606990.0,,2B,90,1,,,10027.0,2009-06-16T00:00:00.000Z,40.0,10027.0,N
94367,c1dfd42c-af23-499b-9380-507e3e08f0d7,104542,1622603682.0,,1C,69,1,,,10304.0,2007-11-29T00:00:00.000Z,26.0,10304.0,N
118470,be8d3775-b34d-42d1-bf4f-af50b0df61b6,190946,1922604356.0,,1A,157,1,,,11206.0,2007-11-29T00:00:00.000Z,30.0,11206.0,N
75243,b5c11388-77d9-4042-9dac-d8e4cc62f702,83169,32262640.0,,7C,243-099,1,,,11422.0,2007-11-29T00:00:00.000Z,30.0,11422.0,N
132904,c95bf901-6d8d-4909-be82-c12ed2bda4c2,202167,1322605344.0,,2B,3119,1,,,10463.0,2007-11-29T00:00:00.000Z,30.0,10463.0,N
19885,a0010c68-e77a-4e91-ba79-0e02634d4ab0,22273,112261006.0,,8D,15-099,1,,,11360.0,2007-11-29T00:00:00.000Z,50.0,11360.0,N
112418,4a071aa0-b36d-437b-94bc-ffbba7aeccab,175644,,,,,6,,,10460.0,2016-09-07T12:54:35.000Z,,10460.0,N
55881,8e0f46ab-9f2d-4b04-815a-db4c5c892cdf,61346,1522604858.0,,5E,3499,1,,2.0,10469.0,2007-11-29T00:00:00.000Z,60.0,10475.0,N
82921,cf8948ee-73e3-43c2-acc8-c6a55a310c10,91724,82262933.0,,5E,73-099,1,,,11362.0,2007-11-29T00:00:00.000Z,30.0,11362.0,N
111147,95fb535b-b99c-4c38-8751-28f8f5c68a52,171991,2022603119.0,,3C,1547,1,,,11208.0,2007-11-29T00:00:00.000Z,32.0,11208.0,N
7388,f031e3e4-ff71-4417-ac58-8228f59b887d,8396,32263432.0,,8E,176-099,1,,3.0,11434.0,2007-11-29T00:00:00.000Z,34.0,11434.0,N
17778,bc6e842f-febb-49be-9915-9dcc19ed5a38,19981,,,5D,,1,,,11434.0,2007-11-29T00:00:00.000Z,50.0,11434.0,N
67511,e12719bc-a996-470c-b0d5-4bf2903382f0,74241,2022601697.0,,1E,139,1,,,11208.0,2007-11-29T00:00:00.000Z,30.0,11208.0,N
44717,a2a92b85-1ce4-4ab6-8490-7892b94edc13,49102,1622606878.0,,4D,2598,1,,2.0,10314.0,2007-11-29T00:00:00.000Z,60.0,10314.0,N
128842,6a09873a-721e-489c-aee5-815e4422b46d,49841,1722600423.0,,6D,,2,,3.0,10309.0,2007-11-29T00:00:00.000Z,28.0,10309.0,N
93495,b4fd02a6-941c-4a1d-9f14-331339094466,103541,1822608566.0,,4D,1699,1,,,11204.0,2007-11-29T00:00:00.000Z,28.0,11204.0,N
89350,42f39c3e-860e-4042-9652-fc5cefedde8d,98809,1722605052.0,,2D,63,1,,,10306.0,2007-11-29T00:00:00.000Z,32.0,10306.0,N
107875,a5735d3c-58e8-4134-b69f-655ddc0f8453,164261,,,1D,,1,,,11361.0,2007-11-29T00:00:00.000Z,44.0,11361.0,N
16119,d8f62153-389f-4b6e-a8d6-e07f086d17d0,18017,72266642.0,,5E,118-099,1,,2.0,11412.0,2007-11-29T00:00:00.000Z,47.0,11412.0,N
58271,06980806-f1ef-4a38-9b20-859c6965442a,64016,1722605252.0,,2E,177,1,,,10306.0,2007-11-29T00:00:00.000Z,30.0,10306.0,N
17304,8c47d877-2d8c-448b-890d-e62c417a05aa,19378,1322600165.0,,3B,377,1,,,10027.0,2007-11-29T00:00:00.000Z,30.0,10027.0,N
19368,b7450fc8-d843-473f-976e-84da1985538f,21696,1322601318.0,,2B,20,1,,,10027.0,2007-11-29T00:00:00.000Z,40.0,10027.0,N
72843,68cb4ae9-7780-4a5e-974e-913cf7ea9fc2,80488,82266450.0,,1D,42-099,1,,,11355.0,2009-06-16T00:00:00.000Z,38.0,11355.0,N
14325,611d5ddf-92e6-45aa-9b19-3490c2dc9301,16075,1722602136.0,,3E,3452,1,,2.0,10306.0,2007-11-29T00:00:00.000Z,30.0,10306.0,N
99024,1fe5168e-ae0c-4d98-bcc1-13d2d651f135,109583,1922609328.0,,,0,1,,2.0,,2007-11-29T00:00:00.000Z,36.0,11237.0,N
109994,7466cf2f-1bb0-427e-82d7-aaf262556bc4,169549,1722604012.0,,4C,83,1,,,10314.0,2007-11-29T00:00:00.000Z,48.0,10314.0,N
35560,d61256a4-f18e-4299-b32e-9716fbea5b9c,39185,1822609701.0,,5E,179,1,AVE,,11223.0,2007-11-29T00:00:00.000Z,44.0,11223.0,N
4905,331cb8f4-1565-4c08-aeff-d5e6baa2b64c,5705,82261742.0,,3D,49-099,1,,,11365.0,2007-11-29T00:00:00.000Z,45.0,11365.0,N
82399,530fe73b-ac53-484d-b1ab-4dfc0de47c79,91090,1822606305.0,,3C,99,1,,,11235.0,2007-11-29T00:00:00.000Z,32.0,11235.0,N
88926,f8af2cfd-dec8-4fbe-82eb-928e43047ee0,98351,1722605016.0,,1D,99,1,,,10306.0,2007-11-29T00:00:00.000Z,36.0,10306.0,N
75966,c59d3d97-f8d7-41af-a4cf-11e8c6b7eae6,83933,82269309.0,,3C,,1,,,11365.0,2007-11-29T00:00:00.000Z,30.0,11365.0,N
48254,bcd4288f-58cf-482d-9f02-d39a56f8c7f9,53024,1822606450.0,,2C,3898,1,,,11224.0,2007-11-29T00:00:00.000Z,30.0,11224.0,N
105128,1850c68c-c2db-4bc6-ab14-87b124f4c36f,149221,1422603226.0,,2B,687,1,,,10455.0,2007-11-29T00:00:00.000Z,50.0,10455.0,N
67618,b2e39073-c86a-490b-a8f4-4b561a65c9b2,74361,82267430.0,,3D,156-099,1,,,11367.0,2007-11-29T00:00:00.000Z,50.0,11367.0,N
49740,7be7607c-f30c-42d7-adc4-7e5befb4901c,54653,1522612069.0,,3E,1129,1,,,10466.0,2009-06-16T00:00:00.000Z,50.0,10466.0,N
15394,4cab5c48-6b13-4457-ae01-1596106e3136,17252,62263022.0,,4E,134-099,1,,,11419.0,2007-11-29T00:00:00.000Z,70.0,11419.0,N
37266,c07754e7-d8a7-4093-a64e-2e205339627b,41084,1422602254.0,,2B,,1,,,10460.0,2007-11-29T00:00:00.000Z,30.0,10460.0,N
86297,0f989f67-2ea9-4256-b954-d1867297a85b,95371,1522608509.0,TF,1B,433,1,,,10457.0,2007-11-29T00:00:00.000Z,30.0,10457.0,N
4087,dd54331e-da6c-4588-b5d0-1a0f0b4db6d2,4837,62261787.0,,4E,129-099,1,,,11419.0,2007-11-29T00:00:00.000Z,45.0,11419.0,N
49711,31a05644-8b6d-462f-9aa7-4dd92ec0eb71,54620,1422605896.0,TW,4D,699,1,,2.0,10473.0,2007-11-29T00:00:00.000Z,70.0,10473.0,N
86760,d349258b-b7e3-4404-8eae-4fd89bf49ccc,95903,2022611863.0,,3D,57,1,,,11236.0,2007-11-29T00:00:00.000Z,36.0,11236.0,N
56124,abbd7ec5-f3dc-4acb-bf44-a85ed443a200,61610,1922610858.0,,2D,443,1,,,11218.0,2007-11-29T00:00:00.000Z,30.0,11218.0,N
134204,d41c0053-ac2e-4e05-b72f-81d9cbb6ad80,206011,,,,,9,,,10459.0,2023-06-21T12:01:58.000Z,,10459.0,N
3336,f6b233d4-5a30-4d34-a832-9d81a15d502d,4012,1222605575.0,,4A,499,1,,,10009.0,2007-11-29T00:00:00.000Z,30.0,10009.0,N
117606,e1162966-d5bf-46bd-8f78-2ed53ccd9cec,189669,2022610203.0,,3D,0,1,,,11239.0,2007-11-29T00:00:00.000Z,32.0,11239.0,N
133383,8394bf66-51ce-4765-ab7a-c91c85ddcfdf,203288,12262923.0,,3D,21-013,1,,,11691.0,2007-11-29T00:00:00.000Z,40.0,11691.0,N
114395,c188fc1a-2a70-4474-b900-95e0eb12f878,179838,1822607439.0,,2B,3099,6,,,11224.0,2007-11-29T00:00:00.000Z,30.0,11224.0,N
114225,cf49a386-04e8-4617-adb6-d868f24bdeb5,179418,,FT,,29,1,,,11201.0,2016-06-22T15:06:20.000Z,,11201.0,N
71246,d8d06f84-2660-48a0-9d3b-7b2ea869b83c,78624,102263477.0,,1B,,9,,2.0,10022.0,2007-11-29T00:00:00.000Z,26.0,10022.0,N
14570,2504359f-bc51-4eab-b943-d5342ccbad45,16336,12263118.0,,3D,22-025,1,,,11691.0,2007-11-29T00:00:00.000Z,24.0,11691.0,N
89097,fd28e4fa-4326-414b-ad86-5f6008df68da,98531,1622606341.0,,1C,48,1,,,10305.0,2007-11-29T00:00:00.000Z,22.0,10305.0,N
73943,4d3f7af8-10f9-4756-97c6-d3ced0f5d12d,81739,72265908.0,,7D,179-099,1,,,11434.0,2007-11-29T00:00:00.000Z,30.0,11434.0,N
4392,cc0ee8ce-58ce-42e9-af67-2ac69206ab06,5167,82264024.0,,2E,49-099,1,,,11355.0,2007-11-29T00:00:00.000Z,22.0,11355.0,N
76824,53771528-192b-4cb1-9920-2c33977db432,84908,1822603895.0,,2A,3047,1,,,11235.0,2007-11-29T00:00:00.000Z,22.0,11235.0,N
35888,1f4ec3ae-d51c-41cd-bee6-893ed4d41fc2,39555,1822600958.0,,2A,227,1,,,11235.0,2007-11-29T00:00:00.000Z,30.0,11235.0,N
14374,69c3c45a-e649-47ba-94f3-041c5aaee223,16130,12263688.0,,2D,,1,,,11691.0,2007-11-29T00:00:00.000Z,20.0,11691.0,N
118261,baa2a567-0eca-423d-9f52-c002fe5b9c83,190672,82260588.0,,2C,188-099,1,,,11423.0,2007-11-29T00:00:00.000Z,30.0,11423.0,N
113494,4f7b7394-4873-45f9-afad-3e969ae127df,177900,,,,,6,,,,2016-12-30T10:59:06.000Z,,,N
16969,15571f40-4791-40cb-ad25-2baf40abe43f,18988,42260439.0,,,,1,,,11430.0,2007-11-29T00:00:00.000Z,26.0,11430.0,N
84544,692de705-7a99-4acd-a15e-e59aa74a8c9f,93481,82266058.0,,1E,201-099,1,,,11361.0,2007-11-29T00:00:00.000Z,38.0,11361.0,N
67128,56060b7b-7730-4e22-bc52-371232d066b5,73838,2022609802.0,,4E,669,1,,,11207.0,2007-11-29T00:00:00.000Z,24.0,11207.0,N
91890,0f62fd65-7b24-45b9-aec0-f845b538909b,101724,112267861.0,,8D,216-099,1,,,11360.0,2007-11-29T00:00:00.000Z,35.0,11360.0,N
89688,f12bfbe2-9082-482c-b15f-e4997e96b211,99197,2022612396.0,,2C,71,1,,,11236.0,2007-11-29T00:00:00.000Z,36.0,11236.0,N
109284,d076ede1-f0e4-4a37-899f-ddeb3c2fa4c2,167913,52260919.0,,,,1,,,11385.0,2015-08-21T11:52:21.000Z,22.0,11385.0,N
90671,30bf2b8f-3604-42db-b40b-ac0276b4fec7,100325,1922612348.0,,2B,39,1,,,11216.0,2007-11-29T00:00:00.000Z,32.0,11216.0,N
46685,c177cd33-b8c6-45f4-a605-7461755e2ec4,51280,1922603743.0,,1A,,1,,,11201.0,2007-11-29T00:00:00.000Z,40.0,11201.0,N
102835,573f877d-f75e-45b3-a094-fa9509707175,134995,1322600764.0,TW,,,6,,,10035.0,2011-06-03T19:26:11.000Z,20.0,10035.0,N
19206,7538040d-60a5-458b-ae5e-9e3e5b8a5bdf,21520,102266599.0,,3E,499,1,,,11385.0,2007-11-29T00:00:00.000Z,30.0,11385.0,N
38781,d4e4c397-b8db-42ed-b022-72e80a127601,42777,1922612033.0,,2C,245,1,,,11231.0,2007-11-29T00:00:00.000Z,34.0,11231.0,N
20153,10c9a656-b25d-41a1-a846-622c45e37920,22556,112261895.0,,2E,38-099,1,,,11361.0,2007-11-29T00:00:00.000Z,30.0,11361.0,N
43601,e5c3ad96-2379-4360-85de-79b4c7da1555,47913,2022600065.0,,3C,5898,1,,,11203.0,2007-11-29T00:00:00.000Z,20.0,11203.0,N
115053,1f97ac78-7e07-40a8-bda3-a7d0c6f24ba7,181952,,,1C,,1,,,11369.0,2007-11-29T00:00:00.000Z,44.0,11369.0,N
50510,351c27e9-879a-4966-ad4f-68527339439a,55469,1722603859.0,,4C,0,1,,1.0,10314.0,2007-11-29T00:00:00.000Z,22.0,10314.0,N
115205,bb05a90a-d641-46b4-8e8c-19f27895d4fb,182443,,,,,6,,,10464.0,2017-09-22T14:38:57.000Z,,10464.0,N
67647,6e1be35a-fb8d-4464-9328-e19bcd9a2f88,74395,1522610545.0,,5E,3677,1,,,10466.0,2007-11-29T00:00:00.000Z,36.0,10466.0,N
44411,e7839aed-9db5-4375-9828-573b424a1e29,48781,22260966.0,,7D,3099,1,,,11234.0,2007-11-29T00:00:00.000Z,44.0,11234.0,N
87883,f1523ceb-5469-4fa1-b8a7-d1d6e3e9ef89,97241,72263265.0,,5E,116-021,1,,,11412.0,2007-11-29T00:00:00.000Z,30.0,11412.0,N
43910,f1810972-7839-43fe-b815-e6562b6e8d62,48239,2022611830.0,,5D,5099,1,,2.0,11234.0,2007-11-29T00:00:00.000Z,66.0,11234.0,N
10104,2dba9374-0dfa-412d-899f-21e525747a29,11325,82264551.0,,2E,160-099,1,,,11365.0,2007-11-29T00:00:00.000Z,32.0,11365.0,N
1447,3d7f9a8e-59bb-44aa-aabc-007eb535e258,1746,1222600874.0,,1H,198,1,,,10018.0,2007-11-29T00:00:00.000Z,35.0,10018.0,N
129842,aecc0766-5f5f-49d8-9ce6-8baa512595f9,67216,1622609006.0,,3D,,2,,3.0,10314.0,2009-06-16T00:00:00.000Z,30.0,10314.0,N
127303,abfd5af8-ef84-41a5-89a3-4c3baaf65703,40399,1522604133.0,,,,2,,,10470.0,2007-11-29T00:00:00.000Z,34.0,10470.0,N
63180,dd5af329-fbf7-4b05-bf03-18bc8ba84ce7,69544,2022613492.0,,5C,,1,,2.0,11234.0,2007-11-29T00:00:00.000Z,34.0,11234.0,N
38865,8ea1c08f-51ab-40e6-8f49-42bef3fd3177,42863,1822609234.0,,4E,4699,1,,,11204.0,2007-11-29T00:00:00.000Z,42.0,11204.0,N
129010,44704d73-9c3a-4f84-b26c-65d0075b12e9,147785,1522600363.0,,3D,,2,,,10471.0,2007-11-29T00:00:00.000Z,24.0,10471.0,N
40847,42b0887e-1c15-4cb6-9227-27437810065f,45015,1622603435.0,,1D,116,1,,,10304.0,2007-11-29T00:00:00.000Z,26.0,10304.0,N
43487,f46cd4ec-2add-4e57-848f-29eacf8a5c71,47792,2022600075.0,,7E,4917,1,,2.0,11234.0,2007-11-29T00:00:00.000Z,50.0,11234.0,N
38943,578515f0-f91c-4c6d-802a-ea20fafce01c,42946,1922610519.0,TF,2E,283,1,,,11231.0,2007-11-29T00:00:00.000Z,32.0,11231.0,N
18803,23234b3a-e1a2-447d-ba02-9c226c90d3af,21084,32260450.0,,,,1,,,11430.0,2007-11-29T00:00:00.000Z,28.0,11430.0,N
39181,9ae86287-98bd-4613-8eb5-024ce5d45f11,43215,2022612706.0,,3A,1517,1,,3.0,11213.0,2007-11-29T00:00:00.000Z,30.0,11213.0,N
88594,3c15561f-b404-4082-b0f0-c901f82967e9,97999,1522606757.0,,3A,2345,1,,,10458.0,2007-11-29T00:00:00.000Z,30.0,10458.0,N
134065,9ae52c8e-4b6f-4853-822e-f30701d25448,205258,62260013.0,,,,8,,,11434.0,2015-11-02T12:28:02.000Z,24.0,11434.0,N
49542,643250a5-c4f3-4709-ab04-b53ed12bc49c,54439,1522609324.0,TW,3E,2299,1,,2.0,10469.0,2007-11-29T00:00:00.000Z,60.0,10469.0,N
113709,7e06b859-9956-463f-bc22-cfa94ef6b068,178304,112266514.0,,,,3,,3.0,11360.0,2007-11-29T00:00:00.000Z,36.0,11360.0,N
34269,2b97c4c1-9f4e-4fde-a37b-8f5a48d8408b,37755,1922611667.0,,2C,599,1,,2.0,11215.0,2007-11-29T00:00:00.000Z,54.0,11215.0,N
94656,82b729d7-7eeb-478b-b306-beca937c253f,104847,1722609699.0,,6D,78,1,,,10309.0,2007-11-29T00:00:00.000Z,28.0,10309.0,N
20025,458cbdde-76fe-47fa-9801-96c45a7c2bb2,22420,72266167.0,,4E,112-053,1,,,11412.0,2007-11-29T00:00:00.000Z,30.0,11412.0,N
48953,2af2e61e-2f44-48fc-866d-98c3ac48836c,53780,1622609645.0,,4D,447,1,,2.0,10314.0,2007-11-29T00:00:00.000Z,30.0,10314.0,N
84345,41c7be34-7ea2-40c9-bf34-d8e029de91ae,93276,72263675.0,,3E,215-099,1,,,11429.0,2007-11-29T00:00:00.000Z,36.0,11429.0,N
6562,51c28f80-0b04-40e1-82a1-49e5c5f48852,7497,72263966.0,,4E,112-099,1,,,11429.0,2007-11-29T00:00:00.000Z,30.0,11429.0,N
36089,b4c59194-8180-4ed6-a099-2ca85ca9fd7e,39772,1822607958.0,,6D,319,1,AVE,,11204.0,2007-11-29T00:00:00.000Z,60.0,11204.0,N
65459,2011a5f9-1609-4df8-88b8-6d2e3a8ce520,72006,2022605516.0,,1B,0,1,,,11212.0,2007-11-29T00:00:00.000Z,24.0,11212.0,N
86548,c004a997-716a-4351-8215-b596c6ac5062,95666,22262521.0,,4D,71,1,,,11229.0,2007-11-29T00:00:00.000Z,20.0,11229.0,N
47187,c72424ac-459b-44ab-9268-38c42002f20d,51848,1622601309.0,,4C,639,1,,2.0,10303.0,2007-11-29T00:00:00.000Z,50.0,10303.0,N
78971,08986f84-70a9-4834-ab6d-a64aacd7357e,87218,1622606270.0,,4E,21,1,,,10314.0,2007-11-29T00:00:00.000Z,22.0,10314.0,N
