bottom_total_kjeldhal_nitrogen_mg_l,bottom_sample_depth_ft,current_direction_current_direction,top_sample_salinity_ysi_psu,top_sample_depth_ft,bottom_sample_temperature_c,percentage_o2_saturation_top_sample,top_fluorometer_mg_m3,top_sigma_t_kg_m3,bottom_fecal_coliform_bacteria_cells_100ml,bottom_ortho_phosphorus_mg_l,bottom_ammonium_mg_l,oxidation_reduction_potential_mv_top_sample
,,,19.01,,,,,,,,,
,59.0,SW,,4.0,22.8,53.6,,15.47,,,,46.9
,20.0,NE,,6.0,20.49,80.3,,19.13,,,,53.4
,17.0,E,,5.0,14.59,79.6,,22.5,,,,115.0
,,,11.52,,,,,,,,,
,18.0,E,,4.0,24.91,95.6,,16.46,,,,31.0
,24.0,NW,,5.0,23.7,96.1,,20.41,,,,25.1
,,,24.05,,,,,,,,,
,,,1.28,,,,,,,,,
1.84,21.0,N,,4.0,23.3,24.9,,17.34,"3,040",0.186,0.709,77.8
,46.0,N,,4.0,21.62,56.3,,14.57,,,,47.8
,29.0,E,,4.0,21.0,87.2,22.81,17.62,,,,
,,,20.96,,,,,,,,,
,,,0.99,,,,,,,,,
,,,0.94,,,,,,,,,
,31.0,E,,4.0,19.3,83.5,24.88,17.38,,,,
,41.0,N,,5.0,20.49,87.1,,14.27,,,,63.4
,,,19.74,,,,,,,,,
,,,,,,,,,,,,
,,,19.8,,,,,,,,,
,,,27.75,,,,,,,,,
,,,1.08,,,,,,,,,
,,,,,,,,,,,,
,46.0,N,,4.0,20.35,70.5,,15.46,,,,48.3
,,,3.72,,,,,,,,,
,40.0,N,,6.0,21.35,56.2,,13.39,,,,67.9
,25.0,N,,5.0,21.62,58.0,,13.82,,,,45.2
,,,,,,,,,,,,
,,,0.49,,,,,,,,,
,,,25.6,,,,,,,,,
,,,1.51,,,,,,,,,
,11.0,NW,,4.0,21.63,80.6,,16.12,,,,75.5
0.54,,*,21.3,,,,,,33,0.084,0.31,
,,,24.72,,,,,,,,,
,16.0,S,,5.0,19.74,0.9,,13.46,780,,,-138.0
,,,22.99,,,,,,,,,
,,,7.09,,,,,,,,,
,43.0,S,,4.0,24.56,163.3,,2.2,,,,82.2
,67.0,E,,6.0,21.68,60.1,,15.0,,,,81.7
2.03,25.0,N,,4.0,25.84,39.9,,15.82,148,0.214,0.709,6.52
,20.0,S,,5.0,15.65,70.7,,16.8,,,,62.5
,91.0,E,,5.0,18.75,45.3,,16.91,,,,150.0
,,,23.92,,,,,,,,,
,,,,,,,,,,,,
,,,23.08,,,,,,,,,
,19.0,E,,6.0,20.88,80.9,,17.5,,,,52.0
,,,6.68,,,,,,,,,
,,S,,4.0,,102.1,41.28,17.13,,,,
,,,12.21,,,,,,,,,
,,,0.96,,,,,,,,,
,18.0,S,,5.0,18.96,67.7,,16.7,,,,59.5
,,,27.43,,,,,,,,,
,35.0,WNW,,3.0,20.53,70.0,31.76,16.17,,,,
,,,1.64,,,,,,,,,
,18.0,S,,5.0,18.75,53.5,,16.21,,,,28.7
,,,17.44,,,,,,,,,
,,,24.69,,,,,,,,,
,,,3.91,,,,,,,,,
,,,20.84,,,,,,,,,
,,,1,,,,,,,,,
,,,21.96,,,,,,,,,
3.45,32.0,SE,,5.0,21.04,54.2,,17.41,12,0.178,1.15,68.1
,,,,,,,,,,,,
,36.0,E,,5.0,20.32,77.8,,10.9,,,,63.4
,95.0,SW,,4.0,19.96,84.9,,16.96,,,,193.0
,,,21.35,,,,,,,,,
,20.0,SSW,,6.0,21.55,65.6,,16.1,,,,81.2
,36.0,NW,,5.0,21.77,38.9,,14.87,,,,35.5
,30.0,N,,4.0,21.31,102.4,50.42,16.44,,,,
,21.0,N,,4.0,23.45,141.7,70.65,14.53,,,,
,34.0,S,,4.0,13.5,101.0,,18.6,,,,52.3
,,,22.91,,,,,,,,,
,16.0,NW,,5.0,20.25,45.3,,12.1,680,,,49.7
,,,,,,,,,,,,
,,,1.78,,,,,,,,,
,,,0.49,,,,,,,,,
,,,10.75,,,,,,,,,
,22.0,E,,5.0,14.15,80.6,,20.71,,,,51.2
,,,24.6,,,,,,,,,
,15.0,W,,6.0,21.32,117.8,,14.61,2,,,68.4
,17.0,N,,4.0,22.21,67.8,20.8,17.68,,,,
,13.0,E,,6.0,20.62,65.4,,17.84,,,,51.2
,12.0,S,,4.0,22.44,70.8,,15.93,,,,72.4
,,,22.98,,,,,,,,,
,,,2.09,,,,,,,,,
,,,21.58,,,,,,,,,
,,,3.71,,,,,,,,,
,34.0,E,,5.0,20.45,70.0,,18.15,,,,41.9
,,,1.21,,,,,,,,,
,,,0.48,,,,,,,,,
,48.0,SE,,3.0,20.55,61.9,,16.4,,,,71.3
,17.0,S,,4.0,19.39,73.6,,13.11,12,,,33.4
,22.0,NW,,4.0,25.57,40.4,,16.07,,,,49.9
,28.0,NW,,4.0,21.27,107.9,,18.21,,,,75.4
,59.0,NE,,5.0,22.35,81.1,,1.74,,,,47.7
,,,23.48,,,,,,,,,
,16.0,SW,,5.0,21.65,98.6,,17.74,,,,60.3
,71.0,S,,5.0,20.6,68.5,,15.84,,,,19.2
,,,0.54,,,,,,,,,
,,,20.5,,,,,,,,,
,38.0,SW,,6.0,21.69,78.1,,8.17,,,,51.3
,,,1.23,,,,,,,,,
,,,1.34,,,,,,,,,
,33.0,N,,5.0,22.63,138.4,46.57,17.07,,,,174.0
,87.0,SW,,4.0,20.97,82.5,,17.12,,,,171.0
,53.0,W,,5.0,21.41,57.1,,16.59,,,,87.8
,,,,,,,,,,,,
,17.0,E,,3.0,23.56,141.6,70.34,16.07,,,,
