ela_l3_l4_1,grade_11,ela_l3_l4,ell_russian_1,math_level_2_1,ela_level_3,math_level_1,female_1,black,category,school_name,ell_urdu,dbn,other,math_level_2,ell_arabic
s,23,s,,s,s,s,50.0%,25,Enrolled over the Counter,High School for Environmental Studies,,02M400,s,s,
s,s,s,s,s,s,11,39.0%,s,English Language Learners,Pelham Lab High School,s,08X320,s,s,10
s,48,s,,42.1%,19,16,56.5%,43,Receive free or reduced price lunch,Humanities Preparatory Academy,,02M605,s,16,
s,11,s,s,s,s,8,31.8%,s,English Language Learners,Bronx River High School,s,08X349,s,s,6
s,96,s,,35.4%,s,42,70.9%,153,Receive free or reduced price lunch,"H.E.R.O. High (Health, Education, and Research Occ",,07X259,6,28,
66.1%,64,37,,18.2%,17,11,39.6%,32,Receive free or reduced price lunch,"New Explorations into Science, Technology and Math",,01M539,7,6,
s,s,s,,s,s,s,s,s,Students in temporary housing,"High School for Mathematics, Science and Engineeri",,05M692,s,s,
s,s,s,,s,s,s,30.2%,9,Enrolled over the Counter,Longwood Preparatory Academy,,08X530,s,s,
s,68,s,,47.8%,33,26,67.0%,102,Receive free or reduced price lunch,Richard R. Green High School of Teaching,,02M580,15,33,
,s,,,,,,s,s,Enrolled over the Counter,Unity Center for Urban Technologies,,02M500,s,,
s,s,s,,s,s,s,53.6%,8,Enrolled over the Counter,Antonia Pantoja Preparatory Academy: A College Boa,,08X376,s,s,
s,s,s,s,s,s,6,44.0%,9,English Language Learners,Mott Hall High School,s,05M304,s,s,9
29.5%,60,13,,22.5%,7,30,46.5%,91,Receive free or reduced price lunch,Mott Hall High School,,05M304,s,9,
s,s,s,,s,s,6,72.7%,16,Students in temporary housing,Gramercy Arts High School,,02M374,s,s,
s,s,s,,s,s,s,55.6%,s,Enrolled over the Counter,Esperanza Preparatory Academy,,04M372,s,s,
s,6,s,,s,s,8,68.0%,20,Students in temporary housing,Millennium Art Academy,,08X312,s,s,
s,18,s,,36.8%,s,8,38.4%,s,Students with Disabilities,Baruch College Campus High School,,02M411,s,7,
23.3%,85,21,,27.0%,15,59,45.2%,94,Receive free or reduced price lunch,Pelham Lab High School,,08X320,12,24,
,s,,,,,,42.9%,s,Enrolled over the Counter,Bronx Center for Science and Mathematics,,09X260,s,,
,,,,,,,s,s,Enrolled over the Counter,Academy for Software Engineering,,02M546,s,,
s,88,s,,43.0%,36,47,51.2%,146,All Students,Life Sciences Secondary School,,02M655,12,43,
s,9,s,,s,s,s,43.4%,s,Students in temporary housing,Stuyvesant High School,,02M475,s,s,
s,18,s,,s,s,25,26.4%,16,Students with Disabilities,High School for Law and Public Service,,06M467,s,s,
s,37,s,,28.3%,s,33,39.4%,51,Receive free or reduced price lunch,Longwood Preparatory Academy,,08X530,s,13,
s,16,s,,s,s,s,s,19,Students in temporary housing,Women's Academy of Excellence,,08X282,s,s,
s,8,s,,s,s,s,49.5%,23,Enrolled over the Counter,International Community High School,,07X334,s,s,
s,91,s,,43.5%,29,48,55.1%,69,All Students,Bronx Studio School for Writers and Artists,,08X269,s,40,
,s,,s,,,,59.3%,s,English Language Learners,Harlem Renaissance High School,s,05M285,s,,s
93.5%,69,58,,s,21,s,57.6%,40,Receive free or reduced price lunch,Manhattan / Hunter Science High School,,03M541,8,s,
s,37,s,,45.5%,18,s,72.5%,49,Receive free or reduced price lunch,Professional Performing Arts High School,,02M408,8,15,
,s,,,,,,s,s,Students in temporary housing,Urban Academy Laboratory High School,,02M565,s,,
s,72,s,,35.2%,43,23,s,75,All Students,Young Women's Leadership School,,04M610,9,25,
s,55,s,,s,s,s,40.3%,37,Enrolled over the Counter,Lower East Side Preparatory High School,,01M515,6,s,
s,59,s,,39.8%,31,52,78.1%,185,All Students,Urban Assembly School for the Performing Arts,,05M369,13,39,
s,s,s,,s,s,s,s,s,Enrolled over the Counter,Food and Finance High School,,02M288,s,s,
,s,,,,,,50.0%,s,Enrolled over the Counter,Professional Performing Arts High School,,02M408,s,,
s,s,s,,s,s,s,44.7%,12,Enrolled over the Counter,Schuylerville Preparatory High School,,08X348,s,s,
84.7%,83,83,,47.6%,42,9,69.5%,19,All Students,M.S. 260 Clinton School Writers & Artists,,02M260,17,30,
s,65,s,,57.8%,21,s,48.3%,58,Receive free or reduced price lunch,East Side Community School,,01M450,s,26,
s,19,s,,s,s,9,67.1%,29,Students in temporary housing,"H.E.R.O. High (Health, Education, and Research Occ",,07X259,s,s,
90.6%,152,115,,s,41,s,63.1%,80,All Students,Bard High School Early College,,01M696,11,s,
s,s,s,s,s,s,s,46.2%,s,English Language Learners,Pace High School,s,02M298,s,s,s
s,s,s,s,s,s,s,s,s,English Language Learners,47 The American Sign Language and English Secondar,s,02M047,s,s,s
s,100,s,,41.4%,s,31,54.3%,116,All Students,Landmark High School,,02M419,6,24,
s,7,s,,s,s,s,61.8%,9,Students in temporary housing,Union Square Academy for Health Sciences,,02M533,s,s,
s,,s,s,s,s,s,s,s,English Language Learners,Talent Unlimited High School,s,02M519,s,s,s
s,s,s,s,s,s,10,34.9%,s,English Language Learners,Longwood Preparatory Academy,s,08X530,s,s,s
s,40,s,s,25.8%,s,23,37.3%,7,English Language Learners,High School for Law and Public Service,s,06M467,s,8,6
s,56,s,,23.4%,s,34,44.7%,88,All Students,Mott Haven Village Preparatory High School,,07X473,6,11,
s,s,s,,s,s,s,s,s,Enrolled over the Counter,Urban Assembly Maker Academy,,02M282,s,s,
s,9,s,s,s,s,s,23.1%,s,English Language Learners,The Laboratory School of Finance and Technology: X,s,07X223,s,s,s
s,28,s,,52.2%,19,s,39.1%,15,Students with Disabilities,Beacon High School,,03M479,7,12,
s,s,s,,,s,,s,6,Enrolled over the Counter,Wadleigh Secondary School for the Performing & Vis,,03M415,s,,
s,s,s,,s,s,s,40.7%,17,Students in temporary housing,High School of Economics and Finance,,02M489,s,s,
s,14,s,,s,s,12,46.3%,18,Students with Disabilities,Esperanza Preparatory Academy,,04M372,s,s,
,s,,s,,,,s,s,English Language Learners,Bronx Arena High School,s,08X537,s,,s
s,,s,,s,s,s,s,s,Enrolled over the Counter,City College Academy of the Arts,,06M293,s,s,
s,101,s,s,21.7%,s,44,53.4%,s,English Language Learners,Gregorio Luperon High School for Science and Mathe,s,06M552,s,13,s
s,9,s,,s,s,s,37.1%,6,Students in temporary housing,The Laboratory School of Finance and Technology: X,,07X223,s,s,
s,22,s,,s,s,15,14.5%,23,Students with Disabilities,Academy for Software Engineering,,02M546,s,s,
35.7%,214,129,,38.8%,105,139,51.1%,308,Receive free or reduced price lunch,A. Philip Randolph Campus High School,,06M540,29,128,
s,20,s,,s,s,9,33.8%,17,Students with Disabilities,"Heritage School, The",,04M680,s,s,
100.0%,30,12,,s,6,s,61.7%,s,Receive free or reduced price lunch,Eleanor Roosevelt High School,,02M416,s,s,
,s,,,,,,s,s,Enrolled over the Counter,University Neighborhood High School,,01M448,s,,
s,51,s,,22.0%,14,29,48.7%,37,Receive free or reduced price lunch,Antonia Pantoja Preparatory Academy: A College Boa,,08X376,s,9,
s,27,s,,s,s,15,22.3%,31,Students with Disabilities,"Archimedes Academy for Math, Science and Technolog",,08X367,s,s,
,,,,,,,s,s,Enrolled over the Counter,Spring Creek Community School,,19K422,s,,
s,s,s,,s,s,6,39.5%,9,Students with Disabilities,Humanities Preparatory Academy,,02M605,s,s,
s,24,s,,25.9%,s,20,61.9%,27,Students with Disabilities,Lower Manhattan Arts Academy,,02M308,s,7,
s,13,s,,s,s,15,61.5%,22,Students with Disabilities,Richard R. Green High School of Teaching,,02M580,s,s,
s,81,s,,26.1%,s,58,59.7%,157,All Students,New Design High School,,02M543,10,24,
s,s,s,s,37.5%,s,9,14.6%,s,English Language Learners,High School of Economics and Finance,s,02M489,s,6,s
,118,,,,,,54.5%,112,Enrolled over the Counter,High School M560 - City As School,,02M560,13,,
s,6,s,,s,s,s,50.0%,9,Enrolled over the Counter,"Urban Assembly Academy of Government and Law, The",,02M305,s,s,
s,10,s,,s,s,s,77.8%,s,Students in temporary housing,Millennium High School,,02M418,s,s,
,s,,s,,,,s,s,English Language Learners,M.S. 260 Clinton School Writers & Artists,s,02M260,s,,s
s,s,s,,s,s,s,s,s,Students in temporary housing,47 The American Sign Language and English Secondar,,02M047,s,s,
s,36,s,,33.3%,s,16,41.0%,34,Students with Disabilities,Harvest Collegiate High School,,02M534,7,8,
s,s,s,,s,s,s,s,11,Enrolled over the Counter,Manhattan Early College School for Advertising,,02M280,s,s,
s,25,s,,s,s,9,34.4%,45,All Students,Academy for Social Action,,05M367,s,s,
s,s,s,,s,s,s,48.9%,19,Enrolled over the Counter,The Urban Assembly School for Green Careers,,03M402,s,s,
s,15,s,,37.0%,s,17,21.4%,19,Students with Disabilities,Chelsea Career and Technical Education High School,,02M615,s,10,
,s,,,,,,s,6,Enrolled over the Counter,Lower Manhattan Arts Academy,,02M308,s,,
38.2%,150,34,,40.5%,26,32,56.2%,144,All Students,Leadership and Public Service High School,,02M425,8,30,
s,23,s,,36.8%,s,11,28.4%,25,Students with Disabilities,Quest to Learn,,02M422,s,7,
,52,,,,,,39.6%,44,Students with Disabilities,Edward A. Reynolds West Side High School,,03M505,s,,
96.0%,109,121,,s,43,s,34.4%,48,All Students,"High School for Mathematics, Science and Engineeri",,05M692,57,s,
,,,,,,,53.1%,17,Enrolled over the Counter,Emma Lazarus High School,,02M394,s,,
35.9%,87,33,,42.7%,24,36,41.5%,57,All Students,Inwood Early College for Health and Information Te,,06M211,6,35,
s,,s,s,s,s,s,s,s,English Language Learners,Wadleigh Secondary School for the Performing & Vis,s,03M415,s,s,s
s,97,s,,29.6%,s,45,41.7%,87,All Students,Bronx River High School,,08X349,11,21,
s,8,s,,s,s,s,35.5%,s,Students in temporary housing,Park East High School,,04M495,s,s,
,,,,,,,s,s,Enrolled over the Counter,Fiorello H. LaGuardia High School of Music & Art a,,03M485,s,,
s,s,s,,s,s,s,62.8%,11,Enrolled over the Counter,Millennium Art Academy,,08X312,s,s,
s,77,s,,17.9%,s,52,50.3%,90,All Students,Community School for Social Justice,,07X427,s,12,
s,,s,,s,s,11,s,29,Students with Disabilities,Eagle Academy for Young Men of Harlem,,05M148,s,s,
s,s,s,,s,s,s,41.7%,s,Enrolled over the Counter,Manhattan Bridges High School,,02M542,s,s,
57.8%,288,177,,33.3%,114,76,70.0%,192,Receive free or reduced price lunch,High School for Health Professions and Human Servi,,02M420,19,82,
s,57,s,,s,s,14,46.1%,9,Receive free or reduced price lunch,MANHATTAN ACADEMY FOR ARTS & LANGUAGE,,02M427,s,s,
s,35,s,,31.3%,10,18,45.6%,73,All Students,Holcombe L. Rucker School of Community Research,,08X332,s,10,
,6,,,,,,30.4%,s,Enrolled over the Counter,Felisa Rincon de Gautier Institute for Law and Pub,,08X519,s,,
s,86,s,,32.9%,s,43,35.0%,85,Receive free or reduced price lunch,"Archimedes Academy for Math, Science and Technolog",,08X367,6,25,
s,s,s,s,s,s,s,s,s,English Language Learners,Central Park East High School,s,04M555,s,s,s
s,13,s,,40.9%,s,9,41.1%,38,Students in temporary housing,High School of Arts and Technology,,03M494,s,9,
s,10,s,,s,s,16,43.3%,24,Students with Disabilities,"Urban Assembly Academy of Government and Law, The",,02M305,s,s,
s,7,s,s,s,s,9,31.0%,s,English Language Learners,Bronx Compass High School,s,08X561,s,s,s
s,s,s,,s,s,s,44.4%,s,Enrolled over the Counter,Inwood Early College for Health and Information Te,,06M211,s,s,
s,8,s,,s,s,6,37.2%,17,Students in temporary housing,Business Of Sports School,,02M393,s,s,
s,45,s,,20.3%,s,50,82.6%,92,Students with Disabilities,The High School of Fashion Industries,,02M600,s,13,
95.7%,56,45,,s,15,s,38.0%,26,Receive free or reduced price lunch,"High School for Mathematics, Science and Engineeri",,05M692,s,s,
s,93,s,,50.0%,27,s,47.0%,74,All Students,East Side Community School,,01M450,12,34,
s,90,s,,45.8%,s,53,41.8%,143,All Students,Business Of Sports School,,02M393,6,49,
s,59,s,,21.2%,s,40,58.0%,91,All Students,New Explorers High School,,07X547,s,11,
,72,,,,,,52.9%,82,Receive free or reduced price lunch,"James Baldwin School, The: A School for Expedition",,02M313,s,,
s,,s,s,s,s,s,s,s,English Language Learners,Hostos-Lincoln Academy of Science,s,07X500,s,s,s
s,10,s,,s,s,10,26.1%,17,Students in temporary housing,Bronx Compass High School,,08X561,s,s,
s,21,s,,s,s,20,6.4%,47,Students with Disabilities,Bronx Design and Construction Academy,,07X522,s,s,
