borough_block_lot,bbl,nta,longitude,of_res_units,of_floors,owner_telephone
1006110045,1006110045.0,West Village,-74.001321,18,6,212-868-4477
1008310030,1008310030.0,Midtown-Midtown South,-73.987196,0,10,212-686-2770
1011440056,1011440056.0,Lincoln Square,-73.979942,148,14,XXX
1008010011,1008010011.0,Hudson Yards-Chelsea-Flatiron-Union Square,-73.993302,6,12,718 302-3230
1007960067,1007960067.0,Hudson Yards-Chelsea-Flatiron-Union Square,-73.995182,61,6,914 517-8818
1008330018,1008330018.0,Midtown-Midtown South,-73.987253,0,16,212-947-3050
1008220015,1008220015.0,Hudson Yards-Chelsea-Flatiron-Union Square,-73.992021,0,12,212 829-8550
1001490033,1001490033.0,SoHo-TriBeCa-Civic Center-Little Italy,-74.006172,0,18,212 233-5688
1008710039,1008710039.0,Gramercy,-73.987714,248,16,
1007870067,1007870067.0,Midtown-Midtown South,-73.990154,0,14,212-594-1414
1008510035,1008510035.0,Hudson Yards-Chelsea-Flatiron-Union Square,-73.986569,0,14,212-254-5674
1010487504,1010487504.0,Clinton,-73.983614,170,7,212-
1006340016,1006340016.0,West Village,-74.007184,61,6,212-315-1717
1010240131,1010240131.0,Midtown-Midtown South,-73.983109,0,9,212-997-5540
1009210017,1009210017.0,Gramercy,-73.983828,16,6,718 858-8426
1007870059,1007870059.0,Midtown-Midtown South,-73.989829,0,17,212-400-6060
1011250009,1011250009.0,Lincoln Square,-73.977863,92,16,212 541-5522
1007920008,1007920008.0,Hudson Yards-Chelsea-Flatiron-Union Square,-73.997308,76,7,212 355-4900
1007690001,1007690001.0,Hudson Yards-Chelsea-Flatiron-Union Square,-73.99934,20,5,212-243-6722
1011960035,1011960035.0,Upper West Side,-73.971123,22,6,212 268-0494
100894750100.00%,1008947501.0,Murray Hill-Kips Bay,-73.978746,106,14,
1010350047,1010350047.0,Clinton,-73.989431,130,12,212-265-8189
1011290045,1011290045.0,Upper West Side,-73.974497,31,15,212 813-3061
1008040011,1008040011.0,Midtown-Midtown South,-73.991829,0,12,212 929-1285
1007960060,1007960060.0,Hudson Yards-Chelsea-Flatiron-Union Square,-73.994901,0,12,516 763-7300
1006220027,1006220027.0,West Village,-74.005546,20,5,212 777 7700
1008010014,1008010014.0,Hudson Yards-Chelsea-Flatiron-Union Square,-73.993223,0,12,212-716-3711
1007960007,1007960007.0,Hudson Yards-Chelsea-Flatiron-Union Square,-73.996243,60,6,212-206-9939
1008120001,1008127501.0,Midtown-Midtown South,-73.988595,0,15,212-971-4000
1010410050,1010410050.0,Clinton,-73.987632,145,16,718-585-5200
1008920001,1008920001.0,Murray Hill-Kips Bay,-73.980247,113,16,212-977-5000
1004510018,1004510018.0,East Village,-73.985755,22,6,212 736
1005640034,1005640034.0,West Village,-73.991077,0,11,XXX
1010190055,1010190055.0,Midtown-Midtown South,-73.985655,0,16,212 246-8800
1007310054,1007310054.0,Hudson Yards-Chelsea-Flatiron-Union Square,-73.997593,0,6,
2028070070,2028070070.0,Mount Hope,-73.905487,67,6,718-258-0373
1010090046,1010090046.0,Midtown-Midtown South,-73.978409,10,14,212-586-7895
1005370001,1005370001.0,West Village,-73.999271,82,7,718 343-1336
1010257501,1010257501.0,Midtown-Midtown South,-73.981597,129,13,212-247-2603
1008507501,1008507501.0,Hudson Yards-Chelsea-Flatiron-Union Square,-73.989059,0,11,
1008280064,1008280064.0,Hudson Yards-Chelsea-Flatiron-Union Square,-73.989491,0,12,
1008710060,1008710060.0,Gramercy,-73.987944,1,12,718-853-0313
1004690040,1004690040.0,East Village,-73.986635,24,6,212-682-7373
1007620025,1007620025.0,Clinton,-73.992175,0,20,212 481-1122
1010640025,1010640025.0,Clinton,-73.987708,72,4,718-849-7600
1008400019,1008400019.0,Midtown-Midtown South,-73.984076,0,12,212 971-4000
1004680027,1004680027.0,East Village,-73.986776,84,6,212-406-0030
1008940026,1008940026.0,Murray Hill-Kips Bay,-73.977811,0,5,212 689 7215
1007600021,1007600021.0,Hudson Yards-Chelsea-Flatiron-Union Square,-73.993471,0,12,212-695-7239
1008680072,1008680072.0,Murray Hill-Kips Bay,-73.982372,0,11,212-889 7460
1011200023,1011200023.0,Lincoln Square,-73.978702,119,17,212 807-6969
1005920066,1005920066.0,West Village,-74.000278,76,16,
1008150039,1008150039.0,Midtown-Midtown South,-73.985696,0,25,212-679-5500
1008270064,1008270064.0,Hudson Yards-Chelsea-Flatiron-Union Square,-73.989762,0,12,212-645-7575
2025120015,2025120015.0,Highbridge,-73.928145,58,6,212 588-4180
1006120033,1006120033.0,West Village,-74.002288,37,6,718 225-3033
1007870084,1007870084.0,Midtown-Midtown South,-73.990641,0,20,212 265 -2800
1011450001,1011450001.0,Lincoln Square,-73.980217,147,15,212 682-7373
1011520029,1011520029.0,Lincoln Square,-73.987328,0,5,718 610 0303
1.007860013E+9,1007860013.0,Midtown-Midtown South,-73.991204,0,14,212-983-2990
1010120032,1010120032.0,Midtown-Midtown South,-73.987717,0,9,212-302-0318
1008480061,1008480061.0,Hudson Yards-Chelsea-Flatiron-Union Square,-73.989773,0,10,212-684-7573
1007920024,1007920024.0,Hudson Yards-Chelsea-Flatiron-Union Square,-73.996579,41,6,718 886-3737
1021570081,1021570081.0,Washington Heights North,-73.93034,30,5,0
1009050040,1009050040.0,Murray Hill-Kips Bay,-73.981336,30,6,
1009070046,1009070046.0,Murray Hill-Kips Bay,-73.980481,20,5,908-273-7726
1005110016,1005110016.0,SoHo-TriBeCa-Civic Center-Little Italy,-73.99614,0,6,212-966-5097
1005800001,1005807501.0,SoHo-TriBeCa-Civic Center-Little Italy,-74.007382,0,8,212-966-4800
1011440001,1011440001.0,Lincoln Square,-73.980889,59,12,718 664-6611
1.008230037E+9,1008237506.0,Hudson Yards-Chelsea-Flatiron-Union Square,-73.990459,0,11,212 400-6060
1000880018,1000880018.0,SoHo-TriBeCa-Civic Center-Little Italy,-74.008217,0,44,212 349-2154
1010180061,1010180061.0,Midtown-Midtown South,-73.987673,0,3,212 557-6700
1008610066,1008610066.0,Midtown-Midtown South,-73.98455,0,12,212 563-1500
1010540056,1010540056.0,Clinton,-73.99308,60,5,201-836-5746
1005630001,1005630001.0,West Village,-73.992942,0,11,212-912-8043
1007870040,1007870040.0,Midtown-Midtown South,-73.989186,0,17,212 372-2272
1007880056,1007887501.0,Midtown-Midtown South,-73.989049,0,12,212 -827-0764
1002270063,1002270063.0,SoHo-TriBeCa-Civic Center-Little Italy,-74.005963,0,0,
1008220058,1008220058.0,Hudson Yards-Chelsea-Flatiron-Union Square,-73.99166,0,12,866-390-7246
1001710001,1001717503.0,SoHo-TriBeCa-Civic Center-Little Italy,-74.003943,0,12,
1007290163,1007290163.0,Hudson Yards-Chelsea-Flatiron-Union Square,-73.997704,0,13,212-244-6363
1007870040,1007870040.0,Midtown-Midtown South,-73.989186,0,17,212-354-7854
1004830017,1004830017.0,SoHo-TriBeCa-Civic Center-Little Italy,-73.999033,0,11,212-752-3910
1008150014,1008150014.0,Midtown-Midtown South,-73.987046,0,23,212-944-4747
1008020052,1008020052.0,Midtown-Midtown South,-73.991685,18,12,212-699-8908
1008590048,1008590048.0,Midtown-Midtown South,-73.983251,0,16,
1.010127501E+9,1010127501.0,Midtown-Midtown South,-73.989605,0,52,XXX
1009080047,1009080047.0,Murray Hill-Kips Bay,-73.980495,70,6,212 683 3200
1009150046,1009150046.0,Murray Hill-Kips Bay,-73.976517,59,6,212-233-1700
1008270028,1008270028.0,Hudson Yards-Chelsea-Flatiron-Union Square,-73.989123,0,12,212-255-3346
1005500022,1005500022.0,West Village,-73.996587,198,27,212 210-6617
1006190026,1006190026.0,West Village,-74.004817,35,6,212 624-430
1007610037,1007610037.0,Hudson Yards-Chelsea-Flatiron-Union Square,-73.992146,0,23,718-387-0500
1007900028,1007900028.0,Hudson Yards-Chelsea-Flatiron-Union Square,-73.996907,56,6,212-582-4000
1010260032,1010260032.0,Midtown-Midtown South,-73.981192,0,12,212 397-4213
1006090053,1006090053.0,West Village,-73.998088,58,6,212-557-6700
100831006400.00%,1008310068.0,Midtown-Midtown South,-73.988498,0,8,212 683-4444
1004840031,1004840031.0,SoHo-TriBeCa-Civic Center-Little Italy,-74.000303,4,5,212 541-4477
1007977507,1007977507.0,Hudson Yards-Chelsea-Flatiron-Union Square,-73.994533,51,12,0
1010290014,1010290014.0,Midtown-Midtown South,-73.981318,0,12,212-486-8500
1005860020,1005860020.0,West Village,-74.002955,0,6,718-372-4210
1008050039,1008050039.0,Midtown-Midtown South,-73.990772,0,12,212-760-1766
1009990009,1009990009.0,Midtown-Midtown South,-73.983667,0,14,212 997-5540
1010207501,1010207501.0,Midtown-Midtown South,-73.986655,0,14,212 581 7000
1006250013,1006250013.0,West Village,-74.005658,3,4,
1009190034,1009190034.0,Murray Hill-Kips Bay,-73.974419,165,13,212 754-4001
1007530048,1007537502.0,Hudson Yards-Chelsea-Flatiron-Union Square,-73.995969,61,11,718 855-6110
1008230073,1008230073.0,Hudson Yards-Chelsea-Flatiron-Union Square,-73.991823,22,12,212 716-3803
1007870025,1007870025.0,Midtown-Midtown South,-73.99015,0,16,212-400-6060
1006080060,1006080060.0,West Village,-73.99912,105,6,212-243-6722
1022020033,1022020033.0,Marble Hill-Inwood,-73.918606,72,6,212 594 8870
1008930002,1008930002.0,Murray Hill-Kips Bay,-73.97976,32,16,212 753-2329
1006240031,1006240031.0,West Village,-74.005153,42,6,
1010550040,1010550040.0,Clinton,-73.991337,16,5,212-668-5252
1011170016,1011170016.0,Lincoln Square,-73.98049,45,6,
1005500022,1005500022.0,West Village,-73.996587,198,27,212 210-6666
1008280009,1008280009.0,Hudson Yards-Chelsea-Flatiron-Union Square,-73.989902,2,12,212-213-2112
1008620013,1008620013.0,Midtown-Midtown South,-73.984539,0,12,212-586-8800
1007750060,1007750060.0,Hudson Yards-Chelsea-Flatiron-Union Square,-73.995424,0,12,212 319-5000
1008380024,1008380024.0,Midtown-Midtown South,-73.985386,0,13,212 594-1414
1011620141,1011620141.0,Lincoln Square,-73.982986,37,10,212-865-5858
1005400030,1005400030.0,West Village,-74.000065,1,6,212 243-6200
1008207501,1008207501.0,Hudson Yards-Chelsea-Flatiron-Union Square,-73.991448,21,12,212-807-6969
1007800013,1007800013.0,Midtown-Midtown South,-73.993814,2,16,212 226-1520
1008577501,1008577501.0,Hudson Yards-Chelsea-Flatiron-Union Square,-73.98581,31,14,
1006110065,1006110065.0,West Village,-74.000231,151,15,212-560-6400
1005730039,1005730039.0,West Village,-73.995663,144,15,212 223-0550 X202
1009930007,1009930007.0,Midtown-Midtown South,-73.987086,0,12,212 673-4997
1005770041,1005770041.0,West Village,-73.99384,0,10,212 355-4900
1008690064,1008690064.0,Murray Hill-Kips Bay,-73.980716,0,12,212 2442623
1004970012,1004970012.0,SoHo-TriBeCa-Civic Center-Little Italy,-73.998211,3,6,212 699-8900
1007967504,1007967504.0,Hudson Yards-Chelsea-Flatiron-Union Square,-73.9941,48,7,212 634 8900
1011260014,1011260014.0,Lincoln Square,-73.976108,251,15,
1007840064,1007840064.0,Midtown-Midtown South,-73.991377,0,17,212 947-0155
1007050046,1007050039.0,Hudson Yards-Chelsea-Flatiron-Union Square,-74.000119,0,12,212 481-1122
1008687502,1008687502.0,Murray Hill-Kips Bay,-73.979179,224,20,212-603-1300
1001980030,1001980030.0,Chinatown,-73.999784,0,7,212 228-2140
1005447501,1005447501.0,West Village,-73.990969,26,12,212-777-0900
1011190047,1011190047.0,Lincoln Square,-73.979496,39,10,212-986-0001
1010360014,1010360014.0,Clinton,-73.989297,200,10,
1007600063,1007600063.0,Hudson Yards-Chelsea-Flatiron-Union Square,-73.99324,0,14,212 563-1098
1009190027,1009190027.0,Murray Hill-Kips Bay,-73.974921,16,5,212 624-4300
1001897501,1001897501.0,SoHo-TriBeCa-Civic Center-Little Italy,-74.006861,24,10,212 529-5688
1008610044,1008610044.0,Midtown-Midtown South,-73.982515,0,17,XXX
1011620012,1011620012.0,Lincoln Square,-73.983868,53,9,
1007620033,1007620033.0,Clinton,-73.991467,0,23,212 564-6662
1011170019,1011170019.0,Lincoln Square,-73.980421,53,9,212-302-5544
1008910023,1008910023.0,Murray Hill-Kips Bay,-73.979021,35,12,212-679-9247
1007750017,1007750017.0,Hudson Yards-Chelsea-Flatiron-Union Square,-73.995741,69,7,212-924-7991
1007990064,1007990063.0,Hudson Yards-Chelsea-Flatiron-Union Square,-73.993602,0,12,212 765 1655
1005720026,1005720026.0,West Village,-73.997092,49,9,212-633-6500
1008930082,1008930082.0,Murray Hill-Kips Bay,-73.978941,144,24,212-682-7300
1007720056,1007720056.0,Hudson Yards-Chelsea-Flatiron-Union Square,-73.99624,262,18,
1010770043,1010770043.0,Clinton,-73.993412,0,4,212 586 0406
100145001200.00%,1001450012.0,SoHo-TriBeCa-Civic Center-Little Italy,-74.008755,0,7,212-243-7700
1008960048,1008960048.0,Gramercy,-73.986606,213,17,516-374-7000
1010080029,1010080029.0,Midtown-Midtown South,-73.978399,158,18,212-977-4813
1000880018,1000880018.0,SoHo-TriBeCa-Civic Center-Little Italy,-74.008217,0,44,212-349-2154
1002850029,1002850029.0,Lower East Side,-73.988302,0,6,212-780-2300
1008480001,1008480001.0,Hudson Yards-Chelsea-Flatiron-Union Square,-73.991303,2,8,212-947-2223
1011380001,1011380001.0,Lincoln Square,-73.983558,376,21,212-340-9300
1011230029,1011230029.0,Lincoln Square,-73.976853,104,18,212-350-2813
1008310030,1008310030.0,Midtown-Midtown South,-73.987196,0,10,
1008890015,1008890015.0,Murray Hill-Kips Bay,-73.980436,193,15,212-685-2923
1008567502,1008567502.0,Hudson Yards-Chelsea-Flatiron-Union Square,-73.987907,190,13,212-683-0166
1006150112,1006150112.0,West Village,-74.003266,34,5,718 204-1600
1011260014,1011260014.0,Lincoln Square,-73.976108,251,15,212 877-8500
1007060017,1007060017.0,Hudson Yards-Chelsea-Flatiron-Union Square,-74.00087,0,6,212-750-4299
1003740020,1003740020.0,Lower East Side,-73.978986,0,5,
1010390032,1010390032.0,Clinton,-73.986925,107,8,516 837-7000
1007440040,1007440040.0,Hudson Yards-Chelsea-Flatiron-Union Square,-73.999657,10,5,718-277-4571
1007850011,1007850011.0,Midtown-Midtown South,-73.991612,0,16,
1007190029,1007190029.0,Hudson Yards-Chelsea-Flatiron-Union Square,-74.003093,36,6,212-753-3210
1007600055,1007600055.0,Hudson Yards-Chelsea-Flatiron-Union Square,-73.992915,0,15,212 989-6100
1008210038,1008210038.0,Hudson Yards-Chelsea-Flatiron-Union Square,-73.991946,11,10,XXX
1008320032,1008320032.0,Midtown-Midtown South,-73.987098,17,15,212-699-8920
1008910062,1008910062.0,Murray Hill-Kips Bay,-73.978548,31,10,212-865-8600
1008560058,1008560058.0,Hudson Yards-Chelsea-Flatiron-Union Square,-73.986225,0,12,
1008790081,1008790081.0,Gramercy,-73.986045,0,20,212254-3060
1008000065,1008000065.0,Hudson Yards-Chelsea-Flatiron-Union Square,-73.993233,0,12,212 929-1285
1008600037,1008600037.0,Midtown-Midtown South,-73.983082,0,12,212 929-5300
1011420061,1011420061.0,Lincoln Square,-73.981351,0,7,212 7247561
1005900043,1005900043.0,West Village,-74.002223,32,6,212-260-8060
1007227501,1007227501.0,Hudson Yards-Chelsea-Flatiron-Union Square,-74.001173,79,9,212 748-8900
1010360029,1010360029.0,Clinton,-73.988814,176,17,212 787-2500
1005290005,1005290005.0,West Village,-73.995613,17,12,212-661-1150
1008140052,1008140052.0,Midtown-Midtown South,-73.987111,0,33,212 391 0060
1007750022,1007750022.0,Hudson Yards-Chelsea-Flatiron-Union Square,-73.995619,68,6,212 690-6800
1011540158,1011540158.0,Lincoln Square,-73.988067,41,8,212-769-2000
1007910036,1007910036.0,Hudson Yards-Chelsea-Flatiron-Union Square,-73.996687,178,6,212-246-2410
1011150057,1011150057.0,Lincoln Square,-73.982414,0,14,212 354-7808
1000520021,1000520021.0,Battery Park City-Lower Manhattan,-74.012408,21,13,XXXX
1004110034,1004110034.0,Chinatown,-73.98864,20,6,212-420-1728
1010330036,1010330036.0,Clinton,-73.989731,0,6,212 247-4910
1003440060,1003440060.0,Lower East Side,-73.982132,0,5,212 673-0900
1.007540028E+9,1007540028.0,Hudson Yards-Chelsea-Flatiron-Union Square,-73.996077,12,4,212 924-7991
1005110006,1005110006.0,SoHo-TriBeCa-Civic Center-Little Italy,-73.997413,0,12,212-686-5544
1010500006,1010500006.0,Clinton,-73.994961,0,6,212 794-5571
1011420064,1011420064.0,Lincoln Square,-73.981189,303,19,212 580 0102
1006140010,1006140010.0,West Village,-74.003215,31,6,212 777 7700
1002290022,1002290022.0,SoHo-TriBeCa-Civic Center-Little Italy,-74.002464,26,6,212-529-5688
1006460047,1006467503.0,West Village,-74.005799,0,6,
1002740003,1002740003.0,Chinatown,-73.993807,20,5,718-961-3200
1010750044,1010750044.0,Clinton,-73.994264,10,5,718 858-8426
1007977502,1007977502.0,Hudson Yards-Chelsea-Flatiron-Union Square,-73.994251,22,13,212 243-6722
1006170021,1006170021.0,West Village,-74.001479,50,6,212-532-0816
1003000001,1003000001.0,Chinatown,-73.99315,0,6,212-736-6888
1008610057,1008610057.0,Midtown-Midtown South,-73.983991,0,12,212 687 2655
1007710038,1007710038.0,Hudson Yards-Chelsea-Flatiron-Union Square,-73.996889,130,14,212-674-6123
1010260026,1010260026.0,Midtown-Midtown South,-73.981745,77,12,718 633 4365
1008740069,1008740069.0,Gramercy,-73.987074,22,12,212 637-0097
