schooldbn,final_address,district_outdistrict_1,flexschedule,district_otherzone,earlydropoff,play,district_otherzone_1,halfday_offers,nyceec_services_none,borough,programcode1
09XAIQ,"383 East 162nd Street, Bronx NY 10451",,,,,Indoor/Outdoor (Onsite) Playspace,,,x,Bronx,09XAIQFDPK
10X207,"3030 Godwin Te rrace, Bronx NY 10463",,,x,7:45am,Indoor (Onsite) Playspace,,,,Bronx,10X207FDPK
16K309,"794 Monroe Street, Brooklyn NY 11221",x,,x,7:30am,Indoor/Outdoor (Onsite) Playspace,,,,Brooklyn,16K309FDPK
15KANO,"1205 44th Street, Brooklyn NY 11219",,May utilize flexible scheduling policy. Contact for more information.,,,Contact program,,,,Brooklyn,15KANOFDPK
14KBVC,"384 South 4th Street, Brooklyn NY 11211",,,,8am,Contact program,,,x,Brooklyn,14KBVCFDPK
14KAZJ,"725 Leonard Street, Brooklyn NY 11222",,,,,Contact program,,,,Brooklyn,14KAZJFDPK
05MARD,"1299 Amsterdam Avenue, Manhattan NY 10027",,,,,Indoor/Outdoor (Onsite) Playspace,,,,Manhattan,05MARDFDPK
21K212,"87 Bay 49th Street, Brooklyn NY 11214",,,x,,Indoor/Outdoor (Onsite) Playspace,,,,Brooklyn,21K212FDPK
17KADG,"739 East New York Avenue, Brooklyn NY 11203",,,,Contact program for time,Contact program,,,,Brooklyn,Contact program to apply.
05M036,"123 Morningside Drive, Manhattan NY 10027",,,x,,Indoor/Outdoor (Onsite) Playspace,,,,Manhattan,05M036FDPK
15KBKW,"1169 43rd Street, Brooklyn NY 11219",,,,,Contact program,,,,Brooklyn,Contact program to apply.
03M452,"210 West 61st Street, Manhattan NY 10023",,,x,,Indoor/Outdoor (Onsite) Playspace,,,,Manhattan,03M452FDPK
17KBJE,"570 Crown Street, Brooklyn NY 11213",,,,,Outdoor (Onsite) Playspace,,,,Brooklyn,17KBJEFDPK
04M083,"219 East 109th Street, Manhattan NY 10029",,,x,,Indoor/Outdoor (Onsite) Playspace,,,,Manhattan,04M083FDPK
07Z028,"105 Willis Avenue, Bronx NY 10454",,,,,Indoor (Onsite) Playspace,,,,Bronx,07Z028FDPK
20KBBB,"405 81st Street, Brooklyn NY 11209",,,,Contact program for time,Outdoor (Onsite) Playspace,,,,Brooklyn,20KBBBFDPK
04MAWA,"1893 2nd Avenue, Manhattan NY 10029",,,,,Outdoor (Onsite) Playspace,,,,Manhattan,04MAWAFDPK
08XANJ,"214-216 Soundview Avenue, Bronx NY 10473",,May utilize flexible scheduling policy. Contact for more information.,,8am,Outdoor (Offsite) Playspace,,,,Bronx,08XANJFDPK
15K131,"4305 Fort Hamilton Parkway, Brooklyn NY 11219",,,,,Contact program,,,,Brooklyn,15K131FDPK
12XAAS,"1065 Beach Avenue, Bronx NY 10472",,,,,Outdoor (Onsite) Playspace,,,,Bronx,12XAASFDPK
07X369,"468 East 140th Street, Bronx NY 10454",,,,,Indoor/Outdoor (Onsite) Playspace,,,,Bronx,07X369FDPK
16KBZU,"510 Quincy Street, Brooklyn NY 11221",,,,,Outdoor (Offsite) Playspace,,Who Got Offers Last Year refers only to full-day applicants.,,Brooklyn,16KBZUFDPK
15KARS,"1019 46th Street, Brooklyn NY 11219",,,,Contact program for time,Outdoor (Onsite) Playspace,,,,Brooklyn,15KARSFDPK
17KBEZ,"995 Carroll Street, Brooklyn NY 11225",,,,,Indoor/Outdoor (Onsite) Playspace,,,,Brooklyn,17KBEZFDPK
02Z034,"1 Peck Slip, Manhattan NY 10038",,,,,Contact program,,,,Manhattan,02Z034FDPK
15Z093,"305-307 Third Avenue, Brooklyn NY 11215",,,,7:40am,Indoor (Onsite) Playspace,,,,Brooklyn,15Z093FDPK
21K215,"415 Avenue S, Brooolyn NY 11223",,,,,Indoor/Outdoor (Onsite) Playspace,x,,,Brooklyn,21K215FDPK
16K040,"265 Ralph Avenue, Brooklyn NY 11233",,,x,,Indoor/Outdoor (Onsite) Playspace,,,,Brooklyn,16K040FDPK
20Z067,"1355 84th Street, Brooklyn NY 11228",,,,,Indoor/Outdoor (Onsite) Playspace,,,,Brooklyn,20Z067FDPK
03MAUZ,"125 West 109th Street, Manhattan NY 10025",,,,,Outdoor (Onsite) Playspace,,,,Manhattan,03MAUZFDPK
13KASJ,"101 Fleet Place, Brooklyn NY 11201",,,,,Indoor/Outdoor (Onsite) Playspace,,,x,Brooklyn,13KASJFDPK
09XAYV,"1650 Undercliff Avenue, Bronx NY 10453",,,,,Contact program,,,,Bronx,09XAYVFDPK
05MAWM,"1841 Park Avenue, Manhattan NY 10035",,,,8am,Indoor/Outdoor (Onsite) Playspace,,,,Manhattan,05MAWMFDPK
05MAPD,"2967 Frederick Douglas Boulevard, Manhattan NY 10039",,,,8am,Indoor/Outdoor (Onsite) Playspace,,,,Manhattan,05MAPDFDPK
02M151,"421 East 88th Street, Manhattan NY 10128",,,,,Contact program,x,,,Manhattan,02M151FDPK
17KASK,"36 Ford Street, Brooklyn NY 11213",,,,,Contact program,,,,Brooklyn,17KASKFDPK
20KCOH,"927 McDonald Avenue, Brooklyn NY 11218",,,,7:30am,Contact program,,,,Brooklyn,20KCOHFDPK
04M072,"131 East 104th Street, Manhattan NY 10029",,,x,,Indoor (Onsite) Playspace,,,,Manhattan,04M072FDPK
04MAVX,"2081 Second Avenue, Manhattan NY 10029",,,,,Outdoor (Onsite) Playspace,,,,Manhattan,04MAVXFDPK
01M020,"166 Essex Street, Manhattan NY 10002",,,,,Indoor/Outdoor (Onsite) Playspace,,,,Manhattan,01M020FDPK
15K118,"211 8th Street, Brooklyn NY 11215",,,,Contact program for time,Indoor/Outdoor (Onsite) Playspace,x,,,Brooklyn,15K118FDPK
20Z072,"8501 5th Avenue, Brooklyn NY 11209",,,,,Indoor (Onsite) Playspace,,,,Brooklyn,20Z072FDPK
09XALW,"507 East 165th Street, Bronx NY 10456",,,,,Indoor,,,,Bronx,09XALWFDPK
02MAUA,"197 East Broadway, Manhattan NY 10002",,,,8:15am,Indoor/Outdoor (Offsite) Playspace,,,,Manhattan,02MAUAFDPK
09XAOB,"141 Featherbed Lane, Bronx NY 10452",,,,,Indoor/Outdoor (Onsite) Playspace/Outdoor (Offsite) Playspace,,,,Bronx,09XAOBFDPK
09X236,"1871 Walton Avenue, Bronx NY 10453",,,,,Outdoor (Onsite) Playspace,,,,Bronx,09X236FDPK
17KBJH,"420 Lefferts Avenue, Brooklyn NY 11225",,,,Contact program for time,Outdoor (Onsite) Playspace,,,,Brooklyn,17KBJHFDPK
14K120,"18 Beaver Street, Brooklyn NY 11206",,,x,,Indoor/Outdoor (Onsite) Playspace,,,,Brooklyn,14K120FDPK
20KCSP,"345 91st Street, Brooklyn NY 11209",,,,7:30am,Contact program,,,,Brooklyn,20KCSPFDPK
11X111,"3740 Baychester Avenue, Bronx NY 10466",,,x,,Indoor/Outdoor (Onsite) Playspace,,,,Bronx,11X111FDPK
