school_name,se_services,partner_cbo,partner_other,longitude,overview_paragraph,school_sports,psal_sports_coed,school_type
William E. Grady Career and Technical Education High School,This school will provide students with disabilities the supports and services indicated on their IEPs.,Counseling in Schools,"Smalls Electrical Construction, Inc.",-73.963477,"Our learning community is molded in the CTE tradition. Respectful of our students’ self-worth, we dedicate ourselves to the development of a caring, sharing, and challenging atmosphere. Through a variety of educational offerings, social and cultural experiences, athletic programs, work opportunities, and services, we develop the whole student. We devote all of our resources to ensure that each student receives the education necessary to meet the challenges of a changing world.",,,CTE School
Queens Preparatory Academy,This school will provide students with disabilities the supports and services indicated on their IEPs.,"College Confident, Educational Services Center SAT and College Preparation, iZone 360 iLearnNYC Comedy Hall of Fame LEAP NYChess iMentor College Now",,-73.756839,"Queens Preparatory Academy (QPA) offers its students a challenging curriculum that emphasizes math and science achievement. Our scholars engage in inquiry-based and project-based learning to develop their critical thinking and problem solving skills as they tackle real-world problems in math, science, and the humanities. Our advisory program assists students in developing the academic, social, and emotional skills that promote academic success.",QPA Fit For Life Intramural Program,Cricket,
Schuylerville Preparatory High School,This school will provide students with disabilities the supports and services indicated on their IEPs.,,,-73.838545,"At Schuylerville Preparatory High School, our aspiration is to graduate disciplined individuals with integrity. Our students leave school with the goal of continuing their education in the service of others and contributing to the common good. Our approach is to take our students through increasingly rigorous phases of learning. In addition to developing our students into college-ready thinkers, our Dream Real Advisory is dedicated to the development of students’ professional interests. We assign students to Success Development Coaches who help to identify concrete steps that students must take to realize their goals. This personalized approach offers support to our students with mentorships, internships, and college-level courses.","Intramural Boys & Girls Basketball, Developmental Baseball, Developmental Softball",Cricket,
THE HIGH SCHOOL FOR LANGUAGE AND DIPLOMACY,This school will provide students with disabilities the supports and services indicated on their IEPs.,"The United Nations Association of the United States of America (UNA-USA) Global Classrooms, United Nations, Chinese Language Teachers Association of Greater New York PENCIL",Asia Society International Studies Schools Network,-73.987659,"Through a challenging academic program that provides opportunities for public service and global awareness, our students learn the craft of international diplomacy while developing their technology and communication skills. Students also have the opportunity to achieve proficiency in Mandarin and French through an intensive, engaging program designed for students of all levels, including those who have never studied the language before.","As we expand, we plan to offer Intramural Sports including Martial Arts.",,
Lower Manhattan Arts Academy,This school will provide students with disabilities the supports and services indicated on their IEPs.,"Educational Alliance for comprehensive after-school programs and college advising; The Door and Henry Street Settlement for college advising, college trips and SAT preparation classes; Peer Health Exchange for weekly workshops on teen health issues led by NYU students.",,-73.989337,"The Lower Manhattan Arts Academy (LoMA) is a small, multicultural school where the focus is on academic excellence through the arts. Every aspect of LoMA’s design, structure and practice supports each student’s intellectual, emotional and cultural growth with the ultimate goal of success in a four-year college or career. To this end, LoMA students take additional math, science, reading, internship and arts classes, and extracurricular activities. As an arts school, LoMA integrates visual and performance elements into all of our students’ days. Students have the opportunity to work with artists during academic classes to create high quality, standards-based performances of learning. Our school has partnerships with many Lower East Side arts organizations so that every student takes part in an Extended Day Program at least twice a week. To support our students’ success at meeting these higher standards, we maintain an intimate, nurturing community with a large number of adults watching over and taking care of our students.","Intramural Sports: Basketball, Soccer, Swimming",,
Bronx Career and College Preparatory High School,This school will provide students with disabilities the supports and services indicated on their IEPs.,"Affinity Health Plan, Healthy Respect, South Bronx Neighborhood Centers / Project Uplift",,-73.900105,"Bronx Career and College Preparatory High School (BCC Prep) prepares students to be successful 21st century participants. We couple relevant internship experiences with rigorous academic learning experiences. As a result, students develop four standards of professionalism and learn to be prompt, prepared, positive and productive. Students at BCC Prep also strive to embody our core principles as they develop responsibility, teamwork, and the resiliency needed to enter college and to exceed academic and industry-based standards. We provide our students small class size, advisory, internships, and quality college and career readiness instruction and training to ensure that 100% of students graduate prepared for college and careers. There is a strong culture that mirrors college and employment where students respect teachers, work hard and arrive on time. We ensure that each student is cognitively engaged, fully valued, and fully heard.",Boys Intramural Basketball,,
THE CINEMA SCHOOL,This school will provide students with disabilities the supports and services indicated on their IEPs.,"Ghetto Film School, our partner organization, based in the South Bronx community, has been nationally recognized for their achievement in providing young people a gateway into the professional world of media arts and for helping to mold the next generation of story tellers.",New York Cares,-73.877785,"The Cinema School offers a rich liberal arts education grounded in creative activity. Filmmaking serves as the core of a strong academic program that prepares students for a wide range of careers. All students take the required courses for an Advanced Regents Diploma which will prepare them for admissions to competitive four-year universities. Competitive colleges love our students! In addition to providing students with essential creative and technological skills; filmmaking also deepens learning by building confidence, responsibility, teamwork, and leadership. We offer a supportive small school community and individualized attention.",Intramural basketball,,
Brooklyn High School of the Arts,This school will provide students with disabilities the supports and services indicated on their IEPs.,"New Tech (iZone 360 School), Exploring The Arts - Tony Bennett Partner School, New York Cares",,-73.98027,"We are dedicated to providing talented Brooklyn students with a strong curriculum in Fine Arts, Drama, Dance, Vocal Music, Band, and Orchestral Music. Along with their major studies, students are prepared for high academic achievement. As an iZone 360 school, students are immersed in technology; we have multiple computer labs and allow students to learn in a way that suits them. Students are provided with daily studio classes in their talent area, designed to prepare them for top fine arts and performing arts colleges and help them develop the discipline to be well-rounded students and future professionals.","Social Dance, Weight Training, Yoga",,
Columbia Secondary School,This school will provide students with disabilities the supports and services indicated on their IEPs.,"Double Discovery, Harlem Tutorial Program,Urban Advantage Science",,-73.955809,"Columbia Secondary School (CSS) is a six through twelve grade school serving academically talented students who have an interest in a selective and demanding program focusing on math, science, and engineering. CSS immerses students in science and math as a way of making sense of the world. Learning experiences focus on active exploration of major concepts, ideas, and theories that respond to life’s big questions. Our students become aware of their responsibilities to their communities and to the world. At CSS, students engage in their own explorations so that they may experience the excitement of discovery.","Co-ed Fitness Program: Basketball, Biking, Capoeira, Hiking/Camping, Jogging, Yoga, and Soccer.",,
High School for Community Leadership,This school will provide students with disabilities the supports and services indicated on their IEPs.,"Queens Library, Jamaica YMCA",,-73.797237,High School for Community Leadership (HSCL) encourages the development of well-rounded individuals who are prepared for university success and capable of exercising leadership in the global community.,,"Cricket, Golf",
Leadership and Public Service High School,This school will provide students with disabilities the supports and services indicated on their IEPs.,"Trinity Church, Liberty Partnership Program, Syracuse University Mentor-Mentee Alliance (SUMMA) and Friends of Leadership",Sidley Austin LLP,-74.012332,"At Leadership and Public Service High School, we believe that education is a portal to developing tomorrow’s leaders. It is the school’s mission to have families, students, administration, and staff collaborate to identify issues, define goals, and reach academic success. Our curriculum includes athletic, civic, and social programs, and connects learning to life beyond the classroom. We offer a strong Leadership (advisory) course that allows our students to form close relationships with our faculty members. Our students learn through innovative teaching practices, which help them develop a deeper understanding of themselves, others, and our world.",,,
"Metropolitan High School, The",This school will provide students with disabilities the supports and services indicated on their IEPs.,"Sponsors for Educational Opportunity, New York Cares Youth Service Program, City Harvest, WHEDco, New York City Department of Health, Sports Foundation.",,-73.897612,"The Metropolitan High School is a replication of Chicago’s Noble Street Charter High School which has a strong record of success in Chicago. Our mission is to educate and cultivate students who will excel academically, demonstrate a sense of civic responsibility and manifest respect for their community, their natural environment, and the people they encounter from all walks of life. By taking a first-rate academic curriculum and adding service to the community, engagement in present-day ecological challenges, a demanding physical fitness program, and a strict code of discipline, the school produces well-rounded young adults who have the capacity to function effectively as lifelong learners and productive citizens.","Co-ed and Boys Soccer, New Small Schools Athletic League Baseball Champions for 2011-2012, Young Runners Track, Yoga, Football",,
East Side Community School,This school will provide students with disabilities the supports and services indicated on their IEPs.,"University Settlement, Educational Alliance, CASALEAP, Project Stay.",Brooklyn Boulders (Rock Climbing),-73.982555,"We are a small secondary school that prepares all students for college and careers. We set high standards and work with all of our students to help them meet these standards. With no more than twenty-five students per class, teachers are able to provide personal attention in a respectful environment. Our staff makes sure that we know every student well. We assess our students by challenging them to use what they have learned in creative ways to complete interesting projects. Students, staff, families, and community members all see themselves as part of a team whose main goal is the success of every individual student.","Basketball, Bicycling, Fitness, Indoor Soccer, Skateboarding, Softball, Volleyball, Rock Climbing, Snowboarding, Surfing",,Performance Assessment School
High School for Innovation in Advertising and Media,This school will provide students with disabilities the supports and services indicated on their IEPs.,Interborough Developmental and Consultation Center,iMentor,-73.898254,"Through a unique partnership with the advertising industry, we provide a strong educational program that prepares students for college and careers. Mentorships, internships, and long-term advertising projects reflect real-world experience. Students may graduate with an Advanced Regents diploma and certifications in Microsoft Office and Adobe software. Those who complete the CTE sequence receive a certification in Communications and Advertising Design and are eligible for an IAM (Innovation in Advertising and Media) endorsement to pursue work in the industry or continue further study in college.",,,CTE School
Martin Van Buren High School,This school will provide students with disabilities the supports and services indicated on their IEPs.,"Queens Public Library, Police Athletic League (PAL), 105th Precinct Explorer Program, Young Men’s Hebrew Association (YMHA), Young Men’s Christian Association (YMCA), Outreach Project, Anti- Defamation League (ADL), Central Y-ACE Program, SNAP (Supplemental Nutrition Assistance Program)Senior Center, North Shore Animal Shelter, College Now, High School/ College Credited Programs, Summer Search",,-73.738756,"Welcome to Martin Van Buren High School, where we meet the demands of cutting-edge technology featuring our programs in Pre-Med/Pre-Nursing, Engineering/Robotics/Design, and Pre-Law/Leadership. Parents, students and faculty are the key components of our school's future. Together we will create the path to your child's success.",,Cricket,
Manhattan Early College School for Advertising,This school will provide students with disabilities the supports and services indicated on their IEPs.,,,-74.000851,"Through close partnerships with the Borough of Manhattan Community College (BMCC) and with the advertising and media industry, Manhattan Early College School for Advertising (MECA) provides all students with a strong education that prepares them for college and careers. Students have the option to remain at MECA for up to six years and can earn an Associate Degree – at no cost – in addition to their CTE-endorsed high school Regents diploma. In the first four years, students participate in a range of work-based learning experiences including job shadowing, field trips, special training seminars, and summer internships. At MECA, we hold all community members accountable for our five pillars: Scholarship, Creativity, Character, Responsibility, and Empathy. We take pride in our nurturing environment where all students are respected and supported as they develop intellectually, socially, and emotionally. Students are held to high standards and expected to participate in the development of our community. Graduates will be prepared to succeed in four-year colleges or go directly into competitive careers.",,,NYC P-Tech 9-14
Bronx School of Law and Finance,This school will provide students with disabilities the supports and services indicated on their IEPs.,"Justice Resource Center, Career Explorers",,-73.912256,"The mission of our school is to provide students with the necessary skills and abilities to pursue employment and/or higher education through the introduction to careers in law and finance. Students are exposed to the world of finance and law through internships, mentoring, and fieldwork. Our curriculum is enriched under the leadership of our lead partner, the Barnard/Columbia Education program.",,"Golf, Stunt",
Civic Leadership Academy,This school will provide students with disabilities the supports and services indicated on their IEPs.,The Child Center of NY,,-73.870642,"Civic Leadership Academy is a small school offering a challenging academic program with the goal of every student going to college. Our high expectations and focus on strong work habits, combined with an emphasis on critical reading, writing, and thinking skills, promote college and career readiness. The learning environment is highly personalized and supported by a dedicated and caring staff. Our curriculum is enhanced by a focus on community service, which gives students opportunities to discover their place in the world and their capacity to make a difference in their communities. We encourage parents to take an active role in helping us reach the goal of every student going to college.","Flag Rugby, Fencing, Table Tennis","Softball, Table Tennis",
Cultural Academy for the Arts and Sciences,This school will provide students with disabilities the supports and services indicated on their IEPs.,"East Flatbush Village, Inc., Future Generations Youth NGO,Interborough Developmental & Consultation Center, NYPD Youth Services, Sustainable Flatbush, Rugby Alliance.","Career Through Culinary Arts Program (C-CAP), Sister School: Corbett Prepatory School of IDS, Tampa, Florida.",-73.922171,We provide an academically challenging education that is proactive and responsive to all student needs. Your student will experience a personalized learning environment where the academic program and organizational structure promote positive and supportive relationships through data-driven planning and instruction. We provide international and pre-college learning opportunities that promote post-secondary success and build leadership for highly motivated students.,Campus Intramural Tournaments,,
Bronx River High School,This school will provide students with disabilities the supports and services indicated on their IEPs.,,,-73.838545,"At Bronx River High School, you find a dedicated staff of highly qualified teachers that share a passion for creating an exceptional school. We have one focus: to ensure that our students are prepared for a college education, both academically and socially, once they graduate from our school. We stress the importance of a strong moral character with an emphasis on personal responsibility and community service. We have a strong advisory program, where each student keeps the same Teacher Advisor throughout their high school career in order to ensure that students meet and exceed their goals. We offer a highly developed college preparatory program that includes college partnerships, frequent college visits, SAT preparation, and family assistance throughout the college application process.",,Cricket,
School for International Studies,This school will provide students with disabilities the supports and services indicated on their IEPs.,"International Baccalaureate Candidate School, 21st Century Learning Community: Enhanced and Afterschool Programs, Creative Connections, National College Advising Corps @ New York University, GenerationOn Schools, College Now @ Cuny City Tech, C-CAP (Careers in Culinary Arts Program), South Brooklyn Local Business Development Corp., LEAP: Learning through Enhanced Arts, Noel Pointer Foundation: Violin Program, NYC Chess, Leadership Dance Program, Arab-American Family Support Center, Sports and Arts in School Foundation;",Young Women’s Leadership Foundation,-73.993351,"The School for International Studies is a New York City public school that serves 500 students in grades six to twelve. With the implementation of the International Baccalaureate (IB) philosophy and framework, we aim to support learning for all students that is both engaging and relevant to real life and the global world. We are a community of enthusiastic educators with tight-knit grade level and department teaching teams. Our small class size (usually 22-25 students) helps students master their coursework. They graduate as socially conscious leaders, equipped with the intellectual tools and academic and critical thinking skills necessary to make meaningful change in today’s dynamic, interdependent world. Our full-time college advisor and our guidance counselors assist all students in planning for college and the world of work.","Our school athletes join with students from Brooklyn School for Global Studies to compete in the Public Schools Athletic League (PSAL). We also offer Flag Football, Handball, Soccer, Softball, Track.",,
Young Women's Leadership School of the Bronx,This school will provide students with disabilities the supports and services indicated on their IEPs.,Girls Inc.,,-73.908427,"The Young Women’s Leadership School (TYWLS) of the Bronx has a mission to create a community of confident and compassionate young women and successfully prepare them for college and other post-secondary experiences. We specialize in the areas of mathematics, science and technology. Personal and academic growth is supported in a strong advisory program. We focus on female adolescent development, positive self-image, effective communication, leadership development, and college awareness. Learning is dynamic and small class-size enable students to experience great success on many levels. The TYWLS educational experience is enhanced only through strong partnerships with The Young Women’s Network, the College Bound Initiative, and Los Padres Foundation. With their support, we are able to replicate the best practices of a private and independent girl’s school and provide a quality education.","Basketball, Cheerleading, Soccer, Track",,All Girls School
Academy for College Preparation and Career Exploration: A College Board School,This school will provide students with disabilities the supports and services indicated on their IEPs.,Brooklyn Parent Advocacy Network,,-73.95855,"Academy for College Preparation and Career Exploration: A College Board School is a small secondary school with an exciting program. Students are exposed to a wide range of internships, mentor programs, and extracurricular activities that help them discover their true talents. Students develop, with the help of their advisors, guidance counselors, parents and college/community-based mentors, the path best suited for their talents and potential. Our internships and mentor programs provide opportunities for students to work with professionals in the career field of their choice.",,Double Dutch,
Unity Center for Urban Technologies,This school will provide students with disabilities the supports and services indicated on their IEPs.,,,-73.981241,"Unity Center for Urban Technologies is a small community of learners. We take pride in our nurturing environment where all students can reach their fullest potential. We stress the importance of a student-teacher connection as the most effective way to provide guidance and support to all of our students. We strongly believe that our young people can develop and enhance their skills at their own pace, in a supportive setting. At Unity, students are engaged in a challenging Common Core Learning Standards-aligned academic program that enables our students to successfully enter higher education programs and achieve their career goals. Unity’s teachers and administrators examine all assessment data in order to develop alternative academic programs to strengthen student performance. We utilize differentiated instruction and technology to deliver a diversified curriculum, as well as offer enrichment programs that promote creativity and student engagement.","Baseball, Basketball, Fitness, Soccer, Volleyball",,
"Queens School of Inquiry, The",This school will provide students with disabilities the supports and services indicated on their IEPs.,Child Center of New York (Beacon Program),,-73.810216,"The Queens School of Inquiry is an early college school designed to prepare students to succeed in college. Our students have the opportunity to earn up to 62 tuition-free Queens College credits while still in high school. We help students develop academic skills in an environment that promotes inquiry-based learning and self-management. A close collaboration with Queens College, CUNY, and the Bill & Melinda Gates Foundation, along with a dedicated faculty, enables us to promote college readiness and career awareness. We are a neighborhood school that emphasizes real-life applications of academic content in our effort to educate caring and ethical citizens.","Boys Varsity Basketball, Girls Volleyball. Students are encouraged to initiate sports based on their interests.",,
Hillcrest High School,This school will provide students with disabilities the supports and services indicated on their IEPs.,"Learning through an Expanded Arts Program (LEAP), Family Life Theatre, Disney Educational Productions",,-73.80166,"Hillcrest High School is a high school of over 3,000 students. Every one of Hillcrest's students chooses to be part of one of our seven Small Learning Communities (SLC's). Each SLC has fewer than 500 students and has its own theme, course offerings, teachers and guidance counselors. Each of our seven four-year SLC's is linked to career themes and has connections to the professional world. Hillcrest proudly focuses on learning and excellence. Hillcrest is organized to provide each of our students a safe, nurturing, and supportive environment which makes learning purposeful and enjoyable.",,"Cricket, Golf",
High School for Health Professions and Human Services,This school will provide students with disabilities the supports and services indicated on their IEPs.,"Comprehensive Development Incorporated (CDI) - College Counseling, Career Advisement & Internship Opportunities, Tutoring & Enrichment; Pace University Liberty Partnership Program - SAT Prep, Tutoring and Counseling & Mentoring Services",New York City Police Department Explorers,-73.983031,"Our school is dedicated to providing challenging academic standards in professional health career settings through our academic program which prepares our students to enter the world of health care with scientific knowledge, ethics, integrity, and compassion. Our students are provided with a well-rounded high school experience including extracurricular activities, opportunities to enter science-related competitions, and an extensive sports program. Advanced Placement (AP) courses, as well as an array of electives, offer enrichment in all subject areas. Students have the opportunity to complete a three-year internship program that exposes them to health careers and related services fields.",,,
Sunset Park High School,This school will provide students with disabilities the supports and services indicated on their IEPs.,"Center for Family Life, Summer Youth Employment, Life Lines Community Arts Project,NYU Partnership School.",Institute for Student Achievement,-74.005197,"Sunset Park High School is a diverse and inclusive school that prepares all students for post-secondary options and the challenging demands of a changing world. Our school is divided into three small learning communities that use teams of teachers to provide personal attention, including advisory, to each student. Daily instruction builds foundational skills while focusing on the habits of critical thinking necessary for success in college and beyond. Our school is committed to college readiness, parent engagement, and community involvement.","Baseball, Basketball, Cheerleading, Fitness, Flag Football, Handball, Soccer, Softball, Track, Volleyball, Wrestling",,
World View High School,This school will provide students with disabilities the supports and services indicated on their IEPs.,,,-73.88691,"World View High School (WVHS) is a rigorous college preparatory school with a primary focus on mathematics and the sciences. WVHS utilizes a project-based learning approach to prepare students for college and careers. As a member of the WVHS community students are expected to present their research projects in every discipline twice every school year and maintain a college and career ready profile. At WVHS, students build rigorous research and evidence based skills while fostering their social and emotional growth as a member of an increasingly global community. WVHS teachers guide students through our mentoring program and advisory classes to ensure academic and personal success on their path towards becoming leaders in the school community and world beyond.",,"Cricket, Stunt",
Art and Design High School,This school will provide students with disabilities the supports and services indicated on their IEPs.,Friends of Art and Design,,-73.967203,"For nearly eighty years, Art and Design High School has nurtured talented students to become accomplished professionals through its extensive art programs. Our state of the art facility enables students to excel in all digital media including animation, graphic design, digital photography, and film/video production and editing. Located in the heart of New York City’s design center, we are a committed CTE high school. All licensed art teachers are professional artists and our industry partners collaborate to ensure that students are introduced to and taught required software programs for their field of study. Art and Design High School has a community of scholars dedicated to fostering the creative and academic talents of each of our students. We are nationally known for our design programs in architecture, fashion design, graphic design, illustration, digital photography, cartooning, animation, and film/video technology. Our graduates are well prepared to attend the college of their choice and become leaders in the arts and the community.","Aerobic Training, Basketball, Intramural Sports, Nautilus Training, Spinning, Volleyball, Weight Training; Student-Faculty Games",,CTE School
School of the Future High School,This school will provide students with disabilities the supports and services indicated on their IEPs.,Global Glimpse,Ivy Key SAT/ACT Prep,-73.985479,The School of the Future is a student-centered and challenging school with the goal of preparing all graduates to enter the college or profession of their choice. Our students learn to think critically and solve problems in a supportive environment. We challenge our students to exceed the expectations set by the New York State Board of Regents by preparing them for research-based exhibition presentations in order to graduate.,"Girl's Handball, WORK IT OUT- students workout at the local NYSC.",,Performance Assessment School
Bronx High School for Law and Community Service,This school will provide students with disabilities the supports and services indicated on their IEPs.,"Opportunity Network, Liberty Partnership, Futures and Options, Urban Ambassadors, Literacy Leaders, SEO Scholars",Bronx District Attorney's Office,-73.888267,"Bronx High School for Law and Community Service is a small high school with a four-year college and career plan focused on law enforcement and service to those in need. It is our belief that all people, regardless of their socioeconomic status or ethnic background, can make meaningful contributions to humanity by serving others. With the help of our partners, students are offered meaningful experiences in their chosen area of interest.","Intramural Sports, Basketball, Flag Football",,
Claremont International HS,This school will provide students with disabilities the supports and services indicated on their IEPs.,"International Rescue Committee, New Settlement",,-73.91091,"The mission of Claremont International High School is to build upon the diverse linguistic and cultural backgrounds of English Language Learners (ELLs) in New York City to create an academically stimulating and nurturing learning community that prepares students for success in college and beyond. Our students cultivate intellectual curiosity, advance critical thinking skills, and develop empathy as global citizens through the integration of language and the arts in all classes. Students complete an internship during their junior year and have the opportunity to participate in CUNY College Now courses.",Soccer Club,Double Dutch,"Performance Assessment School, School for New Arrivals"
High School for Excellence and Innovation,This school will provide students with disabilities the supports and services indicated on their IEPs.,"East Side House (ESH) (provides comprehensive services for students in Advisory, Counseling, Youth Leadership Development, Parent/Community Engagement, After-school and Saturday programs)",Office of Postsecondary Readiness (Intermediary),-73.924835,"At the High School for Excellence and Innovation, we empower our students by providing an abundance of opportunities for them to exercise student voice and choice during their high school experience. By building students’ capacity to fully participate as community members of their school, we help them become agents of change who positively affect their homes, communities, and the world. Our belief is that regardless of previous challenges, every student can earn a high school diploma and be prepared to transition to post-secondary training or college to embark on their 21st century career paths.","Boys: Baseball, Basketball, Flag Football, Track, Volleyball; Girls: Basketball, Softball; Co-ed: Outdoor Track; Student vs. Faculty Games",,
Community Health Academy of the Heights,This school will provide students with disabilities the supports and services indicated on their IEPs.,"Community League of the Heights (CLOTH), Ujima Program (after-school volunteer program), Police Athletic League, Summer Youth Employment Program, Exodus Program (basketball and eductional support program)",Public Health Association of New York City (PHANYC),-73.942072,"We provide a small school setting in which students learn about health-related issues facing our community. Our goal is that each student will understand and internalize the physical, emotional and academic qualities of health that are developmentally appropriate to his or her age. We prepare our graduates for careers in healthcare through our use of a health-themed curriculum and mentoring programs supported by community partnerships, with health professionals. These opportunities promote awareness of healthy lifestyles and ensure that our students become agents of change within the community.","Baseball, Basketball",Golf,
Bronx Leadership Academy II High School,This school will provide students with disabilities the supports and services indicated on their IEPs.,South Bronx Churches,"Manice Education Program, Bronx Zoo, Blue Engine",-73.923829,"Our school motto is: 'Engage Minds, Develop Leaders, Explore Possibilities.' Our goal is to meet students at their level and prepare them academically for career and college by graduation. We want our students to find a sense of purpose and place in the world, and to see the connection between school and the real world. We aim to build relationships that develop our students into leaders able to achieve their potential in college and careers. Note: In order to model the professionalism we believe essential for our students' success, all students at BLA II wear a school uniform.",Cheerleading,Golf,
