bis_nyc_device_id,attendant_operation,device_type,new_hoistway,cwtgovernor_location,hoist_car_weight,counter_weight_guard,cargovernor_location,total_number_of_openings,escalator_manufacturer,number_of_openings_front,car_counterweight_ropes_qty,car_opening_operation,hoist_mast_manufacturer,only_elevator_in_building,regenerative_drive,total_travel_feet,top_emergency_exit_min_side,car_opening_direction,controller_location,escalator_step_width_inches,hoist_rope_qty,car_safety_type,elevator_manufacturer,occupied_space_below,destination_dispatch_system,top_emergency_exit_min_area,escalator_travel_from_floor,escalator_rise_feet,self_closing_emergency_doors,device_status,machine_model,machine_location,physical_address-pit_depth
1P33122,,Elevator,No,,,No,29th floor,25.0,,25.0,,Power,,No,No,336.0,16.0,Horizontal,29th floor,,5,Flexible Guide,GAL,No,No,400.0,,,No,Active,tx-r5,29th floor,1535 BROADWAY-nan
1P28681,,Elevator,No,,,No,ROOF,38.0,,38.0,,Power,,No,No,385.0,16.0,Horizontal,ROOF,,6,Flexible Guide,GAL,No,No,400.0,,,No,Active,219 HT,ROOF,41 EAST 89 STREET-nan
1P17993,,Elevator,No,Second,,No,Second,14.0,,14.0,,Power,,No,No,170.0,16.0,Horizontal,28th floor,,6,Gradual WC,GAL,Yes,No,400.0,,,No,Active,411,28th floor,393 LEXINGTON AVENUE-nan
1P40124,,Elevator,No,,,No,,3.0,,3.0,,Power,,No,No,21.0,16.0,Horizontal,Adjacent to hoistway on lowest,,,,GAL,No,No,400.0,,,No,Active,Smartrise,Smartrise,93 PRINCE STREET-nan
,,Personnel Hoist,,,8720.0,,GROUND,43.0,,42.0,,,STROS,,,544.0,,,,,,,,No,,,,,,Work in Progress,,,555 WEST 38 STREET-nan
,,Elevator,Yes,,,No,TOC,9.0,,8.0,,Power,,No,No,84.83,16.0,Horizontal,Machine Room,,4,Flexible Guide,Otis,No,No,400.0,,,No,Active,G2S,Overhead,19-15 NAMEOKE AVENUE-nan
1P26849,,Elevator,No,,,No,Overhead,30.0,,30.0,,Power,,No,No,300.0,16.0,Horizontal,Overhead,,6,Instantaneous,GAL,No,No,400.0,,,No,Active,,Overhead,180 WEST END AVENUE-nan
1P29997,,Elevator,No,,,Yes,machine room,26.0,,26.0,,Power,,No,No,273.0,16.0,Horizontal,machine room,,4,Flexible Guide,GAL,No,No,400.0,,,No,Active,existing,Overhead,444 GRAND STREET-nan
1P9102,,Elevator,No,,,Yes,,8.0,,8.0,,Power,,Yes,No,70.0,16.0,Horizontal,Basement,,,Instantaneous,GAL,No,No,3.0,,,No,Active,,Basement,2659 BROADWAY-nan
1P18945,,Elevator,No,,,No,SECONDARY,14.0,,14.0,,Power,,No,No,170.0,16.0,Horizontal,17,,6,Gradual WC,GAL,No,No,400.0,,,No,Active,,17,114 JOHN STREET-nan
1P50231,,Elevator,Yes,,,No,,12.0,,12.0,,Power,,No,No,807.0,16.0,Horizontal,overhead,,6,Flexible Guide,Sematic,No,Yes,400.0,,,No,Active,CO-tx2,Overhead,400 WEST 33 STREET-nan
4P0998506,,Elevator,Yes,,,No,,3.0,,2.0,,Power,,No,No,14.0,16.0,Horizontal,Machine Room,,,,Otis,No,No,400.0,,,No,Active,7525 S,''C'' Floor,44-01 NORTHERN BOULEVARD-nan
3W0997347,No,Accessibility Lift,,,,,,2.0,,1.0,,,,,,2.07,,,,,,Slack Rope or Broken Rope,Garaventa,,,,,,,Active,Express II,,55 WATER STREET-1.0
4P11646,,Elevator,No,,,Yes,,20.0,,20.0,,Power,,No,No,190.0,16.0,Horizontal,ROOF,,4,Flexible Guide,GAL,No,No,3.0,,,No,Active,,ROOF,11-24 31 AVENUE-nan
1P46370,,Elevator,No,,,No,OVERHEAD,7.0,,7.0,,Power,,No,No,76.0,16.0,Horizontal,ROOF,,8,Flexible Guide,THYSSENKRUPP,No,No,400.0,,,No,Active,,OVERHEAD,50 DOWNING STREET-nan
1P28868,,Elevator,No,,,No,OVERHEAD,14.0,,14.0,,Power,,No,No,167.0,16.0,Vertical,MOTOR ROOM,,7,Flexible Guide,GAL,No,No,400.0,,,No,Active,627D104G1,MOTOR ROOM,77 WATER STREET-nan
1P1000467,,Elevator,Yes,,,Yes,roof LVL,5.0,,5.0,,Power,,Yes,No,43.0,20.0,Horizontal,roof LVL,,6,Flexible Guide,GAL,No,No,20.0,,,No,Work in Progress,GL100-20L,Overhead,219 CANAL STREET-nan
1P5314,,Elevator,No,,,No,ROOF,14.0,,14.0,,Power,,No,No,140.0,16.0,Horizontal,BASEMENT,,6,Gradual WC,GAL,No,No,400.0,,,No,Active,GL-171,ROOF,161 LEXINGTON AVENUE-nan
1P710,,Elevator,No,,,No,Machine room,11.0,,11.0,,Power,,No,No,164.0,16.0,Horizontal,Basement,,6,Instantaneous,GAL,No,Yes,400.0,,,No,Active,TMGL2A,12th floor,115 BROADWAY-nan
1P28714,,Elevator,No,,,No,ROOF SECONDARY,17.0,,17.0,,Power,,No,No,182.0,16.0,Horizontal,ROOF EMR,,5,Gradual WC,GAL,No,No,3.0,,,No,Active,TGL1-3550-HV,ROOF EMR,358 WEST 31 STREET-nan
,,Elevator,Yes,,,No,,3.0,,2.0,,Power,,Yes,No,27.0,16.0,Horizontal,BASEMENT,,6,Instantaneous,G.A.L.,No,No,400.0,,,No,Active,140-43,BASEMENT,590 SMITH STREET-nan
1P42560,,Elevator,No,,,No,,7.0,,7.0,,Power,,Yes,No,98.0,16.0,Horizontal,Machine Room,,,,GAL,No,No,400.0,,,No,Active,Tac20,Basement,141 NORFOLK STREET-nan
3P5510,,Elevator,No,,,No,Overhead,13.0,,13.0,,Power,,No,No,105.5,16.0,Horizontal,Overhead,,4,Flexible Guide,GAL,No,No,400.0,,,No,Active,PMAC,Overhead,3201 AVENUE H-nan
3F1106,,Elevator,No,,,Yes,overhead,8.0,,7.0,2.0,Manual,,No,No,85.0,16.0,Vertical,overhead,,2,Instantaneous,GAL,No,No,400.0,,,No,Active,,overhead,67 19 STREET-nan
1P14506,,Elevator,No,,,No,,2.0,,2.0,6.0,Power,,No,No,197.0,16.0,Horizontal,ROOF,,6,Flexible Guide,GAL,No,No,400.0,,,No,Active,,ROOF,90 BARCLAY STREET-nan
1P24315,,Elevator,No,,,Yes,ROOF,10.0,,10.0,,Power,,No,No,100.0,16.0,Horizontal,ROOF,,4,Gradual WC,GAL,No,No,400.0,,,No,Active,44OH,ROOF,66 OVERLOOK TERRACE-nan
1P29433,,Elevator,No,,,No,48,44.0,,44.0,5.0,Power,,No,No,427.0,17.0,Horizontal,48,,6,,GAL,No,No,3.0,,,No,Active,2060,48,34 WEST 59 STREET-nan
1P26441,,Elevator,,,,,,0.0,,,,,,,,81.0,,,,,4,Instantaneous,,,,,,,,Active,,,406 EAST   63 STREET-nan
3P6916,,Elevator,No,,,Yes,ROOF EMR,6.0,,6.0,,Power,,Yes,Yes,47.58,16.0,Horizontal,ROOF EMR,,5,Instantaneous,GAL,No,No,400.0,,,No,Active,570 OBS-LV,ROOF EMR,371 WILLIAMS AVENUE-nan
,,Elevator,Yes,,,No,M/R,12.0,,12.0,,Power,,No,No,86.3,16.0,Horizontal,M/R,,4,Flexible Guide,OTIS,No,No,400.0,,,No,Active,2.6T,OVERHEAD,1720 VILLAGE LANE-nan
1P35370,,Elevator,No,,,Yes,Overhead,8.0,,8.0,,Power,,Yes,No,90.0,16.0,Horizontal,Overhead,,4,Instantaneous,GAL,No,No,400.0,,,No,Active,44,Overhead,320 EAST 9 STREET-nan
3P11626,,Elevator,No,,,No,,3.0,,3.0,,Power,,No,No,20.0,16.0,Horizontal,Ground Level,,,,GAL,No,No,400.0,,,No,Active,,Ground Level,161 VARICK AVENUE-nan
1P11186,,Elevator,No,,,No,,14.0,,14.0,,Power,,No,No,400.0,16.0,Horizontal,35 FL,,4,Instantaneous,GAL,Yes,No,400.0,,,No,Active,TX R5,35 FL,107 EAST 42 STREET-nan
1P23469,,Elevator,No,,,Yes,"Overhead, in machine room",6.0,,6.0,,Power,,Yes,No,51.5,16.0,Horizontal,Roof,,4,Instantaneous,Gal,No,No,400.0,,,No,Active,GT11,Roof,534 EAST   84 STREET-nan
1P0994900,,Elevator,Yes,,,No,Pit Mounted,2.0,,1.0,,Power,,No,No,25.58,16.0,Horizontal,Real Opening Floor 66,,8,Instantaneous,Otis,No,No,400.0,,,No,Active,Power Units DS-72,Real Opening Floor 66,66 HUDSON BOULEVARD-nan
4P11428,,Elevator,No,,,Yes,,6.0,,6.0,,Power,,No,No,50.0,16.0,Horizontal,motor room at roof,,,Gradual WC,existing,No,No,400.0,,,No,Active,existing,motor room at roof,83-30 KEW GARDENS ROAD-nan
3P13796,,Elevator,Yes,,,No,,6.0,,6.0,,Power,,No,No,60.0,24.0,Horizontal,Roof,,5,Flexible Guide,Exsiting,No,No,400.0,,,No,Active,,OVERHEAD,236 ATLANTIC AVENUE-nan
4P1900,,Elevator,No,,,No,MACHINE ROOM,14.0,,14.0,,Power,,Yes,No,114.0,16.0,Horizontal,ABOVE ROOF,,5,Instantaneous,GAL,No,No,400.0,,,No,Active,478LS,ABOVE ROOF,33-34 25 STREET-nan
2P4595,,Elevator,No,,,No,,20.0,,20.0,,Power,,No,No,170.0,16.0,Horizontal,Overhead,,,Instantaneous,GAL,No,No,400.0,,,No,Active,,Overhead,400 BROOK AVENUE-nan
1P30748,,Elevator,No,ROOF,,No,ROOF,12.0,,12.0,,Power,,No,Yes,140.0,16.0,Horizontal,ROOF,,,Flexible Guide,GAL,Yes,No,400.0,,,No,Active,,ROOF,601 WEST 133 STREET-nan
2P4564,,Elevator,No,,,Yes,overhead,7.0,,7.0,,Power,,No,No,68.8,16.0,Horizontal,overhead,,5,Flexible Guide,GAL,No,No,400.0,,,No,Active,2520,overhead,200 WEST TREMONT AVENUE-nan
1P20419,,Elevator,No,,,Yes,,7.0,,7.0,,Power,,No,No,60.0,16.0,Horizontal,OH,,,Instantaneous,GAL,No,No,400.0,,,No,Active,,OH,104 POST AVENUE-nan
1P28124,,Elevator,,,,,,0.0,,,,,,,,,,,,,,Gradual WC,,,,,,,,Active,,,25 EAST   39 STREET-nan
1P30809,,Elevator,,,,,,0.0,,,,,,,,,,,,,6,Flexible Guide,OTIS,,,,,,,Active,,,220 EAST 93 STREET-nan
1P35609,,Elevator,No,,,No,,7.0,,7.0,,Power,,No,No,60.0,16.0,Horizontal,BASEMENT,,,,G.A.L.,No,No,400.0,,,No,Active,,BASEMENT,268 CANAL STREET-nan
,,Elevator,Yes,,,No,Overhead,2.0,,1.0,,Power,,No,No,11.0,16.0,Horizontal,Roof,,2,Instantaneous,GAL,No,No,400.0,,,No,Active,Microprocess,Roof,377 EAST 33 STREET-nan
3P8427,,Elevator,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,Active,,,1145 EAST   55 STREET-nan
,,Personnel Hoist,,,9560.0,,INSIDE CAR,34.0,,32.0,,,STROS,,,342.0,,,,,,,,No,,,,,,Removed,,,1 BELL SLIP-nan
1P19021,,Elevator,No,,,No,Secondary,29.0,,29.0,,Power,,No,Yes,960.0,16.0,Horizontal,Machine Room,,5,Flexible Guide,Otis,No,Yes,400.0,,,No,Active,30T,Machine Room,338 5 AVENUE-nan
3P13681,,Elevator,No,,,No,,7.0,,7.0,,Power,,No,No,58.0,16.0,Horizontal,oh,,4,Flexible Guide,gal,No,No,400.0,,,No,Active,,oh,950 WILLOUGHBY AVENUE-nan
1D10638,,Dumbwaiter,,,,,overhead,4.0,,4.0,,Manual,,,,40.0,,Horizontal,basement,,1,Instantaneous,GAL,No,,,,,,Dismantled,BU-117.024,basement,191 CHRYSTIE STREET-nan
,,Elevator,Yes,,,No,Overhead,13.0,,13.0,,Power,,No,No,115.25,16.0,Horizontal,Overhead,,4,Flexible Guide,GAL,No,No,400.0,,,No,Active,GL260,Overhead,79 ELDRIDGE STREET-nan
1P25502,,Elevator,No,Overhead,,No,Overhead,7.0,,7.0,6.0,Power,,No,No,361.0,16.0,Horizontal,Motor room,,6,Flexible Guide,Otis,Yes,Yes,400.0,,,No,Active,205,Motor room,200 PARK AVENUE-nan
1P25486,,Elevator,No,Overhead,,No,Overhead,8.0,,8.0,6.0,Power,,No,No,210.0,16.0,Horizontal,Motor room,,6,Flexible Guide,Otis,Yes,Yes,400.0,,,No,Active,205,Motor room,200 PARK AVENUE-nan
1P25997,,Elevator,No,,,No,ROOF,14.0,,14.0,,Power,,No,No,145.0,16.0,Horizontal,ROOF,,5,Flexible Guide,GAL,No,No,400.0,,,No,Active,54 OH,ROOF,408 EAST 51 STREET-nan
4P10292,,Elevator,No,,,No,,3.0,,3.0,,Power,,No,No,21.0,16.0,Horizontal,1st Floor,,,,GAL,No,No,400.0,,,No,Active,,1st Floor,9-09 HAZEN STREET-nan
1P12911,,Elevator,No,,,Yes,,10.0,,10.0,,Power,,No,No,100.0,16.0,Horizontal,motor room overhead,,,Gradual WC,existing,No,No,400.0,,,No,Active,existing,motor room overhead,611 5 AVENUE-nan
1P10976,,Elevator,No,,,No,Roof,9.0,,9.0,,Power,,No,No,90.0,16.0,Horizontal,Roof,,6,Flexible Guide,GAL,No,No,400.0,,,No,Active,TGL 7-3550,Roof,635 6 AVENUE-nan
1P14200,,Elevator,No,,,No,,16.0,,16.0,,Power,,No,No,172.0,16.0,Horizontal,Basement Machine room,,6,Gradual WC,GAL,No,No,400.0,,,No,Active,,Basement Machine Room,2161 BROADWAY-nan
1P34113,,Elevator,No,,,Yes,Overhead,10.0,,10.0,,Power,,No,No,86.5,16.0,Horizontal,Overhead,,6,Flexible Guide,GAL,No,No,400.0,,,No,Active,TMGL 2A,Overhead,80 RUTGERS SLIP-nan
3P1805,,Elevator,No,,,No,OVERHEAD,7.0,,7.0,,Power,,Yes,No,65.0,16.0,Horizontal,EXISTING,,4,Instantaneous,OTIS,No,No,400.0,,,No,Active,OTIS GEARED,EXISTING,706 LEFFERTS AVENUE-nan
,,Elevator,Yes,,,No,Overhead,10.0,,10.0,,Power,,No,No,96.0,16.0,Horizontal,Machine Room,,7,Flexible Guide,TKE,No,No,400.0,,,No,Active,TGL2-5050,Overhead,351 WEST 38 STREET-nan
,,Elevator,Yes,,,No,Overhead,11.0,,10.0,,Power,,No,Yes,107.62,16.0,Horizontal,Roof,,8,Flexible Guide,GAL,No,No,400.0,,,No,Work in Progress,478,Overhead,251 EAST 2 STREET-nan
1P32688,,Elevator,No,,,No,ROOF,33.0,,31.0,,Power,,No,No,330.0,16.0,Horizontal,ROOF,,5,Flexible Guide,GAL,No,No,400.0,,,No,Active,,ROOF,157 COLUMBUS AVENUE-nan
,,Personnel Hoist,,,7500.0,,TOP OF CAR,2.0,,1.0,,,FRACO,,,184.0,,,,,,,FRACO,No,,,,,,Removed,,,29 WEST STREET-nan
3P3036,,Elevator,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,Active,,,451 COLUMBIA STREET-nan
1P371,,Elevator,No,,,No,ROOF,17.0,,17.0,,Power,,No,No,160.0,16.0,Horizontal,BASEMENT,,5,Gradual WC,GAL,No,No,400.0,,,No,Active,54 OD,BASEMENT,303 WEST 86 STREET-nan
,,Elevator,Yes,,,No,TOC,9.0,,9.0,,Power,,No,No,85.0,16.0,Horizontal,Machine Room,,4,Flexible Guide,Otis,No,No,400.0,,,No,Active,3.2T,Overhead,912 BROADWAY-nan
1P9427,,Elevator,,,,,,0.0,,,,,,,,,,,,,,Instantaneous,,,,,,,,Active,,,201 WEST 112 STREET-nan
,,Elevator,Yes,MR - Level 50,,No,MR - Level 50,25.0,,25.0,,Power,,No,Yes,414.0,24.0,Horizontal,Machine Room,,8,Flexible Guide,TKE,Yes,Yes,576.0,,,No,Active,SC500,Overhead,415 10 AVENUE-nan
3P12208,,Elevator,No,,,No,,3.0,,3.0,,Power,,Yes,No,24.0,16.0,Horizontal,Cel,,4,Instantaneous,GAL,No,No,400.0,,,No,Active,,Cel,1128 EASTERN PARKWAY-nan
1P24480,,Elevator,No,,,No,,14.0,,14.0,,Power,,No,No,150.0,16.0,Horizontal,Machine Room,,,Flexible Guide,GAL,No,No,400.0,,,No,Active,,Machine Room,210 EAST 58 STREET-nan
4P5147,,Elevator,No,,,No,,2.0,,2.0,,Power,,No,No,0.0,16.0,Horizontal,basement,,,,,No,No,400.0,,,No,Active,,basement,61-32 190 STREET-nan
1P40720,,Elevator,No,,,No,,56.0,,28.0,,Power,,No,No,350.0,16.0,Horizontal,Roof,,,Flexible Guide,GAL,No,No,400.0,,,No,Active,,Roof,34 RIVER TERRACE-nan
1P36091,,Elevator,No,,,Yes,Overhead,7.0,,7.0,,Power,,No,No,50.0,16.0,Horizontal,Overhead,,5,Flexible Guide,G.A.L.,No,No,400.0,,,No,Active,63,Overhead,569 BROADWAY-nan
4P562,,Elevator,No,,,Yes,Roof,6.0,,6.0,,Power,,Yes,No,55.5,16.0,Horizontal,basement,,4,Instantaneous,GAL,No,No,400.0,,,No,Active,H-W#440.D,Basement,37-32 80 STREET-nan
1P21936,,Elevator,No,,,No,Motor Room,13.0,,13.0,,Power,,No,No,117.0,16.0,Horizontal,Motor Room-roof,,5,Gradual WC,GAL,No,No,400.0,,,No,Active,37,Motor Room-roof,315 AVENUE C-nan
1P47360,,Elevator,No,,,No,MACHINE ROOM,34.0,,34.0,,Power,,No,No,384.0,16.0,Horizontal,ROOF,,6,Flexible Guide,GAL,No,No,400.0,,,No,Active,,ROOF,136 WEST 42 STREET-nan
1P15615,,Elevator,No,,,No,ROOF,16.0,,16.0,,Power,,No,No,170.0,16.0,Horizontal,BASEMENT,,6,Gradual WC,GAL,No,No,400.0,,,No,Active,,BASEMENT,1112 PARK AVENUE-nan
3C0999123,,Personnel Hoist,,,8100.0,,Inside of Cage,21.0,,21.0,,,RAXTAR/HYDROMOBILE,,,214.0,,,,,,,,No,,,,,,Work in Progress,,,18 INDIA STREET-nan
3P2518,,Elevator,No,,,Yes,,7.0,,7.0,,Power,,Yes,No,60.0,16.0,Horizontal,OVERHEAD,,,Instantaneous,G.A.L.,No,No,400.0,,,No,Active,,OVERHEAD,4716 14 AVENUE-nan
,,Conveyor,,,,,,3.0,,3.0,,Power,,,,32.0,,Vertical,,,,,,No,,,,,,Active,,,546 GULF AVENUE-nan
4P3077,,Elevator,No,,,Yes,ROOF,9.0,,9.0,,Power,,Yes,No,80.0,16.0,Horizontal,ROOF,,4,Instantaneous,GAL,No,No,400.0,,,No,Active,1,ROOF,167-15 12 AVENUE-nan
3P12156,,Elevator,No,,,No,Overhead,7.0,,7.0,,Power,,No,No,70.0,16.0,Horizontal,Basement,,8,Instantaneous,GAL,No,No,400.0,,,No,Active,,Basement,47 NORTH 8 STREET-nan
1P21899,,Elevator,No,,,No,Motor room-roof,14.0,,14.0,,Power,,No,No,117.0,16.0,Horizontal,Motor room-roof,,5,Gradual WC,GAL,No,No,400.0,,,No,Active,37,Motor room-roof,15 STUYVESANT OVAL-nan
4C0996259,,Personnel Hoist,,,7981.0,,INSIDE CAR,3.0,,1.0,,,STROS,,,147.0,,,,,,,,No,,,,,,Work in Progress,,,23-30 BORDEN AVENUE-nan
1P27428,,Elevator,No,,,No,MOTOR ROOM,14.0,,14.0,,Power,,No,No,180.0,16.0,Horizontal,ROOF,,4,Gradual WC,GAL,No,No,400.0,,,No,Active,GALAXY,ROOF,333 EAST 49 STREET-nan
,,Elevator,Yes,Machine Room,,No,Machine Room,8.0,,8.0,,Power,,No,No,131.0,16.0,Horizontal,Machine Room,,7,Flexible Guide,Sematic,No,No,400.0,,,No,Active,PRM355,11th Floor,310 HUDSON STREET-nan
,,Elevator,Yes,,,Yes,MR Above Hoistway,5.0,,5.0,,Power,,No,Yes,80.44,16.0,Horizontal,Above Hoistway,,5,Flexible Guide,Otis,No,Yes,400.0,,,No,Active,15T,Above Hoistway,66 HUDSON BOULEVARD-nan
1P33737,,Elevator,No,,,No,,3.0,,3.0,,Power,,No,No,22.1,16.0,Horizontal,cellar,,,,gal,No,No,400.0,,,No,Active,,cellar,141 EAST   48 STREET-nan
,,Elevator,Yes,,,No,Overhead,20.0,,17.0,,Power,,No,No,156.0,16.0,Vertical,Roof,,8,Flexible Guide,GAL,No,No,400.0,,,No,Active,GL-115-35L,Overhead,1912 1 AVENUE-nan
1P4921,,Elevator,No,,,No,,12.0,,12.0,,Power,,No,No,110.0,16.0,Horizontal,OH,,,Gradual WC,GAL,No,No,400.0,,,No,Active,,OH,116 EAST 27 STREET-nan
1P35201,,Elevator,No,Penthouse,,No,Penthouse,34.0,,34.0,,Power,,No,No,384.0,16.0,Horizontal,Penthouse,,5,Flexible Guide,GAL,No,No,400.0,,,No,Active,#64,Penthouse,236 EAST 47 STREET-nan
1P28361,,Elevator,No,,,No,SECONDARY,18.0,,18.0,,Power,,No,Yes,455.0,16.0,Horizontal,40TH FL,,5,Flexible Guide,OTIS,No,Yes,400.0,,,No,Active,705-OB,40TH FL,545 7 AVENUE-nan
1P21006,,Elevator,No,,,Yes,,4.0,,4.0,,Power,,No,No,30.0,16.0,Horizontal,motor room @ sub basement,,2,Instantaneous,Otis,No,No,400.0,,,No,Active,Existing,sub basement,1 EAST 75 STREET-nan
1P11985,,Elevator,No,,,No,Overhead,12.0,,12.0,,Power,,No,No,139.0,16.0,Horizontal,Overhead,,6,Gradual WC,GAL,No,No,400.0,,,No,Active,,PH2 Floor,268 PARK AVENUE SOUTH-nan
1P3108,,Elevator,No,,,No,Roof,10.0,,10.0,,Power,,No,No,120.0,17.0,Vertical,Basement,,6,Gradual WC,GAL,No,No,3.0,,,No,Active,54OH,Basement,57 EAST 11 STREET-nan
1P37091,,Elevator,No,,,No,Overhead,12.0,,12.0,5.0,Power,,No,Yes,240.0,480.0,Vertical,Motor room,,6,Flexible Guide,GAL,No,Yes,20.0,,,No,Active,208C,Motor room,720 3 AVENUE-nan
2P0998459,,Elevator,Yes,,,Yes,Overhead,9.0,,9.0,,Power,,Yes,No,75.0,20.0,Horizontal,Overhead,,6,Flexible Guide,GAL,No,No,400.0,,,No,Active,GL260,Overhead,712 EAST  180 STREET-nan
1P35791,,Elevator,No,,,No,MOTOR ROOM,105.0,,53.0,,Power,,No,No,521.0,16.0,Horizontal,MOTOR ROOM,,6,Flexible Guide,GAL,No,No,400.0,,,No,Active,Otis 219 HT,MOTOR ROOM,143 WEST 54 STREET-nan
4P3819,,Elevator,No,,,No,,7.0,,7.0,,Power,,No,No,60.0,24.0,Horizontal,OVERHEAD,,,Instantaneous,GAL,No,No,400.0,,,No,Active,,OVERHEAD,66-02 FLEET STREET-nan
