job_filing_number,flame_heat_smoke_protection,machine_counterweight_ropes_2,elevator_type,elevator_landing,counter_weight_buffer_stroke_1,device_confirming_with_seismic,cwtgovernor_type,escalator_capacity_lbs,hoist_model_num,counter_weight_buffer,number_of_stops,hole_less_elevator,escalator_tandem_operation,platform_lift_type,escalator_number_of_flat,door_monitoring_circuits,counter_weight_buffer_reduced,car_buffer_stroke_inches,controller_model,machine_counterweight_ropes_1,hoist_safety_capacity,hoist_counter_weighted,escalator_brake_torque,elevator_control,private_residence,cargovernor_ropes_ultimate,cwtgovernor_tripping_speed,hoist_opening,mode_of_operation,hoist_capacity,car_hoist_location,machine_counterweight_ropes_3,building_elevator_numbers,cwtgovernor_ropes_size
B00100214-I1,,,Passenger,"C, 1-12, R",9.0,Yes,,,,HOLLISTER WHITNEY,14.0,,,,,Yes,Yes,9.0,A1,,,,,Solid State,,"8,200#",,Door,Automatic P.B.,,,,PE-2,
M00196141-I1,,,Passenger,B-6,4.0,No,,,,EXISTING,7.0,,,,,Yes,No,4.0,EXISTING,,,,,Multi-Voltage,,"8,200",,Door,Automatic P.B.,,,,,
X00523921-I1,,,Passenger,"B, L, 2-18",9.0,No,,,,EXISTING,19.0,,,,,Yes,No,9.0,MICROPROCESSOR,,,,,Solid State,,"8,200#",,Door,Automatic P.B.,,,,PE-1,
B00162874-I1,,,Passenger,"B,1,2,3,4,5,6",2.0,No,,,,STALEY,7.0,,,,,Yes,No,2.0,VVVF,,,,,Solid State,,8200,,Door,Automatic P.B.,,,,1,
B00208844-I1,,,Passenger,"B, 1-6",,No,,,,,7.0,,,,,Yes,No,5.0,,,,,,Solid State,,,,Door,Automatic P.B.,,,,,
B00808639-I1,,,Passenger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M00059166-I1,,,Passenger,"LL,L,2-5",10.0,No,,,,Existing,6.0,,,,,Yes,No,10.0,Existing,,,,,Solid State,,"8,200#",,Door,Automatic P.B.,,,,,
M00064541-I1,,,Passenger,"B, 1-6",5.0,No,,,,HOLLISTER WHITNEY,7.0,,,,,Yes,No,5.0,,,,,,Solid State,,8200,,Door,Automatic P.B.,,,,EAST,
M00159318-I1,,,Passenger,6,0.0,No,,,,Otis,6.0,,,,,Yes,Yes,0.0,IMC-SCR,,,,,Solid State,,14500,,Door,Automatic P.B.,,,,,
B00350761-P4,,,,,,,,,NOV 3646,,27.0,,,,,,,9.0,,,16226,2.0,,Solid State,,,,Gate,Constant Pressure,7000.0,Outside,,,
X00063319-I1,,,Passenger,8,4.0,No,,,,Exisitng,8.0,,,,,Yes,No,4.0,IBMP,,,,,Solid State,,5000,,Door,Automatic P.B.,,,,,
X00643223-P1,,,Passenger,"C, 1 to 14",8.62,Yes,,,,Otis,15.0,,,,,Yes,No,8.62,GSC,,,,,Solid State,,3600,,Door,Automatic P.B.,,,,N1Q537-PE1,
B00760870-I1,,0,Passenger,"B, *1, 2-6",4.0,No,,,,EXISTING,7.0,,,,,Yes,No,4.0,Existing,0,,,,Solid State,,"8,200#",,Door,Automatic P.B.,,,,,0
M00133166-I1,,,Passenger,18,2.0,Yes,,,,exisitng,18.0,,,,,Yes,No,2.0,IBOX,,,,,Solid State,,,,Door,Automatic P.B.,,,,,
M00126561-I1,,,Passenger,"B,1-13, PH",,No,Centrifugal,,,,15.0,,,,,Yes,No,9.0,,,,,,Solid State,,,,Door,Automatic P.B.,,,,,1/2
M00860546-P1,,,,,,,,,NOV 2738,,10.0,,,,,,,6.0,,,16225,2.0,,Multi-Voltage,,,,Gate,Constant Pressure,6000.0,Outside,,,
B00373556-I1,,,Passenger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q00352531-I1,,,Passenger,13,,No,,,,,13.0,,,,,Yes,No,0.0,,,,,,Solid State,,,,Door,Automatic P.B.,,,,,
M00356253-P1,,,,,,,,,EPM 1000,,7.0,,,,,,,6.0,,,"5,070",2.0,,Solid State,,,,Gate,Constant Pressure,2475.0,Outside,,,
B00112100-I1,,,Passenger,4,,Yes,,,,,4.0,Yes,,,,No,No,0.0,Solid State,,,,,Solid State,,,,Door,Automatic P.B.,,,,,
B00515513-I1,,,Freight,"C2,C1,1,2,3",0.0,Yes,,,,N/a,5.0,Yes,,,,Yes,No,5.0,Motion 2000,,,,,Solid State,,,,Door,Automatic P.B.,,,,J7,
M00350661-I1,,,Passenger,32,6.0,No,,,,otis,32.0,,,,,Yes,Yes,6.0,,,,,,Solid State,,14500,,Door,Automatic P.B.,,,,,
X00043102-I1,,,Passenger,6,,No,Centrifugal,,,,6.0,,,,,No,No,9.0,,,,,,Solid State,,,,Door,Automatic P.B.,,,,,3/8
X01030169-I1,,,Passenger,"C,1,2,3,4,5",9.0,Yes,,,,Hollister Whitney,6.0,,,,,Yes,No,9.0,C4,,,,,Solid State,,8200,,Door,Automatic P.B.,,,,PE1,
Q08026010-I1,,,Passenger,5,5.0,No,,,,hw,5.0,,,,,Yes,No,5.0,vvvf,,,,,Solid State,,8200,,Door,Automatic P.B.,,,,,
M00035543-I1,,,Passenger,1-20,9.0,No,,,,OTIS,20.0,,,,,No,No,9.0,,,,,,Solid State,,5000,,Door,Automatic P.B.,,,,,
M00170188-I1,,,Passenger,22,2.0,No,,,,WESTINGOUSE,22.0,,,,,No,No,2.0,,,,,,Solid State,,8200,,Door,Automatic P.B.,,,,,
M01189134-I1,,,Passenger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B00297212-I1,,,Passenger,"B, 1-6",4.0,No,,,,EXISTING,7.0,,,,,Yes,No,4.0,,,,,,Solid State,,,,Door,Automatic P.B.,,,,,
B00729193-I1,,,Passenger,,,,Centrifugal,,,,,,,,,,,,,,,,,,,,,,,,,,,3/8
M00747835-I1,,,Passenger,22,6.0,Yes,,,,Hollister Whitney,20.0,,,,,Yes,No,6.0,,,,,,Solid State,,"14,500",,Door,Automatic P.B.,,,,,
M00244253-I1,,,Passenger,7,,No,,,,,7.0,,,,,Yes,No,2.5,KCM,,,,,Solid State,,,,Door,Automatic P.B.,,,,,
M00165238-I1,,,Passenger,19,,No,,,,,19.0,,,,,Yes,No,7.76,,,,,,Solid State,,,,Door,Automatic P.B.,,,,,
B00258320-I1,,,Passenger,7,,Yes,Centrifugal,,,,7.0,,,,,No,No,9.0,,,,,,Solid State,,,,Door,Automatic P.B.,,,,,6.5M
Q00144529-I1,,,Passenger,8,9.0,No,,,,WESTINGHOUSE,8.0,,,,,Yes,No,9.0,,,,,,Solid State,,8200,,Door,Automatic P.B.,,,,,
M00401881-I1,,,Passenger,,,,Centrifugal,,,,,,,,,,,,,5/8,,,,,,,,,,,,Iron,,1/2
M00167748-I1,,,Passenger,"LL,1 - 12th",,No,,,,,13.0,,,,,Yes,No,6.0,,,,,,Solid State,,8200,,Door,Automatic P.B.,,,,,
Q00280129-I1,,,Passenger,3,,Yes,,,,,3.0,Yes,,,,No,No,1.5,,,,,,Solid State,,,,Door,Automatic P.B.,,,,,
X00121090-I1,,,Passenger,8,4.0,No,,,,existing,8.0,,,,,Yes,No,4.0,IBMP,,,,,Solid State,,,,Door,Automatic P.B.,,,,,
B00251883-I1,,,Passenger,1,,No,,,,,14.0,,,,,No,No,6.0,,,,,,Solid State,,,,Door,Automatic P.B.,,,,,
M00830006-I1,,,,,,,,,SC 270GZ,,19.0,,,,,,,6.0,,,13488 LB,2.0,,Multi-Voltage,,,,Gate,Constant Pressure,6000.0,Outside,,,
B00099854-I1,,,Passenger,39,5.0,Yes,,,,TKE,39.0,,,,,Yes,Yes,5.0,TAC32T,,,,,Solid State,,8200,,Door,Automatic P.B.,,,,PE2,
M00076150-I1,,,Passenger,21,2.0,No,,,,FUJI,21.0,,,,,No,No,2.0,,,,,,Solid State,,"8,200",,Door,Automatic P.B.,,,,,
X00257761-I1,,,Passenger,1-7,,No,Centrifugal,,,,7.0,,,,,Yes,No,5.0,,,,,,Solid State,,,,Door,Automatic P.B.,,,,,
M00972368-I1,,,Passenger,"L, 2-12, 14-19",6.0,Yes,,,,EXISTING,18.0,,,,,Yes,No,6.0,PIXEL,,,,,Solid State,,"8,200#",,Door,Automatic P.B.,,,,4,
X00775499-I1,,,Passenger,,,,Centrifugal,,,,,,,,,,,,,,,,,,,,,,,,,,,3/8
M01042875-I1,,,Passenger,All,6.0,No,,,,SURGE,26.0,,,,,Yes,No,6.0,IMC-SCR,,,,,Solid State,,8300,,Door,Automatic P.B.,,,,PE3,
M00560405-I1,,,Passenger,"*L, 2-16",9.0,No,,,,EXISTING,16.0,,,,,Yes,No,9.0,VVVF-AC,,,,,Solid State,,"8,200",,Door,Automatic P.B.,,,,PE1,
Q01114144-I1,Yes,,Escalator,,,,,6000.0,,,,,No,,2.0,,,,,,,,62.0,,,,,,,,,,,
M00108132-I1,,,Passenger,13,6.0,Yes,Centrifugal,,,OLEO,13.0,,,,,No,Yes,6.0,FM560,,,,,Solid State,,"13,353",830.0,Door,Automatic P.B.,,,,A2,9.5MM
X00342600-I1,,,Passenger,9,,No,,,,,9.0,,,,,Yes,No,2.5,KCMs831,,,,,Solid State,,8200,,Door,Automatic P.B.,,,,,
S00735523-P1,,,Passenger,"*L,2-8",4.0,No,,,,HOLLISTER WHITNEY,9.0,,,,,Yes,No,4.0,,,,,,Solid State,,8300,,Door,Automatic P.B.,,,,A,
M00137543-I1,,,Passenger,"L,14,15,17-26",8.5,No,Centrifugal,,,OTIS,13.0,,,,,Yes,No,4.0,411,,,,,Solid State,,"14,500",1045.0,Door,Automatic P.B.,,,,C8,1/2''
X00363815-I1,,,Passenger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M00244170-I1,,,Passenger,C-5,,Yes,Centrifugal,,,,8.0,,,,,No,No,9.0,,,,,,Solid State,,,,Door,Automatic P.B.,,,,,
Q00308339-I1,,,Passenger,2,,No,,,,,2.0,Yes,,,,Yes,No,0.0,,,,,,Solid State,,,,Door,Automatic P.B.,,,,,
B00517671-I1,,,Passenger,,,,Centrifugal,,,,,,,,,,,,,,,,,,,,,,,,,,,3/8
Q00512134-I1,,,Passenger,"B, 1-8",5.0,No,,,,Existing,9.0,,,,,Yes,No,5.0,,,,,,Solid State,,"8,200#",,Door,Automatic P.B.,,,,,
Q00479087-P4,,,Passenger,9,4.0,Yes,,,,KONE,9.0,,,,,Yes,No,4.0,KCM831,,,,,Solid State,,4721,,Door,Automatic P.B.,,,,2,
Q00297011-I1,,,Passenger,"B, 1-6",5.0,No,,,,Existing,7.0,,,,,Yes,No,5.0,MICROPROCESSOR,,,,,Solid State,,"8,200#",,Door,Automatic P.B.,,,,,
M08018757-P1,,,Passenger,16,9.0,No,Centrifugal,,,WH,16.0,,,,,Yes,No,9.0,EXISTING,,,,,Solid State,,14500,,Door,Automatic P.B.,,,,,
M08044155-I1,,"23,000",Passenger,"L,23-33",10.0,No,Centrifugal,,,OTIS,12.0,,,,,Yes,Yes,10.0,401 Otis,5/8,,,,Solid State,,"14,500",1265.0,Door,Automatic P.B.,,,Steel,B2,1/2
M00044380-I1,,,Passenger,"C, G, 2-12, 14-19",,No,,,,Hollister Whitney,19.0,,,,,Yes,No,0.0,VVVF,,,,,Solid State,,14500,,Door,Automatic P.B.,,,,PE,
M00275528-P1,,,Passenger,21,11.0,Yes,,,,Schindler,21.0,,,,,Yes,Yes,11.0,VF288PF1,,,,,Solid State,,59.4kn,,Door,Automatic P.B.,,,,A3-PE2,
M00086799-I1,,,Passenger,35,0.75,Yes,,,,hw,35.0,,,,,Yes,No,0.75,vvvf,,,,,Solid State,,8200,,Door,Automatic P.B.,,,,pe4,
Q08018441-I1,,,Passenger,"T,1,2,3",,No,,,,,4.0,No,,,,Yes,No,3.0,HYDRO,,,,,Solid State,,,,Door,Automatic P.B.,,,,,
M00051000-I1,,,Passenger,8,4.0,No,,,,OTIS,8.0,,,,,Yes,No,4.0,SERIES 3,,,,,Solid State,,8200,,Door,Automatic P.B.,,,,,
M00922447-I1,,,,,,,,,,,2.0,,,Vertical Platform Lift,,,,,,,,,,,No,,,Gate,,,,,,
B00412913-I1,,,,,,,,,,,2.0,,,Vertical Platform Lift,,,,,,,,,,,No,,,Door,,,,,,
M01173720-I1,,,Passenger,"*1,23-32",2.0,No,Centrifugal,,,OLEO,11.0,,,,,Yes,No,2.0,TX-R5,,,,,Solid State,,,1310.0,Door,Automatic P.B.,,,,B4,1/2
M00435660-I1,,,Passenger,25,6.0,No,,,,Existing,25.0,,,,,Yes,No,6.0,iControl,,,,,Solid State,,"14,500",,Door,Automatic P.B.,,,,PE2,
M08018710-I1,,,Passenger,18,8.5,No,,,,OTIS,18.0,,,,,Yes,Yes,8.5,I-CONTROL,,,,,Solid State,,24300,,Door,Automatic P.B.,,,,Z21,
B00799233-P2,,,Passenger,"C, 1-8",9.0,Yes,,,,Hollister Whitney,9.0,,,,,Yes,No,9.0,Smartrise,,,,,Solid State,,8200,,Door,Automatic P.B.,,,,F7N1R921-PE1,
Q00287426-I1,,,Passenger,"C, 1-11",,No,,,,,12.0,,,,,Yes,No,4.0,,,,,,Solid State,,,,Door,Automatic P.B.,,,,,
M00173875-I1,,,Passenger,18,11.0,No,Centrifugal,,,Otis,18.0,,,,,Yes,Yes,11.0,,,,,,Solid State,,14500,970.0,Door,Automatic P.B.,,,,,1/2
B00669606-P1,,,,,,,,,NOV3238U,,10.0,,,,,,,9.0,,,16225,2.0,,Solid State,,,,Gate,Constant Pressure,7000.0,Outside,,Car1,
M00181152-I1,,,Passenger,8,1.75,No,,,,Villares,8.0,,,,,Yes,No,1.75,Swift Futura,,,,,Solid State,,14500,,Door,Automatic P.B.,,,,,
M00278498-I1,,,Passenger,12,,No,,,,,12.0,,,,,Yes,No,8.0,,,,,,Solid State,,,,Door,Automatic P.B.,,,,,
Q00162439-I1,,,Passenger,7,,No,,,,HW,7.0,,,,,Yes,No,4.0,vvvf,,,,,Solid State,,8200,,Door,Automatic P.B.,,,,,
B00095034-I1,,,Passenger,"B, 1-6",5.0,No,,,,Existing,7.0,,,,,Yes,No,5.0,,,,,,Solid State,,,,Door,Automatic P.B.,,,,,
B00290137-I1,,,Passenger,7,1.5,No,,,,Staley,7.0,,,,,Yes,No,2.5,,,,,,Multi-Voltage,,"8,200",,Door,Automatic P.B.,,,,,
