dfta_id,address1,friday,in_house_meal_prep,total_fy20_budget,city,contract_amt,bbl,actual_ytd_meals,to_date,total_fy20_reimbursement,kosher_budget,latitude,sunday,meal_prep1
20Q01,114 TAYLOR STREET,08:00 AM - 05:00PM,Both,558010.5,BROOKLYN,558010.5,3021760001.0,39498.0,2020-06-30T00:00:00.000,446247.86,0.0,40.705508,00:00 AM - 00:00PM,Both
10W01,1776 STORY AVENUE,08:00 AM - 04:00PM,Catered,549438.86,BRONX,549438.86,2036370001.0,57000.0,2020-06-30T00:00:00.000,308332.23,0.0,40.82324,00:00 AM - 00:00PM,Catered
10S02,3135 PARK AVENUE EAST,08:00 AM - 04:00PM,Not Applicable,199026.86,BRONX,199026.86,,0.0,2020-06-30T00:00:00.000,185223.46,0.0,,00:00 AM - 00:00PM,Not Applicable
10G01,900 GRAND CONCOURSE,08:30 AM - 07:00PM,Meal Prep on-site,706438.22,BRONX,706438.22,2024600001.0,34998.0,2020-06-30T00:00:00.000,676251.26,0.0,40.827412,00:00 AM - 00:00PM,Meal Prep on-site
41T01,37-06 111 STREET,09:00 AM - 05:00PM,Meal Prep on-site,657980.57,QUEENS,657980.57,4017780027.0,37500.0,2020-06-30T00:00:00.000,563280.96,0.0,40.753941,00:00 AM - 00:00PM,Meal Prep on-site
30501,4111 BROADWAY,07:00 AM - 05:00PM,Meal Prep on-site,836955.43,MANHATTAN,836955.43,1021420133.0,37039.0,2020-06-30T00:00:00.000,745466.95,0.0,40.845128,00:00 AM - 00:00PM,Meal Prep on-site
41G01,91-34 182ND PL,08:00 AM - 04:00PM,Catered,740094.86,QUEENS,740094.86,4099000001.0,25669.0,2020-06-30T00:00:00.000,510588.84,0.0,40.709634,00:00 AM - 00:00PM,Catered
40P01,75-01 BROADWAY,08:00 AM - 04:00PM,Meal Prep on-site,922037.14,QUEENS,922037.14,4014860013.0,119501.0,2020-06-30T00:00:00.000,510312.93,0.0,40.746172,00:00 AM - 00:00PM,Meal Prep on-site
41H01,107-24 CORONA AVENUE,08:00 AM - 04:00PM,Catered,559037.14,QUEENS,559037.14,4019420053.0,15000.0,2020-06-30T00:00:00.000,464253.62,0.0,40.743551,00:00 AM - 00:00PM,Catered
21Q01,280 WYCKOFF STREET,08:00 AM - 04:00PM,Meal Prep on-site,470902.29,BROOKLYN,470902.29,3003940001.0,25001.0,2020-06-30T00:00:00.000,346235.35,0.0,40.683365,00:00 AM - 00:00PM,Meal Prep on-site
33702,12 AVENUE D,08:00 AM - 04:00PM,-,317463.43,MANHATTAN,317463.43,1003560001.0,13392.0,2020-06-30T00:00:00.000,199382.19,0.0,40.720462,00:00 AM - 00:00PM,Catered
21K01,720 EAST NEW YORK AVENUE,08:00 AM - 04:00PM,Meal Prep on-site,578016.0,BROOKLYN,578016.0,3047950016.0,38052.0,2020-06-30T00:00:00.000,456956.85,0.0,40.662289,00:00 AM - 00:00PM,Meal Prep on-site
31G01,90 BENNETT AVENUE,09:00 AM - 02:30PM,Meal Prep on-site,503254.29,MANHATTAN,503254.29,1021800172.0,23252.0,2020-06-30T00:00:00.000,472213.8,0.0,40.853017,00:00 AM - 00:00PM,Meal Prep on-site
64901,305 7 AVENUE,11:00 AM - 08:00PM,-,,MANHATTAN,846919.0,1008037502.0,33012.0,2020-06-30T00:00:00.000,,0.0,40.746817,00:00 AM - 00:00PM,
21C01,2298 WEST    8 STREET,08:00 AM - 04:00PM,Meal Prep on-site,542936.57,BROOKLYN,542936.57,3071400016.0,32501.0,2020-06-30T00:00:00.000,426057.81,275876.24,40.592081,00:00 AM - 00:00PM,Meal Prep on-site
44J01,92-47 165 STREET,08:00 AM - 04:00PM,-,789460.8,QUEENS,789460.8,4101550029.0,14754.0,2020-06-30T00:00:00.000,586435.37,0.0,40.704457,00:00 AM - 00:00PM,
30V01,593 COLUMBUS AVENUE,08:00 AM - 04:00PM,Meal Prep on-site,506487.43,MANHATTAN,506487.43,1012020001.0,48101.0,2020-06-30T00:00:00.000,506487.43,0.0,40.788212,00:00 AM - 00:00PM,Meal Prep on-site
32T03,530 WEST  133 STREET,08:00 AM - 04:00PM,Catered,435639.43,MANHATTAN,435639.43,1019840001.0,16250.0,2020-06-30T00:00:00.000,345863.78,0.0,40.818127,00:00 AM - 00:00PM,Catered
50601,11 SAMPSON AVENUE,08:00 AM - 04:00PM,-,1042282.29,STATEN ISLAND,1042282.29,5046240500.0,28750.0,2020-06-30T00:00:00.000,828691.05,0.0,40.552619,00:00 AM - 00:00PM,Meal Prep on-site
45T01,45-25 KISSENA BOULEVARD,08:30 AM - 04:00 PM,Meal Prep on-site,,QUEENS,1466325.0,4052000052.0,87700.0,2020-06-30T00:00:00.000,,0.0,40.751765,00:00 AM - 00:00PM,Meal Prep on-site
28801,1419 DORCHESTER ROAD,08:00 AM - 04:00PM,Meal Prep on-site,541028.57,BROOKLYN,541028.57,3051570035.0,25001.0,2020-06-30T00:00:00.000,505938.48,267627.82,40.638972,00:00 AM - 00:00PM,Meal Prep on-site
35D02,1641 MADISON AVENUE,09:00 AM - 05:00PM,Catered,,MANHATTAN,267523.0,1016150023.0,11250.0,2020-06-30T00:00:00.000,,0.0,40.79584,00:00 AM - 00:00PM,Catered
15602,1380 METROPOLITAN AVENUE,08:00 AM - 04:00PM,-,588114.86,BRONX,588114.86,2039387501.0,0.0,2020-06-30T00:00:00.000,330713.31,0.0,40.835141,00:00 AM - 00:00PM,
24A01,1175 GATES AVENUE,09:00 AM - 07:00PM,Meal Prep on-site,701823.43,BROOKLYN,701823.43,3033310025.0,28862.0,2020-06-30T00:00:00.000,573780.62,0.0,40.691707,00:00 AM - 00:00PM,Meal Prep on-site
44J03,89-09 162 STREET,08:00 AM - 04:00PM,-,107731.2,QUEENS,107731.2,4097610036.0,,2020-06-30T00:00:00.000,81265.3,0.0,40.706571,00:00 AM - 00:00PM,
12H02,2345 UNIVERSITY AVENUE,08:00 AM - 04:00PM,Catered,20665.71,BRONX,20665.71,2032180035.0,4251.0,2020-06-30T00:00:00.000,20665.71,0.0,40.861503,00:00 AM - 00:00PM,Catered
31J01,2205 FIST AVENUE,08:00 AM - 04:03PM,-,716220.0,MANHATTAN,716220.0,,16500.0,2020-06-30T00:00:00.000,609822.39,0.0,,00:00 AM - 00:00PM,Catered
22L01,161 CORBIN PLACE,09:00 AM - 05:00PM,Catered,627468.0,BROOKLYN,627468.0,3087190073.0,49999.0,2020-06-30T00:00:00.000,494701.54,0.0,40.578026,00:00 AM - 00:00PM,Catered
40901,108-25 62 DRIVE,08:00 AM - 04:00PM,Meal Prep on-site,809292.0,QUEENS,809292.0,4021590002.0,26779.0,2020-06-30T00:00:00.000,803004.69,0.0,40.73591,00:00 AM - 00:00PM,Meal Prep on-site
28M01,283 PROSPECT AVENUE,08:00 AM - 04:00PM,Meal Prep on-site,613728.0,BROOKLYN,613728.0,3010530073.0,23938.0,2020-06-30T00:00:00.000,491149.86,0.0,40.663323,00:00 AM - 00:00PM,Meal Prep on-site
50A01,184 SCHMIDTS LANE,08:00 AM - 04:00PM,-,467674.35,STATEN ISLAND,467674.35,5007060001.0,23750.0,2020-06-30T00:00:00.000,375419.04,0.0,40.609058,00:00 AM - 00:00PM,Meal Prep on-site
11N01,644 ADEE AVENUE,08:00 AM - 04:00PM,Meal Prep on-site,536357.14,BRONX,536357.14,2045420100.0,22750.0,2020-06-30T00:00:00.000,391274.64,0.0,40.86967,00:00 AM - 00:00PM,Meal Prep on-site
23F01,550 GREENE AVENUE,08:00 AM - 04:00PM,Meal Prep on-site,708824.57,BROOKLYN,708824.57,3017980040.0,43749.0,2020-06-30T00:00:00.000,623227.23,0.0,40.688666,00:00 AM - 00:00PM,Meal Prep on-site
30A02,2965 FREDERICK DOUGLASS BOULEVARD,09:00 AM - 05:00PM,-,227569.71,MANHATTAN,227569.71,,12499.0,2020-06-30T00:00:00.000,178242.24,0.0,,00:00 AM - 00:00PM,Catered
37901,530 WEST   55 STREET,08:00 AM - 05:00PM,Both,517237.71,MANHATTAN,517237.71,1010830015.0,19243.0,2020-06-30T00:00:00.000,498584.45,0.0,40.768258,00:00 AM - 00:00PM,Both
28702,475 FOUNTAIN AVENUE,08:15 AM - 04:15PM,-,184285.71,BROOKLYN,184285.71,3042920061.0,4167.0,2020-06-30T00:00:00.000,163945.63,0.0,40.668288,00:00 AM - 00:00PM,
15D01,116 CITY ISLAND AVENUE,08:00 AM - 03:00PM,Catered,422654.0,BRONX,422654.0,2056400010.0,15000.0,2020-06-30T00:00:00.000,384695.17,0.0,40.841097,00:00 AM - 00:00PM,Catered
40U01,34-35A 12TH STREET,08:00 AM - 04:00PM,Meal Prep on-site,512053.71,QUEENS,512053.71,,25999.0,2020-06-30T00:00:00.000,453165.55,0.0,,00:00 AM - 00:00PM,Meal Prep on-site
35E01,331 EAST   12 STREET,08:00 AM - 06:00 PM,Meal Prep on-site,,MANHATTAN,1289365.0,1004540052.0,72750.0,2020-06-30T00:00:00.000,,0.0,40.730657,00:00 AM - 00:00PM,Meal Prep on-site
40M01,69-61 GRAND AVENUE,08:30 AM - 04:00PM,-,800269.71,QUEENS,800269.71,4025010032.0,21770.0,2020-06-30T00:00:00.000,690214.94,0.0,40.727019,00:00 AM - 00:00PM,Meal Prep on-site
35A01,420 WEST  145 STREET,09:00 AM - 05:00PM,Meal Prep on-site,725242.51,MANHATTAN,725242.51,1020500042.0,36500.0,2020-06-30T00:00:00.000,590996.13,0.0,40.824436,00:00 AM - 00:00PM,Meal Prep on-site
28G01,9 NOLL STREET,08:00 AM - 04:00PM,Meal Prep on-site,,BROOKLYN,1417124.0,3031450100.0,65240.0,2020-06-30T00:00:00.000,,0.0,40.700163,00:00 AM - 00:00PM,Meal Prep on-site
22N01,BROOKLYN,08:30 AM - 03:00PM,Catered,431277.0,BROOKLYN,431277.0,,23751.0,2020-06-30T00:00:00.000,418333.46,0.0,,00:00 AM - 00:00PM,Catered
15601,1380 METROPOLITAN AVENUE,08:00 AM - 04:00PM,Meal Prep on-site,679671.43,BRONX,679671.43,2039387501.0,35002.0,2020-06-30T00:00:00.000,428553.86,0.0,40.835141,00:00 AM - 00:00PM,Meal Prep on-site
21801,4912 14 AVENUE,09:00 AM - 04:30PM,Catered,465324.0,BROOKLYN,465324.0,3056420042.0,27501.0,2020-06-30T00:00:00.000,393708.51,0.0,40.63357,00:00 AM - 00:00PM,Catered
20D01,475 53 STREET,08:00 AM - 04:00PM,Meal Prep on-site,844174.29,BROOKLYN,844174.29,3008070046.0,50000.0,2020-06-30T00:00:00.000,765251.78,0.0,40.64386,00:00 AM - 00:00PM,Meal Prep on-site
30A01,2005 AMSTERDAM AVENUE,08:00 AM - 04:00PM,-,655409.14,MANHATTAN,655409.14,1021090003.0,25913.0,2020-06-30T00:00:00.000,459017.3,0.0,40.834326,00:00 AM - 00:00PM,Meal Prep on-site
50201,44 BIONA AVENUE,08:00 AM - 04:00PM,-,631352.57,STATEN ISLAND,631352.57,,43749.0,2020-06-30T00:00:00.000,525036.27,0.0,,00:00 AM - 00:00PM,Meal Prep on-site
42U01,320 BEACH   94 STREET,08:00 AM - 04:00PM,Both,779379.43,QUEENS,779379.43,4161260004.0,22752.0,2020-06-30T00:00:00.000,552174.5,0.0,40.5877,00:00 AM - 00:00PM,Both
31V01,WEST 116TH STREET,09:00 AM - 05:00PM,Meal Prep on-site,588411.0,MANHATTAN,588411.0,,47397.0,2020-06-30T00:00:00.000,397188.51,0.0,,00:00 AM - 00:00PM,Meal Prep on-site
21P01,105 NORTH PORTLAND AVENUE,08:00 AM - 04:00PM,-,464842.29,BROOKLYN,464842.29,3020410001.0,26251.0,2020-06-30T00:00:00.000,342940.1,0.0,40.694782,00:00 AM - 00:00PM,Meal Prep on-site
4A201,67-09 KISSENA BOULEVARD,08:00 AM - 04:00PM,Meal Prep on-site,583805.14,QUEENS,583805.14,4067920030.0,23280.0,2020-06-30T00:00:00.000,530282.04,0.0,40.735033,00:00 AM - 00:00PM,Meal Prep on-site
