dfta_id,provider_name,average_daily_participant,tuesday,from_date,nta,comminuty_board,census_tract,longitude,total_meals_budget,expenditures_for_information_and_assistance_education_and_recreation_health_promotion,wednesday,sponsor_name,full_time,saturday
40902,FOREST HILLS NEIGHBORHOOD SENIOR CENTER,,08:00 AM - 04:00PM,2019-12-01T00:00:00.000,Kew Gardens,409,773.0,-73.830505,0.0,54810.17,08:00 AM - 04:00PM,"QUEENS COMMUNITY HOUSE, INC.",2.0,00:00 AM - 00:00PM
12E02,FORT INDEPENDENCE SOCIAL CLUB,34.0,08:00 AM - 04:00PM,2019-12-01T00:00:00.000,Van Cortlandt Village,208,277.0,-73.900742,89401.71,56926.81,08:00 AM - 04:00PM,CHILD DEVELOPMENT CENTER OF THE MOSHOLU-MONTEFIORE COMMUNITY CENTER,8.0,00:00 AM - 00:00PM
42Z01,ELMCOR LEFRAK NSC,53.0,09:00 AM - 04:00PM,2019-12-01T00:00:00.000,North Corona,403,375.0,-73.872861,231856.36,133432.44,09:00 AM - 04:00PM,"ELMCOR YOUTH & ADULT ACTIVITIES, INC.",0.0,00:00 AM - 00:00PM
22K01,CCNS ST LOUIS NEIGHBORHOOD SENIOR CENTER,61.0,08:30 AM - 04:30PM,2019-12-01T00:00:00.000,Crown Heights North,308,339.0,-73.941982,304731.24,276549.67,08:30 AM - 04:30PM,"CATHOLIC CHARITIES NEIGHBORHOOD SERVICES, INC.",11.0,00:00 AM - 00:00PM
32101,INDEPENDENCE PLAZA NEIGHBORHOOD SR CTR,,09:00 AM - 05:00PM,2019-12-01T00:00:00.000,SoHo-TriBeCa-Civic Center-Little Italy,102,39.0,-74.010667,96066.88,71169.08,09:00 AM - 05:00PM,"GREENWICH HOUSE, INC.",3.0,00:00 AM - 00:00PM
35K01,LENOX HILL NEIGHBORHOOD HOUSE INC.,266.0,08:00 AM - 08:00 PM,2019-07-01T00:00:00.000,Lenox Hill-Roosevelt Island,108,126.0,-73.95739,746844.67,356165.89,08:00 AM - 08:00 PM,"LENOX HILL NEIGHBORHOOD HOUSE, INC.",6.0,00:00 AM - 00:00PM
36001,ABSW NEIGHBORHOOD SENIOR CENTER,,08:30 AM - 04:00PM,2019-12-01T00:00:00.000,Morningside Heights,107,195.0,-73.966593,366821.9,212262.78,08:30 AM - 04:00PM,ASSOCIATION OF BLACK SOCIAL WORKERS,0.0,00:00 AM - 00:00PM
21H01,ROSETTA GASTON NEIGHBORHOOD SENIOR CTR,86.0,09:00 AM - 05:00PM,2019-12-01T00:00:00.000,Brownsville,316,910.0,-73.902222,266548.15,215567.03,09:00 AM - 05:00PM,"WAYSIDE OUT-REACH DEVELOPMENT, INC.",8.0,00:00 AM - 00:00PM
35301,FIND WOODSTOCK NEIGHBORHOOD SENIOR CENTE,,08:30 AM - 05:30PM,2019-12-01T00:00:00.000,Lincoln Square,104,157.0,-73.980077,649340.0,165447.92,08:30 AM - 05:30PM,"FIND AID FOR THE AGED, INC.",19.0,08:30 AM - 05:00PM
21A01,HABER HOUSE NEIGHBORHOOD SENIOR CENTER,140.0,08:00 AM - 04:00PM,2019-12-01T00:00:00.000,Seagate-Coney Island,313,352.0,-73.990645,325080.41,197570.18,08:00 AM - 04:00PM,JEWISH COMMUNITY COUNCIL OF GREATER CONEY ISLAND INC.,8.0,00:00 AM - 00:00PM
20F01,WILLIAMSBURG SATMAR NEIGHBORHOOD SR CTR,91.0,09:00 AM - 05:00PM,2019-12-01T00:00:00.000,Williamsburg,304,533.0,-73.956235,249668.42,184031.82,09:00 AM - 05:00PM,"CONGREGATION YETEV LEV DSATMAR, INC.",5.0,00:00 AM - 00:00PM
10F01,RAIN BOSTON SECOR NEIGHBORHOOD SR CTR,68.0,08:00 AM - 04:00PM,2019-12-01T00:00:00.000,Co-op City,210,46202.0,-73.833227,196391.3,169085.61,08:00 AM - 04:00PM,"REGIONAL AID FOR INTERIM NEEDS, INC.",8.0,00:00 AM - 00:00PM
26W01,WILLIAMSBURG NEIGHBORHOOD SENIOR CENTER,41.0,08:00 AM - 04:00PM,2019-12-01T00:00:00.000,Bushwick South,304,493.0,-73.943443,118284.26,196658.25,08:00 AM - 04:00PM,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,6.0,00:00 AM - 00:00PM
33703,UJC EXTENDED SERVICES,,08:00 AM - 04:00PM,2019-12-01T00:00:00.000,Lower East Side,103,1401.0,-73.984031,0.0,100221.63,08:00 AM - 04:00PM,"UNITED JEWISH COUNCIL OF THE EAST SIDE, INC.",3.0,00:00 AM - 00:00PM
22T01,JAY-HARAMA NEIGHBORHOOD SENIOR CENTER,143.0,08:00 AM - 04:00PM,2019-12-01T00:00:00.000,Madison,315,578.0,-73.951186,485140.23,268805.45,08:00 AM - 04:00PM,JEWISH COMMUNITY COUNCIL OF GREATER CONEY ISLAND INC.,10.0,00:00 AM - 00:00PM
22Y01,SAINT GABRIELS NEIGHBORHOOD SENIOR CTR,44.0,09:00 AM - 05:00PM,2019-12-01T00:00:00.000,Prospect Lefferts Gardens-Wingate,309,804.0,-73.949217,303220.15,115844.99,09:00 AM - 05:00PM,"ST. GABRIEL'S EPISCOPAL CHURCH, INC",6.0,00:00 AM - 00:00PM
20Y01,BCA NEIGHBORHOOD SENIOR CENTER,206.0,09:00 AM - 05:00PM,2019-11-01T00:00:00.000,Sunset Park East,307,102.0,-74.015137,394838.15,307037.42,09:00 AM - 05:00PM,"BROOKLYN CHINESE-AMERICAN ASSOCIATION, INC.",1.0,00:00 AM - 00:00PM
33201,CPC PROJECT OPEN DOOR NEIGHBORHOOD SC,,08:30 AM - 05:00PM,2019-12-01T00:00:00.000,SoHo-TriBeCa-Civic Center-Little Italy,102,41.0,-73.998286,594425.06,558234.89,08:30 AM - 05:00PM,"CHINESE-AMERICAN PLANNING COUNCIL, INC.",6.0,00:00 AM - 00:00PM
32W01,CARVER NEIGHBORHOOD SENIOR CENTER,101.0,09:00 AM - 05:00PM,2019-12-01T00:00:00.000,East Harlem South,111,168.0,-73.950853,161637.73,126598.29,09:00 AM - 05:00PM,"INSTITUTE FOR THE PUERTO RICAN/ HISPANIC ELDERLY, INC.",0.0,00:00 AM - 00:00PM
32P01,LENOX HILL NEIGHBORHOOD SENIOR CENTER,78.0,09:00 AM - 05:00PM,2019-12-01T00:00:00.000,Turtle Bay-East Midtown,106,100.0,-73.970744,225323.85,245998.26,09:00 AM - 05:00PM,"LENOX HILL NEIGHBORHOOD HOUSE, INC.",10.0,00:00 AM - 00:00PM
18201,MELROSE MOTT HAVEN NEIGHBORHOOD SR CTR,,08:00 AM - 04:00PM,2019-12-01T00:00:00.000,Melrose South-Mott Haven North,201,67.0,-73.91793,272063.39,100077.78,08:00 AM - 04:00PM,"EAST SIDE HOUSE, INC.",7.0,08:00 AM - 04:00PM
34103,BEATRICE LEWIS,,09:00 AM - 05:00PM,2019-11-01T00:00:00.000,East Harlem North,111,242.0,-73.935267,459741.14,144594.54,09:00 AM - 05:00PM,"CENTRAL HARLEM SENIOR CITIZENS' CENTERS, INC.",0.0,00:00 AM - 00:00PM
40201,ROBERT COUCHE NEIGHBORHOOD SENIOR CEN,,08:00 AM - 04:00PM,2019-12-01T00:00:00.000,Springfield Gardens North,412,330.0,-73.764138,439021.78,262139.82,08:00 AM - 04:00PM,"THE MERRILL PARK CIVIC ASSOCIATION OF SPRINGFIELD GARDENS, LONG ISLAND, N.Y., INC.",18.0,00:00 AM - 00:00PM
45N02,HANAC EXTENDED SERVICES,19.0,09:00 AM - 05:00 PM,2019-07-01T00:00:00.000,Old Astoria,401,69.0,-73.9198,0.0,164840.9,09:00 AM - 05:00 PM,"HANAC, INC.",2.0,00:00 AM - 00:00PM
34104,LINCOLN SOCIAL CLUB,,09:00 AM - 05:00PM,2019-11-01T00:00:00.000,East Harlem North,110,210.0,-73.934935,72275.48,71447.56,09:00 AM - 05:00PM,"CENTRAL HARLEM SENIOR CITIZENS' CENTERS, INC.",0.0,00:00 AM - 00:00PM
41701,MIDDLE VILLAGE NEIGHBORHOOD SENIOR CT,,08:00 AM - 04:00PM,2019-12-01T00:00:00.000,Middle Village,405,619.0,-73.876664,323669.02,178933.26,08:00 AM - 04:00PM,RABBI ISRAEL MEYER HACOHEN RABBINICAL SEMINARY OF AMERICA,2.0,00:00 AM - 00:00PM
35M01,YOUNG MENS AND WOMENS HEBREW ASSO WASHINGTON HEIGHTS INWOOD,104.0,09:00 AM - 05:00 PM,2019-07-01T00:00:00.000,Washington Heights North,112,285.0,-73.929129,445358.05,436065.78,09:00 AM - 05:30 PM,"YOUNG MEN'S AND YOUNG WOMEN'S HEBREW ASSOCIATION OF WASHINGTON HEIGHTS AND INWOOD, INC.",9.0,00:00 AM - 00:00PM
42801,PETER CARDELLA NSC,,08:00 AM - 04:00PM,2019-12-01T00:00:00.000,Ridgewood,405,583.0,-73.895681,555875.43,191436.19,08:00 AM - 04:00PM,"PETER CARDELLA SENIOR CITIZEN CENTER, INC.",12.0,00:00 AM - 00:00PM
32301,EAST HARLEM NEIGHBORHOOD SENIOR CENTER,,09:00 AM - 05:00PM,2019-12-01T00:00:00.000,East Harlem North,111,196.0,-73.939016,432433.34,177104.86,09:00 AM - 05:00PM,"EAST HARLEM COUNCIL FOR HUMAN SERVICES, INC.",11.0,00:00 AM - 00:00PM
43Q01,HOLLISWOOD NEIGHBORHOOD SENIOR CENTER,44.0,08:00 AM - 04:00PM,2019-11-01T00:00:00.000,,413,,,181022.96,305220.21,08:00 AM - 04:00PM,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,7.0,00:00 AM - 00:00PM
32M01,ENCORE NEIGHBORHOOD SENIOR CENTER,118.0,08:00 AM - 04:00PM,2019-12-01T00:00:00.000,Midtown-Midtown South,105,125.0,-73.985312,652428.54,219182.09,08:00 AM - 04:00PM,ENCORE COMMUNITY SERVICES,11.0,00:00 AM - 00:00PM
41A01,KCS FLUSHING NSC,292.0,08:00 AM - 05:00PM,2019-12-01T00:00:00.000,East Flushing,407,1185.0,-73.800335,536477.33,217065.74,08:00 AM - 05:00PM,"KOREAN COMMUNITY SERVICES OF METROPOLITAN NEW YORK, INC.",8.0,00:00 AM - 00:00PM
23L01,CCNS ST CHARLES NEIGHBORHOOD SENIOR CENT,81.0,08:30 AM - 04:30PM,2019-12-01T00:00:00.000,,302,,,207605.01,184934.09,08:30 AM - 04:30PM,"CATHOLIC CHARITIES NEIGHBORHOOD SERVICES, INC.",8.0,00:00 AM - 00:00PM
12M01,RAIN MT CARMEL NEIGHBORHOOD SENIOR CTR,60.0,09:00 AM - 00:00PM,2019-11-01T00:00:00.000,,206,,,215737.23,175417.91,09:00 AM - 00:00PM,"REGIONAL AID FOR INTERIM NEEDS, INC.",9.0,00:00 AM - 00:00PM
30A04,BETHUNE NEIGHBORHOOD SENIOR CENTER,57.0,08:00 AM - 04:00PM,2019-12-01T00:00:00.000,Washington Heights South,112,241.0,-73.94174,222985.45,176261.29,08:00 AM - 04:00PM,COTHOA LUNCHEON CLUB INC.,8.0,00:00 AM - 00:00PM
11T01,BETANCES NEIGHBORHOOD SENIOR CENTER,76.0,08:30 AM - 04:30PM,2019-12-01T00:00:00.000,Melrose South-Mott Haven North,201,73.0,-73.907628,252957.56,162783.94,08:30 AM - 04:30PM,"INSTITUTE FOR THE PUERTO RICAN/ HISPANIC ELDERLY, INC.",0.0,00:00 AM - 00:00PM
26W02,COOPER PARK SOCIAL CLUB,17.0,08:00 AM - 04:00PM,2019-12-01T00:00:00.000,East Williamsburg,301,449.0,-73.939856,73303.12,165854.79,08:00 AM - 04:00PM,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,3.0,00:00 AM - 00:00PM
18401,NORTHEAST BRONX NEIGHBORHOOD SENIOR CT,,09:00 AM - 04:00PM,2019-12-01T00:00:00.000,Schuylerville-Throgs Neck-Edgewater Park,210,164.0,-73.826264,451690.17,180322.83,09:00 AM - 04:00PM,"NORTHEAST BRONX SENIOR CITIZENS, INC.",0.0,00:00 AM - 00:00PM
23H01,HAZEL BROOKS NEIGHBORHOOD SENIOR CENTER,47.0,08:00 AM - 04:00PM,2019-12-01T00:00:00.000,Flatbush,314,51601.0,-73.958913,365460.14,124328.92,08:00 AM - 04:00PM,"FORT GREENE COUNCIL, INC.",7.0,00:00 AM - 00:00PM
30W01,JUDITH C WHITE NEIGHBORHOOD SENIOR CTR,55.0,09:00 AM - 05:00PM,2019-12-01T00:00:00.000,West Village,102,67.0,-74.003078,150991.6,77350.78,09:00 AM - 05:00PM,"GREENWICH HOUSE, INC.",7.0,00:00 AM - 00:00PM
44L01,SELFHELP AUSTIN STREET NSC,170.0,08:30 AM - 04:00PM,2019-12-01T00:00:00.000,Forest Hills,406,711.0,-73.847335,348141.67,278847.9,08:30 AM - 04:00PM,"SELFHELP COMMUNITY SERVICES, INC.",8.0,00:00 AM - 00:00PM
44001,BROOKDALE NSC,,08:30 AM - 04:30PM,2019-12-01T00:00:00.000,Far Rockaway-Bayswater,414,99802.0,-73.753204,269335.01,312607.69,08:30 AM - 04:30PM,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,12.0,00:00 AM - 00:00PM
21604,RAICES,,08:00 AM - 04:00PM,2019-12-01T00:00:00.000,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,302,41.0,-73.983223,0.0,309826.83,08:00 AM - 04:00PM,"SPANISH SPEAKING ELDERLY COUNCIL - RAICES, INC.",0.0,00:00 AM - 00:00PM
31201,CARTER BURDEN LUNCHEON CLUB NSC,,09:00 AM - 05:00PM,2019-12-01T00:00:00.000,Lenox Hill-Roosevelt Island,108,132.0,-73.952725,521634.68,147277.32,09:00 AM - 05:00PM,"CARTER BURDEN NETWORK, INC.",5.0,00:00 AM - 00:00PM
35B01,ARC CENTRAL HARLEM SENIOR CENTER,61.0,09:00 AM - 05:00PM,2019-07-01T00:00:00.000,Central Harlem North-Polo Grounds,110,232.0,-73.936317,286732.09,190453.5,09:00 AM - 05:00PM,"ARC XVI, FT. WASHINGTON, INC.",5.0,00:00 AM - 00:00PM
11J01,RAIN MIDDLETOWN NEIGHBORHOOD SENIOR CT,95.0,08:00 AM - 04:00PM,2019-12-01T00:00:00.000,Pelham Bay-Country Club-City Island,211,26602.0,-73.828806,224037.14,196757.96,08:00 AM - 04:00PM,"REGIONAL AID FOR INTERIM NEEDS, INC.",9.0,00:00 AM - 00:00PM
31U01,FIND AID COFFEEHOUSE NSC,102.0,08:00 AM - 05:00PM,2019-12-01T00:00:00.000,Clinton,104,115.0,-73.990832,504667.1,163555.18,08:00 AM - 05:00PM,"FIND AID FOR THE AGED, INC.",16.0,00:00 AM - 00:00PM
1A601,PSS HIGHBRIDGE NEIGHBORHOOD SENIOR CENTE,56.0,08:00 AM - 04:00PM,2019-12-01T00:00:00.000,Highbridge,204,199.0,-73.925706,139030.13,223806.84,08:00 AM - 04:00PM,PRESBYTERIAN SENIOR SERVICES,9.0,00:00 AM - 00:00PM
43301,BAYSIDE NEIGHBORHOOD SENIOR CENTER,,08:00 AM - 04:00PM,2019-12-01T00:00:00.000,Oakland Gardens,411,138501.0,-73.756559,255200.86,273418.0,08:00 AM - 04:00PM,"CATHOLIC CHARITIES NEIGHBORHOOD SERVICES, INC.",19.0,09:30 AM - 04:00PM
10K01,THOMAS GUESS NEIGHBORHOOD SENIOR CENTER,52.0,09:00 AM - 05:00PM,2019-11-01T00:00:00.000,East Tremont,205,371.0,-73.888101,171582.08,213164.69,09:00 AM - 05:00PM,"THE NEIGHBORHOOD SELF-HELP BY OLDER PERSONS PROJECT, INC.",12.0,00:00 AM - 00:00PM
40C01,SUNNYSIDE COMMUNITY NSC,166.0,08:30 AM - 04:30PM,2019-12-01T00:00:00.000,Hunters Point-Sunnyside-West Maspeth,402,179.0,-73.925909,510232.06,484938.5,08:30 AM - 04:30PM,"SUNNYSIDE COMMUNITY SERVICES, INC.",0.0,00:00 AM - 00:00PM
24H01,RIDGEWOOD BUSHWICK NEIGHBORHOOD SC,121.0,08:00 AM - 04:00PM,2019-12-01T00:00:00.000,Bushwick North,304,443.0,-73.918336,426461.64,249752.03,08:00 AM - 04:00PM,RISEBORO COMMUNITY PARTNERSHIP INC.,21.0,00:00 AM - 00:00PM
21B01,MARIA LAWTON NEIGHBORHOOD SENIOR CENTER,32.0,08:00 AM - 04:00PM,2019-12-01T00:00:00.000,Stuyvesant Heights,304,287.0,-73.93519,233518.9,131997.36,08:00 AM - 04:00PM,"FORT GREENE COUNCIL, INC.",8.0,00:00 AM - 00:00PM
31202,CARTER BURDEN ROOSEVELT ISLAND NEIGHBORHOOD SENIOR CENTER,,09:00 AM - 05:00PM,2019-12-01T00:00:00.000,Lenox Hill-Roosevelt Island,108,23801.0,-73.949762,245575.01,196372.99,09:00 AM - 05:00PM,"CARTER BURDEN NETWORK, INC.",6.0,00:00 AM - 00:00PM
33701,UJC ADULT LUNCHEON CLUB NSC,,08:00 AM - 04:00PM,2019-12-01T00:00:00.000,Lower East Side,103,12.0,-73.982977,356679.88,204351.89,08:00 AM - 04:00PM,"UNITED JEWISH COUNCIL OF THE EAST SIDE, INC.",8.0,00:00 AM - 00:00PM
12R01,BRONX RIVER NEIGHBORHOOD SENIOR CENTER,61.0,08:00 AM - 04:00PM,2019-12-01T00:00:00.000,West Farms-Bronx River,209,62.0,-73.876147,194960.86,117622.15,08:00 AM - 04:00PM,"INSTITUTE FOR THE PUERTO RICAN/ HISPANIC ELDERLY, INC.",0.0,00:00 AM - 00:00PM
11P01,EAST CONCOURSE NSC,85.0,08:00 AM - 04:00PM,2019-12-01T00:00:00.000,Mount Hope,205,23302.0,-73.904562,134175.64,112366.89,08:00 AM - 04:00PM,"BRONXWORKS, INC.",3.0,00:00 AM - 00:00PM
30U01,DYCKMAN NEIGHBORHOOD SENIOR CENTER,74.0,08:30 AM - 04:30PM,2019-12-01T00:00:00.000,Marble Hill-Inwood,112,299.0,-73.921587,231127.7,148299.86,08:30 AM - 04:30PM,"NEW YORK FOUNDATION FOR SENIOR CITIZENS, INC.",10.0,00:00 AM - 00:00PM
